"","ZEB1","miR200","Csn","FOXC2","SUFU","AKT","FUS","SMO","TrCP","SMAD","ILK","HEY1","NOTCH","NOTCHic","Csl","TWIST1","SNAI1","PI3K","DELTA","RKIP","ZEB2","SRC","SOSGRB2","AXIN2","CD44","Ecadherin","TCFLEF","SNAI2","cateninmemb","TGF","TGFR","KLF4","CDC42","PAK1","cateninnuc","GLI","Wnt","cMet","Frizzled","DSH","STAT","RAS","RAF","MEK","ERK","LIV1","cfos","EGR1","Destcompl","Jagged","SHH","Patched","NFB","GSK3","IKK"
"SNAI2",0.446591776798825,0.411360566615422,-0.2,0.00330568507653571,-0.2,-0.384586622351475,-0.3,-0.329411764705882,-0.1,0.26240505232351,0.217907444668008,0.169002411091019,0.207706766917293,0.193421052631579,0.174122807017544,-0.330677984463481,0.507346841801582,-0.528702749286064,-0.528702749286064,0.392384615384615,-0.194965806586952,-0.485714285714286,0.469844489519946,-0.318154304350852,-0.631996278747755,0.765935603684998,-0.6948828766859,0.776893578045166,-0.759488079178408,0.463554518797486,0.41200172376643,-0.147692307692308,0.347899159663866,0.276470588235294,0.751715174822546,0.631093512949354,0.56317907444668,0.56317907444668,0.485714285714286,0.4,0.4,0.592173068920767,0.528702749286064,-0.459989401165872,-0.384313725490196,0.3,-0.3,-0.2,0.59520929746794,-0.626968165036274,0.363272069391137,0.347779111644658,0.3,0.544118787262721,0.344827586206897
"Ecadherin",0.490447106754899,0.439077200473849,-0.3,0.0793024783904344,-0.3,-0.392015392015392,-0.3,-0.3125,-0.2,0.270713127697652,0.239478260869565,0.194876154244492,0.170777427152821,0.161483746855423,0.150143540669856,-0.297447207312472,0.537396710062524,-0.571447963800905,-0.571447963800905,0.409720340298189,-0.164954489653182,-0.548563611491108,0.526281935542114,-0.306294662899346,-0.671239196775389,0.570248573567764,-0.724414788307145,0.580861567204002,-0.780684549190647,0.476713768479128,0.436026607538803,-0.122315986872949,0.391636363636364,0.331636363636364,0.773621137513494,0.669299243675016,0.610632577008349,0.612041872360673,0.548563611491108,0.476470588235294,0.476470588235294,0.624799919108168,0.571447963800905,-0.506820295128361,-0.447604608853851,0.4,-0.376470588235294,-0.3,0.613906543148771,-0.660959137656052,0.331202904072475,0.326478494623656,0.323809523809524,0.570020426229813,0.360846560846561
"KLF4",0.433101135190918,0.393825803825804,-0.2,0.0534443548206403,-0.2,-0.360846560846561,-0.3,-0.3,-0.1,0.239478260869565,0.196,0.155278838808251,0.161483746855423,0.150143540669856,0.129090909090909,-0.288322440087146,0.487396710062524,-0.511153846153846,-0.511153846153846,0.369645433931148,-0.159267285861713,-0.476470588235294,0.45917667238422,-0.280521467023057,-0.612041872360673,0.630229099371075,-0.671239196775389,0.541547900738017,-0.731453779959877,0.436026607538803,0.391636363636364,-0.118518518518519,0.331636363636364,0.263636363636364,0.724414788307145,0.610632577008349,0.548563611491108,0.548563611491108,0.476470588235294,0.4,0.4,0.571447963800905,0.511153846153846,-0.447604608853851,-0.376470588235294,0.3,-0.3,-0.2,0.569638136811399,-0.606725728045068,0.326478494623656,0.3125,0.3,0.52145530481701,0.323809523809524
"FOXC2",0.433101135190918,0.393825803825804,-0.2,0.0534443548206403,-0.2,-0.360846560846561,-0.3,-0.3,-0.1,0.239478260869565,0.196,0.155278838808251,0.161483746855423,0.150143540669856,0.129090909090909,-0.288322440087146,0.487396710062524,-0.511153846153846,-0.511153846153846,0.369645433931148,-0.159267285861713,-0.476470588235294,0.45917667238422,-0.280521467023057,-0.612041872360673,0.630229099371075,-0.671239196775389,0.541547900738017,-0.731453779959877,0.436026607538803,0.391636363636364,-0.118518518518519,0.331636363636364,0.263636363636364,0.724414788307145,0.610632577008349,0.548563611491108,0.548563611491108,0.476470588235294,0.4,0.4,0.571447963800905,0.511153846153846,-0.447604608853851,-0.376470588235294,0.3,-0.3,-0.2,0.569638136811399,-0.606725728045068,0.326478494623656,0.3125,0.3,0.52145530481701,0.323809523809524
"Destcompl",0.646133320118057,0.55772625473948,-0.276190476190476,0.385478227508409,-0.0777777777777778,-0.371290595276589,-0.0812260536398468,-0.0897974822112753,-0.233333333333333,0.336140350877193,0.308888888888889,0.297402426633196,0.0359168709530302,0.0240932236584411,0.0132236584410497,-0.0505392888203808,0.728539997813696,-0.707844552035143,-0.707844552035143,0.555659154436767,-0.156607454884513,-0.566536203522505,0.472996780784282,-0.342317238385153,-0.70720784531355,0.514936469373276,-0.76707085901218,0.627684782189922,-0.721039320018877,0.484662024519427,0.440031482647505,-0.133686539449701,0.393715693173821,0.340612244897959,0.821379885019319,0.706160370020787,0.638813431245277,0.639670531880714,0.566536203522505,0.485714285714286,0.485714285714286,0.768441098345975,0.707844552035143,-0.58090227542396,-0.520986663609614,0.4,-0.452680652680653,-0.376923076923077,0.786254748565694,-0.632234523953337,0.107959256496961,0.0996420417967676,0.306625258799172,0.828490565789468,0.341760393934307
"cateninnuc",0.512009310782248,0.446124388290373,-0.3,0.161732890060759,-0.166666666666667,-0.395329545454545,-0.186666666666667,-0.201420765027322,-0.3,0.253557478901272,0.231865800865801,0.197691855395852,0.083392630814783,0.072483539905692,0.0643440050219711,-0.188738259984812,0.553383042739542,-0.599355509355509,-0.599355509355509,0.413065007779648,-0.111974701368082,-0.491200466200466,0.556672243695981,-0.24017144461569,-0.597325379934076,0.434461236183942,-0.644151369478512,0.58190974975761,-0.583727700182505,0.478673893390653,0.444176076796766,-0.0757109833622289,0.40567032967033,0.370285714285714,0.585106906622947,0.594565113266721,0.545553255559211,0.547722205330901,0.489031516428777,0.432867132867133,0.432867132867133,0.646156856156856,0.599355509355509,-0.536287524928192,-0.485370093735531,0.363636363636364,-0.433471359558316,-0.365217391304348,0.625404491987103,-0.578760546040546,0.208424919346055,0.2007996470149,0.345454545454545,0.586758022426066,0.373454545454545
"AXIN2",0.316852470560899,0.290617310864119,-0.144444444444444,0.204003896181882,-0.05,-0.195893719806763,-0.0730769230769231,-0.0683150183150183,-0.133333333333333,0.186180124223602,0.171497584541063,0.167384959575629,0.0123069498069498,0.00892857142857143,0,-0.019912000953245,0.320381395034944,-0.318826457451025,-0.318826457451025,0.251512958367797,-0.0973584466290718,-0.244186046511628,0.238856729992775,-0.199393177838696,-0.312422748349983,0.27108653045008,-0.342317238385153,0.317155836476919,-0.341383795955761,0.248840000519226,0.229038020321206,-0.0896106230700487,0.204259259259259,0.178333333333333,0.369079019621643,0.312002138465651,0.278668805132318,0.278668805132318,0.244186046511628,0.2,0.2,0.35006005325155,0.318826457451025,-0.272933038837317,-0.243277866423524,0.166666666666667,-0.206829268292683,-0.18,0.36434668108141,-0.293860622338883,0.0790644328349246,0.0754578754578755,0.166183574879227,0.340478260869565,0.179227053140097
"ZEB2",-0.293027535276109,-0.24203087441727,-0.233333333333333,-0.227746697746698,-0.225,-0.222120976116303,-0.210714285714286,-0.207857142857143,-0.2,-0.196565748462004,-0.195955992364443,-0.177721633205504,-0.165328289197142,-0.160410256410256,-0.156410256410256,-0.130052443611358,-0.125647815130204,-0.0922943722943723,-0.0922943722943723,-0.0903381642512077,-0.0841621797819638,-0.0733333333333333,-0.0655128205128205,-0.0604089996266959,-0.050916179337232,-0.0457452337543314,-0.0435218131400489,-0.0413078978546578,-0.0151500916625962,0.00975881261595547,0.0145207173778602,0.0164958718795601,0.0179220779220779,0.0233766233766234,0.0380672676855034,0.0431483501208272,0.0532400932400932,0.0601754385964912,0.0660606060606061,0.0727272727272727,0.08,0.0873693187611817,0.0922943722943723,0.0986248567918616,0.0998443689869836,0.1,0.103070175438596,0.108333333333333,0.120863176840839,0.160550923574667,0.196615457713019,0.202979094076655,0.220833333333333,0.221335421173021,0.223055555555556
"TCFLEF",-0.24745277334751,-0.174510335715155,0.0376623376623377,-0.0498135755717437,-0.0333333333333333,0.00498632083204313,-0.0133333333333333,-0.0514285714285714,0.0285714285714286,-0.0509046206105681,-0.057979190400243,-0.0378733149364037,-0.00283432715116676,-0.00449545671927307,0.0013868962219034,-0.0941107777376939,0.0182420740579736,-0.00393404699180872,-0.00393404699180872,0.0355471368875419,-0.0839948608895977,-0.0958333333333333,-0.272646706586826,-0.0871257631257631,-0.129779471053056,0.186242046018278,-0.243868818132094,0.390644758255079,-0.255550001788577,0.0562500828095984,0.0433361755248302,-0.0788833715304304,0.0311866428145498,0.0102564102564103,0.255896309541028,0.132057449512692,0.12087732528909,0.117200854700855,0.0995098039215686,0.0745098039215686,0.0708333333333333,0.0166804333255801,0.00393404699180872,0.254871411979426,0.274599303135889,0.0333333333333333,0.288885017421603,0.315714285714286,0.289713186476556,0.0387560054057548,0.0525862995108987,0.0562672811059908,-0.0416623376623377,0.204914038350956,-0.0158558860494344
"RAS",0.199182621502209,0.183015384615385,-0.3,0.160793650793651,-0.1,-0.333333333333333,0,-0.0166666666666667,-0.2,0.0235621521335807,0.00519480519480519,0.118379446640316,-0.278997020854022,-0.265789473684211,-0.25,-0.0292307692307692,0.248544739429695,-0.608717948717949,-0.608717948717949,0.0536477987421384,-0.0784977908689249,-0.15,0.229437229437229,-0.145428194993412,-0.198560700876095,0.0386692577777707,-0.221637623953018,-0.152943879057206,-0.092720655808192,0.20859638905067,0.191764705882353,-0.0857142857142857,0.18,0.1,0.245150371828372,0.196078431372549,0.179411764705882,0.179411764705882,0.15,0.1,0.1,0.537564102564102,0.608717948717949,-0.325701754385965,-0.292368421052632,0,-0.245,-0.22,0.499870274288879,-0.035525330179381,0.0248022598870056,0.0366666666666667,0.266666666666667,0.64187338501292,0.3
