"","cMet","Frizzled","CD44","DSH","Wnt","PI3K","DELTA","Csl","EGR1","ZEB2","SOSGRB2","SNAI2","SMAD","SMO","FOXC2","cfos","TGFR","SNAI1","RKIP","FUS","TGF","Patched","MEK","CDC42","SHH","ERK","PAK1","AKT","NFB","IKK","HEY1","KLF4","ILK","SUFU","TWIST1","GSK3","Csn","ZEB1","NOTCH","TrCP","NOTCHic","miR200","Ecadherin","Jagged","RAS","RAF","Destcompl","LIV1","cateninmemb","GLI","cateninnuc","TCFLEF","STAT","SRC","AXIN2"
"ZEB1",-0.110223301328036,-0.139721254355401,-0.101889967994703,-0.171428571428571,-0.122413562047708,-0.158477772500839,-0.158477772500839,0.214583333333333,0.266666666666667,-0.218434979342908,-0.0390253411306043,-0.111842534861809,0.33398969315856,0.317045454545455,0.416797636285368,0.262666666666667,0.0231388535850518,0.313142024268025,0.327119997990404,0.3125,0.0243199559472565,0.295476827094474,0.263122743370476,0.0145094119606863,0.301526649158531,0.273254901960784,0.0130268199233716,-0.318798225070874,-0.326315789473684,-0.33451251078516,-0.326363153254345,-0.220595451237992,-0.342162770081636,-0.275,0.304372994301607,0.103640318985955,-0.3,0.218434979342908,-0.231403945875871,-0.3,-0.232230392156863,-0.00139272891027291,-0.0613005254131755,-0.237613032227226,0.156745489036272,0.158477772500839,0.0620545366452483,0.2,0.0726608028159339,0.115197067202348,0.098964436079809,0.098964436079809,0.161538461538462,0.129831144465291,0.149682278306002
"miR200",0.000257195345988981,-0.032,0.00699876837969685,-0.06,-0.0108732394366197,-0.0889934940681209,-0.0889934940681209,0.15487684729064,0.142857142857143,-0.177809139784946,0.00962927143778207,-0.0801267585658238,0.190879552753218,0.1625,0.261866263817483,0.192857142857143,0.0190702087286528,0.165851185851186,0.19107272435988,0.1625,0.0306981157053969,0.176424050632911,0.157637600494743,0.00294117647058824,0.151424050632911,0.161038961038961,-0.0166666666666667,-0.185073060008512,-0.184210526315789,-0.175639097744361,-0.172203389830508,-0.172739820565908,-0.183042562157606,-0.2,0.186487622806641,0.0466927020413485,-0.2,0.177809139784946,-0.179345968662158,-0.1,-0.165221674876847,-0.0610324249639886,-0.0930884652245626,-0.188436681850875,0.0812628207514127,0.0889934940681209,0.0209751663084602,0.1,-0.017664420449599,0.00427983284321312,-0.00758318396411243,-0.00818924457017304,0.06,0.0208695652173913,0.0380052215369481
"RAS",0.191176470588235,0.15,0.21883604505632,0.1,0.191176470588235,-0.135641025641026,-0.135641025641026,0.35,0.3,-0.111988217967599,0.162770562770563,-0.0155680687737276,0.228633271490414,0.216666666666667,0.253174603174603,0.3,0.103529411764706,0.220432645034415,0.35911320754717,0.2,0.110460104834013,0.188666666666667,0.292776057791538,0.08,0.190361581920904,0.294736842105263,-0.06,-0.323333333333333,-0.333333333333333,-0.34,-0.110474308300395,-0.117142857142857,-0.222510822510822,-0.1,0.131336606655756,0.0964728682170543,-0.3,0.111988217967599,-0.367676266137041,-0.2,-0.365789473684211,-0.166892307692308,-0.151483416379288,-0.262191996846048,0.0279487179487179,0.135641025641026,-0.150007362216665,0,-0.193569037151265,-0.216176470588235,-0.23928058635072,-0.237297583517859,-0.1,-0.15,-0.238787878787879
"AXIN2",-0.100141673349372,-0.115658914728682,-0.100457130762621,-0.113333333333333,-0.100141673349372,-0.16081732374985,-0.16081732374985,0.0319298245614035,0.153333333333333,-0.0902305933208017,-0.0423755082380608,-0.0898187252978102,0.0948470209339775,0.156593406593407,0.201709991803669,0.155772357723577,0.0528086419753086,0.161847888942627,0.180484658710465,0.142307692307692,0.0590792690380149,0.156593406593407,0.163693724143171,0.0528086419753086,0.154298324626193,0.162314413798344,-0.0441666666666667,-0.177584541062802,-0.16231884057971,-0.17536231884058,-0.0903765979830889,-0.0848404401898596,-0.0948470209339775,-0.15,0.133265395361406,0.137935506268458,-0.166666666666667,0.0902305933208017,-0.0465051141366931,-0.133333333333333,-0.0390726817042606,-0.129761310997402,-0.133536278136463,0.0774059547972591,0.159767454983445,0.16081732374985,0.121976358816918,0.133333333333333,0.0533847428556422,0.100770604166982,0.0962874166892025,0.0949471659326093,0.113333333333333,0.115658914728682,0.485251512320627
"KLF4",-0.173187414500684,-0.194117647058824,-0.17057871884851,-0.2,-0.173187414500684,-0.212051282051282,-0.212051282051282,-0.0527272727272727,0.2,-0.0865273477812178,-0.0268724985706118,-0.108447721347515,0.111884057971014,0.266666666666667,0.259690573816406,0.209090909090909,-0.103272727272727,0.163730993426172,0.184869099154813,0.233333333333333,-0.0959556541019956,0.260416666666667,0.213942334197034,-0.107272727272727,0.261491935483871,0.214973262032086,0.127272727272727,-0.243809523809524,-0.22,-0.243809523809524,-0.11048128342246,-0.0666666666666667,-0.113333333333333,-0.2,0.245925925925926,0.120427036359749,-0.2,0.0865273477812178,0.0276594485275983,-0.1,0.0369377990430622,-0.129430199430199,-0.153494552954171,0.147893326064241,0.212051282051282,0.212051282051282,0.101290624101438,0.233333333333333,0.117257050763148,0.17146327656965,0.163089245843849,0.162217514835132,0.2,0.194117647058824,0.249963239849655
"HEY1",-0.173187414500684,-0.194117647058824,-0.17057871884851,-0.2,-0.173187414500684,-0.212051282051282,-0.212051282051282,-0.0527272727272727,0.2,-0.0865273477812178,-0.0268724985706118,-0.108447721347515,0.111884057971014,0.266666666666667,0.259690573816406,0.209090909090909,-0.103272727272727,0.163730993426172,0.184869099154813,0.233333333333333,-0.0959556541019956,0.260416666666667,0.213942334197034,-0.107272727272727,0.261491935483871,0.214973262032086,0.127272727272727,-0.243809523809524,-0.22,-0.243809523809524,-0.11048128342246,-0.0666666666666667,-0.113333333333333,-0.2,0.245925925925926,0.120427036359749,-0.2,0.0865273477812178,0.0276594485275983,-0.1,0.0369377990430622,-0.129430199430199,-0.153494552954171,0.147893326064241,0.212051282051282,0.212051282051282,0.101290624101438,0.233333333333333,0.117257050763148,0.17146327656965,0.163089245843849,0.162217514835132,0.2,0.194117647058824,0.249963239849655
"Ecadherin",-0.17057871884851,-0.173187414500684,-0.162217514835132,-0.194117647058824,-0.17146327656965,-0.212051282051282,-0.212051282051282,-0.0369377990430622,0.209090909090909,-0.0860534141319287,-0.0216093406758749,-0.111758979625661,0.110673404217988,0.260416666666667,0.259461740864461,0.214973262032086,-0.0959556541019956,0.164996816210982,0.185243630990019,0.266666666666667,-0.0957748222755941,0.261491935483871,0.214334491059779,-0.103272727272727,0.259917132334265,0.213942334197034,0.107272727272727,-0.247705627705628,-0.243809523809524,-0.243809523809524,-0.107125578724473,-0.0666666666666667,-0.111884057971014,-0.233333333333333,0.241270432443617,0.117115778081603,-0.22,0.0860534141319287,0.0243137236205351,-0.2,0.0276594485275983,-0.129243979690907,-0.250962907384551,0.142630168169504,0.208978656352958,0.212051282051282,0.102222590550645,0.2,0.117385255891353,0.16346327656965,0.160848349485306,0.163089245843849,0.194117647058824,0.173187414500684,0.242334373870274
"ZEB2",-0.236140350877193,-0.233939393939394,-0.22780701754386,-0.227272727272727,-0.226247086247086,-0.13508658008658,-0.13508658008658,-0.0923076923076923,-0.0916666666666667,-0.0793190232685258,-0.0748901098901099,-0.0733801965629911,-0.0438904722896478,-0.0328571428571429,-0.0268857808857809,-0.0232456140350877,-0.0174644403215832,-0.0120200344556829,-0.00896940418679549,-0.00714285714285715,-0.00370782656496942,-0.00358885017421603,-0.00310399326404131,-0.00181818181818182,-0.00177066835603421,-0.000664968873797403,0,0.00815160955347872,0.0166666666666667,0.0277777777777778,0.03129483419806,0.0360464833144624,0.0377929113140381,0.05,0.0563967271778432,0.0591853152134646,0.0666666666666667,0.0793190232685258,0.0857940311055065,0.1,0.101641025641026,0.105012836421883,0.10666886402494,0.113758105966556,0.131446323127265,0.13508658008658,0.166123291932167,0.2,0.20104473718863,0.217072774320481,0.220577275454963,0.222525327403015,0.24,0.246666666666667,0.282472744711752
"SNAI2",-0.084377172123651,-0.0998701298701299,-0.0886782473924682,-0.0927272727272727,-0.084377172123651,-0.128596855866664,-0.128596855866664,-0.0508771929824561,0.166666666666667,-0.070250052443885,-0.0486139283299527,-0.0648416337333722,0.0815194195475886,0.137647058823529,0.165473180372626,0.149019607843137,-0.0782518135459312,0.100205431611816,0.111358974358974,0.12,-0.0714195154092852,0.127442977190876,0.154769475357711,-0.0722689075630252,0.131668329303552,0.158823529411765,0.096078431372549,-0.144550616258136,-0.133333333333333,-0.150574712643678,-0.0881856540084388,-0.0603846153846154,-0.0906103286384977,-0.1,0.124116063624812,0.0851512050272057,-0.133333333333333,0.070250052443885,0.0417179311916154,-0.1,0.0456140350877193,-0.0995870733655551,-0.0575570316606232,0.0731127952326714,0.129966718880363,0.128596855866664,0.0743261492434493,0.12,0.0657913810161547,0.0891900063482499,0.0849797137432398,0.081874123681128,0.0927272727272727,0.0998701298701299,0.146065364005036
"SRC",-0.025,-0.075,-0.00368852459016394,-0.1,-0.025,-0.259224030037547,-0.259224030037547,0.16,0.3,-0.0651841868823001,0.107142857142857,-0.039077944005613,0.0849276908487435,0.09,0.430793650793651,0.363636363636364,0.0926587301587302,0.303120283870881,0.441968067774519,0.05,0.116295093795094,0.108518518518519,0.369296740994854,0.0736111111111111,0.0791067538126362,0.363636363636364,-0.111111111111111,-0.23974358974359,-0.2,-0.223076923076923,-0.0123138033763654,0.0430232558139535,-0.0660087719298246,-0.1,0.233479853479854,0.194199134199134,-0.2,0.0651841868823001,-0.212380952380952,-0.1,-0.183809523809524,-0.186561264822134,-0.137372110460346,-0.0738420371677252,0.247102817916335,0.259224030037547,-0.0496623666188884,0.2,-0.0321856757970364,0.00368852459016394,-0.0151961810354158,-0.0109456217512995,0.2,0.075,0.0626715967529432
