"","SNAI2","DSH","ZEB2","RAF","PI3K","DELTA","TGF","TGFR","MEK","Patched","KLF4","NFB","SMO","ERK","AKT","IKK","Csl","FUS","RKIP","Csn","ZEB1","NOTCH","TrCP","SUFU","NOTCHic","SNAI1","EGR1","TWIST1","cfos","Jagged","SMAD","ILK","HEY1","SHH","GSK3","miR200","CDC42","PAK1","FOXC2","SOSGRB2","RAS","Ecadherin","Destcompl","LIV1","Frizzled","Wnt","GLI","STAT","SRC","cateninmemb","cMet","CD44","cateninnuc","TCFLEF","AXIN2"
"SRC",0.0400146602388551,0.2,-0.200995807127883,-0.0938506466416354,-0.0938506466416354,-0.0938506466416354,-0.376482683982684,-0.360119047619048,-0.181741947779684,0.134444444444444,-0.294896640826873,-0.15,0.123333333333333,-0.194949494949495,-0.141025641025641,-0.157692307692308,0.12,0.0833333333333333,-0.0561420658194852,-0.15,-0.0304582210242588,-0.131904761904762,0.1,-0.0333333333333333,-0.124761904761905,0.167096839539351,0.233333333333333,-0.271199949475812,0.206060606060606,-0.0711732533521524,-0.0891062114746325,-0.0864035087719298,-0.0511833829857663,-0.146209150326797,0.151168831168831,0.0644825062216367,0.345833333333333,0.333333333333333,0.341993464052288,0.00285714285714286,0.0741536769446657,-0.318968112497524,-0.0834535754100972,0,-0.25,-0.29,-0.317868852459016,-0.1,-0.25,-0.365155291124083,-0.29,-0.317868852459016,-0.345903991870813,-0.334942023190724,-0.346806069106209
"GSK3",-0.0912365909279223,0.0328947368421053,-0.185560970786233,-0.22875154959697,-0.22875154959697,-0.22875154959697,-0.291756416083033,-0.275346159672777,-0.11938350220471,0.10454695380482,-0.183229461650517,-0.22,0.110068426197458,-0.126769865841073,-0.216934865900383,-0.228045977011494,0.0897759103641456,0.0939393939393939,-0.146006624953993,-0.245,-0.0268051532413968,-0.0950506356388709,0.22,-0.127272727272727,-0.089076609664845,0.135888985186255,0.110980392156863,-0.128681351964329,0.110980392156863,0.0494749112743661,-0.116884625590556,-0.115535300253225,-0.107034056522388,-0.12320724088616,0.0949973825163614,0.062964716991636,0.279875776397516,0.24463768115942,0.283962687659138,0.130212275907114,0.215096087412096,-0.194152068094295,0.0119366069641469,0.025,-0.0150375939849624,-0.0470637377758121,-0.0343278887192083,-0.0328947368421053,-0.0150375939849624,-0.115956405508452,-0.0488124284220485,-0.0359552855649056,-0.0454951693348827,-0.0551004324927774,0.0213618760870365
"Frizzled",-0.0948836070923529,-0.1,-0.184015417323655,-0.24524948735475,-0.24524948735475,-0.24524948735475,-0.279875776397516,-0.24463768115942,-0.110980392156863,0.0939393939393939,-0.165546218487395,-0.22,0.127272727272727,-0.110980392156863,-0.22,-0.245,0.0642857142857143,0.1,-0.147619047619048,-0.2,-0.0271900791226899,-0.0897759103641456,0.1,-0.1,-0.0642857142857143,0.138733609385783,0.133333333333333,-0.116358543417367,0.0933333333333333,0.0567379679144385,-0.104591904026809,-0.103657324587557,-0.096999454446263,-0.110068426197458,0.208996865203762,0.0666003787878788,0.253333333333333,0.233333333333333,0.272661707937106,0.13030303030303,0.223989644835065,-0.191924001778447,0.0113555508455803,0.1,0.025,-0.0328947368421053,-0.0150375939849624,0,0.025,-0.11076540220608,-0.0328947368421053,-0.0150375939849624,-0.0359552855649056,-0.0488124284220485,0.0424242424242424
"NFB",0.100475499476993,-0.161111111111111,-0.177810964192089,-0.227938106558285,-0.227938106558285,-0.227938106558285,-0.0393686740825981,-0.0317737373737374,-0.105893557422969,-0.063882503192848,-0.169139194139194,-0.104761904761905,-0.0362962962962963,-0.0973968253968254,-0.122419562419562,-0.129086229086229,0.0497835497835498,-0.04,-0.134258091635141,0.0285714285714286,-0.0207659378330885,-0.0636289158869804,-0.1,0.04,-0.0513708513708514,0.146118895744013,0.114285714285714,0.142446311858077,0.0862857142857143,0.0959537262411252,0.00233819385656038,0.00196644664466447,0.000269054990417224,0.0687017803012818,0.292800043094161,0.0591248101257296,0.0373737373737374,0.0555555555555556,0.0766092340594333,-0.00965723131357806,0.228435618996096,0.0757069911450703,0.15882508457575,0.15,0.176495726495726,0.174957264957265,0.180575242485355,0.161111111111111,0.176495726495726,0.159112816425972,0.174957264957265,0.181171954222802,0.179540780234219,0.176952544940101,0.2216210739615
"IKK",0.0990527352493509,-0.15,-0.164401002506266,-0.213853599516031,-0.213853599516031,-0.213853599516031,-0.0317737373737374,-0.0373737373737374,-0.0973968253968254,-0.0362962962962963,-0.163369963369963,0.0285714285714286,-0.04,-0.0862857142857143,-0.129086229086229,-0.104761904761905,0.0545454545454545,-0.04,-0.115027322404372,0.1,-0.0165513784461153,-0.0513708513708514,0,0.1,-0.0497835497835498,0.142557251908397,0.1,0.147843137254902,0.114285714285714,0.0952343017806935,0.00196644664466447,-0.00694444444444444,-0.00330237358101135,0.063882503192848,0.283388278388278,0.054593088071349,0.0555555555555556,0.1,0.0674458874458874,-0.0128151260504202,0.227938106558285,0.0768305866506882,0.163642360323258,0.1,0.161111111111111,0.176495726495726,0.174957264957265,0.15,0.161111111111111,0.162597504915941,0.176495726495726,0.174957264957265,0.176952544940101,0.181171954222802,0.215238095238095
"Wnt",-0.108448275862069,-0.2,-0.163223338115734,-0.227067669172932,-0.227067669172932,-0.227067669172932,-0.24463768115942,-0.253333333333333,-0.110980392156863,0.127272727272727,-0.16078431372549,-0.2,0.1,-0.0933333333333333,-0.245,-0.22,0.05,0.1,-0.108333333333333,-0.1,-0.012338593974175,-0.0642857142857143,0.1,0,-0.0642857142857143,0.149844720496894,0.1,-0.105882352941176,0.133333333333333,0.0476470588235294,-0.103657324587557,-0.105982905982906,-0.0948717948717949,-0.0939393939393939,0.174451410658307,0.0587878787878788,0.233333333333333,0.3,0.242429149797571,0.103030303030303,0.24524948735475,-0.187961297815743,0.0498170893071187,0,0.1,0.025,-0.0328947368421053,0.1,0,-0.0933050847457627,0.025,-0.0328947368421053,-0.0488124284220485,-0.0150375939849624,0.0424242424242424
"Csn",-0.0700644536392825,0,-0.157497105045492,-0.200359602424633,-0.200359602424633,-0.200359602424633,-0.27377878328703,-0.270198831019727,-0.0809036796536797,0.121063166224457,-0.155987933634992,-0.241666666666667,0.109235209235209,-0.0663203463203463,-0.2133,-0.2125,0.047979797979798,0.136507936507937,-0.139839437265846,-0.225,-0.0154640198511166,-0.075539738039738,0.1,-0.114285714285714,-0.0726551226551227,0.144766795967412,0.0533333333333333,-0.138095683341125,0.0624242424242424,0.0288864137479978,-0.107837084258091,-0.0952406832298136,-0.0939645625692137,-0.122702510486752,0.169776729407913,0.0402365420122922,0.235583446404342,0.234090909090909,0.261192256769339,0.124808024904877,0.199016032367051,-0.191361463821038,0.0120497220540716,0,-0.0517241379310345,-0.0481096800997092,-0.074747234684862,0,-0.0517241379310345,-0.152321691608533,-0.0481096800997092,-0.0769985689885981,-0.0861837281071476,-0.0712107876381158,-0.0335948811772112
"AXIN2",-0.20274778607698,-0.146666666666667,-0.150032576128773,-0.229855813549585,-0.229855813549585,-0.229855813549585,-0.0782246731310299,-0.0650233529990167,-0.151089818664864,-0.0814102564102564,-0.147854653902912,-0.201932367149758,-0.0635531135531136,-0.149710508320036,-0.216328502415459,-0.220772946859903,0.0105263157894737,-0.0730769230769231,-0.114910886604435,-0.188888888888889,-0.087303672163972,-0.0182000609632189,0.133333333333333,0.05,-0.0087406015037594,0.125325641396203,0.14,0.0200046533988387,0.137560975609756,0.180510095075312,-0.10718311479181,-0.108373590982287,-0.108883963650698,0.073869272803699,0.209227023802539,0.100555147756819,0.0765277777777778,0.0654166666666667,0.110746895571252,0.07653873942794,0.224868936909165,-0.0649083802178362,0.178398182336737,0.166666666666667,0.176899224806202,0.157933707564822,0.173656978005074,0.146666666666667,0.176899224806202,0.115932108802896,0.157933707564822,0.174022035640532,0.169773963299531,0.16030574021263,0.551250578127632
"SHH",0.255249042145594,0.2,-0.15,0.2,0.2,0.2,-0.32,-0.3,0.02,0.2,-0.2,0,0.1,0,0.05,0.1,0.1,0,-0.04,0,0,0.0333333333333333,0,0,0,0.0166666666666667,0,-0.125,0.1,-0.0657142857142857,-0.15,-0.133333333333333,-0.133333333333333,-0.36,-0.0615384615384615,0.0333333333333333,0.3,0.2,0.2,0.15,-0.253846153846154,-0.0644444444444444,-0.12025974025974,0,-0.2,-0.3,-0.3,-0.1,-0.1,-0.200143369175627,-0.2,-0.2,-0.248888888888889,-0.26,-0.342857142857143
"ZEB2",-0.198466411245925,-0.159090909090909,-0.14879102108698,-0.0996969696969697,-0.0996969696969697,-0.0996969696969697,-0.0876314162028448,-0.08286951144094,-0.0498999268430715,-0.0440418118466899,-0.0410248382928174,-0.0361111111111111,-0.0342857142857143,-0.0316072439162422,-0.0303790238836968,-0.0294444444444444,-0.0153846153846154,-0.0142857142857143,-0.0138969404186795,-0.0111111111111111,-0.00467517261213334,-0.00371920975199664,0,0,0.00338461538461539,0.0123943328305984,0.0166666666666667,0.0183471254084815,0.0219298245614035,0.0224779569437391,0.0242266922359674,0.0303242532115772,0.0341033160387999,0.0485872663921444,0.0513477517421528,0.0689447516814499,0.074025974025974,0.0831168831168831,0.0982424242424243,0.103278388278388,0.10376549218091,0.108393282746723,0.133830799241719,0.15,0.159090909090909,0.164219114219114,0.166971407797096,0.17,0.17,0.17134233307267,0.175263157894737,0.177115009746589,0.180116655987672,0.180636136507152,0.215740027738949
