"","KLF4","SHH","TGFR","SMO","NOTCHic","FUS","SNAI2","cateninnuc","NFB","cateninmemb","Destcompl","Ecadherin","SUFU","CD44","Csn","cMet","TrCP","SRC","STAT","DSH","cfos","LIV1","RAF","PI3K","DELTA","RAS","SOSGRB2","EGR1","ERK","MEK","Frizzled","Wnt","GLI","AXIN2","TCFLEF","Csl","PAK1","IKK","GSK3","TWIST1","AKT","NOTCH","CDC42","RKIP","Patched","SNAI1","Jagged","TGF","FOXC2","ILK","HEY1","SMAD","ZEB2","ZEB1","miR200"
"TrCP",0.646305490502212,0.384138305740456,0.431652661064426,0.301459293394777,0.225384615384615,0.25952380952381,0.244137037005927,0.0981405639165967,0.245833333333333,0.110684843814945,0.029160990304253,0.149768495881662,0.176190476190476,0.0597957363303898,0.183333333333333,0.0330630630630631,0.133333333333333,0.00333333333333333,-0.03,-0.03,0.0669565217391304,-0.05,-0.0327129496785164,-0.0327129496785164,-0.0327129496785164,-0.0358947678603346,-0.206518151815182,-0.08,-0.102549742078113,-0.103883075411447,-0.00333333333333333,-0.0296491228070175,-0.0555027813436029,-0.0255547293738575,-0.0797957363303898,-0.196153846153846,-0.357142857142857,-0.272149122807018,-0.13674025974026,-0.303897986071899,-0.305482456140351,-0.257252747252747,-0.398319327731092,-0.381407873894062,-0.347138305740456,-0.429197629555927,-0.32941355657805,-0.463893098222896,-0.487977704117812,-0.447781191329578,-0.448915248258224,-0.474877965523127,-0.693405091431453,-0.693405091431453,-0.701482663516106
"LIV1",0.646305490502212,0.384138305740456,0.431652661064426,0.301459293394777,0.225384615384615,0.25952380952381,0.244137037005927,0.0981405639165967,0.245833333333333,0.110684843814945,0.029160990304253,0.149768495881662,0.176190476190476,0.0597957363303898,0.183333333333333,0.0330630630630631,0.133333333333333,0.00333333333333333,-0.03,-0.03,0.0669565217391304,-0.05,-0.0327129496785164,-0.0327129496785164,-0.0327129496785164,-0.0358947678603346,-0.206518151815182,-0.08,-0.102549742078113,-0.103883075411447,-0.00333333333333333,-0.0296491228070175,-0.0555027813436029,-0.0255547293738575,-0.0797957363303898,-0.196153846153846,-0.357142857142857,-0.272149122807018,-0.13674025974026,-0.303897986071899,-0.305482456140351,-0.257252747252747,-0.398319327731092,-0.381407873894062,-0.347138305740456,-0.429197629555927,-0.32941355657805,-0.463893098222896,-0.487977704117812,-0.447781191329578,-0.448915248258224,-0.474877965523127,-0.693405091431453,-0.693405091431453,-0.701482663516106
"EGR1",0.646305490502212,0.384138305740456,0.431652661064426,0.301459293394777,0.225384615384615,0.25952380952381,0.244137037005927,0.0981405639165967,0.245833333333333,0.110684843814945,0.029160990304253,0.149768495881662,0.176190476190476,0.0597957363303898,0.183333333333333,0.0330630630630631,0.133333333333333,0.00333333333333333,-0.03,-0.03,0.0669565217391304,-0.05,-0.0327129496785164,-0.0327129496785164,-0.0327129496785164,-0.0358947678603346,-0.206518151815182,-0.08,-0.102549742078113,-0.103883075411447,-0.00333333333333333,-0.0296491228070175,-0.0555027813436029,-0.0255547293738575,-0.0797957363303898,-0.196153846153846,-0.357142857142857,-0.272149122807018,-0.13674025974026,-0.303897986071899,-0.305482456140351,-0.257252747252747,-0.398319327731092,-0.381407873894062,-0.347138305740456,-0.429197629555927,-0.32941355657805,-0.463893098222896,-0.487977704117812,-0.447781191329578,-0.448915248258224,-0.474877965523127,-0.693405091431453,-0.693405091431453,-0.701482663516106
"Destcompl",0.597498311960641,0.483711683375865,0.578071039668136,0.39639846743295,0.162287504896201,0.33639846743295,0.588683007547569,0.535660024275463,-0.0683229813664596,0.385254626444703,0.604488588120406,0.0349469407986797,0.277777777777778,0.501422599981177,-0.0857142857142857,0.478288271622968,-0.1,0.446944988040878,0.412698412698413,0.412698412698413,0.262097902097902,0.355555555555556,0.186395017057586,0.186395017057586,0.186395017057586,0.187493918156487,-0.0758791734725004,-0.231794871794872,-0.283409377507738,-0.30281866020816,-0.446944988040878,-0.477638057347809,-0.500087036939646,-0.545247977065389,-0.520463695871588,-0.136200548374461,-0.471428571428571,0.0476022606457389,-0.664705577399223,-0.556435031690489,0.0288103143370141,-0.186135200286982,-0.532807881773399,-0.615635119510357,-0.442512457070256,-0.655734827561119,-0.531702803110767,-0.615607985480944,-0.624513290923438,-0.383174603174603,-0.373598708983324,-0.421888053467001,-0.67317563102947,-0.67317563102947,-0.681119730952632
"AXIN2",0.553513251795708,0.465913198823035,0.551742598055282,0.351282051282051,0.117055137844612,0.284615384615385,0.599891814753091,0.567599900973733,-0.140096618357488,0.403627729103658,0.73829517113386,0.0101470877952681,0.2,0.517229219738308,-0.144444444444444,0.480951617214649,-0.133333333333333,0.436124031007752,0.373333333333333,0.373333333333333,0.266341463414634,0.3,0.236722399611673,0.236722399611673,0.236722399611673,0.239872005910886,-0.0562367008089308,-0.22,-0.302790061545475,-0.329686613269613,-0.436124031007752,-0.480951617214649,-0.516800673818422,-0.0694228984486271,-0.545247977065389,-0.0849122807017544,-0.4,0.127053140096618,-0.68817378591406,-0.559912595355462,0.109275362318841,-0.14543351622299,-0.482716049382716,-0.60395761944149,-0.413782051282051,-0.655333755924363,-0.530809284722328,-0.605868010596536,-0.611666818739418,-0.353324131585001,-0.344410681327517,-0.404514607775477,-0.64046492399587,-0.64046492399587,-0.645732552523443
"Csl",0.602746721877157,0.316171269568836,0.340941488025934,0.256975867269985,0.156024739267524,0.227564102564103,0.0932581907599847,-0.0149391060096601,0.222222222222222,0.0104793301983316,-0.0784113364651559,0.111762742329816,0.158333333333333,-0.040704057846915,0.166666666666667,-0.0582550782550783,0.133333333333333,-0.0725407925407925,-0.0876923076923077,-0.0876923076923077,0.0719047619047619,-0.08,0.0108585966756881,0.0108585966756881,0.0108585966756881,0.00828506726392342,-0.191718209048119,-0.0933333333333333,-0.10047619047619,-0.0983022774327122,0.0725407925407925,0.0607128355515452,0.0437773516805775,0.0923471307004314,0.0280323021217242,-0.137603686635945,-0.308888888888889,-0.243152454780362,-0.0119401106134778,-0.182622410024778,-0.270284237726098,-0.177842921085705,-0.325017921146953,-0.317423292787156,-0.290309200603318,-0.343904412817456,-0.238203656320378,-0.358401805486252,-0.391829243376995,-0.430966084275437,-0.32962380046779,-0.448188306497659,-0.631922669727138,-0.631922669727138,-0.642202962576985
"Frizzled",0.547899159663866,0.339750034911325,0.516231884057971,0.213636363636364,0.0142857142857143,0.15,0.326736103557054,0.313816245912795,-0.0466666666666667,0.186183077750874,0.539154813240327,0.0810752321373879,0.1,0.254699248120301,-0.0666666666666667,0.211842105263158,-0.1,0.175,0.1,0,0.193333333333333,0.1,0.22863978127136,0.22863978127136,0.22863978127136,0.226277576546951,-0.096969696969697,-0.133333333333333,-0.222745098039216,-0.244967320261438,-0.175,-0.211842105263158,-0.254699248120301,-0.287822410147992,-0.287149579246129,0.0357142857142857,-0.4,0.00916666666666667,-0.562554858934169,-0.42827731092437,-0.0220833333333333,-0.0476190476190476,-0.446666666666667,-0.477380952380952,-0.294588744588745,-0.523567977915804,-0.29817513368984,-0.570517598343685,-0.580406741361454,-0.344563705028821,-0.326884888161484,-0.401573050823214,-0.620397176016023,-0.620397176016023,-0.624857954545454
"NOTCH",0.5256038647343,0.256975867269985,0.308888888888889,0.158333333333333,0.00857142857142857,0.133333333333333,0.0656814862697216,-0.040704057846915,0.133333333333333,-0.0171720087301534,-0.100831811785083,0.0937458970005659,0.1,-0.0725407925407925,0.1,-0.0876923076923077,0,-0.08,-0.1,-0.1,0.06,0,0.0224242424242424,0.0224242424242424,0.0224242424242424,0.00938076416337286,-0.173684210526316,0,-0.0933333333333333,-0.0719047619047619,0.08,0.0876923076923077,0.0725407925407925,0.118625336927224,0.0582550782550783,0.02,-0.3,-0.166666666666667,0.0120341344479276,-0.151033898305085,-0.222222222222222,-0.137603686635945,-0.288888888888889,-0.285853227232538,-0.227564102564103,-0.302435897435897,-0.188417508417508,-0.325017921146953,-0.356734693877551,-0.352380952380952,-0.256521739130435,-0.395714285714286,-0.573752012882448,-0.573752012882448,-0.580865800865801
"Wnt",0.476470588235294,0.294588744588745,0.446666666666667,0.15,-0.0357142857142857,0.1,0.289827586206897,0.287149579246129,-0.0666666666666667,0.163008474576271,0.509181338439266,0.0673223183844742,0,0.211842105263158,-0.1,0.175,-0.1,0.1,0.1,0,0.133333333333333,0,0.219548872180451,0.219548872180451,0.219548872180451,0.22863978127136,-0.112121212121212,-0.1,-0.193333333333333,-0.222745098039216,0,-0.175,-0.211842105263158,-0.243636363636364,-0.254699248120301,0.05,-0.3,0.0466666666666667,-0.524373040752351,-0.379705882352941,0.00916666666666667,-0.0142857142857143,-0.4,-0.416666666666667,-0.213636363636364,-0.482298136645963,-0.252720588235294,-0.516231884057971,-0.522267206477733,-0.295726495726496,-0.277948717948718,-0.344563705028821,-0.552080344332855,-0.552080344332855,-0.554545454545454
"Jagged",0.477777777777778,0.227564102564103,0.288888888888889,0.133333333333333,-0.02,0.1,0.0566867772750126,-0.0582550782550783,0.1,-0.0354966160599963,-0.110177606177606,0.0816491228070175,0,-0.0876923076923077,0,-0.08,0,-0.1,0,0,0,0,0.0133333333333333,0.0133333333333333,0.0133333333333333,0.0224242424242424,-0.2,-0.1,-0.06,-0.0933333333333333,0.1,0.08,0.0876923076923077,0.124285714285714,0.0725407925407925,0,-0.2,-0.133333333333333,0.0256704980842912,-0.129,-0.166666666666667,-0.00857142857142857,-0.3,-0.241025641025641,-0.158333333333333,-0.291666666666667,-0.158787878787879,-0.308888888888889,-0.334285714285714,-0.3,-0.2,-0.352380952380952,-0.5256038647343,-0.5256038647343,-0.535151515151515
