"","HEY1","SHH","Patched","NOTCH","ZEB1","TrCP","MEK","ERK","RKIP","cfos","TWIST1","SNAI1","AXIN2","CD44","GLI","miR200","Wnt","Frizzled","DSH","SOSGRB2","RAS","RAF","PI3K","DELTA","PAK1","TGF","TGFR","CDC42","FOXC2","SNAI2","GSK3","ZEB2","cateninmemb","STAT","LIV1","SRC","cMet","TCFLEF","cateninnuc","Ecadherin","Destcompl","KLF4","Csn","NFB","AKT","IKK","ILK","SUFU","FUS","Csl","SMAD","Jagged","EGR1","NOTCHic","SMO"
"Destcompl",0.13733070348455,-0.171065130172023,-0.156558360346104,-0.0970853968022218,0.3720006093711,-0.1,0.342711063578463,0.31275325767129,0.465513198031641,0.280512820512821,-0.0767874488563836,0.474845698079102,-0.603663312626386,-0.56799377216981,-0.567276832519707,0.192713962042887,-0.532582954968687,-0.490008697542944,-0.442063492063492,0.377570751869945,0.219757456972196,0.210338304695901,0.210338304695901,0.210338304695901,-0.287551020408163,-0.370944849809252,-0.348186229119597,-0.321344123856439,0.307821675748704,0.510351599284255,0.817046999429341,-0.194302637181916,-0.360198170006438,0.442063492063492,0.377777777777778,0.490008697542944,0.533292279632496,0.59730884066296,0.62188813694037,0.111482200280313,0.801455957032638,-0.168814532588373,0.1,0.108695652173913,0.116519583487777,0.107794751273012,-0.142539682539683,0.1,0.124137931034483,0.0739913826870349,-0.146633249791145,0.384835583101532,-0.247179487179487,0.0848609479044262,0.138423645320197
"ZEB1",0.213976593354832,0.197570666895034,0.197214795008913,0.192926592124453,0.0775362157318238,0.133333333333333,0.160398721603179,0.158196078431373,0.137415492309109,0.154666666666667,0.210177406522352,0.120655219336026,0.1545246516757,0.0500432255453776,0.0424461026359442,-0.0447266054184945,0.0352296077905834,0.0409988385598142,0.019047619047619,0.0529824561403509,0.0715268278977067,0.0679047806536122,0.0679047806536122,0.0679047806536122,0.0323754789272031,0.0347118192505863,0.0327433153135784,0.0251291021156089,-0.0248157725471544,-0.0840138317901937,-0.0442155683205552,-0.134425293817216,-0.00173540439126177,-0.0256410256410256,-0.0333333333333333,-0.0475922451532208,-0.0417098922120443,-0.0532347149070797,-0.0570507618738117,-0.115351221164779,-0.169487488047461,-0.139875566592567,-0.133333333333333,-0.128070175438597,-0.130388676609557,-0.146102962323842,-0.195024279231003,-0.175,-0.1875,-0.183333333333333,-0.195505048461773,-0.188965035192724,-0.166666666666667,-0.197058823529412,-0.201136363636364
"TWIST1",0.200136586577265,0.0114304009117424,0.0138934550989345,-0.00708487878299199,0.192091214021039,0.1,-0.0248427200382527,-0.0273302822273074,0.154453641410163,-0.0510144927536232,-0.0835184428462461,0.194064645983232,-0.197002621034879,-0.171495709280893,-0.172044110275689,0.127401041120777,-0.157644110275689,-0.152380952380952,-0.119047619047619,-0.0240841792329207,0.0351743194630911,0.0358592509699404,0.0358592509699404,0.0358592509699404,-0.0163636363636364,-0.0352360737212673,-0.0313636363636364,-0.0163636363636364,0.0284255317076022,0.415231380921295,0.209575687999989,-0.120344028238765,0.100601535685987,0.119047619047619,0.133333333333333,0.152380952380952,0.156636271529889,0.178999537764813,0.188027714878096,0.274493037848256,0.233896332713522,-0.108526162184699,-0.05,-0.103846153846154,-0.091901036816291,-0.08003663003663,-0.199017199017199,-0.0333333333333333,-0.0222222222222222,-0.0037037037037037,-0.203307628060103,0.0427086475324253,0.0466666666666667,0.00142450142450142,-0.0262222222222222
"GSK3",0.117604094107076,0.00521381309813403,0.0114339087919139,0.0688205911735324,0.337317466616285,-0.0866666666666667,0.343807120668576,0.330738938850394,0.402635084214032,0.302919389978213,0.0678600998794374,0.40116134623718,-0.408383752437208,-0.373012083188103,-0.373316128834851,0.126898444221906,-0.351618015627304,-0.326127819548872,-0.286842105263158,0.405546674917066,0.235673769564338,0.230001500656775,0.230001500656775,0.230001500656775,-0.203768115942029,-0.257433799851615,-0.242049184467,-0.225672877846791,0.220969304053759,0.344984990887557,0.592325864524262,-0.113763230609194,-0.0925088531622227,0.286842105263158,0.25,0.326127819548872,0.35063113080715,0.392157230115974,0.408078282747553,0.176793285181679,0.691969877341134,-0.101262922718928,0.0741666666666667,0.0679166666666667,0.0837138962569997,0.0828591954022989,-0.10766964516699,-0.0409090909090909,-0.0456709956709957,-0.092436974789916,-0.106620169904621,0.104859766875017,-0.265882352941176,-0.0763530587059999,-0.0230903505097053
"TGFR",0.254000789091294,0.210105079875317,0.217449712643678,0.301634830066981,0.25292335295444,0.1,0.116154312722445,0.0997159565580618,0.172900432900433,0.0974937343358396,0.231495979965731,0.258223768722562,-0.0341771313516664,-0.0340830850711685,-0.0455169115729067,0.100773824494625,-0.0422911051212938,-0.0328571428571428,-0.0428571428571429,-0.0379142300194932,0.0832706766917293,0.0797619047619047,0.0797619047619047,0.0797619047619047,0.0622222222222222,-0.0505057413036136,-0.0490873015873016,0.0526984126984127,0.0417682877213919,0.204841826972968,-0.0329478602350721,-0.113075105792173,0.0310293698250922,0.0333333333333333,0,0.0233333333333333,0.0327672955974843,0.0355184917697331,0.0373785449141086,0.070892197657379,0.028887838367771,-0.111058443209473,-0.1,-0.1,-0.11468788249694,-0.126315789473684,-0.220821114369501,-0.22,-0.203333333333333,-0.29,-0.22402396134459,-0.200193699173977,-0.123809523809524,-0.303793103448276,-0.220574712643678
"TGF",0.258478401031593,0.217449712643678,0.220574712643678,0.303793103448276,0.254055428426138,0,0.0997159565580618,0.0974937343358396,0.175757575757576,0.123809523809524,0.231851851851852,0.258518753973299,-0.0311728395061728,-0.0327672955974843,-0.0422911051212938,0.0981345283069421,-0.0328571428571428,-0.0428571428571429,0,-0.0342105263157895,0.0797619047619047,0.0851190476190476,0.0851190476190476,0.0851190476190476,0.04,-0.0490873015873016,0.0526984126984127,0.0622222222222222,0.0422049689440994,0.203221456602598,-0.037104339452676,-0.111188313339343,0.0312603167073093,0,0,0.0333333333333333,0.0233333333333333,0.0340830850711685,0.0355184917697331,0.0700404089009906,0.0244523544968033,-0.103915586066616,-0.1,-0.1,-0.126315789473684,-0.1,-0.227272727272727,-0.2,-0.22,-0.32,-0.220821114369501,-0.203816887579774,-0.0666666666666667,-0.29,-0.203333333333333
"Csn",0.108269656699889,0.0300974159514614,0.0407531536563795,0.0992132867132867,0.289169561621175,-0.14,0.313057359307359,0.285974025974026,0.359612683363735,0.250909090909091,0.0879678977715443,0.360784007718018,-0.339658581208687,-0.308223607071966,-0.309652039871578,0.0943949367070258,-0.290001384849744,-0.257471264367816,-0.233333333333333,0.350146431453938,0.210280637296066,0.200491769733686,0.200491769733686,0.200491769733686,-0.175,-0.227358685734171,-0.216618828932262,-0.197388059701493,0.199106476821976,0.303003837524434,0.628473409849155,-0.0953316790736145,-0.0223093777450812,0.233333333333333,0.2,0.257471264367816,0.290001384849744,0.325265407715053,0.340238348184085,0.163722445705043,0.616503108256578,-0.0903684550743374,0.065,0.0483333333333333,0.0568,0.04,-0.0980615942028986,-0.0571428571428571,-0.046031746031746,-0.104545454545455,-0.105516607056369,0.0395599732120828,-0.26,-0.113636363636364,-0.0611832611832612
"cateninnuc",-0.019750567061588,-0.29552070959056,-0.284409598479449,-0.317060162789371,0.152969405610535,0.0333333333333333,0.0914258000043118,0.0698661669767889,0.242280836615824,0.040752242926156,-0.200716131332385,0.27502105549636,-0.594853339874389,-0.440158633636895,-0.43770666994312,0.0785564307379814,-0.408852915002409,-0.375157262828496,-0.335431235431235,0.383488480140945,0.0491020891020891,0.0423680823680824,0.0423680823680824,0.0423680823680824,-0.236,-0.300544071598732,-0.282640141467728,-0.259076923076923,0.26791577821086,0.460997185543586,0.64315883182167,-0.091833672618384,-0.267248731200743,0.335431235431235,0.296969696969697,0.377097902097902,0.410793554271815,0.464131747901271,0.384595708133251,0.0506252541889825,0.703740293136256,-0.0412339933692247,0.00416666666666667,-0.00492424242424242,0.0106382575757576,0.00907575757575758,-0.0102337662337662,0.233333333333333,0.253333333333333,0.297049591964846,-0.0147358126184866,0.372686063147921,-0.013768115942029,0.307514708243916,0.271366120218579
"SUFU",0.0804053289124007,-0.00704087204087204,0.00338383838383839,-0.221190476190476,0.298965524516519,0.15,0.17327166352845,0.145612089060365,0.276084110620193,0.116876456876457,-0.0558816197475674,0.301399268493108,-0.526403787673972,-0.381295309471089,-0.284197566167826,0.117118224860528,-0.258547008547009,-0.227777777777778,-0.2,0.170868605079131,0.0431986641229111,0.0356037274140504,0.0356037274140504,0.0356037274140504,-0.121666666666667,-0.182910404424316,-0.168906459651141,-0.148693693693694,0.223788127158831,0.43551064937745,0.533266826639992,-0.0897569169732142,-0.190450197558501,0.296666666666667,0.25,0.324444444444444,0.356483279395901,0.401947483384132,0.419901447578506,0.0894679322594509,0.615840108553346,-0.0605529378401667,-0.135714285714286,-0.123714285714286,-0.123662659488163,-0.139098901098901,-0.0921146953405018,-0.04,-0.015,0.213939393939394,-0.0992740486892316,0.19477617289654,-0.113846153846154,0.211666666666667,-0.0205555555555556
"FUS",0.0792005096352923,0.00338383838383839,0.0205555555555556,-0.211666666666667,0.287371321617968,0.1,0.145612089060365,0.116876456876457,0.261798396334479,0.113846153846154,-0.0490774960362272,0.286237428629395,-0.498066551140014,-0.356483279395901,-0.258547008547009,0.110426775046402,-0.227777777777778,-0.2,-0.15,0.14919028340081,0.0356037274140504,0.0325469588550984,0.0325469588550984,0.0325469588550984,-0.113333333333333,-0.168906459651141,-0.148693693693694,-0.121666666666667,0.214110707803993,0.418964835270661,0.499076595277524,-0.0849259990988181,-0.1829467869173,0.25,0.2,0.296666666666667,0.324444444444444,0.381295309471089,0.401947483384132,0.08493652134287,0.584633303662331,-0.0455828779599271,-0.15,-0.135714285714286,-0.139098901098901,-0.123714285714286,-0.0888888888888889,0,-0.04,0.193939393939394,-0.0921146953405018,0.180286861732645,-0.06,0.213939393939394,-0.015
