"","GSK3","TGF","Destcompl","SNAI2","ZEB1","SOSGRB2","Wnt","Frizzled","cMet","SNAI1","DSH","DELTA","ILK","FUS","TrCP","EGR1","IKK","Csn","AKT","miR200","Jagged","TWIST1","Ecadherin","Csl","NOTCHic","NOTCH","cfos","Patched","SHH","ERK","MEK","SUFU","SMO","LIV1","NFB","RKIP","cateninmemb","SMAD","STAT","RAF","PI3K","RAS","HEY1","SRC","cateninnuc","TCFLEF","CD44","GLI","ZEB2","AXIN2","FOXC2","PAK1","CDC42","TGFR","KLF4"
"AXIN2",0.62315189031665,0.306360320643667,0.687870866859541,0.426476685124296,0.189087090073743,0.1970623485911,0.430048115477145,0.404186046511628,0.430048115477145,0.420572598729578,0.36,0.53019866134053,0.0598573729008512,-0.188461538461538,-0.2,0.26,-0.373429951690821,-0.277777777777778,-0.393429951690821,0.242411749576746,0.347562760388847,0.0303989649696208,0.229318148677235,-0.047719298245614,-0.0584335839598997,-0.0678930434193592,-0.306341463414634,0.205128205128205,0.208079024800336,-0.333444267152952,-0.352064956808124,0.15,0.197985347985348,-0.3,0.342995169082126,-0.353247764780023,-0.260629025059585,-0.0681907062341845,-0.36,-0.53019866134053,-0.53019866134053,-0.546471627219795,-0.0585276235377655,-0.404186046511628,-0.460073774171525,-0.454928940622023,-0.446136443552855,-0.445771385917397,-0.189087090073743,-0.0101640351011532,-0.255428778871402,-0.2475,-0.275895061728395,-0.294479132524855,-0.193825289025901
"Destcompl",0.571330963912528,0.270934849438868,0.532055078422948,0.380837271502574,0.141970581325345,0.173399520849268,0.394017102297314,0.384116112198304,0.394563873392334,0.373471124234457,0.369047619047619,0.494986066182712,0.0692857142857143,-0.163218390804598,-0.266666666666667,0.278461538461538,-0.350366515583907,-0.323809523809524,-0.356406784040283,0.205344917097665,0.301579524756079,0.0283131205914171,0.190072066435364,-0.0691735213474344,-0.0778691735213474,-0.0812759871486019,-0.293613053613054,0.169450811233909,0.16925738763623,-0.307274255798846,-0.312759487866356,0.166666666666667,0.168932676518883,-0.333333333333333,0.336853002070393,-0.306602283265393,-0.223963900890538,-0.0726775271512114,-0.369047619047619,-0.494986066182712,-0.494986066182712,-0.500166599934675,-0.0697137050983205,-0.384116112198304,-0.403381038118812,-0.402055183962769,-0.399041485332632,-0.398284263707332,-0.141970581325345,-0.454928940622023,-0.21636893265074,-0.24530612244898,-0.258409570724842,-0.266304307566947,-0.151411974644817
"RAS",0.423708010335917,0.21869539895166,0.41854649122091,0.394584432799498,0.103368924889543,0.165800865800866,0.141176470588235,0.1,0.141176470588235,0.196647000983284,0.1,0.17974358974359,-0.0623376623376623,-0.1,0,0.02,-0.04,0,-0.0288888888888889,0.139446153846154,0.142042184111965,-0.0977959629023459,0.093135836679863,0.1,0.0842105263157895,0.0860973187686197,-0.02,0.08,0.0884745762711864,-0.0252631578947368,-0.0272239422084623,0.1,0.1,0,0.0333333333333333,-0.250540880503145,-0.014797843492843,0.0602968460111317,-0.1,-0.17974358974359,-0.17974358974359,-0.298974358974359,0.0646245059288538,-0.1,-0.174256036432553,-0.172273033599692,-0.164580725907384,-0.162009803921569,-0.103368924889543,-0.183899868247694,-0.204444444444444,-0.18,-0.2,-0.211764705882353,-0.0982142857142857
"TCFLEF",0.422369842597569,0.382595967143956,0.513480873872601,0.452119623945812,0.0644886585149743,0.0592052817442039,0.124095022624434,0.111274509803922,0.121153846153846,0.31747604557228,0.0862745098039216,0.202525410144544,0.0516532239690134,0.0733333333333333,0.0571428571428571,0.0728571428571429,-0.0293439463762044,0.0116883116883117,-0.0402135115935957,0.181976477337923,-0.00701462763543254,-0.164940989643084,0.00965030158892122,-0.0311971943248844,-0.0410011158935119,-0.0466489564250733,-0.094808362369338,-0.0510599078341014,-0.0510599078341014,-0.1167131242741,-0.124876389580222,-0.0666666666666667,-0.0542857142857143,-0.0333333333333333,0.000311688311688313,-0.25807824769252,-0.153171787963743,-0.0564333386917668,-0.0833333333333333,-0.202525410144544,-0.202525410144544,-0.210803990959261,-0.0528248168236749,-0.108333333333333,-0.236147686522127,-0.233226724322815,-0.128072085147557,-0.13092732076108,-0.0644886585149743,0.225645421245421,-0.453627405076629,-0.346153846153846,-0.364758497316637,-0.375973450587665,-0.0653393175451999
"CD44",-0.40952380952381,0.0702777777777778,-0.335479646404016,-0.335286935286935,0.0507936507936508,-0.280952380952381,-0.15,-0.1,-0.25,0.020414673046252,0,-0.0761904761904762,0.172222222222222,0.1,-0.1,0.3,0.0666666666666667,0,0.0866666666666667,0.0776635924462011,-0.192167832167832,-0.0675457875457876,0.0295537943762892,-0.2,-0.214285714285714,-0.219548872180451,-0.3,-0.17,-0.188181818181818,-0.26,-0.23,-0.1,-0.15,0.1,0,0.106296296296296,0.106227106227106,-0.170181405895692,0.1,0.0761904761904762,0.0761904761904762,0.101904761904762,-0.193567251461988,0.2,0.166684555754323,0.158992248062016,0.156666666666667,0.156666666666667,-0.0507936507936508,0.18,-0.08,-0.133333333333333,-0.113333333333333,-0.0758333333333333,0.0587301587301587
"GSK3",0.378478588093935,0.380626323128974,0.499954919809788,0.24082713908361,0.0483245081098022,0.2109118410423,0.22374809572952,0.219172932330827,0.223808693920231,0.304706293032886,0.201315789473684,0.4156147031016,0.0878954081941127,0.00346320346320346,-0.153333333333333,0.15921568627451,-0.17617816091954,-0.140833333333333,-0.184725169466549,0.170706925663723,0.0520562200333187,-0.0839093028989731,0.0850134840836846,-0.144327731092437,-0.147824234588941,-0.153798260562966,-0.177734204793028,0.00283008765098613,0.00330855655050766,-0.184501122086261,-0.192455667540807,-0.0272727272727273,-0.000237397011590559,-0.175,0.165833333333333,-0.230925390399075,-0.0784873101121426,-0.0907439839062567,-0.201315789473684,-0.4156147031016,-0.4156147031016,-0.418765963605802,-0.0954642258924314,-0.219172932330827,-0.227377840517802,-0.226456787886223,-0.226189646301183,-0.226106586295558,-0.0483245081098022,-0.280723452297726,-0.349482471832533,-0.362028985507246,-0.370600414078675,-0.37652375902641,-0.0514703650673936
"DSH",0.474485243667978,0.37652375902641,0.497594933899256,0.239964326313981,0.0469872124188661,0.206725794530673,0.219172932330827,0.201315789473684,0.219172932330827,0.301273291925466,0.175,0.408611901981152,0.0860086157412826,0.0272727272727273,-0.133333333333333,0.153333333333333,-0.165833333333333,-0.153333333333333,-0.17617816091954,0.168245026484356,0.0513262930260194,-0.0822447702485249,0.0844537211597465,-0.13452380952381,-0.144327731092437,-0.147824234588941,-0.15921568627451,-0.000237397011590559,0.00283008765098613,-0.177734204793028,-0.184501122086261,0,-0.00346320346320346,-0.1,0.140833333333333,-0.228168498168498,-0.0791062314207191,-0.0878954081941127,-0.175,-0.408611901981152,-0.408611901981152,-0.4156147031016,-0.0944261636086944,-0.201315789473684,-0.226456787886223,-0.226189646301183,-0.223808693920231,-0.22374809572952,-0.0469872124188661,-0.274787379238365,-0.345495231003187,-0.353333333333333,-0.362028985507246,-0.370600414078675,-0.0468902123956379
"Frizzled",0.466828631138976,0.370600414078675,0.491869743059562,0.237286794300011,0.0446250076944567,0.196969696969697,0.201315789473684,0.175,0.201315789473684,0.295186335403727,0.2,0.388926862611073,0.0813357185450209,0,-0.1,0.133333333333333,-0.140833333333333,-0.133333333333333,-0.165833333333333,0.16458648989899,0.0505510992275698,-0.0808263305322129,0.0829611838463137,-0.142857142857143,-0.13452380952381,-0.144327731092437,-0.153333333333333,-0.00346320346320346,-0.000237397011590559,-0.15921568627451,-0.177734204793028,0,-0.0272727272727273,-0.1,0.153333333333333,-0.22047619047619,-0.0808730158730159,-0.0860086157412826,-0.1,-0.388926862611073,-0.388926862611073,-0.408611901981152,-0.0874086197490453,-0.175,-0.226189646301183,-0.223808693920231,-0.219172932330827,-0.219172932330827,-0.0446250076944567,-0.262551092318534,-0.342464927972884,-0.333333333333333,-0.353333333333333,-0.362028985507246,-0.0439775910364146
"AKT",0.348261028099738,0.360869837788479,0.451524645243923,0.250499058916275,0.0443334420473268,0.241581196581197,0.213363062058714,0.19951690821256,0.213363062058714,0.279047376896347,0.177777777777778,0.324421040147068,0.0877381352541017,0.0333333333333333,-0.0333333333333333,0.133333333333333,-0.0336349924585219,-0.0333333333333333,-0.142725901549431,0.161586867396896,0.0437237132566516,-0.0750504364516279,0.0821770003685951,-0.117307692307692,-0.123759305210918,-0.127417841796284,-0.13921568627451,-0.00747863247863248,-0.00432073774179037,-0.153969784635166,-0.157767252989596,0,-0.0102564102564103,-0.1,0.0156862745098039,-0.231121244484416,-0.0782583687198543,-0.0894216369376033,-0.177777777777778,-0.324421040147068,-0.324421040147068,-0.328035497978393,-0.0940900075837864,-0.19951690821256,-0.213364988607906,-0.214134219377137,-0.213928033810127,-0.213921721276591,-0.0443334420473268,-0.26744610624033,-0.331224280212727,-0.342647058823529,-0.350647058823529,-0.356338115734099,-0.0436178587494377
"Wnt",0.448040752351097,0.362028985507246,0.480994411494575,0.231293103448276,0.0416547106647537,0.175757575757576,0.175,0.2,0.175,0.285662525879917,0.2,0.361654135338346,0.0743589743589744,0,-0.1,0.1,-0.153333333333333,-0.1,-0.140833333333333,0.15989898989899,0.0434803921568627,-0.0855882352941176,0.0771336780188078,-0.1,-0.142857142857143,-0.13452380952381,-0.133333333333333,-0.0272727272727273,-0.00346320346320346,-0.153333333333333,-0.15921568627451,0,0,0,0.133333333333333,-0.213333333333333,-0.085,-0.0813357185450209,-0.1,-0.361654135338346,-0.361654135338346,-0.388926862611073,-0.081025641025641,-0.1,-0.223808693920231,-0.219172932330827,-0.201315789473684,-0.201315789473684,-0.0416547106647537,-0.236969696969697,-0.337813765182186,-0.3,-0.333333333333333,-0.353333333333333,-0.0392156862745098
