"","SUFU","SNAI2","cMet","SRC","FUS","cateninmemb","LIV1","ZEB2","ZEB1","RKIP","RAS","RAF","PI3K","DELTA","cfos","MEK","ERK","GSK3","Jagged","EGR1","Csl","NOTCHic","NOTCH","SNAI1","HEY1","NFB","SMAD","IKK","ILK","Ecadherin","KLF4","CD44","AKT","cateninnuc","TWIST1","GLI","TCFLEF","Frizzled","SMO","miR200","SOSGRB2","SHH","Patched","TGFR","Wnt","STAT","TGF","DSH","CDC42","AXIN2","TrCP","PAK1","Destcompl","FOXC2","Csn"
"TCFLEF",0.0166666666666667,-0.0494725147068336,0.0653205128205128,0.0525,0.0233333333333333,0.0068564921252909,0,-0.363130471380471,-0.363130471380471,0.300232355237177,-6.58512341245129e-05,-0.00624193533399311,-0.00624193533399311,-0.00624193533399311,-0.000871080139372815,-0.000190808030529278,-0.00563298490127758,-0.27183940204744,-0.117005734718612,-0.0357142857142857,-0.156878686433923,-0.1627610393751,-0.163757717115963,-0.331535377686005,-0.124426174390205,-0.00592207792207792,-0.184338915543102,-0.0446317553414328,-0.186442166021113,-0.0727732783046472,-0.261524382480265,-0.0577733430091921,-0.0565882770805632,-0.158431991348253,-0.19385231463709,-0.0489293911544551,-0.16178250681217,-0.0429411764705882,-0.0757142857142857,0.203350023470505,-0.179998771687394,-0.0929119900483447,-0.0886175115207373,-0.40487129330859,-0.0557616892911011,-0.0625,-0.408182551586735,-0.0529411764705882,-0.40113297555158,0.289098412698413,0.0857142857142857,-0.387179487179487,-0.286447271352014,-0.361132612711751,0.0220779220779221
"CD44",0.1,-0.247747807747808,-0.2,-0.2,0.1,-0.0294688644688645,-0.1,-0.341269841269841,-0.341269841269841,0.346666666666667,-0.00761904761904761,-0.0619047619047619,-0.0619047619047619,-0.0619047619047619,-0.1,-0.12,-0.1,-0.0375,-0.256410256410256,0,-0.1,-0.142857142857143,-0.14812030075188,-0.354332801701223,-0.192982456140351,-0.1,-0.280952380952381,-0.2,-0.266666666666667,0.0366702855281728,-0.226984126984127,0.133333333333333,-0.233333333333333,0.135623136553369,-0.23956043956044,0.133333333333333,0.131007751937984,0.1,-0.2,0.211949934123847,-0.2,-0.247272727272727,-0.22,-0.35,0.1,0.1,-0.366666666666667,0,-0.3,0.15,0.1,-0.2,0.241132816763069,-0.365416666666667,0
"PAK1",0.0904761904761905,0.174728130288511,-0.0568868868868869,-0.0514814814814815,0.14047619047619,-0.0473671099474412,-0.05,-0.270855091178114,-0.270855091178114,0.163261342708857,0.123232999531421,0.129142090440512,0.129142090440512,0.129142090440512,0.0704347826086957,0.0635195283714075,0.0755195283714075,0.0837867965367965,-0.131619376278119,-0.04,-0.164102564102564,-0.168717948717949,-0.164322344322344,-0.208332765086942,-0.142860922479937,-0.0958333333333333,-0.164478579962451,-0.10109649122807,-0.15415599931729,0.0243287149166401,-0.26688368462139,0.045995797777976,-0.0973927875243665,0.0479498207664817,-0.169142386598908,0.042893548233728,0.0493291311113093,0.0514814814814815,-0.150153609831029,0.133740769034887,-0.227612761276128,-0.142449906127325,-0.146449906127325,-0.32785841609371,0.0541130604288499,0.07,-0.330590656530869,0.07,-0.318767507002801,0.0702246181491465,-0.133333333333333,-0.328571428571429,0.0548105914856297,-0.329326906540581,-0.0833333333333333
"DELTA",0,0.107013574660633,-0.04,-0.1,0.1,-0.0470513993049204,0,-0.270289855072464,-0.270289855072464,0.143589743589744,0.147272727272727,0.12,0.12,0.12,0,0.0533333333333333,0.02,0.107662835249042,-0.157402597402597,0.1,-0.2,-0.26,-0.245714285714286,-0.191666666666667,-0.05,-0.1,-0.173809523809524,-0.133333333333333,-0.15,0.0225964912280702,-0.283333333333333,0.0784615384615385,-0.0777777777777778,0.0632767232767233,-0.114,0.0784615384615385,0.0511888111888112,0.1,-0.133333333333333,0.129090909090909,-0.26,-0.137179487179487,-0.0833333333333333,-0.333333333333333,0.04,0,-0.321333333333333,0,-0.3,0.105714285714286,0,-0.2,0.0682007722007722,-0.314285714285714,0
"AXIN2",0.2,0.394470289729873,0.296570435712376,0.298294573643411,0.269230769230769,-0.353232615305818,0.266666666666667,-0.268406807119757,-0.268406807119757,0.223109318996416,-0.3290284186982,-0.334802696913424,-0.334802696913424,-0.334802696913424,-0.263739837398374,-0.258957368819579,-0.266543575716131,-0.28821213010229,0.214087246478551,0.246666666666667,0.262456140350877,0.271384711779449,0.270033360428097,-0.252823049942287,-0.205363114490904,-0.334299516908213,-0.185961582700713,-0.35024154589372,-0.189533011272142,0.236340319507445,-0.282517261716205,-0.29499314864613,-0.352463768115942,-0.29117934127062,-0.280917919383099,-0.295312574077156,-0.29182784970123,-0.298294573643411,-0.283516483516484,0.17713564858382,-0.0778681626928471,-0.291642947216718,-0.290659340659341,-0.223194444444444,-0.296570435712376,-0.286666666666667,-0.217913916391639,-0.286666666666667,-0.223194444444444,0.125492819986625,-0.2,-0.212083333333333,-0.317331481924148,-0.312436821570311,-0.277777777777778
"cfos",0.133333333333333,0.174004802982905,-0.0514814814814815,-0.07,0.0904761904761905,-0.0477334103137415,-0.1,-0.267318113686152,-0.267318113686152,0.159393939393939,0.129142090440512,0.135239651416122,0.135239651416122,0.135239651416122,0.04,0.0755195283714075,0.0704347826086957,0.0859686147186147,-0.140208333333333,-0.12,-0.133333333333333,-0.164102564102564,-0.168717948717949,-0.208571428571429,-0.145802098950525,-0.0833333333333333,-0.15415599931729,-0.0958333333333333,-0.158994708994709,0.0209377114564324,-0.257047619047619,0.0568868868868869,-0.10109649122807,0.0493291311113093,-0.164251082251082,0.0541130604288499,0.045995797777976,0.07,-0.14047619047619,0.133740769034887,-0.244444444444444,-0.146449906127325,-0.150153609831029,-0.318767507002801,0.0514814814814815,0.05,-0.32785841609371,0.05,-0.328571428571429,0.0771428571428572,-0.1,-0.342857142857143,0.0537579599066823,-0.326568285850926,-0.133333333333333
"CDC42",0.133333333333333,0.174004802982905,-0.0514814814814815,-0.07,0.0904761904761905,-0.0477334103137415,-0.1,-0.267318113686152,-0.267318113686152,0.159393939393939,0.129142090440512,0.135239651416122,0.135239651416122,0.135239651416122,0.04,0.0755195283714075,0.0704347826086957,0.0859686147186147,-0.140208333333333,-0.02,-0.133333333333333,-0.164102564102564,-0.168717948717949,-0.208571428571429,-0.145802098950525,-0.0833333333333333,-0.15415599931729,-0.0958333333333333,-0.158994708994709,0.0209377114564324,-0.257047619047619,0.0568868868868869,-0.10109649122807,0.0493291311113093,-0.164251082251082,0.0541130604288499,0.045995797777976,0.07,-0.14047619047619,0.133740769034887,-0.244444444444444,-0.146449906127325,-0.150153609831029,-0.318767507002801,0.0514814814814815,0.05,-0.32785841609371,0.05,-0.328571428571429,0.0771428571428572,-0.1,-0.242857142857143,0.0537579599066823,-0.326568285850926,-0.133333333333333
"STAT",0.1,0.00573552538089549,-0.106331168831169,-0.101785714285714,0.075,-0.0638291668682577,-0.2,-0.263519813519814,-0.263519813519814,0.147453346203346,0.183276776786045,0.191485732009926,0.191485732009926,0.191485732009926,0.0533333333333333,0.08382036685642,0.0827450980392157,0.132323097463284,-0.11974749239856,-0.0333333333333333,-0.13921568627451,-0.158134605193429,-0.166872469271099,-0.202391225749923,-0.142,-0.06,-0.154325614970293,-0.0552380952380952,-0.155475040257649,0.12815875493116,-0.152871855813032,0.0969294594294594,-0.0603228410008071,0.0922182777989319,-0.0520649848236055,0.0954067990832697,0.0947212575367149,0.101785714285714,-0.095,0.133449333172998,-0.308825944170772,-0.101544556493106,-0.111279069767442,-0.25950956937799,0.106331168831169,0.114285714285714,-0.266755946189585,0.114285714285714,-0.264772727272727,0.151377641965877,-0.1,-0.277272727272727,0.107172974513417,-0.251308793456033,-0.1
"miR200",0.2,0.240718915794486,0.134206981016534,0.124347826086957,0.2125,0.0997316189463386,0.1,-0.252137096774194,-0.252137096774194,0.1147456013872,-0.0918924082827756,-0.0911442786069652,-0.0911442786069652,-0.0911442786069652,-0.0657142857142857,-0.0759492888064317,-0.0793506493506494,-0.00572275689584959,-0.138480684088548,0.0857142857142857,-0.126305418719212,-0.115960591133005,-0.114265675878768,-0.137158952158952,-0.19680790960452,-0.205263157894737,-0.210376229857463,-0.196691729323308,-0.213197546471883,-0.218755048319147,-0.257470669427191,-0.131959790005298,-0.200465314228969,-0.131505244550753,-0.243022866703848,-0.139661352731775,-0.131959790005298,-0.132,-0.205833333333333,0.0433181938442543,-0.161225016118633,-0.225563658044396,-0.214694092827004,-0.226921252371916,-0.141859154929577,-0.12,-0.22401427562773,-0.12,-0.230147058823529,-0.18025788170402,-0.1,-0.2125,-0.156716203110213,-0.259005980469395,-0.2
"Patched",-0.2,0.372597701149425,0.15,0.2,-0.1,-0.216039426523297,0.1,-0.233333333333333,-0.233333333333333,0.12,-0.251442307692308,-0.257692307692308,-0.257692307692308,-0.257692307692308,-0.1,-0.127692307692308,-0.12,-0.180586080586081,0.103068783068783,0.1,0.2,0.233333333333333,0.224242424242424,-0.12741935483871,-0.058974358974359,-0.1,-0.07,-0.15,-0.05,0.183174217907228,-0.233333333333333,-0.183333333333333,-0.192857142857143,-0.160409924487594,-0.168518518518519,-0.075,-0.155555555555556,-0.1,0.0666666666666667,0.116666666666667,-0.116666666666667,-0.0683333333333333,-0.0933333333333333,-0.253333333333333,-0.05,-0.1,-0.261666666666667,0,-0.233333333333333,-0.341558441558442,0,-0.233333333333333,-0.174265734265734,-0.25,0
