"","miR200","ILK","AKT","IKK","NFB","TWIST1","GSK3","Destcompl","Ecadherin","PI3K","DELTA","cMet","DSH","TCFLEF","cateninnuc","CD44","Frizzled","GLI","Wnt","LIV1","AXIN2","SRC","SOSGRB2","RAF","STAT","RAS","cateninmemb","SNAI2","CDC42","PAK1","TGFR","TGF","cfos","EGR1","ERK","MEK","TrCP","Csl","NOTCHic","NOTCH","SNAI1","RKIP","Csn","SUFU","Jagged","FUS","FOXC2","SMO","Patched","SHH","HEY1","ZEB2","ZEB1","SMAD","KLF4"
"TrCP",0.737884324626636,0.584920634920635,0.382383040935672,0.354605263157895,0.3125,0.272043854696029,-0.0391964285714286,-0.0832399983360892,-0.0870179634568515,0.056332695679898,0.056332695679898,-0.0631131131131131,-0.05,-0.0621156800364721,-0.0623915421054376,-0.0591527170735091,-0.0685185185185185,0.0634479151809062,0.0658869395711501,0.05,0.0589605601511913,0.0685185185185185,-0.0315731573157316,-0.056332695679898,0.05,-0.0581508774980798,0.0784130051866874,-0.265048615802566,-0.140056022408964,-0.138095238095238,-0.150662083015024,-0.156126563889341,-0.159130434782609,-0.12,-0.174384672070744,-0.177051338737411,-0.2,-0.253846153846154,-0.286153846153846,-0.30043956043956,-0.45572381315954,-0.443118520521835,-0.225,-0.242857142857143,-0.360696361622359,-0.326190476190476,-0.500649652628082,-0.387480798771121,-0.4331598111168,-0.4651598111168,-0.582869594614458,-0.727600977717372,-0.727600977717372,-0.622985151049667,-0.686854020296643
"miR200",0.629677367198754,0.602582759750901,0.428892041424316,0.383609022556391,0.357894736842105,0.322630028458249,0.164894642860188,0.149037866633627,0.191532139581932,0.00236127057022579,0.00236127057022579,0.0805756276791182,0.06,0.0740971186725193,0.0754607550361557,0.0760812456566463,0.08,-0.063547438477016,-0.0701408450704225,-0.1,-0.0586375656370738,-0.0904347826086957,-0.0568762088974855,-0.00236127057022579,-0.06,-0.00610191894927816,-0.101002906694853,0.00562808028678008,-0.0502450980392157,-0.0208333333333333,-0.0421805819101834,-0.0491573260962299,-0.162857142857143,-0.142857142857143,-0.167402597402597,-0.191212121212121,-0.2,-0.283152709359606,-0.286600985221675,-0.317674431549358,-0.329951344951345,-0.337205808901831,-0.3,-0.3,-0.381620954207624,-0.3875,-0.414552656016071,-0.4275,-0.481930379746836,-0.510191249312053,-0.602824858757062,-0.721859318996416,-0.721859318996416,-0.6461564274625,-0.687836438923396
"Csl",0.71092980287812,0.569133264816718,0.358914728682171,0.334883720930233,0.3,0.24967934081255,0.012615424842746,0.0110247754949185,0.00879549136901377,0.0191399105641984,0.0191399105641984,0.00651348651348651,0.0123076923076923,0.00503662095810405,0.00497944542923041,0.00610532324818039,0.00321678321678322,-0.00267914880818107,-0.00429205203398752,-0.02,-0.00389135256696007,-0.00321678321678322,-0.0339740148597658,-0.0191399105641984,-0.0123076923076923,-0.0217134399759631,-0.00540670646767611,-0.192790230500906,-0.118336917562724,-0.115111111111111,-0.125343286989476,-0.129651677012151,-0.154761904761905,-0.133333333333333,-0.169047619047619,-0.173395445134576,-0.2,-0.216221198156682,-0.239905408682998,-0.252632681410271,-0.425911600476818,-0.418256660696617,-0.233333333333333,-0.25,-0.312040588795556,-0.319230769230769,-0.475060346719333,-0.372171945701357,-0.411956891937917,-0.439543098834468,-0.466608520777319,-0.699667084812413,-0.699667084812413,-0.600799931483385,-0.666055900621118
"NOTCHic",0.679339388934765,0.523809523809524,0.334883720930233,0.3,0.233333333333333,0.240424261805778,0.0115844970076945,0.0107200832341019,0.00984200299692074,0.0245586297760211,0.0245586297760211,0.00321678321678322,0.02,0.00610532324818039,0.00503662095810405,0.00651348651348651,0.0123076923076923,-0.00429205203398752,-0.00321678321678322,0,-0.00517669961066187,-0.0123076923076923,-0.0396650717703349,-0.0245586297760211,-0.02,-0.0191399105641984,-0.00540670646767611,-0.18853967121679,-0.115111111111111,-0.111111111111111,-0.118336917562724,-0.125343286989476,-0.133333333333333,-0.1,-0.154761904761905,-0.169047619047619,-0.1,-0.0742857142857143,-0.216221198156682,-0.239905408682998,-0.415634920634921,-0.397519333507677,-0.2,-0.2,-0.295373922128889,-0.25,-0.458393680052666,-0.319230769230769,-0.372171945701357,-0.411956891937917,-0.4241248606466,-0.668727858293076,-0.668727858293076,-0.569133264816718,-0.627484472049689
"NOTCH",0.637142857142857,0.457142857142857,0.3,0.233333333333333,0.2,0.228474576271186,0.00579937304075235,0.0103867499007686,0.0109139784946237,0.0115151515151515,0.0115151515151515,0.0123076923076923,0,0.00651348651348651,0.00610532324818039,0.00321678321678322,0.02,-0.00321678321678322,-0.0123076923076923,0,-0.0023989218328841,-0.02,-0.0442105263157895,-0.0115151515151515,0,-0.0245586297760211,-0.00642090525063757,-0.18352965117671,-0.111111111111111,-0.1,-0.115111111111111,-0.118336917562724,-0.1,0,-0.133333333333333,-0.154761904761905,0,-0.06,-0.0742857142857143,-0.216221198156682,-0.395,-0.376392572944297,-0.1,-0.1,-0.270870610870611,-0.2,-0.443877551020408,-0.25,-0.319230769230769,-0.372171945701357,-0.357971014492754,-0.629468599033816,-0.629468599033816,-0.523809523809524,-0.573913043478261
"DSH",0.638812361419069,0.501316139003598,0.441235632183908,0.4125,0.3375,0.376188390249717,-0.320759357718314,-0.255681561783484,-0.0420266742454169,-0.336701363286527,-0.336701363286527,0.165789473684211,0.15,0.170053112914737,0.168717404989537,0.169100731962356,0.165789473684211,-0.167750257997936,-0.165789473684211,-0.1,-0.109045949634704,-0.165789473684211,-0.0757575757575758,0.336701363286527,-0.15,0.342023492138068,0.101547695099681,-0.022774775361169,-0.10231884057971,-0.106666666666667,-0.0994616977225673,-0.101900722112811,-0.23921568627451,-0.233333333333333,-0.283660130718954,-0.303960882598653,-0.2,-0.229761904761905,-0.27093837535014,-0.288420892832658,-0.47128364389234,-0.46033966033966,-0.3,-0.2,-0.192758933383078,-0.263636363636364,-0.556784790077324,-0.344588744588745,-0.392975841362938,-0.432853141976435,-0.503105636431504,-0.629039768717775,-0.629039768717775,-0.539429346550768,-0.592651818008757
"Frizzled",0.600397727272727,0.440568475452196,0.4125,0.3375,0.3,0.364131652661064,-0.327951933124347,-0.25644492056211,-0.0407097295570938,-0.339063568010936,-0.339063568010936,0.165789473684211,0.2,0.169100731962356,0.170053112914737,0.165789473684211,0.15,-0.165789473684211,-0.165789473684211,-0.1,-0.107780126849894,-0.15,-0.0757575757575758,0.339063568010936,-0.1,0.336701363286527,0.100487624428302,-0.0177689546393995,-0.106666666666667,-0.1,-0.10231884057971,-0.0994616977225673,-0.233333333333333,-0.133333333333333,-0.23921568627451,-0.283660130718954,-0.1,-0.221428571428571,-0.229761904761905,-0.27093837535014,-0.451863354037267,-0.442857142857143,-0.2,-0.1,-0.16950311942959,-0.2,-0.539035872328406,-0.263636363636364,-0.344588744588745,-0.392975841362938,-0.441702127659574,-0.59281929627683,-0.59281929627683,-0.501316139003598,-0.543137254901961
"Jagged",0.58,0.366666666666667,0.233333333333333,0.2,0.1,0.22,0.0103448275862069,0.00758301158301158,0.0133333333333333,-0.00666666666666667,-0.00666666666666667,0.02,0,0.00321678321678322,0.00651348651348651,0.0123076923076923,0,-0.0123076923076923,-0.02,0,-0.00428571428571428,0,-0.06,0.00666666666666667,0,-0.0115151515151515,-0.00799158587890982,-0.174534942182001,-0.1,0,-0.111111111111111,-0.115111111111111,0,-0.1,-0.1,-0.133333333333333,0,0,-0.06,-0.0742857142857143,-0.375,-0.338461538461538,0,0,-0.23012987012987,-0.1,-0.421428571428571,-0.2,-0.25,-0.319230769230769,-0.266666666666667,-0.573913043478261,-0.573913043478261,-0.457142857142857,-0.5
"DELTA",0.58,0.366666666666667,0.233333333333333,0.2,0.1,0.22,0.0103448275862069,0.00758301158301158,0.0133333333333333,-0.00666666666666667,-0.00666666666666667,0.02,0,0.00321678321678322,0.00651348651348651,0.0123076923076923,0,-0.0123076923076923,-0.02,0,-0.00428571428571428,0,-0.06,0.00666666666666667,0,-0.0115151515151515,-0.00799158587890982,-0.174534942182001,-0.1,0,-0.111111111111111,-0.115111111111111,0,-0.1,-0.1,-0.133333333333333,0,0,-0.06,-0.0742857142857143,-0.375,-0.338461538461538,0,0,-0.23012987012987,-0.1,-0.421428571428571,-0.2,-0.25,-0.319230769230769,-0.266666666666667,-0.573913043478261,-0.573913043478261,-0.457142857142857,-0.5
"PI3K",0.555086532135713,0.411572629051621,0.261689291101056,0.207843137254902,0.166666666666667,0.2351989500956,-0.207046657046657,-0.232194262286509,-0.0538087424704049,-0.255411255411255,-0.255411255411255,0.155072463768116,0.1,0.152969030478242,0.153587587179273,0.153534002229654,0.133333333333333,-0.153534002229654,-0.155072463768116,-0.1,-0.100857142857143,-0.133333333333333,-0.132307692307692,0.255411255411255,-0.1,0.25130166637016,0.101162818490368,0.0426349720400692,-0.205882352941176,-0.2,-0.205882352941176,-0.200191296030607,-0.19047619047619,-0.133333333333333,-0.196358543417367,-0.230784772925564,0,-0.2,-0.215384615384615,-0.241191066997519,-0.400418679549114,-0.399935358758888,-0.1,-0.1,-0.164210526315789,-0.2,-0.394436701509872,-0.266666666666667,-0.328205128205128,-0.372649572649573,-0.413005751185551,-0.545215687229174,-0.545215687229174,-0.461972629051621,-0.501754385964912
