"","PAK1","TGF","TGFR","FOXC2","RKIP","ERK","cfos","SNAI1","Destcompl","SOSGRB2","TWIST1","SUFU","Jagged","ZEB2","SHH","SMO","Patched","SMAD","FUS","Wnt","HEY1","SNAI2","KLF4","Ecadherin","cateninmemb","Frizzled","LIV1","miR200","GLI","SRC","CD44","cateninnuc","RAF","PI3K","DSH","DELTA","TCFLEF","ILK","cMet","RAS","ZEB1","Csn","AXIN2","STAT","IKK","TrCP","Csl","NFB","NOTCHic","NOTCH","AKT","MEK","EGR1","GSK3","CDC42"
"AKT",-0.254411764705882,-0.283972445569489,-0.274606886657102,-0.262187542025796,-0.301883027458475,-0.0323690131790421,-0.0274509803921569,-0.328176843073868,-0.525914763685358,-0.112136752136752,0.00124210109170254,0.1,0.197793656326246,-0.318604871542967,0.107834008097166,0.108974358974359,0.117307692307692,0.198357015533486,0.116666666666667,-0.195287997027127,0.191446480189982,0.145634694944193,-0.30996963562753,-0.146835738363705,-0.182144291123246,0.159903381642512,0.1,-0.174467787678974,0.201433248423776,0.159903381642512,0.200372742789839,0.221695502504352,0.327392041748206,0.327392041748206,0.155555555555556,0.327392041748206,0.218310887119736,-0.189266106442577,0.195287997027127,0.338717342953025,0.318604871542967,0.166666666666667,0.247412755716005,0.155555555555556,0.176621417797888,0.166666666666667,0.0423076923076923,0.184313725490196,0.0358560794044665,0.0248804696483689,0.0816719228483934,0.0336348359638522,0.0333333333333333,0.575745938649164,0.262411764705882
"PI3K",-0.225,-0.274606886657102,-0.262411764705882,-0.259180023228804,-0.29256625727214,-0.0274509803921569,-0.0333333333333333,-0.311384863123994,-0.511274565174192,-0.107692307692308,0.00338277387457715,0.1,0.193157894736842,-0.308330898940228,0.117307692307692,0.116666666666667,0.108974358974359,0.189266106442577,0.1,-0.159903381642512,0.187687081693741,0.132066855748213,-0.297149122807018,-0.148956950484918,-0.170829306413766,0.155555555555556,0.1,-0.170189712812664,0.195287997027127,0.155555555555556,0.195287997027127,0.218310887119736,0.328761904761905,0.328761904761905,0.1,0.328761904761905,0.200372742789839,-0.185266106442577,0.159903381642512,0.327392041748206,0.308330898940228,0.166666666666667,0.233333333333333,0.1,0.184313725490196,0.2,0.05,0.166666666666667,0.0423076923076923,0.0358560794044665,0.176621417797888,0.0323690131790421,0.0333333333333333,0.562842712842713,0.254411764705882
"ILK",-0.225,-0.274606886657102,-0.262411764705882,-0.259180023228804,-0.29256625727214,-0.0274509803921569,-0.0333333333333333,-0.311384863123994,-0.511274565174192,-0.107692307692308,0.00338277387457715,0.1,0.193157894736842,-0.308330898940228,0.117307692307692,0.116666666666667,0.108974358974359,0.189266106442577,0.1,-0.159903381642512,0.187687081693741,0.132066855748213,-0.297149122807018,-0.148956950484918,-0.170829306413766,0.155555555555556,0.1,-0.170189712812664,0.195287997027127,0.155555555555556,0.195287997027127,0.218310887119736,0.328761904761905,0.328761904761905,0.1,0.328761904761905,0.200372742789839,-0.185266106442577,0.159903381642512,0.327392041748206,0.308330898940228,0.166666666666667,0.233333333333333,0.1,0.184313725490196,0.2,0.05,0.166666666666667,0.0423076923076923,0.0358560794044665,0.176621417797888,0.0323690131790421,0.0333333333333333,0.562842712842713,0.254411764705882
"cateninnuc",-0.197714285714286,-0.225396245876294,-0.218846027535683,-0.0867574993312698,-0.328819989770362,-0.160019568274934,-0.157487922705314,-0.326634882534193,-0.396479950538135,0.11853254745525,0.119175143460894,-0.166666666666667,0.360613004574618,-0.302505347865285,-0.181545875972944,-0.175191256830601,-0.186992499066626,0.143124430821566,-0.186666666666667,-0.338342767020551,0.0926599505668497,0.504829264818468,-0.3017732761505,0.113845818450518,-0.186871093428192,0.336168853977073,0.296969696969697,-0.18220660999805,0.354548300617389,0.337995337995338,0.356835917705483,0.265583413590309,-0.00694337194337194,-0.00694337194337194,0.304662004662005,-0.00694337194337194,0.357657426293982,-0.140805194805195,0.340169251038816,-0.0104787254787255,0.302505347865285,-0.0458333333333333,0.523058019940227,0.304662004662005,-0.0630454545454545,-0.0333333333333333,-0.315254237288136,-0.0670454545454545,-0.32688214426488,-0.330973053355789,-0.0685142045454545,0.164148008641907,0.146376811594203,0.379855754669285,0.213098901098901
"GSK3",-0.328695652173913,-0.362829485819942,-0.353085896076352,-0.333937902163116,-0.287211209842789,-0.0297066194899012,-0.0274509803921569,-0.283951883415989,-0.521003188255048,-0.12376458859726,-0.0695037612942036,0.109090909090909,0.19512714289792,-0.299897575241434,0.0880637581576055,0.0917329981846111,0.0837575380619117,0.171257705585662,0.0852813852813853,-0.196859796550199,0.1666297228128,0.092078674643998,-0.292042953696709,-0.193247494557657,-0.205661371206514,0.190977443609023,0.15,-0.166162961084409,0.214784324852086,0.190977443609023,0.213708443293665,0.225303969843789,0.3069665880141,0.3069665880141,0.155263157894737,0.3069665880141,0.216290811949052,-0.16511077904893,0.195613205198427,0.305495999778806,0.299897575241434,0.0716666666666667,0.259535050726231,0.155263157894737,0.0836637931034483,0.0466666666666667,0.0376750700280112,0.0779166666666667,0.0271855595385007,0.0222504946034358,0.0785355879752432,0.0359566194899012,0.0274509803921569,0.476849685714987,0.342981366459627
"DSH",-0.32,-0.353085896076352,-0.342981366459627,-0.323252096740469,-0.272424242424242,-0.0274509803921569,-0.0274509803921569,-0.280075914423741,-0.513782335842227,-0.126090169992609,-0.0721926217295429,0.1,0.180090646547555,-0.289050621303841,0.0837575380619117,0.0852813852813853,0.0917329981846111,0.16511077904893,0.109090909090909,-0.190977443609023,0.157287162259167,0.0862115478105209,-0.279829213238694,-0.190580388861246,-0.205307701887327,0.155263157894737,0.1,-0.159246196723331,0.196859796550199,0.155263157894737,0.195613205198427,0.216290811949052,0.295481994176565,0.295481994176565,0.15,0.295481994176565,0.213708443293665,-0.154922099803647,0.190977443609023,0.3069665880141,0.289050621303841,0.0466666666666667,0.242944487560325,0.15,0.0779166666666667,0.0666666666666667,0.0357142857142857,0.0716666666666667,0.0376750700280112,0.0271855595385007,0.0836637931034483,0.0297066194899012,0.0333333333333333,0.563538537628465,0.328695652173913
"Frizzled",-0.3,-0.342981366459627,-0.328695652173913,-0.319355992844365,-0.263333333333333,-0.0274509803921569,-0.0333333333333333,-0.262974465148378,-0.499278519048333,-0.121212121212121,-0.0693557422969188,0.1,0.174664289958408,-0.278026999256597,0.0917329981846111,0.109090909090909,0.0852813852813853,0.154922099803647,0.1,-0.155263157894737,0.15202400436443,0.0728238877406722,-0.265266106442577,-0.192424111424898,-0.193411353241862,0.15,0.1,-0.154977904040404,0.190977443609023,0.15,0.190977443609023,0.213708443293665,0.299419002050581,0.299419002050581,0.2,0.299419002050581,0.195613205198427,-0.148380043728881,0.155263157894737,0.295481994176565,0.278026999256597,0.0666666666666667,0.229020436927414,0.1,0.0716666666666667,0.1,0.0357142857142857,0.0466666666666667,0.0357142857142857,0.0376750700280112,0.0779166666666667,0.0274509803921569,0.0333333333333333,0.550313479623824,0.32
"Csn",-0.275,-0.297132590215802,-0.289734022196709,-0.277929415521624,-0.232350824112809,-0.0571861471861472,-0.0584848484848485,-0.212593764762454,-0.437217751908693,-0.102352127291595,-0.0749384447561166,0.114285714285714,0.122904750155675,-0.224645161290323,0.0845010885465671,0.087012987012987,0.0902387934645999,0.116930495457376,0.114285714285714,-0.117366015787287,0.108460686600221,-0.0374948584283004,-0.217740429505135,-0.194624574692024,-0.172830856595515,0.0896551724137931,0.0666666666666667,-0.121438344476011,0.11692933456458,0.0896551724137931,0.115143793565065,0.127103545533866,0.291226975549048,0.291226975549048,0.1,0.291226975549048,0.12800552989947,-0.108447204968944,0.117366015787287,0.301015843111428,0.224645161290323,0.015,0.151354658482845,0.1,0.0608333333333333,0.14,0.0353535353535354,0.0483333333333333,0.047041847041847,0.0412726162726163,0.0696333333333333,0.0571861471861472,0.0766666666666667,0.504867926594744,0.279477611940299
"NFB",-0.1,-0.1174416570771,-0.111745454545455,-0.0736690755017448,-0.134272103124562,-0.0366349206349206,-0.0388571428571429,-0.145124922056847,-0.333145354536956,0.00230871295886776,0.121853408029879,0.16,0.200428935202354,-0.221776567856423,0.15200910923387,0.161481481481482,0.158033205619413,0.230275518258146,0.18,-0.157948717948718,0.218616393925991,0.365007140844978,-0.217307692307692,0.0968601832652532,0.0284694636741972,0.141025641025641,0.1,-0.113220705473431,0.166937481993662,0.141025641025641,0.166423294219904,0.178970328223379,0.123317399861967,0.123317399861967,0.133333333333333,0.123317399861967,0.175284053713575,-0.223212321232123,0.157948717948718,0.126302474488832,0.221776567856423,0.0285714285714286,0.191109422492401,0.133333333333333,-0.0579150579150579,0.1,-0.0597402597402597,-0.0714285714285714,-0.054978354978355,-0.0582041614299679,-0.0512483912483912,0.0359813258636788,0.0428571428571429,0.410880198233139,0.104545454545455
"MEK",-0.293333333333333,-0.279893515766358,-0.276243880729862,-0.284955512541719,-0.336145510835913,-0.201658107116654,-0.216551724137931,-0.277501412907143,-0.289524631160761,-0.0147301587301587,-0.224887987829164,-0.0333333333333333,-0.047542242703533,-0.217224112409191,-0.000798028501017894,0.0106666666666667,0.00246994535519126,-0.0105756912180899,0.00666666666666667,0.0448717948717949,-0.00746207721817478,-0.420030376399325,-0.213295074127212,-0.329622758438637,-0.224469938271947,-0.0333333333333333,0,-0.123095999343743,-0.0371794871794872,-0.0280701754385965,-0.0319163292847503,-0.0305376484670957,0.186349761349761,0.186349761349761,-0.0333333333333333,0.186349761349761,-0.0336974997682109,0.0116827022882006,-0.039608636977058,0.183492618492618,0.217224112409191,0.0571428571428571,-0.0357626613955728,-0.0333333333333333,0.0658549783549784,0.1,0.0666666666666667,0.0446428571428571,0.0782051282051282,0.0891540333146173,0.076443213649096,0.0999914404499877,0.22,0.32314296888765,0.279047619047619
