"","TGF","TGFR","CDC42","FOXC2","AXIN2","SOSGRB2","DSH","GLI","LIV1","TCFLEF","TWIST1","EGR1","MEK","cfos","RAS","RAF","ERK","Jagged","NOTCH","SNAI1","GSK3","AKT","IKK","SHH","TrCP","SUFU","ILK","Csn","SMAD","HEY1","FUS","Patched","SNAI2","SMO","NFB","RKIP","NOTCHic","Csl","PI3K","DELTA","cateninmemb","SRC","cMet","Frizzled","cateninnuc","CD44","STAT","Wnt","Destcompl","Ecadherin","ZEB2","PAK1","KLF4","miR200","ZEB1"
"Jagged",-0.0137777777777778,0.0222222222222222,0.1,-0.0114285714285714,-0.122857142857143,0.22,0,-0.0661538461538461,0,-0.0449417249417249,-0.021,0.1,0.18,0.2,-0.0260606060606061,-0.0533333333333333,0.18,-0.116709956709957,-0.06,-0.075,-0.0800766283524904,0.122222222222222,0.133333333333333,-0.13525641025641,0,0,-0.0833333333333333,0,-0.0595238095238095,-0.183333333333333,0.1,0.158333333333333,0.211890397184515,0.133333333333333,-0.1,0.0871794871794872,0.06,0,0.0533333333333333,0.0533333333333333,0.0440149990854216,0.1,0.12,0.1,0.0614252414252414,0.0661538461538461,0,0.12,0.0798301158301158,0.0166666666666667,-0.128019323671498,-0.2,-0.0888888888888889,-0.160606060606061,-0.153623188405797
"DELTA",-0.0137777777777778,0.0222222222222222,0.1,-0.0114285714285714,-0.122857142857143,0.22,0,-0.0661538461538461,0,-0.0449417249417249,-0.021,0.1,0.18,0.2,-0.0260606060606061,-0.0533333333333333,0.18,-0.116709956709957,-0.06,-0.075,-0.0800766283524904,0.122222222222222,0.133333333333333,-0.13525641025641,0,0,-0.0833333333333333,0,-0.0595238095238095,-0.183333333333333,0.1,0.158333333333333,0.211890397184515,0.133333333333333,-0.1,0.0871794871794872,0.06,0,0.0533333333333333,0.0533333333333333,0.0440149990854216,0.1,0.12,0.1,0.0614252414252414,0.0661538461538461,0,0.12,0.0798301158301158,0.0166666666666667,-0.128019323671498,-0.2,-0.0888888888888889,-0.160606060606061,-0.153623188405797
"NOTCH",0.00235125448028674,-0.0137777777777778,0.0222222222222222,-0.0053061224489796,-0.102102425876011,0.183157894736842,-0.1,-0.0449417249417249,0,-0.0614252414252414,-0.00235593220338983,0.2,0.165714285714286,0.18,-0.00432147562582345,-0.0260606060606061,0.18,-0.0944877344877345,-0.118064516129032,-0.0457692307692308,-0.0573493556252177,0.0888888888888889,0.122222222222222,-0.0999622926093514,0,0.1,-0.0595238095238095,-0.1,-0.0295238095238095,-0.152898550724638,0.133333333333333,0.13525641025641,0.212419497713615,0.158333333333333,-0.133333333333333,0.0768346595932803,0.06,0.06,0.0260606060606061,0.0260606060606061,0.0309259938498195,0.12,0.0661538461538461,0.12,0.0683640169354455,0.0449417249417249,0.1,0.0661538461538461,0.0835684335871252,0.0166666666666667,-0.105797101449275,-0.1,-0.128019323671498,-0.172034632034632,-0.138808373590982
"cfos",0.0421059332824039,0.0224089635854342,0.00476190476190476,0.0380214524834324,-0.0874384236453202,0.134722222222222,-0.1,-0.062046783625731,-0.1,-0.0616798977195017,0.0102597402597403,0.28,0.129786293294031,0.16,0.0417875551304533,0.0442265795206972,0.138260869565217,-0.0857638888888889,-0.114615384615385,-0.00943174968491425,-0.0483225108225108,0.108333333333333,0.108333333333333,-0.0667349377026796,-0.1,0.133333333333333,-0.0373015873015873,-0.133333333333333,-0.0421402969790066,-0.0287606196901549,0.147619047619048,0.0852534562211981,0.2132928871615,0.114285714285714,-0.133333333333333,0.0323776223776224,0.119230769230769,0.15,-0.0442265795206972,-0.0442265795206972,0.0455896074683355,0.06,0.0488888888888889,0.06,0.0583465643861684,0.0596996996996997,0.1,0.0488888888888889,0.0814482263750663,0.0313044758177545,-0.093996694723087,-0.0285714285714286,-0.0982222222222222,-0.180867498514557,-0.176121295976018
"SNAI1",0.0475120235344751,0.0481168622441525,0.0421059332824039,0.0489288704390035,-0.087926614699549,0.146655717458538,-0.0488888888888889,-0.0613779469556458,-0.06,-0.0572431161103063,0.0153149242062286,0.138260869565217,0.135191375506288,0.129786293294031,0.0376966460395442,0.0376966460395442,0.127119626627364,-0.0914196088455832,-0.118037676609105,-0.119903216233806,-0.052520530624491,0.105324074074074,0.10462962962963,-0.0834728017803495,-0.133333333333333,0.114285714285714,-0.0550435227854583,-0.108333333333333,-0.0652526248764792,-0.0474580986817515,0.0852534562211981,0.0747349377026796,0.21283065361262,0.0667349377026796,-0.108333333333333,0.019016240930987,0.116813186813187,0.114615384615385,-0.0376966460395442,-0.0376966460395442,0.0490622488166245,0.0596996996996997,0.0616798977195017,0.062046783625731,0.058172388180518,0.0583465643861684,0.0488888888888889,0.0644858080159749,0.0802420860241891,0.030245709898459,-0.0934050232115165,-0.0224089635854342,-0.0863025041281514,-0.190264456730252,-0.186591825118608
"AXIN2",-0.0816056806024752,-0.0792954495793729,-0.0784104938271605,-0.120931004982527,0.553773164668106,-0.116277784861235,0.18,0.188593202301877,0.2,0.186048328288883,0.011863497732328,-0.04,-0.0238323259159114,-0.0375609756097561,-0.124955131771673,-0.125217598963274,-0.0272806017779804,0.228816442077312,0.172699485199485,-0.160409115836885,-0.223066508243854,-0.161400966183575,-0.164734299516908,0.217593076322585,0.133333333333333,-0.2,0.143340234644582,0.144444444444444,0.145721187025535,0.133852049673551,-0.238461538461538,-0.221199633699634,-0.230720258561134,-0.233699633699634,0.157487922705314,0.159584564181338,-0.17202380952381,-0.166666666666667,0.125217598963274,0.125217598963274,0.184497283895189,-0.182325581395349,-0.189222133119487,-0.182325581395349,-0.186350965556501,-0.188275760879739,-0.18,-0.189222133119487,0.217473336068412,-0.0252546110769427,-0.0863646324921887,0.0845833333333333,-0.0777192128502886,0.164218649271722,0.203294445498754
"TrCP",0.0481168622441525,0.0421059332824039,0.0224089635854342,0.0490559352420531,-0.0893252160981504,0.135712321232123,-0.06,-0.0644858080159749,-0.1,-0.0583465643861684,0.0162380011293055,0.16,0.127119626627364,0.138260869565217,0.0376966460395442,0.0417875551304533,0.129786293294031,-0.0888313735514656,-0.116813186813187,-0.0149210098281123,-0.0523225108225108,0.10462962962963,0.108333333333333,-0.0747349377026796,-0.133333333333333,0.147619047619048,-0.0421402969790066,-0.133333333333333,-0.0550435227854583,-0.0331723843960373,0.114285714285714,0.0667349377026796,0.212931223508697,0.0852534562211981,-0.108333333333333,0.0152505505544179,0.114615384615385,0.119230769230769,-0.0417875551304533,-0.0417875551304533,0.0483368602155883,0.0488888888888889,0.0596996996996997,0.0488888888888889,0.0572431161103063,0.0616798977195017,0.06,0.062046783625731,0.0814482263750663,0.0316504965790001,-0.0846719358806432,-0.00476190476190476,-0.0965828779599271,-0.193050239631309,-0.1835167943683
"PAK1",0.0481168622441525,0.0421059332824039,0.0224089635854342,0.0490559352420531,-0.0893252160981504,0.135712321232123,-0.06,-0.0644858080159749,-0.1,-0.0583465643861684,0.0162380011293055,0.16,0.127119626627364,0.138260869565217,0.0376966460395442,0.0417875551304533,0.129786293294031,-0.0888313735514656,-0.116813186813187,-0.0149210098281123,-0.0523225108225108,0.10462962962963,0.108333333333333,-0.0747349377026796,-0.133333333333333,0.147619047619048,-0.0421402969790066,-0.133333333333333,-0.0550435227854583,-0.0331723843960373,0.114285714285714,0.0667349377026796,0.212931223508697,0.0852534562211981,-0.108333333333333,0.0152505505544179,0.114615384615385,0.119230769230769,-0.0417875551304533,-0.0417875551304533,0.0483368602155883,0.0488888888888889,0.0596996996996997,0.0488888888888889,0.0572431161103063,0.0616798977195017,0.06,0.062046783625731,0.0814482263750663,0.0316504965790001,-0.0846719358806432,-0.00476190476190476,-0.0965828779599271,-0.193050239631309,-0.1835167943683
"LIV1",0.0481168622441525,0.0421059332824039,0.0224089635854342,0.0490559352420531,-0.0893252160981504,0.135712321232123,-0.06,-0.0644858080159749,-0.1,-0.0583465643861684,0.0162380011293055,0.16,0.127119626627364,0.138260869565217,0.0376966460395442,0.0417875551304533,0.129786293294031,-0.0888313735514656,-0.116813186813187,-0.0149210098281123,-0.0523225108225108,0.10462962962963,0.108333333333333,-0.0747349377026796,-0.133333333333333,0.147619047619048,-0.0421402969790066,-0.133333333333333,-0.0550435227854583,-0.0331723843960373,0.114285714285714,0.0667349377026796,0.212931223508697,0.0852534562211981,-0.108333333333333,0.0152505505544179,0.114615384615385,0.119230769230769,-0.0417875551304533,-0.0417875551304533,0.0483368602155883,0.0488888888888889,0.0596996996996997,0.0488888888888889,0.0572431161103063,0.0616798977195017,0.06,0.062046783625731,0.0814482263750663,0.0316504965790001,-0.0846719358806432,-0.00476190476190476,-0.0965828779599271,-0.193050239631309,-0.1835167943683
"EGR1",0.0481168622441525,0.0421059332824039,0.0224089635854342,0.0490559352420531,-0.0893252160981504,0.135712321232123,-0.06,-0.0644858080159749,-0.1,-0.0583465643861684,0.0162380011293055,0.16,0.127119626627364,0.138260869565217,0.0376966460395442,0.0417875551304533,0.129786293294031,-0.0888313735514656,-0.116813186813187,-0.0149210098281123,-0.0523225108225108,0.10462962962963,0.108333333333333,-0.0747349377026796,-0.133333333333333,0.147619047619048,-0.0421402969790066,-0.133333333333333,-0.0550435227854583,-0.0331723843960373,0.114285714285714,0.0667349377026796,0.212931223508697,0.0852534562211981,-0.108333333333333,0.0152505505544179,0.114615384615385,0.119230769230769,-0.0417875551304533,-0.0417875551304533,0.0483368602155883,0.0488888888888889,0.0596996996996997,0.0488888888888889,0.0572431161103063,0.0616798977195017,0.06,0.062046783625731,0.0814482263750663,0.0316504965790001,-0.0846719358806432,-0.00476190476190476,-0.0965828779599271,-0.193050239631309,-0.1835167943683
