"","GSK3","cateninmemb","RAF","PI3K","DSH","cateninnuc","Ecadherin","NFB","Csn","ZEB2","ZEB1","SUFU","LIV1","IKK","AKT","FUS","SMO","Patched","SHH","TrCP","SNAI2","SMAD","KLF4","MEK","CDC42","TGFR","cfos","PAK1","FOXC2","ERK","TGF","EGR1","SNAI1","RKIP","HEY1","ILK","TWIST1","miR200","SOSGRB2","Jagged","NOTCH","Csl","NOTCHic","TCFLEF","STAT","CD44","Destcompl","GLI","cMet","SRC","Wnt","DELTA","RAS","Frizzled","AXIN2"
"AXIN2",-0.178045199397602,0.146624815116728,-0.0943010113425338,-0.0943010113425338,0.226666666666667,0.182573252822739,-0.112132071170407,-0.157487922705314,-0.144444444444444,-0.201633600424793,-0.201633600424793,0.1,0.233333333333333,-0.164734299516908,-0.170289855072464,0.0615384615384615,0.032967032967033,0.020467032967033,0.02145063952441,-0.133333333333333,0.101180392511931,-0.223913043478261,-0.214929626796674,-0.10095999413104,0.260648148148148,0.240294165847263,0.134959349593496,0.279166666666667,-0.217282015408479,0.107856545855178,-0.229733109741653,-0.166666666666667,-0.1741533457738,-0.160696167631652,0.235254828865377,0.235817805383023,-0.177579550142092,0.13997244516616,0.0928482581778514,-0.121156164634426,0.00649478425794215,-0.016140350877193,-0.00364035087719298,-0.180022452995674,-0.226666666666667,-0.180608619466952,0.195359220724793,-0.180318954169251,-0.188495054798182,-0.205736434108527,-0.188495054798182,0.0943010113425338,0.101912559898964,-0.205736434108527,0.231133604912936
"Destcompl",-0.104068309588334,0.120480473632474,-0.0445306122513834,-0.0445306122513834,0.138095238095238,0.1309998296513,-0.0928078103175818,-0.118633540372671,-0.114285714285714,-0.154688706811741,-0.154688706811741,0.0111111111111111,0.166666666666667,-0.123138044877175,-0.121795762997981,-0.0130268199233716,-0.0158839627805145,-0.00707567262507409,-0.00107954109702767,-0.1,0.0583673590443809,-0.169816207184628,-0.15795058793762,-0.0557746023776321,0.162702322308234,0.15796548020297,0.0352447552447552,0.184081632653061,-0.152422143652657,0.0401627880316405,-0.162201933404941,-0.0594871794871795,-0.12197665490045,-0.119508331064274,0.173106210029287,0.170634920634921,-0.123373729107982,0.10094490490523,0.05535979130947,-0.0940390948212972,0.010815363590479,0.00191931061496279,0.0106149627888758,-0.128654087682916,-0.138095238095238,-0.124270526039081,0.0173034452393333,-0.123952551810954,-0.120539182755498,-0.123026744944553,-0.12005644791485,0.0445306122513834,0.0448445839939266,-0.123026744944553,-0.180022452995674
"ZEB2",-0.230702138443226,-0.217120532200271,-0.206774891774892,-0.206774891774892,-0.195454545454545,-0.186026565203733,-0.185565742380987,-0.155555555555556,-0.155555555555556,-0.15207712196019,-0.15207712196019,-0.15,-0.15,-0.148888888888889,-0.147954309449637,-0.135714285714286,-0.127142857142857,-0.122264808362369,-0.117719353816915,-0.1,-0.0934077809820844,-0.050523598124079,-0.0438372997031093,-0.0287910472483333,-0.0241558441558442,-0.0234755720470006,-0.00921052631578947,-0.00779220779220779,-0.00184926184926185,0.0165959252971138,0.0171263656977943,0.025,0.0257204212677623,0.0368921095008052,0.043151364764268,0.0499138420265181,0.0657531591307265,0.10156350309277,0.106886446886447,0.124648045868367,0.168924758301807,0.169230769230769,0.170564102564103,0.188234357411526,0.19,0.194220272904483,0.195422594507265,0.196320224118389,0.200701754385965,0.203333333333333,0.203659673659674,0.206774891774892,0.207845555586455,0.208787878787879,0.237065448114814
"SMAD",-0.0838761767333196,-0.107474446103803,-0.191717953080398,-0.191717953080398,-0.0952380952380952,-0.0896761099659125,-0.111263962569269,-0.115873015873016,-0.111111111111111,-0.144100839595787,-0.144100839595787,-0.1,-0.06,-0.109990662931839,-0.111323996265173,-0.1125,-0.1075,-0.106582568807339,-0.0995193717813171,-0.1,-0.093368338821331,-0.135862174355325,-0.137138549675863,0.0211345762264742,0.0821260898725688,0.0782154753474291,-0.0410138248847926,0.0976190476190476,-0.0934491128196497,-0.0317114993033973,-0.084589977339461,0.0571428571428571,-0.022364015912403,-0.0148584855508538,0.0268899956559952,0.0382431267362774,0.00316756080876199,0.071807070674178,0.135714285714286,0.0831904761904762,0.112972085385878,0.10952380952381,0.112972085385878,0.0918037695403806,0.0885714285714286,0.0970954927425516,0.0459097525071456,0.100864363454292,0.10327731092437,0.105238095238095,0.108058608058608,0.191717953080398,0.191717953080398,0.111904761904762,0.104533244248784
"TrCP",-0.106507034632035,-0.261268612815727,-0.23835352569212,-0.23835352569212,-0.24,-0.220511066204477,-0.216813486762717,-0.2375,-0.225,-0.109808346831384,-0.109808346831384,-0.214285714285714,-0.2,-0.226973684210526,-0.228825536062378,-0.214285714285714,-0.191705069124424,-0.185532229618251,-0.178532229618251,-0.2,-0.122950726627156,-0.0853848779655231,-0.0939947957325007,0.0205531810366003,-0.0621848739495798,-0.0530939648586707,-0.0808695652173913,-0.0523809523809524,0.0148470220720753,-0.0418865143699337,0.0388863145854467,0.12,0.0475828917163016,0.0318341511159191,0.0654356645206809,0.0795784263526199,0.0858616600790514,0.0572211041007697,0.0847084708470847,0.202244376278119,0.268241758241758,0.273076923076923,0.271538461538462,0.221752445514822,0.24,0.228419112181488,0.277256904363259,0.224782484666952,0.2403003003003,0.251111111111111,0.237953216374269,0.23835352569212,0.234262616601211,0.251111111111111,0.285730396257397
"PAK1",-0.106507034632035,-0.261268612815727,-0.23835352569212,-0.23835352569212,-0.24,-0.220511066204477,-0.216813486762717,-0.2375,-0.225,-0.109808346831384,-0.109808346831384,-0.214285714285714,-0.2,-0.226973684210526,-0.228825536062378,-0.214285714285714,-0.191705069124424,-0.185532229618251,-0.178532229618251,-0.2,-0.122950726627156,-0.0853848779655231,-0.0939947957325007,0.0205531810366003,-0.0621848739495798,-0.0530939648586707,-0.0808695652173913,-0.0523809523809524,0.0148470220720753,-0.0418865143699337,0.0388863145854467,0.12,0.0475828917163016,0.0318341511159191,0.0654356645206809,0.0795784263526199,0.0858616600790514,0.0572211041007697,0.0847084708470847,0.202244376278119,0.268241758241758,0.273076923076923,0.271538461538462,0.221752445514822,0.24,0.228419112181488,0.277256904363259,0.224782484666952,0.2403003003003,0.251111111111111,0.237953216374269,0.23835352569212,0.234262616601211,0.251111111111111,0.285730396257397
"LIV1",-0.106507034632035,-0.261268612815727,-0.23835352569212,-0.23835352569212,-0.24,-0.220511066204477,-0.216813486762717,-0.2375,-0.225,-0.109808346831384,-0.109808346831384,-0.214285714285714,-0.2,-0.226973684210526,-0.228825536062378,-0.214285714285714,-0.191705069124424,-0.185532229618251,-0.178532229618251,-0.2,-0.122950726627156,-0.0853848779655231,-0.0939947957325007,0.0205531810366003,-0.0621848739495798,-0.0530939648586707,-0.0808695652173913,-0.0523809523809524,0.0148470220720753,-0.0418865143699337,0.0388863145854467,0.12,0.0475828917163016,0.0318341511159191,0.0654356645206809,0.0795784263526199,0.0858616600790514,0.0572211041007697,0.0847084708470847,0.202244376278119,0.268241758241758,0.273076923076923,0.271538461538462,0.221752445514822,0.24,0.228419112181488,0.277256904363259,0.224782484666952,0.2403003003003,0.251111111111111,0.237953216374269,0.23835352569212,0.234262616601211,0.251111111111111,0.285730396257397
"EGR1",-0.106507034632035,-0.261268612815727,-0.23835352569212,-0.23835352569212,-0.24,-0.220511066204477,-0.216813486762717,-0.2375,-0.225,-0.109808346831384,-0.109808346831384,-0.214285714285714,-0.2,-0.226973684210526,-0.228825536062378,-0.214285714285714,-0.191705069124424,-0.185532229618251,-0.178532229618251,-0.2,-0.122950726627156,-0.0853848779655231,-0.0939947957325007,0.0205531810366003,-0.0621848739495798,-0.0530939648586707,-0.0808695652173913,-0.0523809523809524,0.0148470220720753,-0.0418865143699337,0.0388863145854467,0.12,0.0475828917163016,0.0318341511159191,0.0654356645206809,0.0795784263526199,0.0858616600790514,0.0572211041007697,0.0847084708470847,0.202244376278119,0.268241758241758,0.273076923076923,0.271538461538462,0.221752445514822,0.24,0.228419112181488,0.277256904363259,0.224782484666952,0.2403003003003,0.251111111111111,0.237953216374269,0.23835352569212,0.234262616601211,0.251111111111111,0.285730396257397
"AKT",0.0193168241555338,-0.147700332181417,-0.0591477198600486,-0.0591477198600486,-0.233333333333333,-0.196009284447683,-0.119073892752208,-0.0607843137254902,-0.0666666666666667,-0.109063596796917,-0.109063596796917,-0.2,-0.2,-0.0582202111613876,-0.149129302070479,-0.183333333333333,-0.16025641025641,-0.13525641025641,-0.129993252361673,-0.0333333333333333,-0.0270827537759423,-0.0820026564161018,-0.0926450742240216,-0.00252780921457605,-0.147705882352941,-0.132258727881396,-0.0630252100840336,-0.139705882352941,0.0985743627361086,-0.0253202920512467,0.115642413682001,0.0571428571428571,0.0471163415785842,0.0457196256428993,0.0619958229748521,0.0715649459783914,0.159312550930774,0.0454492144463215,0.0494871794871795,0.139645056349483,0.193490891484597,0.207692307692308,0.204466501240695,0.196470822909222,0.233333333333333,0.203274946620562,-0.0527107807609143,0.20229019138905,0.215139353400223,0.228985507246377,0.215139353400223,0.0591477198600486,0.0526416957636631,0.228985507246377,0.251260443527592
"CDC42",-0.110143398268398,-0.26474846629558,-0.234694989106754,-0.234694989106754,-0.2,-0.221752445514822,-0.214114524825001,-0.225,-0.2,-0.0998405011722203,-0.0998405011722203,-0.2,-0.1,-0.2375,-0.226973684210526,-0.214285714285714,-0.214285714285714,-0.191705069124424,-0.185532229618251,-0.1,-0.123493222106361,-0.0795784263526199,-0.0841587301587302,0.0418865143699337,-0.0523809523809524,-0.0621848739495798,-0.12,0.1,0.0293297806927649,-0.0808695652173913,0.0530939648586707,0.1,0.050685517014631,0.0368065268065268,0.0727886056971514,0.0828042328042328,0.0978181818181818,0.052652576181988,0.0777777777777778,0.210833333333333,0.271538461538462,0.25,0.273076923076923,0.228419112181488,0.2,0.2403003003003,0.282068934438447,0.237953216374269,0.251111111111111,0.24,0.251111111111111,0.234694989106754,0.23835352569212,0.24,0.292019704433498
