"","TCFLEF","cateninmemb","CD44","FOXC2","SRC","STAT","TWIST1","LIV1","ILK","RKIP","TGFR","CDC42","SNAI1","AKT","SMO","Patched","MEK","ZEB2","ZEB1","ERK","cfos","SNAI2","SHH","IKK","FUS","miR200","PAK1","NFB","EGR1","TGF","SUFU","Csn","GSK3","SMAD","TrCP","SOSGRB2","RAF","PI3K","DELTA","HEY1","KLF4","RAS","Csl","NOTCHic","NOTCH","Ecadherin","DSH","Jagged","Frizzled","cMet","Wnt","GLI","cateninnuc","Destcompl","AXIN2"
"AKT",-0.0106670100300683,0.215709123509736,-0.0281927832259446,-0.449735680665077,-0.0671497584541063,-0.0888888888888889,-0.25597988914931,-0.1,0.0179748699479792,-0.322081307439364,0.118312769010043,0.106117647058824,-0.359200446769097,0.230389871566342,0.0333333333333333,0.025,0.0351993713027855,-0.539255159079252,-0.539255159079252,-0.040262662442026,-0.0484593837535014,-0.0640166184972234,-0.0197368421052632,-0.325339366515837,-0.0333333333333333,-0.551986471875575,-0.0941176470588235,-0.317647058823529,-0.019047619047619,-0.12767832792243,-0.05,-0.3,0.525268623252494,-0.0183115702846795,-0.233333333333333,0.137863247863248,0.395259206546878,0.395259206546878,0.395259206546878,-0.0319973832270111,-0.513770805218174,0.388753182450492,-0.165384615384615,-0.178287841191067,-0.188043938752043,-0.420326354340437,0.0888888888888889,-0.018420471709074,0.0671497584541063,0.0502266815310294,0.0502266815310294,0.0284389720338227,-0.00594837458531629,0.424491809660008,0.083192023379749
"GSK3",-0.0345164136804952,0.190255272804027,-0.0463596906172717,-0.435034512611012,-0.0734962406015038,-0.0842105263157895,-0.246197568846919,-0.1,0.0227402896960376,-0.300183851236483,0.0961712871787103,0.0881573498964803,-0.335532684931067,0.239999263188918,0.035993576316157,0.0329260916535803,0.0500403563871056,-0.530957945938921,-0.530957945938921,-0.0545858109325602,-0.0553376906318083,-0.0369341410979247,-0.0267059959598004,-0.236580459770115,-0.0456709956709957,-0.545846388498256,-0.0776811594202899,-0.230833333333333,-0.0627450980392157,-0.102837953845377,-0.0409090909090909,-0.218333333333333,0.437549279059554,-0.0249891652582565,-0.193333333333333,0.139293215765139,0.410631562273404,0.410631562273404,0.410631562273404,-0.038497454993307,-0.513406038321354,0.406850049668362,-0.173249299719888,-0.180941607412196,-0.188993555464144,-0.402077895114807,0.0842105263157895,-0.0124782562058017,0.0734962406015038,0.0582644525220336,0.0584635608629417,0.0461994099195454,0.0239243084173373,0.440837849071327,0.101046314276521
"DSH",-0.0463596906172717,0.176992673334531,-0.0582644525220336,-0.429771354716275,-0.0842105263157895,-0.1,-0.24811818344359,-0.1,0.0238723651677357,-0.291411921411921,0.0881573498964803,0.0776811594202899,-0.330327812284334,0.236580459770115,0.0456709956709957,0.035993576316157,0.0545858109325602,-0.513275925136544,-0.513275925136544,-0.0553376906318083,-0.0627450980392157,-0.0322749521419281,-0.0329260916535803,-0.230833333333333,-0.0409090909090909,-0.527675227888643,-0.0733333333333333,-0.218333333333333,-0.0333333333333333,-0.0961712871787103,-0.05,-0.193333333333333,0.539712340623613,-0.0227402896960376,-0.133333333333333,0.135107169253511,0.410911674318222,0.410911674318222,0.410911674318222,-0.0381514342320613,-0.489741916183949,0.410631562273404,-0.15952380952381,-0.173249299719888,-0.180941607412196,-0.391639962944902,0.1,-0.00561694233718858,0.0842105263157895,0.0734962406015038,0.0734962406015038,0.0584635608629417,0.0345164136804952,0.447072438715568,0.113375081399809
"PI3K",-0.0281927832259446,0.196239194865496,-0.0502266815310294,-0.4407131242741,-0.0888888888888889,-0.1,-0.259955424317506,-0.1,0.0171748699479792,-0.311522301228184,0.106117647058824,0.0941176470588235,-0.352934782608696,0.325339366515837,0.0333333333333333,0.0333333333333333,0.040262662442026,-0.513227761818979,-0.513227761818979,-0.0484593837535014,-0.019047619047619,-0.0592930004067712,-0.025,-0.317647058823529,-0.05,-0.524178985244559,-0.1,-0.3,-0.0333333333333333,-0.118312769010043,0,-0.233333333333333,0.527284752284752,-0.0179748699479792,-0.2,0.142307692307692,0.392519480519481,0.392519480519481,0.392519480519481,-0.0282379847307705,-0.478728070175439,0.395259206546878,-0.15,-0.165384615384615,-0.178287841191067,-0.403205142219225,0.1,-0.00517543859649123,0.0888888888888889,0.0671497584541063,0.0671497584541063,0.0502266815310294,0.0106670100300683,0.433507525127336,0.103047619047619
"ILK",-0.0281927832259446,0.196239194865496,-0.0502266815310294,-0.4407131242741,-0.0888888888888889,-0.1,-0.259955424317506,-0.1,0.0171748699479792,-0.311522301228184,0.106117647058824,0.0941176470588235,-0.352934782608696,0.325339366515837,0.0333333333333333,0.0333333333333333,0.040262662442026,-0.513227761818979,-0.513227761818979,-0.0484593837535014,-0.019047619047619,-0.0592930004067712,-0.025,-0.317647058823529,-0.05,-0.524178985244559,-0.1,-0.3,-0.0333333333333333,-0.118312769010043,0,-0.233333333333333,0.527284752284752,-0.0179748699479792,-0.2,0.142307692307692,0.392519480519481,0.392519480519481,0.392519480519481,-0.0282379847307705,-0.478728070175439,0.395259206546878,-0.15,-0.165384615384615,-0.178287841191067,-0.403205142219225,0.1,-0.00517543859649123,0.0888888888888889,0.0671497584541063,0.0671497584541063,0.0502266815310294,0.0106670100300683,0.433507525127336,0.103047619047619
"Destcompl",-0.530045207751198,-0.329612961325405,-0.514017810490924,-0.486367267362225,-0.464764079147641,-0.427777777777778,-0.480669542495808,-0.377777777777778,-0.00722222222222222,-0.397372250656712,-0.0282610467054335,-0.0229978888106967,-0.463269046381121,0.444225412623428,0.223273125342091,0.232081415497531,0.131359764258706,-0.502876341717692,-0.502876341717692,-0.123342886621575,-0.112960372960373,0.170130672244158,-0.240398630197725,-0.416708634099938,-0.206130268199234,-0.511662977467195,0.0126530612244898,-0.381573498964803,-0.0887179487179487,0.0326945442423793,-0.188888888888889,-0.338095238095238,0.82256931003804,0.0108479532163743,-0.266666666666667,0.0918701153898747,0.636524450392732,0.636524450392732,0.636524450392732,0.00196401888709581,-0.474255155636997,0.668706554003407,-0.054484919702311,-0.0610066588327458,-0.0660166788728259,-0.103275946880826,0.427777777777778,0.403635409949916,0.464764079147641,0.493122288102865,0.492486851424869,0.513080543447132,0.541518945640031,0.766270134177316,0.557167885968671
"AXIN2",-0.557167885968671,-0.372383911018949,-0.531024861349679,-0.493254614238221,-0.449457364341085,-0.386666666666667,-0.491664672942563,-0.3,-0.000644122383252818,-0.413708692740951,0.00318638697694746,0.0173456790123457,-0.478260005713889,0.447536231884058,0.232417582417582,0.253846153846154,0.11382145261994,-0.498748269607739,-0.498748269607739,-0.0986490388268369,-0.0752845528455285,0.215268173972061,-0.267288776796973,-0.405314009661836,-0.203846153846154,-0.507250932268522,-0.0383333333333333,-0.351690821256039,-0.0533333333333333,0.00539447110886112,-0.15,-0.277777777777778,0.807777885348824,0.00580285254198298,-0.2,0.124760649978041,0.620816911820372,0.620816911820372,0.620816911820372,-0.00225238277976615,-0.45952828706601,0.668585940691763,-0.0371929824561403,-0.0461215538847118,-0.0535539863171442,-0.074717498557637,0.386666666666667,0.42486219421002,0.449457364341085,0.496009088479016,0.496009088479016,0.53060028344757,0.576925776154576,0.866196434630522,0.864965322551827
"Frizzled",-0.0582644525220336,0.162033898305085,-0.0734962406015038,-0.418083043027964,-0.1,-0.1,-0.247408963585434,-0.1,0.0229377857284834,-0.27952380952381,0.0776811594202899,0.0733333333333333,-0.321342305037957,0.230833333333333,0.0409090909090909,0.0456709956709957,0.0553376906318083,-0.488866476317646,-0.488866476317646,-0.0627450980392157,-0.0333333333333333,-0.0286661046448385,-0.035993576316157,-0.218333333333333,-0.05,-0.50084595959596,-0.0666666666666667,-0.193333333333333,-0.0333333333333333,-0.0881573498964803,0,-0.133333333333333,0.53576802507837,-0.0238723651677357,-0.1,0.142424242424242,0.4053998632946,0.4053998632946,0.4053998632946,-0.0346426623022368,-0.457703081232493,0.410911674318222,-0.142857142857143,-0.15952380952381,-0.173249299719888,-0.376977978748238,0.2,0.00368538324420677,0.1,0.0842105263157895,0.0842105263157895,0.0734962406015038,0.0463596906172717,0.449935034135415,0.12645525017618
"Wnt",-0.0734962406015038,0.142033898305085,-0.0842105263157895,-0.40412955465587,-0.1,-0.1,-0.242647058823529,0,0.0299145299145299,-0.261666666666667,0.0733333333333333,0.0666666666666667,-0.30388198757764,0.218333333333333,0.05,0.0409090909090909,0.0627450980392157,-0.456193208990913,-0.456193208990913,-0.0333333333333333,-0.0333333333333333,-0.0226724137931034,-0.0456709956709957,-0.193333333333333,0,-0.46959595959596,-0.1,-0.133333333333333,0,-0.0776811594202899,0,-0.1,0.523040752351097,-0.0229377857284834,-0.1,0.139393939393939,0.387218045112782,0.387218045112782,0.387218045112782,-0.041025641025641,-0.419607843137255,0.4053998632946,-0.1,-0.142857142857143,-0.15952380952381,-0.35902926079952,0.2,0.0067156862745098,0.2,0.1,0.1,0.0842105263157895,0.0582644525220336,0.448078270209686,0.135757575757576
"RAS",-0.0916655434677963,0.108456449247099,-0.113204005006258,-0.346984126984127,-0.15,-0.1,-0.286513911620295,0,-0.0861471861471862,-0.175660377358491,0.0623529411764706,0.08,-0.297512291052114,0.188888888888889,-0.0833333333333333,-0.0713333333333333,0.0761455108359133,-0.418387334315169,-0.418387334315169,-0.0702631578947368,-0.065,-0.0353772888260058,0.0764180790960452,-0.166666666666667,0.1,-0.4296,-0.06,-0.133333333333333,-0.04,-0.0712638322655795,0.1,-0.1,0.546279069767442,0.0861471861471862,-0.1,-0.0341991341991342,0.464615384615385,0.464615384615385,0.464615384615385,-0.0134387351778656,-0.386428571428571,0.364615384615385,-0.1,-0.115789473684211,-0.136544190665343,-0.235085380660828,0.1,0.119361324659965,0.15,0.132352941176471,0.132352941176471,0.115686274509804,0.0721188012581646,0.423348320441344,0.14695652173913
