"","ZEB2","TrCP","RAF","DELTA","STAT","Csn","cateninmemb","DSH","EGR1","TGF","cfos","LIV1","SNAI1","NFB","MEK","KLF4","NOTCHic","SNAI2","SMO","Csl","miR200","NOTCH","RKIP","FUS","Patched","Jagged","IKK","SMAD","HEY1","ERK","ILK","PAK1","SHH","AKT","TWIST1","CDC42","AXIN2","GLI","Destcompl","Frizzled","SUFU","TGFR","CD44","Wnt","TCFLEF","FOXC2","cateninnuc","SRC","cMet","PI3K","RAS","ZEB1","Ecadherin","SOSGRB2","GSK3"
"SRC",-0.149430967355496,-0.1,-0.002186065915728,-0.002186065915728,0,-0.15,0.0426339619817393,0.1,0.0333333333333333,-0.256872294372294,0.00606060606060606,0,0.167872105049332,-0.15,-0.00295406899180484,-0.220025839793282,0.126666666666667,-0.12650212676067,0.06,0.16,0.00156053286488069,-0.11952380952381,0.0858260019550342,-0.1,0.0414814814814815,-0.0382898141613738,0.126923076923077,0.0531946420104315,0.0303045349222112,0.0161616161616162,0.0234649122807018,0.266666666666667,0.0297167755991285,0.11025641025641,0.0605380826070481,0.229166666666667,-0.0403055803476561,-0.0452459016393443,0.00153129479216436,-0.05,0.1,0.238690476190476,-0.0452459016393443,-0.06,-0.0550019992003199,0.250672268907563,-0.0543308582607226,-0.05,-0.06,0.002186065915728,0.00521636894603103,0.149430967355496,-0.0761857369210311,0.0714285714285714,-0.0277056277056277
"SUFU",-0.139542346257809,-0.2,-0.242695842544781,-0.242695842544781,-0.21,-0.214285714285714,0.125021809080189,-0.3125,0.0169230769230769,-0.0221381850187088,-0.00428904428904429,-0.15,0.0754625341568452,-0.202285714285714,0.00792910195698164,-0.160389057949674,0.0328787878787879,0.242817221363289,0.315555555555556,0.0306060606060606,0.0159349974067837,-0.0297041847041847,0.097623021717278,-0.31,0.314545454545455,0.0890437874106992,0.194593406593407,0.0881140638728361,0.0828047977864636,-0.00835463387187525,0.0777214541730671,-0.00333333333333334,0.338869778869779,0.203318238808172,0.142249256899164,0.00747747747747748,0.0665632374359978,0.30695000476599,0.0485569598707391,0.295833333333333,0.36,0.0191796051370519,0.202443487359175,0.31698717948718,0.208693487359175,0.2207419399873,0.206187093497282,0.193333333333333,0.213721682847896,0.242695842544781,0.247126222291617,0.139542346257809,0.0449923661004964,0.0468408784198258,-0.00622944742425048
"SMO",-0.128813559322034,0,-0.235576923076923,-0.235576923076923,-0.2,-0.1,0.124861502592477,-0.3,0.1,-0.00747747747747748,0.04,-0.1,0.0831029185867896,-0.2,-0.00428904428904429,-0.116666666666667,0.0606060606060606,0.247312534209086,0.36,0.0333333333333333,-0.00201928872814948,-0.0306060606060606,0.087936507936508,-0.4,0.31,0.0962698412698413,0.214285714285714,0.0512698412698413,0.0461538461538461,-0.0169230769230769,0.0433333333333333,0.0333333333333333,0.315555555555556,0.202285714285714,0.131808278867102,0.0133333333333333,0.0577250335871025,0.295833333333333,0.053577740089368,0.25,0.3,-0.00333333333333334,0.193333333333333,0.3125,0.213721682847896,0.201034482758621,0.202443487359175,0.15,0.21,0.235576923076923,0.244879248658318,0.128813559322034,0.0375872054837053,0.0464912280701754,-0.0132081510722287
"TWIST1",-0.127012099819117,0,-0.162269453319422,-0.162269453319422,-0.133333333333333,-0.05,-0.108072708485775,-0.133333333333333,-0.153333333333333,-0.15121106199851,-0.15768115942029,-0.133333333333333,0.127344079904885,-0.0730769230769231,-0.174321641221809,-0.132926829268293,-0.0411965811965812,-0.193095589192579,0.0786666666666667,-0.0488888888888889,-0.0643370715857877,0.0440267698758265,0.0864823256127604,-0.0666666666666667,0.077296803652968,0.119408711998686,0.0873626373626374,0.00546478071230546,-0.00417209908735332,0.170839054157132,0.00975520975520975,0.162424242424242,0.0718780844411454,0.0873626373626374,0.160808179869965,0.155527690700104,0.102655409107022,0.13939649122807,0.102122323464532,0.133333333333333,0.0333333333333333,0.150527690700104,0.14011791848244,0.13859649122807,0.142415008834661,0.242140202258357,0.140977401014074,0.133333333333333,0.139716312056738,0.162269453319422,0.163981782086545,0.127012099819117,0.196323701462715,0.134322986954566,0.10644197311314
"MEK",-0.119236045637767,0.1,-0.10987900987901,-0.10987900987901,0.0666666666666667,0.0285714285714286,0.112278004587904,0.0666666666666667,0.07,-0.176556901497211,0.0458620689655172,0,0.0966367872697592,0.00357142857142857,-0.045520909757887,-0.0995217599234816,-0.0542346542346542,0.266928454645356,-0.0613333333333333,-0.00808080808080808,0.00708833135509873,0.0637237053295447,0.14234483266991,-0.00666666666666667,-0.0859234972677596,0.0733325248605385,-0.049025974025974,-0.0702939475981524,-0.107093231971281,-0.039479090242113,-0.100921253871215,0.166666666666667,-0.0826555234115504,-0.0666730328495034,0.161997022585258,0.147619047619048,-0.0109292837140938,-0.0256177156177156,-0.00656679711524223,-0.0266666666666667,-0.0333333333333333,0.159768580329328,-0.018249294565084,-0.0305128205128205,-0.0261373352775522,0.172162879059431,-0.0250220936418645,-0.0192982456140351,-0.0231443994601889,0.10987900987901,0.102577422577423,0.119236045637767,-0.119396495267671,0.223873015873016,-0.0161904651266353
"TGFR",-0.115455108051283,-0.1,-0.105952380952381,-0.105952380952381,0.0333333333333333,-0.15,0.0157672248932137,0.0571428571428571,-0.223809523809524,-0.204263762242486,-0.239598997493734,0.1,0.123575997614614,-0.107142857142857,-0.199751204495256,-0.113364934074316,0.0789655172413793,-0.193658160914798,-0.0486206896551724,0.11,0.00338410199366817,-0.0710518481766311,0.0670995670995671,-0.01,-0.0611206896551724,0.0131694094042817,0.0597744360902256,-0.0111664457686728,-0.0462330513775417,0.210710108604845,-0.0407038123167155,0.255555555555556,-0.0210076953048899,0.0597744360902256,0.160344668511928,0.265079365079365,-0.0456125909273263,-0.0538074950004347,-0.0292359716136193,-0.0571428571428571,0.06,0.190079365079365,-0.0323154584574644,-0.0363881401617251,-0.0294446450603352,0.210205524966774,-0.0314818461232227,-0.0333333333333333,-0.0125786163522013,0.105952380952381,0.104197994987469,0.115455108051283,0.0259741440964573,0.0696556205328135,-0.0394879765886326
"PI3K",-0.110747845562101,0,0.000865800865800864,0.000865800865800864,0,-0.1,0.0604489729536494,0,0,0.00957388809182209,0,-0.1,0.0107971014492754,-0.1,-0.00289296046287368,-0.0991228070175439,-0.0711538461538462,0.0566160772954634,0.0666666666666667,-0.025,0.0367895839207315,0.0711538461538462,0.0300096961861668,-0.15,0.058974358974359,-0.0219298245614035,0.0588235294117647,0.0610058423369348,0.0348669828137087,0.0176470588235294,0.0346058423369348,-0.025,0.0700854700854701,0.051131221719457,0.00224462319971942,-0.0426470588235294,0.0492380952380952,0.0471274619100706,0.0313534770376413,0.0555555555555556,0.1,-0.0266470588235294,0.0471274619100706,0.042512077294686,0.0409127726445339,0.00208826945412312,0.0427684427476267,0.0555555555555556,0.042512077294686,-0.000865800865800864,-0.00771511593429401,0.110747845562101,-0.0616413354420076,0.101153846153846,-0.0688912938912939
"ILK",-0.110747845562101,0,0.000865800865800864,0.000865800865800864,0,-0.1,0.0604489729536494,0,0,0.00957388809182209,0,-0.1,0.0107971014492754,-0.1,-0.00289296046287368,-0.0991228070175439,-0.0711538461538462,0.0566160772954634,0.0666666666666667,-0.025,0.0367895839207315,0.0711538461538462,0.0300096961861668,-0.15,0.058974358974359,-0.0219298245614035,0.0588235294117647,0.0610058423369348,0.0348669828137087,0.0176470588235294,0.0346058423369348,-0.025,0.0700854700854701,0.051131221719457,0.00224462319971942,-0.0426470588235294,0.0492380952380952,0.0471274619100706,0.0313534770376413,0.0555555555555556,0.1,-0.0266470588235294,0.0471274619100706,0.042512077294686,0.0409127726445339,0.00208826945412312,0.0427684427476267,0.0555555555555556,0.042512077294686,-0.000865800865800864,-0.00771511593429401,0.110747845562101,-0.0616413354420076,0.101153846153846,-0.0688912938912939
"Frizzled",-0.109275489959326,0.1,-0.045146958304853,-0.045146958304853,0,0,0.027561877858488,-0.1,0,-0.0903105590062112,-0.02,-0.1,0.0153726708074534,-0.02,-0.0191285403050109,-0.0938375350140056,-0.0654761904761905,-0.00240046774719896,0.05,-0.00714285714285715,0.0225410353535354,0.063515406162465,0.0461904761904762,-0.15,0.0452380952380952,0.000331253713606651,-0.03,0.0415171729668578,0.00714675395526459,0.0376470588235294,0.00506857483601669,0.0666666666666667,0.0581413210445469,-0.03625,0.101792717086835,0.0466666666666667,0.0604228329809725,0.0663533834586466,0.0217039129778249,0.075,0.1,0.0684057971014493,0.0663533834586466,0.0592105263157895,0.0577441119354678,0.106899538649845,0.0601250643164202,0.075,0.0592105263157895,0.045146958304853,0.0364855409820184,0.109275489959326,0.0118311533732462,0.139393939393939,-0.0757993730407523
"TCFLEF",-0.103517543859649,-0.171428571428571,-0.209034658433575,-0.209034658433575,-0.216666666666667,-0.180519480519481,-0.105162136641122,-0.219607843137255,-0.171428571428571,-0.100003343754702,-0.183623693379791,-0.166666666666667,0.0139502013560591,-0.160519480519481,-0.176276754604281,-0.108629360835243,0.0251554280248685,-0.215724164194483,0.166190476190476,0.019273075083692,0.0565964290060676,-0.0268165575929748,0.00413601506176241,-0.156666666666667,0.172642089093702,0.108809608358732,0.160519480519481,0.0363973741643058,0.0146610841500936,0.176957026713124,0.0327644869750133,0.0846153846153846,0.184912027744009,0.169215132693394,0.238502802338428,0.0915921288014311,0.0748971916971917,0.21028284446443,0.0597965527911682,0.204607843137255,0.216666666666667,0.100003343754702,0.206665860345106,0.214009552538964,0.110675024148084,0.224833802997698,0.108956811089665,0.201666666666667,0.211068376068376,0.209034658433575,0.21415949417602,0.103517543859649,0.207762652574159,0.126236757254721,0.0318438849892561
