"","TGFR","CDC42","SUFU","Csn","RKIP","NFB","ILK","SMO","IKK","FUS","TWIST1","Patched","Csl","NOTCHic","SNAI2","EGR1","ZEB2","cfos","MEK","ERK","LIV1","PI3K","DELTA","RAS","KLF4","cMet","CD44","cateninmemb","SRC","TCFLEF","Wnt","GLI","Frizzled","DSH","cateninnuc","AXIN2","STAT","Destcompl","RAF","GSK3","Ecadherin","NOTCH","AKT","SHH","Jagged","SMAD","HEY1","SNAI1","TrCP","SOSGRB2","PAK1","TGF","FOXC2","miR200","ZEB1"
"miR200",-0.0255297280202403,-0.0223039215686274,0.02,0.02,-0.0324452234881683,0.0357894736842105,-0.0118321861684694,0.0325,0.0386466165413534,0.0325,-0.136263960987887,0.0236392405063291,-0.0239408866995074,-0.0170443349753695,-0.187732516834012,0.0142857142857143,-0.0970609318996416,0.0242857142857143,0.0222448979591837,0.0242857142857143,0.2,-0.150019135093762,-0.150019135093762,-0.146777239831917,0.098015873015873,-0.177097366809553,-0.173726580292699,0.0852984055872326,-0.18695652173913,-0.175313881880001,-0.178140845070423,-0.174844141773719,-0.188,-0.2,0.177283578849698,-0.211973463493385,0.2,-0.136219944625249,0.150019135093762,0.0647548659279586,0.190857926323701,0.0176093067267819,-0.0310994467300326,-0.0171175013758943,0.043612946535603,0.0115187065446449,0.0134745762711864,0.0382881932881933,0,0.048030303030303,0.0125,0.0255297280202403,0.0592125489686465,0.0235616015521651,0.127979390681004
"Csl",-0.316472935643677,-0.312014336917563,-0.0416666666666667,-0.0555555555555556,-0.177704331002988,-0.0888888888888889,-0.0755943816375471,-0.0529788838612368,-0.072609819121447,-0.0647435897435898,-0.17341088743084,-0.0411509268719895,-0.10258064516129,-0.0999490662139219,-0.186297745513176,-0.02,-0.0889521445538741,-0.0128571428571429,-0.0153105590062112,-0.0185714285714286,0.02,0.025384969852736,0.025384969852736,0.0279584992645007,0.0886438923395445,-0.0505361305361305,-0.0435973550259264,0.0229082703192048,-0.0428438228438228,-0.0425286527358501,-0.0482201669298443,-0.0417685540266185,-0.0428438228438228,-0.0276923076923077,0.0421284240337346,-0.0464442754515267,0.0276923076923077,-0.0234130944294453,-0.025384969852736,0.00573270248479504,0.0749042471184412,0.099039975304831,0.0656330749354005,0.0489095475616447,0.100647070077948,0.0711499371931027,-0.0167510437842919,0.194665117491204,0.0666666666666667,0.24018710856965,0.299111111111111,0.31760672249175,0.335204043797719,0.264296811151623,0.383940623304063
"SMAD",-0.343795360618085,-0.342119382964453,-0.116666666666667,-0.116666666666667,-0.180994200899787,-0.130952380952381,-0.187093272024779,-0.131666666666667,-0.121148459383753,-0.141666666666667,-0.226424322481315,-0.132584097859327,-0.202857142857143,-0.199408866995074,-0.312645985322407,0.0285714285714286,-0.0884323763247129,0.0447004608294931,0.040608332028062,0.0377237166434466,0.16,-0.14877982570559,-0.14877982570559,-0.146806141495064,0.092798584069061,-0.149309056956116,-0.14385451150157,0.0839070419122812,-0.151269841269841,-0.145618419235627,-0.120757020757021,-0.115721049533999,-0.124603174603175,-0.119047619047619,0.146327639093783,-0.193608031033152,0.145714285714286,-0.113161916936277,0.14877982570559,0.162894971917528,0.180583334328709,0.200996168582375,0.125148459383753,0.141877778156725,0.241241027789415,0.0809027958343027,0.227910264310802,0.201682721848044,0.15,0.292790594498669,0.323809523809524,0.343795360618085,0.379971542166729,0.29130265828693,0.41800484107915
"PAK1",-0.337153043035396,-0.33109243697479,-0.0238095238095238,-0.0416666666666667,-0.19649203466883,-0.0666666666666667,-0.0846987540535928,-0.0307987711213518,-0.0508771929824561,-0.0404761904761905,-0.239994541690194,-0.0246259316151789,-0.115384615384615,-0.110769230769231,-0.304410740634523,0,-0.0875416480832891,0.0130434782608696,0.00723556865634979,0.00456890198968312,0.15,-0.0188665710186514,-0.0188665710186514,-0.0147756619277423,0.0883731459797033,-0.163813813813814,-0.154902922724705,0.101404020851192,-0.161111111111111,-0.155273293095075,-0.161111111111111,-0.152818428184282,-0.161111111111111,-0.15,0.155962948267489,-0.198037611921802,0.15,-0.13374546324317,0.0188665710186514,0.0492959956709957,0.180514180571791,0.110769230769231,0.0490253411306043,0.0366259316151789,0.124062713019768,0.0788923024406896,0.0931842902078373,0.220509261239149,0.0666666666666667,0.280335533553355,0.30952380952381,0.338245939210259,0.377900455388211,0.281527017821434,0.406887503307316
"LIV1",-0.337153043035396,-0.33109243697479,-0.0238095238095238,-0.0416666666666667,-0.19649203466883,-0.0666666666666667,-0.0846987540535928,-0.0307987711213518,-0.0508771929824561,-0.0404761904761905,-0.239994541690194,-0.0246259316151789,-0.115384615384615,-0.110769230769231,-0.304410740634523,0,-0.0875416480832891,0.0130434782608696,0.00723556865634979,0.00456890198968312,0.15,-0.0188665710186514,-0.0188665710186514,-0.0147756619277423,0.0883731459797033,-0.163813813813814,-0.154902922724705,0.101404020851192,-0.161111111111111,-0.155273293095075,-0.161111111111111,-0.152818428184282,-0.161111111111111,-0.15,0.155962948267489,-0.198037611921802,0.15,-0.13374546324317,0.0188665710186514,0.0492959956709957,0.180514180571791,0.110769230769231,0.0490253411306043,0.0366259316151789,0.124062713019768,0.0788923024406896,0.0931842902078373,0.220509261239149,0.0666666666666667,0.280335533553355,0.30952380952381,0.338245939210259,0.377900455388211,0.281527017821434,0.406887503307316
"NOTCHic",-0.312014336917563,-0.299111111111111,-0.0666666666666667,-0.0666666666666667,-0.174478524551375,-0.0555555555555556,-0.0590476190476191,-0.0647435897435898,-0.0888888888888889,-0.0416666666666667,-0.175442490139644,-0.0529788838612368,0.02,-0.10258064516129,-0.185477462142557,-0.02,-0.0872946859903382,-0.02,-0.0185714285714286,-0.0128571428571429,0,0.0308036890645586,0.0308036890645586,0.025384969852736,0.0800724637681159,-0.0428438228438228,-0.0505361305361305,0.0244373223069724,-0.0276923076923077,-0.0435973550259264,-0.0428438228438228,-0.0482201669298443,-0.0276923076923077,-0.02,0.0425286527358501,-0.0472154836777478,0.02,-0.0228646483599755,-0.0308036890645586,0.00646907950983186,0.0746716889789063,0.0999490662139219,0.072609819121447,0.0411509268719895,0.0990845700779475,0.0755943816375471,-0.031783723522854,0.188736263736264,0.1,0.231244019138756,0.311111111111111,0.316472935643677,0.332330480579328,0.26451467607537,0.37731078904992
"SNAI1",-0.338245939210259,-0.337153043035396,-0.0404761904761905,-0.0666666666666667,-0.202349775254604,-0.0508771929824561,-0.0788923024406896,-0.0246259316151789,-0.0490253411306043,-0.0307987711213518,-0.242968900664553,-0.0366259316151789,-0.110769230769231,-0.110769230769231,-0.304578357127986,0.0130434782608696,-0.0844666173329816,0.00456890198968312,0.00902929062944396,0.00723556865634979,0.15,-0.0147756619277423,-0.0147756619277423,-0.013297829415427,0.0911768842974603,-0.154902922724705,-0.155273293095075,0.101991240194888,-0.163813813813814,-0.155962948267489,-0.152818428184282,-0.153732504966732,-0.161111111111111,-0.161111111111111,0.156014574493612,-0.197105210989401,0.161111111111111,-0.133306866751942,0.0147756619277423,0.049626028674296,0.182491287751812,0.111585557299843,0.0566642300194932,0.0364317568578974,0.122180360078592,0.0792613061307265,0.0890176235411706,0.116594670491818,0.0416666666666667,0.285995910911846,0.33109243697479,0.341068519855421,0.379298168221756,0.285273415515959,0.409470529137574
"ZEB2",-0.256239950525665,-0.244675324675325,-0.2,-0.188888888888889,-0.187294685990338,-0.176388888888889,-0.175708868596193,-0.174285714285714,-0.174166666666667,-0.171428571428571,-0.168333510837518,-0.162090592334495,-0.156410256410256,-0.155076923076923,-0.0995296503229881,-0.0916666666666667,-0.0808199175837914,-0.0758771929824561,-0.0654129915662484,-0.0629739671760045,-0.05,-0.039978354978355,-0.039978354978355,-0.0363380980190402,-0.0273196001801868,-0.0152631578947368,-0.0115594541910331,-0.0110876819608244,-0.01,-0.00627776405018807,-0.000582750582750581,0.00400440538055217,0.00454545454545455,0.00454545454545455,0.00653750430992833,0.00779666097173516,0.01,0.0239096542065555,0.039978354978355,0.0447792246879711,0.0561813295294183,0.150158890290038,0.162017133956386,0.162999683243586,0.168289194317476,0.184245453962046,0.191229415745545,0.196986020687533,0.2,0.213315018315018,0.242857142857143,0.258356352642067,0.276610722610723,0.277512496122166,0.327836672498137
"ZEB1",-0.28867275330186,-0.280043311677495,-0.108333333333333,-0.0933333333333333,-0.204808460398402,-0.0775438596491228,-0.193675756493206,-0.101515151515152,-0.0890192694851884,-0.0833333333333333,-0.307823663183458,-0.103475935828877,-0.170833333333333,-0.170833333333333,-0.314551937478825,-0.05,-0.0786698328276069,-0.038,-0.0378445193055196,-0.0321176470588235,0.233333333333333,-0.20467509535974,-0.20467509535974,-0.202942811895173,0.075926554916922,-0.237376301364824,-0.237376301364824,0.045337433787102,-0.239337085678549,-0.236844386471207,-0.228622799964263,-0.22827915735258,-0.23054587688734,-0.247619047619048,0.239094875707997,-0.281671343262105,0.256410256410256,-0.147324761958908,0.20467509535974,0.126810106633027,0.204265966824202,0.171659779614325,0.0918764123423312,0.105967039031724,0.246379609514871,0.198964218031667,0.210272352863026,0.216277533689034,0.133333333333333,0.257426900584795,0.2727969348659,0.288279052514458,0.356915546069657,0.311678166405508,0.36997573934429
"STAT",-0.299312200956938,-0.283522727272727,-0.05,-0.05,-0.241396396396396,-0.01,-0.0855877616747182,-0.02,-0.0338095238095238,0,-0.324122462578235,-0.0269767441860465,-0.0823529411764706,-0.0904610492845787,-0.273725918825834,0,-0.0735969159046082,0.02,0.0183554712207464,0.0258823529411765,0.3,-0.132630272952854,-0.132630272952854,-0.131884004296137,0.168785898197663,-0.19724025974026,-0.198094960594961,0.0988612313094116,-0.201785714285714,-0.195255843875718,-0.19724025974026,-0.196399923605806,-0.201785714285714,-0.214285714285714,0.197520444590855,-0.248227067050596,0.214285714285714,-0.151714968145017,0.132630272952854,0.124303515798843,0.244466701510232,0.0894901754981709,0.0355044390637611,0.0278616999382589,0.1192325749368,0.0982314398356378,0.0953333333333334,0.256607597739309,0.1,0.356075533661741,0.277272727272727,0.302693843469015,0.387289706884799,0.303368400509994,0.425703783396091
"CD44",0.26,0.26,0.1,0.2,0.133333333333333,0.1,0.122222222222222,0.1,0.0666666666666667,0.1,0.275018315018315,0.12,0.1,0.0857142857142857,0.276208236208236,0.1,-0.0698412698412698,0.1,0.06,0.08,-0.1,0.080952380952381,0.080952380952381,0.0495238095238095,-0.053968253968254,0.2,0.106666666666667,-0.0970879120879121,0.2,0.127596899224806,0.1,0.106666666666667,0.1,0,-0.124519976147883,0.13,-0.1,0.140134235512387,-0.080952380952381,-0.17202380952381,-0.174851807621322,-0.11203007518797,-0.1,-0.110909090909091,-0.14004662004662,-0.103854875283447,-0.16140350877193,-0.220095693779904,-0.1,-0.261904761904762,-0.2,-0.276666666666667,-0.285416666666667,-0.256662274923144,-0.301587301587302
"Csn",-0.365595101415997,-0.351492537313433,-0.0857142857142857,0.04,-0.254211112688825,0.0483333333333333,-0.0756573498964803,-0.0665223665223665,0.04,-0.0634920634920635,-0.206559918965249,-0.0546944095331192,0.0338383838383838,0.0247474747474748,-0.1810952795806,-0.00333333333333333,-0.0625326716294458,0.0148484848484849,0.0166612554112554,0.0187445887445887,0,-0.133436316490388,-0.133436316490388,-0.133244377910733,0.0562034044386985,-0.0545215344135161,-0.0531882010801828,0.097229936430492,-0.0436781609195402,-0.0474004197297005,-0.0545215344135161,-0.0514647658545642,-0.0436781609195402,-0.0333333333333333,0.0469794936924185,-0.0258117917847026,0.0333333333333333,-0.0682305104179676,0.133436316490388,0.129791753272983,0.189904981032043,-0.0285936285936286,-0.0536,0.0538747374019717,0.0999387637611176,0.0851689180198737,0.075218715393134,0.280149718742097,-0.14,0.207619047619048,0.35,0.370607034590221,0.396351136430913,0.283218566342021,0.378789081885856
"PI3K",-0.282352941176471,-0.282352941176471,-0.1,-0.0333333333333333,-0.171347769877182,-0.0666666666666667,-0.0428971588635454,-0.0833333333333333,-0.0607843137254902,-0.1,-0.121136114222358,-0.067948717948718,0.05,0.05,-0.141571701242217,0.0333333333333333,-0.0566204943440934,0.0333333333333333,0.0460623593699775,0.0509803921568627,-0.1,-0.117194805194805,-0.117194805194805,-0.121304394235901,0.0574561403508772,-0.0241545893719807,-0.0287699739873653,0.0733098109270333,-0.0111111111111111,-0.0236852282246534,-0.0241545893719807,-0.0287699739873653,-0.0111111111111111,0,0.0197677024514576,0.0277142857142857,0,-0.0298760105843348,0.117194805194805,0.108958633958634,0.129557306323697,-0.0467741935483871,0.0582202111613876,0.0596153846153846,0.0585964912280702,0.0500971588635454,0.0342683213937376,0.177302737520129,0,0.152692307692308,0.3,0.286417981826877,0.289486643437863,0.229523636900686,0.293478747748186
"AKT",-0.286417981826877,-0.282352941176471,-0.1,-0.0666666666666667,-0.174453359939293,-0.0607843137254902,-0.0500971588635454,-0.067948717948718,-0.0582202111613876,-0.0833333333333333,-0.121441924619911,-0.0596153846153846,0.05,0.0467741935483871,-0.141270193704528,0.0333333333333333,-0.0566204943440934,0.0509803921568627,0.0473281821547876,0.0460623593699775,0,-0.121304394235901,-0.121304394235901,-0.120581502669636,0.0566014394961763,-0.0287699739873653,-0.0236852282246534,0.0730040005294798,-0.0241545893719807,-0.0197677024514576,-0.0287699739873653,-0.0226247225907172,-0.0241545893719807,-0.0111111111111111,0.0183830870668422,0.0280752965446106,0.0111111111111111,-0.0296278716265184,0.121304394235901,0.108152182345731,0.129254276020667,-0.050432730133753,-0.0508706979295215,0.0627732793522267,0.0585964912280702,0.0524540612204478,0.0440427574839632,0.180059629750705,0.0333333333333333,0.152692307692308,0.282352941176471,0.289741244666756,0.2947498013326,0.232732193050419,0.298958199802981
"cMet",0.276666666666667,0.26,0.1,0.1,0.107407407407407,0.0666666666666667,0.103854875283447,0.12,0.1,0.1,0.269400337490225,0.110909090909091,0.0857142857142857,0.11203007518797,0.284237433288528,0.1,-0.0546897546897547,0.08,0.0654545454545455,0.06,-0.1,0.0495238095238095,0.0495238095238095,0.0589577717879605,-0.0301587301587302,0.106666666666667,0.127596899224806,-0.103849477924211,0.2,0.124519976147883,0.106666666666667,0.124848484848485,0.1,0.1,-0.12847477840777,0.147460317460317,-0.2,0.143512613890765,-0.0495238095238095,-0.17202380952381,-0.169508296170941,-0.105647096464566,-0.0875,-0.0952840909090909,-0.14004662004662,-0.122036693465265,-0.139834881320949,-0.223485524288379,-0.2,-0.255238095238095,-0.26,-0.274539007092199,-0.284150843881857,-0.261349774923144,-0.292496392496392
"AXIN2",0.130139435157872,0.127484567901235,0.15,-0.0555555555555556,0.122353873724841,-0.0599033816425121,0.084771106510237,0.132783882783883,-0.0671497584541063,0.142307692307692,0.0281073325292392,0.130998168498169,-0.0680701754385965,-0.0680701754385965,-0.118493963104808,0.0133333333333333,-0.0537260821628145,0.0157723577235772,0.00972015018248797,0.0110994605273156,0.1,0.0985126005887252,0.0985126005887252,0.0985126005887252,0.0562062598026717,-0.0666479550922213,-0.0663324976789721,-0.132127186841826,-0.0683720930232558,-0.0676220639157834,-0.0666479550922213,-0.0666479550922213,-0.0683720930232558,-0.08,0.0687029113001327,0.331395097273484,0.08,0.132850508102671,-0.0985126005887252,-0.129773934557687,-0.138827780300345,0.0687458511142722,0.0693719806763285,-0.129358824235873,0.0578873594090985,-0.0875488842880147,-0.0797944713766215,-0.124362825795887,0.0666666666666667,-0.0261529743437177,-0.12625,-0.133439765190875,-0.12425363863303,-0.165859621289261,-0.171507094189477
