"","FOXC2","NFB","Csn","IKK","SHH","Patched","SMO","SUFU","FUS","Jagged","SNAI2","LIV1","AXIN2","RAF","DELTA","STAT","MEK","ERK","cfos","SRC","EGR1","cMet","TCFLEF","cateninnuc","CD44","Wnt","Frizzled","Destcompl","GLI","cateninmemb","Ecadherin","SOSGRB2","CDC42","PAK1","TGF","TGFR","ZEB2","GSK3","DSH","RAS","PI3K","miR200","RKIP","TWIST1","Csl","NOTCHic","KLF4","NOTCH","SNAI1","ZEB1","SMAD","ILK","TrCP","AKT","HEY1"
"RAS",0.171111111111111,-0.266666666666667,-0.3,-0.246666666666667,-0.0103050847457627,-0.012,0,-0.1,0,-0.0604139562389119,0.291915274882391,0,0.121844532279315,-0.372564102564103,-0.372564102564103,0.1,0.272383900928793,0.254736842105263,0.26,0.1,0.26,0.105882352941176,0.0909887359198999,0.0856062996592767,0.0909887359198999,0.105882352941176,0.1,0.1351613973707,0.0933823529411765,-0.0444524485772654,-0.0257061805837838,0.117316017316017,0.12,0.1,-0.122912055911474,-0.125882352941176,-0.111435935198822,0.328604651162791,-0.1,0.291794871794872,0.372564102564103,-0.114584615384615,-0.0354465408805031,-0.0268194217130387,-0.25,-0.244736842105263,-0.120714285714286,-0.242850049652433,-0.194178957718781,-0.181502209131075,-0.0056895485466914,0.000432900432900432,0.2,0.263333333333333,-0.105138339920949
"GSK3",0.35898826591605,-0.0529166666666667,-0.0591666666666667,-0.0632614942528736,0.0728388288967205,0.0666187332029406,0.067232230135456,0.0590909090909091,0.0543290043290043,0.0335484321633058,0.193189085523623,0.125,0.144622013441157,-0.16251112433068,-0.16251112433068,0.0986842105263158,0.167004325653706,0.175527052926434,0.162745098039216,0.102255639097744,0.162745098039216,0.0883483543295324,0.0877364728895121,0.0906969992053016,0.0926340686152467,0.0872229593591823,0.102255639097744,0.0502738582423659,0.0919399404912578,-0.0315923002893355,0.0333755425629189,0.0116560958421424,0.10952380952381,0.106666666666667,-0.109024390243902,-0.105691056910569,-0.0728125733442055,0.0915734144124562,-0.0986842105263158,0.15515818315421,0.16251112433068,-0.0947803827093744,-0.209212454212454,-0.137520507808103,-0.125280112044818,-0.134371021135727,-0.0726414837779772,-0.135150241914948,-0.269324714719052,-0.26443762941533,-0.0922646090048636,-0.0945134845670824,0.0466666666666667,0.054714485705865,-0.104972990072631
"CDC42",0.314988043998087,0.0916666666666667,0.0666666666666667,0.0916666666666667,0.0871479774705581,0.076036866359447,0.0857142857142857,0.0666666666666667,0.0523809523809524,0.0826388888888889,0.253914115081998,0.1,0.110246305418719,0.060239651416122,0.060239651416122,0.1,0.0200442151805453,0.0217391304347826,0,0.1,0.06,0.0814814814814815,0.0711255810265711,0.0718663217673119,0.0760760760760761,0.0814814814814815,0.1,0.0715955171469476,0.0735867446393762,0.0473939704124212,0.0386901967056753,-0.0291666666666667,0.0714285714285714,0.157142857142857,-0.0655462184873949,-0.0655462184873949,-0.0707252392482417,0.0550730519480519,-0.1,-0.060239651416122,-0.060239651416122,-0.0456200662083015,-0.118554778554779,-0.144077922077922,-0.0333333333333333,-0.0641025641025641,-0.0659047619047619,-0.0625641025641026,-0.183722943722944,-0.223713440178331,-0.108175456562553,-0.10978835978836,-0.1,-0.0916666666666667,-0.115767116441779
"DSH",0.353406128754966,-0.0591666666666667,-0.0466666666666667,-0.0529166666666667,0.0666187332029406,0.067232230135456,0.0543290043290043,0.05,0.0590909090909091,0.0357382131852036,0.194224460847177,0.1,0.145078634445723,-0.149906082313873,-0.149906082313873,0.125,0.175527052926434,0.162745098039216,0.162745098039216,0.0986842105263158,0.133333333333333,0.102255639097744,0.0926340686152467,0.0877364728895121,0.0883483543295324,0.102255639097744,0.0986842105263158,0.0571424739521228,0.0872229593591823,-0.0350405761514044,0.0344621411799752,0.0121212121212121,0.106666666666667,0.106666666666667,-0.105691056910569,-0.10952380952381,-0.0693950399118132,0.18225561075189,-0.125,0.16251112433068,0.149906082313873,-0.091615083764474,-0.204450549450549,-0.137648548781215,-0.11547619047619,-0.125280112044818,-0.0726414837779772,-0.134371021135727,-0.272536231884058,-0.262208803263769,-0.0945134845670824,-0.0933814090953843,0.0666666666666667,0.0632614942528736,-0.103242886266403
"TrCP",0.316367354342915,0.0916666666666667,0.0916666666666667,0.0916666666666667,0.0891479774705581,0.0871479774705581,0.076036866359447,0.0523809523809524,0.0857142857142857,0.0850928766189502,0.254275778734801,0.1,0.104585928060229,0.060239651416122,0.060239651416122,0.1,0.0213775485138787,0.0200442151805453,0.0217391304347826,0.0814814814814815,0,0.0760760760760761,0.0718663217673119,0.0704870114224843,0.0711255810265711,0.0735867446393762,0.0814814814814815,0.0747534118837897,0.0691965007369372,0.047210820229271,0.0401434839029071,-0.0261963696369637,0.0655462184873949,0.0714285714285714,-0.0660926665748266,-0.0655462184873949,-0.069117522206441,0.0514366883116883,-0.1,-0.0579669241433947,-0.060239651416122,-0.0491733657006873,-0.115792347615552,-0.147338791643139,-0.0641025641025641,-0.0625641025641026,-0.0724621389539422,-0.0691575091575092,-0.183484280238457,-0.225321157220132,-0.108175456562553,-0.108175456562553,-0.0666666666666667,-0.0916666666666667,-0.112825939971191
"PAK1",0.316367354342915,0.0916666666666667,0.0916666666666667,0.0916666666666667,0.0891479774705581,0.0871479774705581,0.076036866359447,0.0523809523809524,0.0857142857142857,0.0850928766189502,0.254275778734801,0.1,0.104585928060229,0.060239651416122,0.060239651416122,0.1,0.0213775485138787,0.0200442151805453,0.0217391304347826,0.0814814814814815,0,0.0760760760760761,0.0718663217673119,0.0704870114224843,0.0711255810265711,0.0735867446393762,0.0814814814814815,0.0747534118837897,0.0691965007369372,0.047210820229271,0.0401434839029071,-0.0261963696369637,0.0655462184873949,0.0714285714285714,-0.0660926665748266,-0.0655462184873949,-0.069117522206441,0.0514366883116883,-0.1,-0.0579669241433947,-0.060239651416122,-0.0491733657006873,-0.115792347615552,-0.147338791643139,-0.0641025641025641,-0.0625641025641026,-0.0724621389539422,-0.0691575091575092,-0.183484280238457,-0.225321157220132,-0.108175456562553,-0.108175456562553,-0.0666666666666667,-0.0916666666666667,-0.112825939971191
"Jagged",0.324285714285714,0.1,0,0.0666666666666667,0.105128205128205,0.0666666666666667,0.0666666666666667,0,0.1,0.112900432900433,0.149195575666164,0,-0.0242857142857143,-0.00666666666666667,-0.00666666666666667,0,0.0266666666666667,0.06,0,0,0.1,-0.02,-0.0367832167832168,-0.0378821178821179,-0.0276923076923077,-0.02,0,-0.0183938223938224,-0.0276923076923077,-0.013826595939272,-0.0513333333333333,-0.06,0.1,0,-0.0786666666666667,-0.0666666666666667,-0.0623188405797102,0.00344827586206897,0,-0.00242424242424242,0.00666666666666667,-0.0539393939393939,-0.123076923076923,-0.162,-0.2,-0.18,-0.0666666666666667,-0.18,-0.183333333333333,-0.232850241545894,-0.102380952380952,-0.116666666666667,0,-0.0777777777777778,-0.216666666666667
"PI3K",0.236968641114983,-0.133333333333333,-0.166666666666667,-0.150980392156863,0.0534188034188034,0.0423076923076923,0.05,0.1,0.05,0.0107894736842105,0.0912678185889957,0.1,0.167809523809524,-0.152675324675325,-0.152675324675325,0.1,0.140262662442026,0.148459383753501,0.119047619047619,0.133333333333333,0.133333333333333,0.111594202898551,0.106292160308373,0.11103442834961,0.119286510590858,0.111594202898551,0.133333333333333,0.0477419388576867,0.119286510590858,-0.0120571947283206,0.0781710584459381,-0.0423076923076923,0.205882352941176,0.2,-0.207573409851746,-0.201882352941176,-0.0607842803122515,0.191402116402116,-0.1,0.134867105497242,0.152675324675325,-0.0861548582860058,-0.214786683904331,-0.0135095996108113,-0.1,-0.1,-0.0552631578947368,-0.103225806451613,-0.24481884057971,-0.258114481393122,-0.077871468587435,-0.078671468587435,0.2,0.13815987933635,-0.0910738909629032
"ILK",0.236968641114983,-0.133333333333333,-0.166666666666667,-0.150980392156863,0.0534188034188034,0.0423076923076923,0.05,0.1,0.05,0.0107894736842105,0.0912678185889957,0.1,0.167809523809524,-0.152675324675325,-0.152675324675325,0.1,0.140262662442026,0.148459383753501,0.119047619047619,0.133333333333333,0.133333333333333,0.111594202898551,0.106292160308373,0.11103442834961,0.119286510590858,0.111594202898551,0.133333333333333,0.0477419388576867,0.119286510590858,-0.0120571947283206,0.0781710584459381,-0.0423076923076923,0.205882352941176,0.2,-0.207573409851746,-0.201882352941176,-0.0607842803122515,0.191402116402116,-0.1,0.134867105497242,0.152675324675325,-0.0861548582860058,-0.214786683904331,-0.0135095996108113,-0.1,-0.1,-0.0552631578947368,-0.103225806451613,-0.24481884057971,-0.258114481393122,-0.077871468587435,-0.078671468587435,0.2,0.13815987933635,-0.0910738909629032
"AKT",0.23396112231799,-0.150980392156863,-0.133333333333333,-0.13815987933635,0.0502609086819613,0.0534188034188034,0.0423076923076923,0.05,0.05,0.0180742418961311,0.0927753562774379,0.1,0.160950318033351,-0.134867105497242,-0.134867105497242,0.133333333333333,0.154186713074937,0.140262662442026,0.148459383753501,0.111594202898551,0.119047619047619,0.119286510590858,0.11103442834961,0.10580365911884,0.106292160308373,0.119286510590858,0.111594202898551,0.0580810621000358,0.105320030143931,-0.0164404770932544,0.0801407554156351,-0.0400854700854701,0.201882352941176,0.205882352941176,-0.202437458190114,-0.207573409851746,-0.0580445542848542,0.176482761563407,-0.133333333333333,0.147156262123748,0.134867105497242,-0.0850853395694283,-0.205469913717996,-0.0180967555741141,-0.1,-0.103225806451613,-0.0629554655870445,-0.110542879622345,-0.249580745341615,-0.254004892352026,-0.080901771617738,-0.077871468587435,0.166666666666667,0.049270990447461,-0.0873144924666626
