"","cateninmemb","Ecadherin","Jagged","cateninnuc","TCFLEF","CDC42","CD44","TGFR","TGF","STAT","RAS","PI3K","DELTA","SMAD","FOXC2","AXIN2","LIV1","SHH","Csn","SNAI2","miR200","RKIP","SNAI1","ERK","MEK","TWIST1","cfos","ZEB2","ZEB1","EGR1","AKT","IKK","Patched","TrCP","SUFU","NFB","SMO","HEY1","FUS","KLF4","ILK","DSH","Destcompl","RAF","Frizzled","SOSGRB2","Csl","NOTCHic","NOTCH","Wnt","GLI","SRC","cMet","PAK1","GSK3"
"Jagged",-0.121377355039327,-0.149789473684211,-0.0797402597402597,-0.0976623376623377,-0.0921678321678322,-0.2,-0.0830769230769231,-0.211111111111111,-0.223111111111111,0,-0.0139393939393939,0.0133333333333333,0.0133333333333333,-0.0619047619047619,-0.214285714285714,-0.0428571428571429,0,-0.0352564102564102,0,0.0622171945701357,0.452121212121212,-0.174358974358974,-0.125,-0.02,-0.0533333333333333,-0.071,0,-0.435990338164251,-0.435990338164251,0.1,0.0666666666666667,0.0333333333333333,0.0583333333333333,0,0,0,0.0333333333333333,0.166666666666667,0,-0.405555555555556,0.0666666666666667,0,0.0762625482625483,-0.0133333333333333,0,0.12,-0.1,-0.08,-0.0371428571428572,0.06,0.0830769230769231,0,0.06,0.2,0.0310344827586207
"cfos",-0.344927816521788,-0.31537950235766,-0.149930555555556,-0.291940356197782,-0.284903319160745,-0.219047619047619,-0.272032032032032,-0.20140056022409,-0.183218742042271,-0.2,-0.130041447473298,-0.12516339869281,-0.12516339869281,-0.0672213688342721,-0.123026576484252,-0.18136288998358,-0.1,0.00554702167605393,-0.0333333333333333,-0.0908784402944987,0.440926067396656,-0.103473193473193,-0.0556085264946024,-0.00956521739130435,0.0260280029476787,0.0438874458874459,0.04,-0.419541488911949,-0.419541488911949,0.12,0.00701754385964912,0.0333333333333333,-0.00184331797235023,0,0.0333333333333333,0.0583333333333333,0.0142857142857143,0.0623188405797101,0.0476190476190476,-0.429365079365079,0.0656084656084656,0.2,0.259746704243319,0.12516339869281,0.24,0.186111111111111,0.1,0.1,0.0923076923076923,0.258518518518518,0.271676413255361,0.24,0.258518518518518,0.214285714285714,0.124412878787879
"CDC42",-0.344927816521788,-0.31537950235766,-0.149930555555556,-0.291940356197782,-0.284903319160745,-0.219047619047619,-0.272032032032032,-0.20140056022409,-0.183218742042271,-0.2,-0.130041447473298,-0.12516339869281,-0.12516339869281,-0.0672213688342721,-0.123026576484252,-0.18136288998358,-0.1,0.00554702167605393,-0.0333333333333333,-0.0908784402944987,0.440926067396656,-0.103473193473193,-0.0556085264946024,-0.00956521739130435,0.0260280029476787,0.0438874458874459,0.04,-0.419541488911949,-0.419541488911949,0.02,0.00701754385964912,0.0333333333333333,-0.00184331797235023,0,0.0333333333333333,0.0583333333333333,0.0142857142857143,0.0623188405797101,0.0476190476190476,-0.429365079365079,0.0656084656084656,0.2,0.259746704243319,0.12516339869281,0.24,0.186111111111111,0.1,0.1,0.0923076923076923,0.258518518518518,0.271676413255361,0.24,0.258518518518518,0.114285714285714,0.124412878787879
"EGR1",-0.349689721283692,-0.317663239381882,-0.15851951261077,-0.294423114818472,-0.291940356197782,-0.20140056022409,-0.284903319160745,-0.183218742042271,-0.175568468818228,-0.24,-0.133677811109662,-0.130041447473298,-0.130041447473298,-0.0620600785116914,-0.10992312820839,-0.18765219815968,-0.2,0.00954702167605393,-0.0583333333333333,-0.102632509010593,0.430773783132696,-0.0929759559041327,-0.0529832281652468,0.0260280029476787,0.0460280029476787,0.0547570111048372,0.00956521739130435,-0.411502903702946,-0.411502903702946,0.04,-0.00224171539961014,0.00701754385964912,-0.00554702167605393,0.0333333333333333,0.0476190476190476,0.0333333333333333,-0.00184331797235023,0.0593776641091219,0.0142857142857143,-0.414610981004424,0.0672213688342721,0.24,0.263806854619259,0.130041447473298,0.258518518518518,0.189081408140814,0.1,0.0923076923076923,0.0923076923076923,0.271676413255361,0.28387153520658,0.258518518518518,0.272032032032032,0.219047619047619,0.126958333333333
"SNAI2",0.51545328251589,0.560159930357502,0.353585646990067,0.385923609507511,0.382507460439188,-0.103081232492997,0.37694045012991,-0.117611147022912,-0.126306799196825,0.305454545454545,0.339256503429229,0.332407188360736,0.332407188360736,-0.0445572959286821,-0.386437408515028,0.20143836873106,0.26,-0.337069137514161,-0.2,0.67154438655855,0.345716552294487,-0.302102564102564,-0.294713369310661,-0.309803921568627,-0.330074191838898,-0.407298595690611,0.276470588235294,-0.334872246696035,-0.334872246696035,0.2,0.314800581636892,0.299137931034483,0.31594237695078,0.1,0.2,0.275,0.289411764705882,0.0474080771549126,0.26,-0.311730769230769,0.0325955734406439,-0.305454545454545,-0.288506765205355,-0.332407188360736,-0.341168831168831,-0.191075050709939,-0.128070175438597,-0.133333333333333,-0.135930735930736,-0.365112493140662,-0.377411958381304,-0.341168831168831,-0.365112493140662,0.0745098039215686,-0.275605744819369
"Csn",-0.178806864231316,-0.234328044518707,-0.0745494734451063,-0.0418042899721434,-0.0372943681441217,-0.0945386702849389,-0.0308634999769192,-0.0881284138746825,-0.0764339031348257,1.11022302462516e-17,-0.0485592579258293,-0.0479834421868658,-0.0479834421868658,-0.0589772542804984,-0.0602972445429967,0.00729884718287693,0.0666666666666667,-0.0246478153141294,-0.105,0.0356050728431352,0.341145520417013,-0.0262100095026924,0.0213054241011512,-0.0381818181818182,-0.0194318181818182,-0.0250709054075113,0.0472727272727273,-0.32713482216708,-0.32713482216708,0.02,0.0991,0.1175,0.0238281431829819,-0.02,0.0428571428571429,0.13,0.0378066378066378,0.0490199335548173,0.0650793650793651,-0.334672125260361,0.0556353519668737,-1.11022302462516e-17,0.213704566642521,0.0479834421868658,0.0241379310344827,0.0210653753026634,0.132828282828283,0.134126984126984,0.124511599511599,0.027752388865808,0.03080915742476,0.0241379310344827,0.027752388865808,0.0840909090909091,0.11480594100682
"Ecadherin",0.451545703618874,0.297069447171073,0.290670215131669,0.322081930638095,0.320494629050794,-0.122121212121212,0.318377568029623,-0.127487065779749,-0.133092852398194,0.296078431372549,0.28730103558398,0.286463046757164,0.286463046757164,-0.050874828929361,-0.348661414906582,0.149295801007535,0.266666666666667,-0.300366184065701,-0.26,0.417322889247942,0.328771290782464,-0.276682903328168,-0.255182240421787,-0.288803131374387,-0.300959994119485,-0.364391767383552,0.275401069518717,-0.317255660058985,-0.317255660058985,0.263636363636364,0.287561327561328,0.275873015873016,0.293279569892473,0.2,0.233333333333333,0.264761904761905,0.275,0.0556789598084505,0.25,-0.305438349742147,0.048695652173913,-0.296078431372549,-0.240325382992152,-0.286463046757164,-0.312357501139991,-0.159579158015106,-0.0814354066985646,-0.0824663345336161,-0.0776336207789693,-0.317529914933094,-0.319529914933094,-0.312357501139991,-0.316705327226947,0.115454545454545,-0.229896992107555
"cateninmemb",0.354220847637845,0.290014735041909,0.290670215131669,0.322081930638095,0.320494629050794,-0.122121212121212,0.318377568029623,-0.127487065779749,-0.133092852398194,0.296078431372549,0.28730103558398,0.286463046757164,0.286463046757164,-0.050874828929361,-0.348661414906582,0.149295801007535,0.266666666666667,-0.300366184065701,-0.26,0.417322889247942,0.328771290782464,-0.276682903328168,-0.255182240421787,-0.288803131374387,-0.300959994119485,-0.364391767383552,0.275401069518717,-0.317255660058985,-0.317255660058985,0.263636363636364,0.287561327561328,0.275873015873016,0.293279569892473,0.2,0.233333333333333,0.264761904761905,0.275,0.0556789598084505,0.25,-0.305438349742147,0.048695652173913,-0.296078431372549,-0.240325382992152,-0.286463046757164,-0.312357501139991,-0.159579158015106,-0.0814354066985646,-0.0824663345336161,-0.0776336207789693,-0.317529914933094,-0.319529914933094,-0.312357501139991,-0.316705327226947,0.115454545454545,-0.229896992107555
"HEY1",0.449494421567592,0.397069447171073,0.292272045795284,0.320494629050794,0.318377568029623,-0.115454545454545,0.316705327226947,-0.122121212121212,-0.127487065779749,0.266666666666667,0.286463046757164,0.282051282051282,0.282051282051282,-0.048695652173913,-0.340194595684614,0.148677244306504,0.233333333333333,-0.293279569892473,-0.2,0.413409584010133,0.312942612942613,-0.265821480107194,-0.250751860674951,-0.275401069518717,-0.288803131374387,-0.359363834422658,0.263636363636364,-0.302089783281734,-0.302089783281734,0.2,0.275873015873016,0.264761904761905,0.275,0.1,0.2,0.26,0.25,0.0482964094728801,0.233333333333333,-0.285185185185185,0.04,-0.266666666666667,-0.240232186347231,-0.282051282051282,-0.296078431372549,-0.155631789594054,-0.0709090909090909,-0.0814354066985646,-0.0824663345336161,-0.312357501139991,-0.317529914933094,-0.296078431372549,-0.312357501139991,0.0954545454545455,-0.230559243763185
"FOXC2",0.449494421567592,0.397069447171073,0.292272045795284,0.320494629050794,0.318377568029623,-0.115454545454545,0.316705327226947,-0.122121212121212,-0.127487065779749,0.266666666666667,0.286463046757164,0.282051282051282,0.282051282051282,-0.048695652173913,-0.340194595684614,0.148677244306504,0.233333333333333,-0.293279569892473,-0.2,0.413409584010133,0.312942612942613,-0.265821480107194,-0.250751860674951,-0.275401069518717,-0.288803131374387,-0.359363834422658,0.263636363636364,-0.302089783281734,-0.302089783281734,0.2,0.275873015873016,0.264761904761905,0.275,0.1,0.2,0.26,0.25,0.0482964094728801,0.233333333333333,-0.285185185185185,0.04,-0.266666666666667,-0.240232186347231,-0.282051282051282,-0.296078431372549,-0.155631789594054,-0.0709090909090909,-0.0814354066985646,-0.0824663345336161,-0.312357501139991,-0.317529914933094,-0.296078431372549,-0.312357501139991,0.0954545454545455,-0.230559243763185
