"","GSK3","SNAI2","Ecadherin","PAK1","RAS","CDC42","ZEB2","PI3K","DELTA","GLI","FOXC2","STAT","SOSGRB2","TCFLEF","cateninnuc","Destcompl","TWIST1","Csl","NOTCHic","NFB","NOTCH","IKK","ERK","cfos","SNAI1","Jagged","AKT","Csn","SMAD","ILK","TrCP","SUFU","SMO","Patched","EGR1","ZEB1","HEY1","SHH","FUS","RKIP","MEK","KLF4","miR200","SRC","AXIN2","Frizzled","cMet","CD44","Wnt","DSH","TGFR","RAF","TGF","LIV1","cateninmemb"
"SHH",-0.00769230769230769,0.212337164750958,-0.00638888888888889,0,0.161538461538462,0.0333333333333333,-0.2,0.2,0.2,0.15,-0.125,0.1,0,0.07,0.07,0.00701298701298702,-0.05,0.1,0.2,0,0.2,0.1,-0.1,-0.1,-0.116666666666667,0.0942857142857143,0.1,0,0.05,0.0666666666666667,0,0,0.1,0.133333333333333,0,-0.05,0.0666666666666667,-0.173333333333333,0,0.12,0.04,0.2,0.0666666666666667,-0.1,0.00952380952380952,-0.2,-0.1,-0.05,-0.2,-0.2,-0.0333333333333333,-0.2,-0.0133333333333333,0,-0.0850179211469534
"TCFLEF",-0.0334048819844734,0.215989454526621,0.0984223977410356,-0.174358974358974,0.0418233392139994,-0.179010137149672,-0.19781379585327,0.0430059936161019,0.0430059936161019,0.108000946197877,-0.179087532955568,0.0958333333333333,-0.0937994779671426,0.00526173447249113,0.00783905406012,-0.039551327434388,-0.00293294271557336,0.187199107285191,0.193081460226367,0.0983896103896104,0.177466842286168,0.0983896103896104,-0.00708478513356562,-0.0289895470383275,-0.169582827679062,0.108521659691616,0.0809983060417843,0.11038961038961,0.0386426707594062,0.0395986937039569,0.0285714285714286,0.0833333333333333,0.0804761904761905,0.0933794162826421,-0.0314285714285714,-0.020805378344852,-0.00892010023154756,-0.0872444469574887,-0.09,0.15386462781834,0.0322548531607765,0.0985628342245989,0.057233696691528,-0.110833333333333,-0.0358598290598291,-0.107156862745098,-0.0980128205128205,-0.112478229317852,-0.0943363499245852,-0.092156862745098,0.179944716588924,-0.0430059936161019,0.184911604006143,-0.133333333333333,-0.107010616569237
"FUS",-0.00342225665146729,0.210780526296653,-0.00671508834718617,0.0133333333333333,0.172002943106452,0.005,-0.192748084988389,0.172439624329159,0.172439624329159,0.158653846153846,-0.115970961887477,0.05,0.00425101214574899,0.0670873786407767,0.0662721612494724,0.00367101692513338,-0.0266918751211945,0.209090909090909,0.199090909090909,0.142857142857143,0.196818181818182,0.114857142857143,-0.0507226107226107,-0.0476923076923077,-0.119443236819987,0.0944610186778861,0.111010989010989,0.1,0.0449308755760369,0.0442857142857143,0.1,0.133333333333333,0.173333333333333,0.19,-0.04,-0.029762399916814,0.0328236980410894,-0.180909090909091,-0.173333333333333,0.103570610374734,0.0564697371593923,0.182194899817851,0.0638592973221373,-0.07,-0.00926744419997793,-0.1625,-0.07,-0.0670873786407767,-0.1625,-0.15,-0.0158108108108108,-0.172439624329159,-0.0147469810235768,-0.1,-0.080338170886306
"GLI",-0.0958296009846118,-0.274239868615362,-0.158976015759663,-0.125,-0.0221592428563699,-0.135344827586207,-0.17186695681857,-0.0215651834504294,-0.0215651834504294,-0.121173240744479,-0.215789366185071,-0.1,-0.164587978393288,-0.101730497723335,-0.101192541955254,-0.0962579734284171,-0.122540080180148,-0.0205481874447392,-0.0180481874447392,-0.00350877192982455,-0.0104291398256916,0.00261367704976729,-0.0706926406926407,-0.0538095238095238,-0.0860742214774473,0.00122187485286109,0.0104261770497673,0.0333333333333333,0.0431315791980821,0.0404288764953794,0.0666666666666667,0.019047619047619,0.0335213032581454,0.0273988542785535,-0.0371428571428571,-0.0291545485577744,0.0395341359263261,-0.0311025579822572,-0.044047619047619,0.0609885777909611,0.0679302097534142,0.17391848991849,0.0174649292915547,0.103225806451613,0.0869791666666667,0.0232258064516129,0.0959087332808812,0.101081147073985,0.0173434535104364,0.02,0.137231620039037,0.0215651834504294,0.132290443568449,0.1,0.16618365035208
"ZEB2",-0.176779720604637,-0.168592211052116,-0.158347338956818,-0.150649350649351,-0.139934369698824,-0.137922077922078,-0.135507479774065,-0.12987012987013,-0.12987012987013,-0.121240563717628,-0.118840714840715,-0.11,-0.109120879120879,-0.108322213985668,-0.105594941258396,-0.103901895504728,-0.10150196053372,-0.0717948717948718,-0.0624615384615385,-0.0583333333333333,-0.0564506094997898,-0.0561111111111111,-0.0505942275042445,-0.0473684210526316,-0.0445528688353747,-0.0379996308522845,-0.036484942886812,-0.0333333333333333,-0.00994695502596567,-0.00262988185523396,0,0,0,0,0,0.00519929565146219,0.00831039927814121,0.00909090909090909,0.0142857142857143,0.0189210950080515,0.0335210567725372,0.0395075996723245,0.0757073986962036,0.09,0.0956125048706651,0.102727272727273,0.103157894736842,0.111491228070175,0.112983682983683,0.122727272727273,0.126357452071738,0.12987012987013,0.131648457362743,0.15,0.180062067971093
"STAT",-0.047196261682243,-0.178345198286093,-0.218907544694509,-0.222727272727273,-0.135640423811464,-0.203977272727273,-0.132409897794513,-0.137132961124897,-0.137132961124897,-0.0843773873185638,-0.193067484662577,-0.0857142857142857,-0.0872742200328407,-0.0852232065165819,-0.0862959121184889,-0.0649223056639896,-0.168626509256194,-0.00588235294117647,-0.0139904610492846,0.03,-0.0110778396900613,0.0157142857142857,0.0392156862745098,0.0333333333333333,-0.0506453379435911,0.0234018336653503,0.0241888619854722,0.05,0.0579626853240047,0.06256038647343,0,-0.1,-0.0666666666666667,-0.0736434108527132,0.0333333333333333,-0.0218307333691949,0.062,0.0762982781093504,0.1,0.0268243243243243,-0.0273877292852625,0.0352545058427411,0.00994183002804645,0.0857142857142857,0.0647109752992106,0.0857142857142857,0.0902597402597403,0.0842768342768343,0.0902597402597403,0.0857142857142857,0.211872009569378,0.137132961124897,0.215253652081455,0,0.202327487199984
"TrCP",0.017659632034632,-0.251694895390728,-0.138245674348249,-0.171428571428571,-0.102462477476825,-0.181232492997199,-0.130024936019424,-0.100644295658643,-0.100644295658643,-0.0870403651404935,-0.156124417807493,-0.1,-0.126760176017602,-0.0902858303848403,-0.0887685890055299,-0.0759037635582733,-0.0896178242047807,0.0102564102564103,0.017948717948718,0.0375,0.0267399267399267,0.0427631578947368,0.0396168017686072,0.0582608695652174,-0.0182824729926026,0.0386801295160191,0.0538742690058479,0.075,0.0624918928144735,0.0605564089435057,0.1,-0.114285714285714,-0.0841781874039939,-0.0854127553052284,0.08,-0.0173456411830632,0.0577961019490255,0.0824127553052284,0.080952380952381,-0.000673930121443924,-0.0436168017686072,0.133428571428571,0.00986157268629649,0.0888888888888889,0.0802875112309075,0.0888888888888889,0.0834834834834835,0.0884339785329884,0.083625730994152,0.1,0.178202189966896,0.100644295658643,0.173830605267442,0.1,0.149745850907264
"TWIST1",0.0899539241429309,0.377192568026279,0.202479268861895,0.135151515151515,0.117787968974447,0.124806687565308,-0.0984818151484818,0.118815366234721,0.118815366234721,0.0946382623224729,0.0999903790882785,0.0857142857142857,0.0256097322458879,0.0941752100977972,0.0945777402875614,0.0858199419291791,0.081751343939559,0.0414814814814815,0.0363532763532764,0.0269230769230769,0.0401268612589367,0.0126373626373626,-0.0381311975591152,-0.0197101449275362,-0.0788521872373573,-0.00772739825181331,0.0126373626373626,0.05,-0.121972827913422,-0.124943124943125,0,0.233333333333333,0.210222222222222,0.217071537290715,-0.00666666666666668,-0.0662408022057145,-0.133147078909791,-0.216578926453277,-0.222222222222222,0.0732314493184058,0.039623734872548,0.0907233687721493,0.0768099081158509,-0.0912698412698413,-0.0835073528621916,-0.0912698412698413,-0.0997804795677136,-0.0961660217363883,-0.0986382623224729,-0.0857142857142857,-0.128556687565308,-0.118815366234721,-0.133340286654147,-0.1,-0.199664092043498
"RKIP",0.108195429472025,-0.302110800256455,-0.149852552655845,-0.0333333333333333,0.0724747474747475,-0.04,-0.0338986131037781,0.0613636363636364,0.0613636363636364,-0.0271794871794872,-0.0431329207191276,0,-0.0578412698412698,-0.0164949086001718,-0.0223473259029707,0.0194538442554722,-0.0861289364230541,-0.0666666666666667,-0.0848484848484849,-0.0571428571428571,-0.0733100233100233,-0.0696428571428571,-0.0603448275862069,-0.05,-0.00165041560829942,-0.0831736599563425,-0.060551948051948,-0.1,-0.0649800666844605,-0.0679503637141635,-0.1,0.1,0.0666666666666667,0.0466666666666667,-0.1,-0.0143299856527977,-0.0583430120015486,-0.0614207650273224,-0.0666666666666667,-0.109243697478992,0.0326852531181218,0.0318986131037781,0.00615307465680436,0.0333333333333333,0.0153422409751524,0.0333333333333333,0.0175438596491228,0.0213900134952767,0.0233333333333333,0,0.0495238095238095,-0.0613636363636364,0.0448509123275478,0,0.138641330406036
"RAF",0.108195429472025,-0.302110800256455,-0.149852552655845,-0.0333333333333333,0.0724747474747475,-0.04,-0.0338986131037781,0.0613636363636364,0.0613636363636364,-0.0271794871794872,-0.0431329207191276,0,-0.0578412698412698,-0.0164949086001718,-0.0223473259029707,0.0194538442554722,-0.0861289364230541,-0.0666666666666667,-0.0848484848484849,-0.0571428571428571,-0.0733100233100233,-0.0696428571428571,-0.0603448275862069,-0.05,-0.00165041560829942,-0.0831736599563425,-0.060551948051948,-0.1,-0.0649800666844605,-0.0679503637141635,-0.1,0.1,0.0666666666666667,0.0466666666666667,-0.1,-0.0143299856527977,-0.0583430120015486,-0.0614207650273224,-0.0666666666666667,-0.109243697478992,0.0326852531181218,0.0318986131037781,0.00615307465680436,0.0333333333333333,0.0153422409751524,0.0333333333333333,0.0175438596491228,0.0213900134952767,0.0233333333333333,0,0.0495238095238095,-0.0613636363636364,0.0448509123275478,0,0.138641330406036
"MEK",0.120234741511337,-0.305273817288085,-0.149488253930891,-0.04,0.0683477633477634,-0.0495238095238095,-0.0307240099291749,0.0724747474747475,0.0724747474747475,-0.0222843822843823,-0.0404302180164249,-0.0333333333333333,-0.0689523809523809,-0.0223473259029707,-0.0193733482078035,0.0106672333768111,-0.0784366287307464,-0.0848484848484849,-0.0733100233100233,-0.0696428571428571,-0.0842589284195124,-0.060551948051948,-0.0326852531181218,-0.0603448275862069,-0.00870169765958147,-0.0790752993006048,-0.0758460656990069,-0.0571428571428571,-0.0653490703744974,-0.0649800666844605,-0.1,0.0666666666666667,0.0466666666666667,0.0614207650273224,-0.05,-0.00877443009724215,-0.0583430120015486,-0.0581527911711133,-0.0666666666666667,-0.118454223794781,-0.0556480802152115,0.0338593974175036,0.00336669694782604,0.0175438596491228,0.00903593466884606,0.0233333333333333,0.0213900134952767,0.0164949086001718,0.0271794871794872,0.0333333333333333,0.0448509123275478,-0.0724747474747475,0.0433910583129493,0,0.142299866991402
