"","PAK1","FOXC2","CDC42","TGFR","ERK","MEK","SNAI2","SOSGRB2","AXIN2","TrCP","GLI","Csn","TCFLEF","cateninnuc","Ecadherin","HEY1","NFB","IKK","AKT","ZEB2","LIV1","Destcompl","Patched","Csl","ZEB1","NOTCHic","NOTCH","miR200","RAF","DELTA","GSK3","PI3K","RAS","TWIST1","KLF4","cateninmemb","Jagged","SHH","SMO","ILK","SMAD","FUS","STAT","SUFU","SRC","DSH","cMet","SNAI1","Frizzled","CD44","Wnt","RKIP","EGR1","TGF","cfos"
"TCFLEF",-0.476923076923077,-0.4684545630862,-0.462969588550984,-0.463904167990236,-0.0951684088269454,-0.0938078646092583,-0.229123266988865,-0.424082911100875,0.539284981684982,-0.171428571428571,0.1831008434589,-0.198701298701299,0.0822527377526405,0.0844005040756645,0.0514069247833621,-0.031309290449456,-0.194701298701299,-0.194701298701299,-0.200136081309994,-0.372466108452951,0.2,0.123876528756198,-0.128970814132104,-0.283229714650088,0.034462209817473,-0.283229714650088,-0.292864266145104,-0.294879778855682,0.294473161144641,0.294473161144641,-0.15329132358282,-0.294473161144641,-0.294078943010607,0.311237766913116,0.269081041507512,-0.0430809154477867,0.131067476803691,0.132038298794681,0.133809523809524,-0.018560188349662,-0.0183689837607519,0.143333333333333,-0.175,0.15,-0.175,-0.170588235294118,-0.191239316239316,0.249528398147645,-0.170588235294118,-0.188094662151266,-0.186827551533434,0.166883868301419,0.0771428571428571,0.470857810374342,0.0942160278745645
"RKIP",-0.2,-0.219245505452402,-0.206666666666667,-0.216190476190476,-0.367241379310345,-0.377879677182685,-0.507003263973888,-0.388190476190476,-0.155098452883263,-0.2,-0.133076923076923,-0.2,-0.131836584468163,-0.130055413984703,-0.153386566944703,-0.10572977158343,-0.214285714285714,-0.226785714285714,-0.211634199134199,-0.317160210425634,0,-0.0768430717234629,-0.0653333333333333,-0.188888888888889,0.0361166905786705,-0.197979797979798,-0.186441336441336,-0.244695117665719,0.0642857142857143,0.0642857142857143,-0.0964539007092199,-0.0642857142857143,-0.06001221001221,0.0981996434937611,0.315160210425634,0.0762530597824716,0.0549842347804996,0.0669726775956284,0.0933333333333333,0.0788083012409071,0.0738578061914022,0.133333333333333,0.1,0.1,0.1,0.1,0.105263157894737,0.138026930325294,0.1,0.12834008097166,0.11,0.245798319327731,0.3,0.202171784601691,0.35
"SMAD",-0.211904761904762,-0.2060826769105,-0.199228705566734,-0.203139320091873,-0.229996784910513,-0.220381400295129,-0.184886311136261,-0.220400769003254,-0.0241864551823869,-0.1,-0.0359883521754025,-0.0888888888888889,-0.0237520191251535,-0.0219283109184665,-0.0217535774096139,-0.0637248662282253,-0.0936507936507937,-0.0916900093370682,-0.0956900093370682,-0.312198459649054,-0.02,-0.0373354077420978,-0.0287538226299694,-0.0828571428571429,0.0981869754900248,-0.0886042692939245,-0.0909852216748769,-0.208369967544802,0.151445282519518,0.151445282519518,-0.109681961035344,-0.151445282519518,-0.14585317725636,0.0743956639496077,0.311826957844431,0.00163313469955285,0.0498635665409859,0.0283820754180735,0.0241666666666667,0.0313574097135741,-0.0672140188578545,0.0291666666666667,0.0342857142857143,0.0416666666666667,0.0176190476190476,0.0476190476190476,0.0176190476190476,0.104191638110993,0.030952380952381,0.0230735930735931,0.030952380952381,0.13837764931392,0.228571428571429,0.205131351964383,0.225345622119816
"GLI",-0.316666666666667,-0.216028336773306,-0.313218390804598,-0.318878768163088,-0.331948051948052,-0.321450814378991,-0.140167892430469,-0.458758763360533,0.128834541062802,-0.0333333333333333,0.0775307844483023,-0.0222222222222222,0.0971221728432993,0.0977796743376209,0.0750564873684694,0.00975930784929087,-0.0485380116959064,-0.050578828022437,-0.059953828022437,-0.298701826250213,0.1,0.0927836160998068,-0.0906552094522019,-0.0559858532272325,0.0944459805427547,-0.0634858532272325,-0.0711049008462802,-0.196950067476383,0.208081286229176,0.208081286229176,-0.0221179713501271,-0.208081286229176,-0.205110989199473,0.121156378991693,0.291396825396825,-0.0566986037985797,0.0230862732989908,0.0943589131559057,0.0804511278195489,-0.0129822693208297,-0.0146038909424513,0.0857142857142857,-0.08,0.0857142857142857,-0.0961290322580645,-0.16,-0.101007081038552,0.0905035401569375,-0.176129032258065,-0.0984208741420006,-0.17965844402277,0.144214094412704,0.322857142857143,0.324761121104265,0.322857142857143
"SNAI1",-0.199719887955182,-0.198752719071626,-0.201235039470334,-0.210524656956672,-0.200239744534512,-0.198894453054692,-0.134174020706037,-0.262532847624385,0.127833049622249,0.0333333333333333,0.0976761302492271,0.00833333333333333,0.0976419123117655,0.0993972039999431,0.084877977174052,0.0525692510887413,0.0135964912280702,0.00433723196881091,-0.00330165692007797,-0.282758888974652,0.08,0.0806928086987871,0.0357337429595494,-0.00923076923076923,0.0980877212979221,-0.0191208791208791,-0.0232025117739403,-0.187555516220488,0.151356800912038,0.151356800912038,-0.0904278052805281,-0.151356800912038,-0.148401135887407,0.121356172812695,0.278144245758157,-0.0624769977935876,-0.0152773041220578,-0.0367046167459572,-0.0397337429595494,-0.052083973374296,-0.0495009475440377,-0.0508448540706605,-0.0911111111111111,-0.0476190476190476,-0.101921921921922,-0.0911111111111111,-0.100931822912021,-0.0295682898339579,-0.101637426900585,-0.0972281192083172,-0.101149622022536,0.121882964812529,0.195652173913043,0.213548850505059,0.210906411201179
"TrCP",-0.20952380952381,-0.19481371017709,-0.199719887955182,-0.201235039470334,-0.210906411201179,-0.200239744534512,-0.132799565459641,-0.25536303630363,0.129231651020851,0.0333333333333333,0.101149622022536,0.0333333333333333,0.0972281192083172,0.0976419123117655,0.0871152300356545,0.0519740129935033,0.00833333333333333,0.0135964912280702,0.00433723196881091,-0.27943785576432,0.1,0.0798704402777344,0.0397337429595494,-0.00769230769230769,0.0979647200679098,-0.00923076923076923,-0.0191208791208791,-0.182464257815109,0.153174982730219,0.153174982730219,-0.0890416666666667,-0.153174982730219,-0.151356800912038,0.1224843779409,0.272848295602394,-0.0617516091925513,-0.0124537747102931,-0.0357337429595494,-0.0508448540706605,-0.0507936507936508,-0.052083973374296,-0.0476190476190476,-0.08,-0.0476190476190476,-0.0911111111111111,-0.08,-0.101921921921922,0.0722110695966471,-0.0911111111111111,-0.100931822912021,-0.101637426900585,0.117280454352278,0.2,0.210524656956672,0.195652173913043
"PAK1",-0.20952380952381,-0.19481371017709,-0.199719887955182,-0.201235039470334,-0.210906411201179,-0.200239744534512,-0.132799565459641,-0.25536303630363,0.129231651020851,0.0333333333333333,0.101149622022536,0.0333333333333333,0.0972281192083172,0.0976419123117655,0.0871152300356545,0.0519740129935033,0.00833333333333333,0.0135964912280702,0.00433723196881091,-0.27943785576432,0.1,0.0798704402777344,0.0397337429595494,-0.00769230769230769,0.0979647200679098,-0.00923076923076923,-0.0191208791208791,-0.182464257815109,0.153174982730219,0.153174982730219,-0.0890416666666667,-0.153174982730219,-0.151356800912038,0.1224843779409,0.272848295602394,-0.0617516091925513,-0.0124537747102931,-0.0357337429595494,-0.0508448540706605,-0.0507936507936508,-0.052083973374296,-0.0476190476190476,-0.08,-0.0476190476190476,-0.0911111111111111,-0.08,-0.101921921921922,0.0722110695966471,-0.0911111111111111,-0.100931822912021,-0.101637426900585,0.117280454352278,0.2,0.210524656956672,0.195652173913043
"LIV1",-0.20952380952381,-0.19481371017709,-0.199719887955182,-0.201235039470334,-0.210906411201179,-0.200239744534512,-0.132799565459641,-0.25536303630363,0.129231651020851,0.0333333333333333,0.101149622022536,0.0333333333333333,0.0972281192083172,0.0976419123117655,0.0871152300356545,0.0519740129935033,0.00833333333333333,0.0135964912280702,0.00433723196881091,-0.27943785576432,0.1,0.0798704402777344,0.0397337429595494,-0.00769230769230769,0.0979647200679098,-0.00923076923076923,-0.0191208791208791,-0.182464257815109,0.153174982730219,0.153174982730219,-0.0890416666666667,-0.153174982730219,-0.151356800912038,0.1224843779409,0.272848295602394,-0.0617516091925513,-0.0124537747102931,-0.0357337429595494,-0.0508448540706605,-0.0507936507936508,-0.052083973374296,-0.0476190476190476,-0.08,-0.0476190476190476,-0.0911111111111111,-0.08,-0.101921921921922,0.0722110695966471,-0.0911111111111111,-0.100931822912021,-0.101637426900585,0.117280454352278,0.2,0.210524656956672,0.195652173913043
"EGR1",-0.20952380952381,-0.19481371017709,-0.199719887955182,-0.201235039470334,-0.210906411201179,-0.200239744534512,-0.132799565459641,-0.25536303630363,0.129231651020851,0.0333333333333333,0.101149622022536,0.0333333333333333,0.0972281192083172,0.0976419123117655,0.0871152300356545,0.0519740129935033,0.00833333333333333,0.0135964912280702,0.00433723196881091,-0.27943785576432,0.1,0.0798704402777344,0.0397337429595494,-0.00769230769230769,0.0979647200679098,-0.00923076923076923,-0.0191208791208791,-0.182464257815109,0.153174982730219,0.153174982730219,-0.0890416666666667,-0.153174982730219,-0.151356800912038,0.1224843779409,0.272848295602394,-0.0617516091925513,-0.0124537747102931,-0.0357337429595494,-0.0508448540706605,-0.0507936507936508,-0.052083973374296,-0.0476190476190476,-0.08,-0.0476190476190476,-0.0911111111111111,-0.08,-0.101921921921922,0.0722110695966471,-0.0911111111111111,-0.100931822912021,-0.101637426900585,0.117280454352278,0.2,0.210524656956672,0.195652173913043
"Jagged",-0.2,-0.165714285714286,-0.2,-0.188888888888889,-0.26,-0.226666666666667,-0.182051282051282,-0.22,-0.0242857142857143,0,-0.0276923076923077,0,-0.0186013986013986,-0.0175024975024975,-0.0265964912280702,-0.0333333333333333,0,0.0333333333333333,0.0444444444444444,-0.275845410628019,0,-0.0128803088803089,0.0583333333333333,-0.1,0.115458937198068,-0.08,-0.0657142857142857,-0.177575757575758,0.0533333333333333,0.0533333333333333,-0.0187739463601533,-0.0533333333333333,-0.0442424242424242,0.063,0.288888888888889,0.00366563014450339,-0.052034632034632,-0.066025641025641,-0.0333333333333333,-0.0666666666666667,-0.0619047619047619,0,0,0,0,0,0.02,0.0416666666666667,0,0.0276923076923077,0.02,0.0923076923076923,0.1,0.168888888888889,0.2
