"","PAK1","CDC42","TGFR","Ecadherin","EGR1","ERK","NOTCHic","NOTCH","Jagged","Csn","cMet","ZEB2","TCFLEF","cateninnuc","CD44","TrCP","Wnt","GLI","Frizzled","Destcompl","NFB","ILK","SMAD","RAF","HEY1","SNAI2","KLF4","GSK3","RAS","PI3K","DELTA","LIV1","miR200","AKT","Patched","SHH","FUS","IKK","SRC","DSH","ZEB1","SMO","TWIST1","STAT","SOSGRB2","cateninmemb","AXIN2","RKIP","SUFU","Csl","SNAI1","MEK","cfos","TGF","FOXC2"
"Patched",-0.3,-0.4,-0.4,-0.119587378640777,-0.1,-0.16,0.233333333333333,0.242424242424242,0.145396825396825,0,0.1,-0.358333333333333,0.0911111111111111,0.0823732470334412,0.08,0,0.2,0.175,0.2,-0.00771228771228771,0.1,0.116666666666667,0.126666666666667,-0.223076923076923,0.105128205128205,0.300781609195402,0.333333333333333,-0.00512820512820513,0.204326923076923,0.223076923076923,0.223076923076923,-0.1,0.371428571428571,-0.164285714285714,-0.253333333333333,-0.290833333333333,-0.1,-0.15,-0.1,-0.2,0.358333333333333,-0.133333333333333,0.121296296296296,-0.1,0.283333333333333,0.163996415770609,-0.238528138528139,0.154285714285714,0,-0.2,0.131182795698925,0.152307692307692,0.1,0.4,0.3
"SMO",-0.4,-0.4,-0.4,-0.121432397090961,-0.1,-0.152307692307692,0.242424242424242,0.257424242424242,0.156111111111111,0.1,0.08,-0.349858757062147,0.0823732470334412,0.0883882846274262,0.0911111111111111,0,0.175,0.186111111111111,0.2,-0.00926267530918693,0.15,0.126666666666667,0.156825396825397,-0.204326923076923,0.10989010989011,0.296019704433498,0.366666666666667,-0.0119243216330595,0.21130366726297,0.204326923076923,0.204326923076923,-0.1,0.377757685352622,-0.200285714285714,-0.290833333333333,-0.285277777777778,-0.133333333333333,-0.164285714285714,-0.1,-0.2,0.349858757062147,-0.253333333333333,0.112472766884532,-0.1,0.267543859649123,0.158171173052163,-0.241976414390208,0.115396825396825,-0.1,-0.233333333333333,0.124039938556068,0.155337995337995,0.16,0.378378378378378,0.279310344827586
"FUS",-0.4,-0.4,-0.378378378378378,-0.116226917638906,-0.16,-0.155337995337995,0.257424242424242,0.257424242424242,0.162135207496653,0.15,0.0911111111111111,-0.349245260129632,0.0883882846274262,0.0864861107143827,0.0823732470334412,0.1,0.186111111111111,0.176495726495726,0.175,-0.00765683589312854,0.164285714285714,0.156825396825397,0.149728622631848,-0.21130366726297,0.13452779104953,0.296199237647142,0.358469945355191,-0.0156032513989458,0.203006724031529,0.21130366726297,0.21130366726297,-0.1,0.369836893273414,-0.192593406593407,-0.285277777777778,-0.308510101010101,-0.253333333333333,-0.200285714285714,-0.08,-0.2,0.349245260129632,-0.290833333333333,0.105666484162019,-0.1,0.263697705802969,0.162081787577302,-0.237628588303251,0.110242186221568,-0.133333333333333,-0.242424242424242,0.113662580065502,0.142694317177076,0.152307692307692,0.374123059229442,0.271415607985481
"SUFU",-0.4,-0.378378378378378,-0.374123059229442,-0.115917957803685,-0.152307692307692,-0.142694317177076,0.257424242424242,0.263773448773449,0.16332285595271,0.164285714285714,0.0823732470334412,-0.340066516168279,0.0864861107143827,0.088890202785994,0.0883882846274262,0.15,0.176495726495726,0.182071934674165,0.186111111111111,-0.00919856901380903,0.200285714285714,0.149728622631848,0.153192825865105,-0.203006724031529,0.12729887538688,0.294419409038045,0.357871142959982,-0.0135466961290229,0.203956091120136,0.203006724031529,0.203006724031529,-0.1,0.365375926730663,-0.209371930083339,-0.308510101010101,-0.300401992901993,-0.290833333333333,-0.192593406593407,-0.0911111111111111,-0.175,0.340066516168279,-0.285277777777778,0.104635556326967,-0.08,0.25460679671206,0.158534720728735,-0.239736316640487,0.100854431119527,-0.253333333333333,-0.257424242424242,0.111107213796336,0.137162402283459,0.155337995337995,0.365247319584472,0.262730744461908
"SHH",-0.2,-0.3,-0.4,-0.1225,0,-0.1,0.2,0.233333333333333,0.134285714285714,0,0.1,-0.325,0.08,0.0911111111111111,0.1,0,0.2,0.2,0.2,-0.00441558441558441,0,0.0666666666666667,0.116666666666667,-0.2,0.0666666666666667,0.296781609195402,0.3,-0.00512820512820513,0.223076923076923,0.2,0.2,0,0.35,-0.15,-0.133333333333333,-0.253333333333333,0,-0.1,-0.1,-0.2,0.325,-0.1,0.125,-0.1,0.25,0.15010752688172,-0.247619047619048,0.14,0,-0.1,0.166666666666667,0.16,0.1,0.4,0.3
"GLI",-0.205,-0.187758620689655,-0.169519626978963,-0.235972404575754,-0.237142857142857,-0.205649350649351,0.0848585322723254,0.0791442465580397,0.0805270875183286,0.138888888888889,-0.141250983477577,-0.305134749957331,-0.141452506092892,-0.141392733229772,-0.144699259339646,0.0833333333333333,-0.0525996204933586,-0.156429407727401,-0.0561290322580645,-0.0979316907164255,0.133625730994152,0.183340939556696,0.170367966583723,-0.0627535004235388,0.174433640308004,0.0109141877162004,0.311303303303303,-0.0353017598883977,0.0617634014136378,0.0627535004235388,0.0627535004235388,0.15,0.325554156885426,-0.139493077932928,-0.228857858933047,-0.228446336299302,-0.20952380952381,-0.151993077932928,0.146129032258065,0.04,0.305134749957331,-0.241102756892231,-0.00697742080594373,0.13,0.0136371298318201,0.153882365090318,0.184050422705314,-0.0420233688853351,-0.20952380952381,-0.0798585322723254,-0.0211160927839033,0.201781947334433,0.212142857142857,0.166931391684846,0.0708458032335741
"Wnt",-0.3,-0.233333333333333,-0.2,-0.235906298003072,0,-0.0333333333333333,0.135714285714286,0.144047619047619,0.0654656862745098,0.1,-0.15,-0.283931133428981,-0.144924812030075,-0.136315540506896,-0.134210526315789,0.1,-0.15,-0.134210526315789,0,-0.00493781036442037,0.2,0.181196581196581,0.197475650964023,-0.0879699248120301,0.165641025641026,-0.0487931034482759,0.305882352941176,0.0637147335423197,0.0879699248120301,0.0879699248120301,0.0879699248120301,0,0.314242424242424,-0.2175,-0.145454545454545,-0.121645021645022,-0.1,-0.18,0.1,0,0.283931133428981,-0.1,0.000588235294117648,0.1,0.0878787878787879,0.055635593220339,0.185454545454545,0.0816666666666667,0,-0.15,0.0286231884057971,0.0156862745098039,0.0333333333333333,0.165217391304348,0.16995951417004
"TGF",-0.34,-0.295555555555556,-0.262222222222222,-0.14280157034881,-0.166666666666667,-0.16140350877193,0.12,0.116551724137931,0.0459499263622975,0.1,-0.0666666666666667,-0.280077202228232,-0.0608325057927838,-0.0584401612951762,-0.0647798742138365,0,-0.0428571428571429,-0.0409703504043127,-0.0428571428571429,-0.0333618204521345,0.125,0.104545454545455,0.101319648093842,-0.0398809523809524,0.0918117343649258,-0.0316659873541167,0.292804474955505,-0.146541173547044,0.0398809523809524,0.0398809523809524,0.0398809523809524,0,0.295346703105324,-0.148308270676692,-0.0829885057471264,-0.0861135057471264,-0.06,-0.153571428571429,0.0666666666666667,0,0.280077202228232,-0.0933333333333333,0.0896296296296296,0,0.118421052631579,0.0733434315691937,0.067989417989418,-0.00606060606060606,0,-0.12,0.0537889383343929,0.145847953216374,0.166666666666667,0.151507936507937,0.145527950310559
"Frizzled",-0.233333333333333,-0.2,-0.165217391304348,-0.228680190776965,-0.0333333333333333,-0.0156862745098039,0.144047619047619,0.138165266106443,0.0664757872846108,0.2,-0.134210526315789,-0.27304004432007,-0.136315540506896,-0.137744111935468,-0.144924812030075,0.1,-0.134210526315789,-0.144924812030075,-0.15,0.00222399334910748,0.18,0.197475650964023,0.185326118253743,-0.0879699248120301,0.176279323513366,-0.0510013053410203,0.282072829131653,0.0546238244514107,0.082458113788408,0.0879699248120301,0.0879699248120301,0.1,0.295492424242424,-0.19875,-0.121645021645022,-0.137774053903086,-0.1,-0.2175,0.15,0,0.27304004432007,-0.145454545454545,-0.00798319327731092,0.1,0.0606060606060606,0.0597625773473231,0.194756871035941,0.070952380952381,-0.1,-0.135714285714286,0.0270358868184955,0.000871459694989105,0.0333333333333333,0.158550724637681,0.158331607193296
"AKT",-0.120588235294118,-0.0885882352941176,-0.0828971783835485,-0.174010665648978,-0.0333333333333333,-0.000932176149148181,0.13393300248139,0.135152514676512,0.0734605553619147,0.0666666666666667,-0.131059085841695,-0.262019712581544,-0.124440179673601,-0.122594025827447,-0.122584509570508,0.1,-0.131059085841695,-0.123796516009292,-0.120289855072464,-0.00571964229559718,0.107843137254902,0.188136694677871,0.185106391647568,-0.0841636719444939,0.171061292622131,-0.0998265326130009,0.270861448493027,0.0617433940014585,0.0834407803782288,0.0841636719444939,0.0841636719444939,0.1,0.282944544878007,-0.198985328397093,-0.148504273504274,-0.135872694556905,-0.15,-0.089894419306184,0.120289855072464,0.133333333333333,0.262019712581544,-0.134615384615385,-0.0819279268114333,0.133333333333333,0.0304273504273504,0.034295825664588,0.174996733711535,0.0871778477277198,-0.1,-0.140384615384615,0.0644312472001259,-0.0079285833445227,0.0156862745098039,0.0771569971146664,0.0775909285408644
