"","TCFLEF","GSK3","GLI","cMet","Destcompl","Wnt","RAS","Frizzled","RAF","PI3K","DSH","LIV1","ZEB2","SOSGRB2","miR200","AKT","TWIST1","SHH","TGF","IKK","TGFR","CDC42","SUFU","ZEB1","KLF4","PAK1","SNAI1","TrCP","SMAD","ILK","HEY1","Csn","SMO","FUS","NFB","Patched","RKIP","Csl","FOXC2","NOTCHic","NOTCH","EGR1","cfos","SNAI2","ERK","MEK","Jagged","STAT","DELTA","SRC","Ecadherin","CD44","cateninmemb","cateninnuc","AXIN2"
"ZEB2",-0.313608159679324,-0.308194591622014,-0.284572400076987,-0.281578947368421,-0.270020250743259,-0.266223776223776,-0.245255985984037,-0.235454545454545,-0.230909090909091,-0.230909090909091,-0.195454545454545,-0.15,-0.121959282171928,-0.0937728937728938,-0.0723988597585296,-0.0665186915887851,-0.0637439005124546,-0.0631691479252455,-0.0619363705077991,-0.0525,-0.0513543599257885,-0.032987012987013,-0.025,-0.0240280559649695,-0.0149346301214521,-0.012987012987013,-0.00547006175644712,0,0.00343883186548937,0.00892663674353815,0.0190886532822017,0.0333333333333333,0.0364285714285714,0.0392857142857143,0.0458333333333333,0.0486236933797909,0.0502093397745572,0.0743589743589744,0.0797824397824398,0.0863589743589744,0.0912770071458596,0.0916666666666667,0.0969298245614035,0.106504981049262,0.106607243916242,0.113924317086974,0.167783297359066,0.21,0.230909090909091,0.25,0.255171513904071,0.299171539961014,0.311360615301898,0.325036731107895,0.328485829429989
"Destcompl",0.319064072981472,0.310808274306015,0.314231546162724,0.306532893263623,0.239638493280428,0.306995924641388,0.318485712663157,0.300065231572081,0.314247094138825,0.314247094138825,0.29047619047619,0.283333333333333,-0.0930332731304054,0.0968776312342564,0.103520383650399,0.231678220385545,0.25458222649295,0.1012516793277,0.0385221674876847,0.222953388170779,0.0364532019704433,0.0364532019704433,0.0555555555555556,-0.19134480125692,-0.102493534033911,0.0371428571428571,0.184742813782444,0.2,-0.122426900584795,-0.118333333333333,-0.121678321678322,-0.2,-0.0870826491516147,-0.0727969348659004,-0.21304347826087,-0.0979634781671587,0.178915423945743,0.00569526047786917,0.248006225877844,0.00786917352134743,0.0104743839421891,-0.061025641025641,-0.0670862470862471,-0.172897254214898,-0.0643540066490886,-0.0618223610794684,-0.312690543913624,-0.29047619047619,-0.314247094138825,-0.300065231572081,0.00532128182030193,-0.313995579830787,-0.261025302616233,-0.322072742027877,-0.36529403162761
"CD44",-0.135658914728682,-0.243452380952381,-0.133333333333333,-0.2,0.165267925351959,-0.1,0,-0.1,0.0142857142857143,0.0142857142857143,0,-0.1,-0.0793650793650794,-0.378571428571429,0.0873781291172595,0.173333333333333,0.104835164835165,0.109090909090909,-0.0647222222222222,0.166666666666667,-0.0591666666666667,-0.0466666666666667,0.1,-0.117460317460317,0.0253968253968254,-0.0666666666666667,0.102658160552897,0.1,0.128344671201814,0.122222222222222,0.160233918128655,-0.2,-0.1,-0.1,-0.2,-0.1,-0.0937037037037037,0.2,0.1325,0.185714285714286,0.190977443609023,-0.2,-0.25,-0.0471128871128871,-0.29,-0.27,0.148904428904429,0.1,-0.0142857142857143,0.2,0.188363369883835,0.133333333333333,0.201520146520147,0.146428145497913,0.15
"TWIST1",-0.371053243759618,-0.279830502295305,-0.34923842940685,-0.323471800067545,-0.327398660352734,-0.32203842940685,-0.312637404902098,-0.287301587301587,-0.294486719970591,-0.294486719970591,-0.242857142857143,-0.2,-0.0734655708339919,-0.0195055643568229,0.083677811550152,-0.177664990376855,-0.246493135011442,-0.197394666006853,-0.0929166279875179,-0.157326007326007,-0.0785658307210031,-0.0610658307210031,-0.0333333333333333,-0.110495583302601,-0.0653324994788409,-0.0472727272727273,0.072645337515118,0,-0.0512524225395513,-0.0535626535626536,-0.0309058173464953,0.05,0.155111111111111,0.111111111111111,0.119230769230769,0.181138508371385,0.116336379379858,0.0888888888888889,0.0225718767354176,0.0888888888888889,0.0936058700209643,0.24,0.244347826086957,0.119450166890878,0.252242562929062,0.25672017486936,0.283482943282884,0.242857142857143,0.294486719970591,0.287301587301587,0.32390841472998,0.350379430589633,0.376241437427165,0.385486826278307,0.37893633248472
"TGF",-0.347432969215492,0.000674059578169173,-0.288598382749326,-0.27,-0.270790086027228,-0.241428571428571,-0.275,-0.171428571428571,-0.235714285714286,-0.235714285714286,-0.1,0,-0.0571948316113076,0.228947368421053,0.0579753101304825,-0.174812030075188,0.0259259259259259,-0.106156609195402,-0.0193650793650794,-0.164285714285714,0.109206349206349,0.137777777777778,0,-0.150026581605529,-0.0626493770658531,0.16,0.106366815003179,0,-0.0452492668621701,-0.0436363636363636,-0.031785944551902,0.1,0.0933333333333333,0.06,0.15,0.0967816091954023,0.186580086580087,-0.12,0.155854037267081,-0.1,-0.0827586206896552,0.2,0.214285714285714,0.136585078028471,0.240601503759398,0.25171261487051,0.0875920471281296,0.1,0.235714285714286,0.2,0.286032791887705,0.317169811320755,0.352152574911432,0.368485600794439,0.336596119929453
"TGFR",-0.368485600794439,-0.0215753291748871,-0.320211285975133,-0.317169811320755,-0.289540086027228,-0.288598382749326,-0.298976608187135,-0.241428571428571,-0.275,-0.275,-0.171428571428571,-0.1,-0.0568174731207416,0.203021442495127,0.0524034626231512,-0.19109109984263,0.00706471596151312,-0.121410846483538,-0.036386355960824,-0.174812030075188,-0.0193650793650794,0.109206349206349,-0.06,-0.148139789152699,-0.0555065199229959,0.137777777777778,0.0989921837347421,-0.1,-0.052722576470711,-0.0452492668621701,-0.0347710191787677,0.15,0.0967816091954023,0.0933333333333333,0.164285714285714,0.106156609195402,0.188008658008658,-0.1,0.143190281808565,-0.0827586206896552,-0.074844951624907,0.214285714285714,0.240601503759398,0.145149892843286,0.25171261487051,0.264041381993797,0.103534076113637,0.2,0.275,0.27,0.292165670933701,0.347432969215492,0.365085600315589,0.383808895745723,0.376510283019582
"TCFLEF",0.086140188562869,0.212315039669102,0.191679641756368,0.186025641025641,0.29975730952607,0.190437405731523,0.122994782722915,0.182745098039216,0.1212865041421,0.1212865041421,0.162745098039216,0.133333333333333,-0.0475620680489102,0.217500998003992,0.0168858985726456,0.150548332452961,0.11944562763588,0.207769830275273,0.0178932784219426,0.152722245496439,0.0149131459716115,0.000894454382826476,0.233333333333333,0.0850314105972001,-0.0480121594092182,-0.0153846153846154,0.0708054544247013,0.142857142857143,0.0588758015323377,0.052183640920483,0.026918260538586,-0.151948051948052,-0.212380952380952,-0.226666666666667,-0.155948051948052,-0.205929339477727,-0.0244404647104743,0.0201339072214252,0.0962329363598955,0.0103299856527977,0.00601104877572129,0.0342857142857143,0.0464808362369338,-0.0482463107204804,0.0398141695702671,0.0364128090260494,-0.103571173471426,-0.158333333333333,-0.1212865041421,-0.178333333333333,0.0620517794413886,-0.186025641025641,0.034807648129465,-0.0865697418274738,-0.535730402930403
"RAF",0.122782480677218,0.0119385342789598,0.127692307692308,0.115789473684211,0.306997711976777,0.12,0.160031635031635,0.1,0.157467532467532,0.157467532467532,0.1,0,-0.0367680535628886,-0.205396825396825,0.0271839817342231,0.13982683982684,0.220932857991682,0.132808743169399,0.00654205607476635,0.142857142857143,0,0,0.1,-0.0701099952175992,-0.0347680535628886,-0.0333333333333333,0.204951793078961,0.1,0.102831229849557,0.0998609328198545,0.11525358110724,-0.1,-0.133333333333333,-0.133333333333333,-0.142857142857143,-0.121333333333333,-0.0397058823529412,0.111111111111111,0.167712938402594,0.111111111111111,0.103418803418803,-0.26,-0.26,-0.149568106312292,-0.270344827586207,-0.280983125458547,0.0688495432128709,-0.1,-0.157467532467532,-0.1,-0.0424688040613592,-0.123481781376518,-0.108231256466551,-0.125072557013095,-0.15491092358181
"IKK",-0.101219759524844,-0.0190842490842491,-0.0972649572649573,-0.0957264957264957,0.070320196408186,-0.0957264957264957,-0.142226255293406,-0.111111111111111,-0.142226255293406,-0.142226255293406,-0.1,-0.1,-0.0248070175438596,0.107142857142857,-0.00712374581939799,0.0351994851994852,-0.0328104575163399,0.13338441890166,-0.00407676767676767,0.0595238095238095,-0.0176767676767677,-0.0222222222222222,0.1,0.0778997493734336,-0.0205128205128205,0,0.0537390443878994,0,0.137128712871287,0.15,0.15531475748194,-0.1,-0.18,-0.16,-0.142857142857143,-0.154074074074074,0.0561930783242259,0.0272727272727273,0.00744588744588744,0.0415584415584416,0.0209235209235209,0,0.0714285714285714,0.0167293401378816,0.0834285714285714,0.0856507936507937,0.131808809746954,0.1,0.142226255293406,0.111111111111111,0.0897619159659849,0.0972649572649573,0.124325506895339,0.107126932520625,0.128333333333333
"GLI",0.316778208497599,0.222191788913731,0.312411482094554,0.301227380015736,0.291742342940938,0.404326375711575,0.0927455188839428,0.389032258064516,0.0877950238344379,0.0877950238344379,0.36,0.2,-0.0217150537634409,0.285457227138643,0.0190123498792229,0.116913004236782,0.123026648884034,0.251669241445766,0.118695370405807,0.0997255042367824,0.116107135111689,0.107931034482759,0.247619047619048,0.0814598907663424,-0.025994851994852,0.07,0.0354455279335169,0.1,0.0618453889321072,0.0531967402834586,0.061736207576615,-0.111111111111111,-0.224592731829574,-0.235119047619048,-0.105847953216374,-0.234796813462227,0.00456166144348865,0.0327851458885942,0.0115806673546612,0.0177851458885942,0.0234994316028799,0.154285714285714,0.129285714285714,-0.0941057432169819,0.117597402597403,0.119254861160939,-0.0375843176275437,-0.26,-0.0877950238344379,-0.289032258064516,-0.213326954553807,-0.308986000705391,-0.300930985990164,-0.323771633482655,-0.353582427536232
