"","Ecadherin","cateninmemb","LIV1","DSH","KLF4","FUS","SHH","STAT","Frizzled","cateninnuc","SMO","SUFU","SRC","SMAD","AXIN2","ILK","HEY1","Jagged","RKIP","NOTCHic","NOTCH","SNAI1","SOSGRB2","PAK1","MEK","ERK","FOXC2","cfos","EGR1","TGFR","TGF","ZEB2","ZEB1","Csl","CDC42","TWIST1","miR200","SNAI2","TrCP","Patched","Destcompl","TCFLEF","Csn","cMet","CD44","AKT","Wnt","GLI","IKK","NFB","RAF","PI3K","DELTA","RAS","GSK3"
"Csl",0.172777704561548,0.111406629747909,0.02,0.0430769230769231,0.420662525879917,0.041025641025641,0.0423937188463132,0.0430769230769231,0.033986013986014,0.038847274547363,0.0469079939668175,0.0333333333333333,0.033986013986014,0.0261853374443302,0.0196360993508978,0.0245186707776636,0.12371652785975,-0.00454667795106537,-0.0580557415397379,0.00123938879456706,-0.00148788393270566,-0.0841693813432944,-0.0817213210409616,-0.00711111111111111,0.0232712215320911,-0.0276190476190476,0.0150473315021225,0.039047619047619,-0.0533333333333333,0.000700591283702028,0.00410195182791972,-0.426170140835046,-0.426170140835046,-0.00387096774193549,0.00388530465949821,0.115288261201319,-0.443237926454519,0.0682820131012608,-0.0333333333333333,-0.041531649880796,-0.022187493014331,-0.0394762053649731,-0.0222222222222222,-0.0372827172827173,-0.0393235336092479,-0.0395348837209302,-0.0372118204376269,-0.0396311752763366,-0.0403100775193798,-0.0333333333333333,-0.00481992769848842,-0.00481992769848842,-0.00481992769848842,-0.00776110416907666,-0.0499778697497083
"cfos",0.0650433510320663,0.0070812970933937,-0.1,-0.05,0.408095238095238,0.019047619047619,0.0367497297604824,-0.05,-0.01,-0.021958195819582,0.0357142857142857,0.0333333333333333,-0.01,0.021641918416112,-0.0424466338259442,0.0248677248677249,0.0220889555222389,0.0145486111111111,-0.063986013986014,0.0269230769230769,0.0223076923076923,-0.0743427037097923,-0.05,-0.0142857142857143,0.0449226234340457,-0.0669565217391304,0.00366331898613104,0.08,-0.12,0.00532212885154061,0.0038069773363891,-0.418326991813675,-0.418326991813675,-0.05,0.019047619047619,0.0954978354978355,-0.435676088617265,0.0746933358612191,0,-0.0453917050691244,0.035992748122034,0.0215878254492116,-0.0333333333333333,0.0285185185185185,0.0285185185185185,-0.0366228070175439,0.0285185185185185,0.0285185185185185,-0.0208333333333333,-0.00833333333333333,0.0375272331154684,0.0375272331154684,0.0375272331154684,0.0424052818959562,-0.0407873376623377
"CDC42",0.0650433510320663,0.0070812970933937,-0.1,-0.05,0.408095238095238,0.019047619047619,0.0367497297604824,-0.05,-0.01,-0.021958195819582,0.0357142857142857,0.0333333333333333,-0.01,0.021641918416112,-0.0424466338259442,0.0248677248677249,0.0220889555222389,0.0145486111111111,-0.063986013986014,0.0269230769230769,0.0223076923076923,-0.0743427037097923,-0.05,-0.114285714285714,0.0449226234340457,-0.0669565217391304,0.00366331898613104,0.08,-0.02,0.00532212885154061,0.0038069773363891,-0.418326991813675,-0.418326991813675,-0.05,0.019047619047619,0.0954978354978355,-0.435676088617265,0.0746933358612191,0,-0.0453917050691244,0.035992748122034,0.0215878254492116,-0.0333333333333333,0.0285185185185185,0.0285185185185185,-0.0366228070175439,0.0285185185185185,0.0285185185185185,-0.0208333333333333,-0.00833333333333333,0.0375272331154684,0.0375272331154684,0.0375272331154684,0.0424052818959562,-0.0407873376623377
"ILK",-0.0672685187338652,-0.0783204419946918,-0.1,-0.1,0.403508771929825,0,0.0271367521367521,-0.1,-0.0888888888888889,-0.0838578098908269,0.0166666666666667,0,-0.0888888888888889,0.0572565026010404,-0.0698095238095238,0.0612565026010404,0.0683752060000673,0.063859649122807,-0.189786683904331,-0.075,-0.075,-0.221670692431562,-0.147692307692308,0.2,-0.105726224916196,0.110644257703081,-0.209180023228804,-0.104761904761905,0.133333333333333,-0.194117647058824,-0.19818268770923,-0.416518330980087,-0.416518330980087,0.075,-0.194117647058824,0.0126463700234192,-0.430443334541695,0.0195093825571156,-0.2,-0.0243589743589744,-0.0400484243774382,0.0848887377258785,-0.233333333333333,0.0845410628019324,0.09223337049424,-0.253544494720965,0.0845410628019324,0.09223337049424,-0.250980392156863,-0.233333333333333,-0.192952380952381,-0.192952380952381,-0.192952380952381,-0.187472928897586,-0.28466810966811
"DSH",0.00416234206950523,-0.0267632908107245,-0.1,-0.075,0.388773761931957,0.00909090909090909,0.0186269697055369,-0.075,-0.0592105263157895,-0.0654681403283527,0.0233766233766234,0,-0.0592105263157895,0.0455156320357076,-0.0536762383921642,0.0451382735451416,0.0518804375915238,0.042070137075267,-0.155967365967366,-0.0713585434173669,-0.073456445515269,-0.177846790890269,-0.120029563932003,0.0733333333333333,-0.099516438154209,0.0792156862745098,-0.0898387944165178,-0.0792156862745098,0.0733333333333333,-0.0819047619047619,-0.079465737514518,-0.392405665401886,-0.392405665401886,0.0654761904761905,-0.0733333333333333,0.0941852911377317,-0.413222545577728,0.05488994226386,-0.133333333333333,-0.0266024298282363,-0.0307560248178149,0.0657352819133927,-0.113333333333333,0.0734962406015038,0.0662114723895832,-0.14242816091954,0.0734962406015038,0.0663066981178436,-0.132083333333333,-0.125833333333333,-0.133614727584889,-0.133614727584889,-0.133614727584889,-0.137816408257158,-0.180021116840862
"Frizzled",0.00389895313184061,-0.0299435028248588,-0.1,0,0.372268907563025,0,0.0266024298282363,-0.1,-0.075,-0.0657352819133927,0.00909090909090909,0,-0.075,0.0451382735451416,-0.0625369978858351,0.0498111707414033,0.0588979814511729,0.0482716874628639,-0.156666666666667,-0.0654761904761905,-0.0713585434173669,-0.179296066252588,-0.115151515151515,0.0666666666666667,-0.0792156862745098,0.0792156862745098,-0.0894058939836174,-0.0733333333333333,0.133333333333333,-0.0733333333333333,-0.0819047619047619,-0.386893854378264,-0.386893854378264,0.0571428571428571,-0.0733333333333333,0.0899299719887955,-0.402856691919192,0.0515139236375503,-0.1,-0.0233766233766234,-0.0298018263445324,0.0662114723895832,-0.133333333333333,0.0592105263157895,0.0734962406015038,-0.132083333333333,0.0592105263157895,0.0734962406015038,-0.125833333333333,-0.113333333333333,-0.142276144907724,-0.142276144907724,-0.142276144907724,-0.133614727584889,-0.178861024033438
"TGFR",0.00272301010094063,-0.0471560473733173,-0.1,-0.0857142857142857,0.37471123460826,-0.0466666666666667,-0.0469546317942724,-0.0666666666666667,-0.0457142857142857,-0.034417723704954,-0.0501149425287356,-0.0466666666666667,-0.0266666666666667,-0.0462093556388127,-0.0463962122760406,-0.0451417399804497,-0.0289971804420836,-0.0438016264327336,-0.0785281385281385,-0.133908045977012,-0.14182171504176,-0.17672714520663,-0.0456465237166992,-0.12,-0.0504729861182637,0.0312949039264829,0.0134887710542732,-0.0290726817042607,0.0238095238095238,0.0223809523809524,0.0174164133738602,-0.382521820249034,-0.382521820249034,0.116666666666667,0.12952380952381,0.193017661789904,-0.395282291555929,0.098413068878815,-0.0333333333333333,0.0407399425287356,-0.00187471273734771,0.0361006289308176,-0.0333333333333333,0.0361006289308176,0.0413637868255545,-0.0420236638106895,0.0551482479784367,0.0596643770106947,-0.0280701754385965,-0.0333333333333333,-0.0517857142857143,-0.0517857142857143,-0.0517857142857143,-0.0465225563909775,-0.121711898522792
"TGF",0.00340444110605136,-0.0533916131931787,0,-0.1,0.363996948893974,-0.0466666666666667,-0.0407399425287356,-0.1,-0.0857142857142857,-0.0361006289308176,-0.0466666666666667,-0.0666666666666667,-0.0666666666666667,-0.0451417399804497,-0.0468253968253968,-0.0403030303030303,-0.0215344938749194,-0.044526264113893,-0.0670995670995671,-0.116666666666667,-0.133908045977012,-0.181741894469167,-0.0394736842105263,-0.12,-0.0312949039264829,0.0290726817042607,0.0217857142857143,-0.0238095238095238,0.0666666666666667,0.12952380952381,0.0223809523809524,-0.373087857984883,-0.373087857984883,0.126666666666667,0.12,0.189814814814815,-0.384431851673231,0.100033439249185,0,0.0501149425287356,-0.00066503531799287,0.0413637868255545,-0.0333333333333333,0.0266666666666667,0.0361006289308176,-0.0280701754385965,0.0457142857142857,0.0551482479784367,-0.0333333333333333,-0.0333333333333333,-0.05,-0.05,-0.05,-0.0517857142857143,-0.121467399745286
"SUFU",0.0795349648038484,0.118904873031837,0,0.15,0.34141362084574,0.213333333333333,0.229496899496899,0.0466666666666667,0.144444444444444,0.038440637376306,0.241111111111111,0.213333333333333,0.0411111111111111,0.0667911509385099,-0.00127108044870475,0.0660983102918587,0.0729645768933354,-0.0477712577111598,-0.13783832433317,-0.143030303030303,-0.143030303030303,-0.138879538954245,-0.181063673168936,0.218333333333333,-0.081435199674378,0.0682437103126758,-0.0713079535065953,-0.051002331002331,0.0661538461538461,-0.236590952654782,-0.231659986185354,-0.354943967481096,-0.354943967481096,0.136212121212121,-0.229144144144144,0.0909969533953449,-0.376071551204812,0.0206163610153022,-0.15,-0.236060606060606,-0.00364544601176752,-0.040435522286792,-0.107142857142857,-0.0323732470334412,-0.0398920440259224,-0.128233203038572,-0.136752136752137,-0.144558828201951,-0.12621978021978,-0.103142857142857,-0.123984218153127,-0.123984218153127,-0.123984218153127,-0.127465230811355,-0.0391493479986558
"FUS",0.0785050986864437,0.117949893495684,0,0.1,0.32764116575592,0.213333333333333,0.236060606060606,0,0.15,0.040435522286792,0.213333333333333,0.333333333333333,0.0466666666666667,0.0660983102918587,-0.00618911323559,0.0719047619047619,0.0813983118330944,-0.0408828966660292,-0.140695467190313,-0.136212121212121,-0.143030303030303,-0.139731327710634,-0.180364372469636,0.226666666666667,-0.0682437103126758,0.051002331002331,-0.0755263157894737,-0.0661538461538461,0.12,-0.229144144144144,-0.236590952654782,-0.352528508543898,-0.352528508543898,0.121212121212121,-0.218333333333333,0.0887289121582315,-0.369751848602582,0.0184410149375171,-0.1,-0.241111111111111,-0.00465554702186853,-0.0398920440259224,-0.15,-0.0411111111111111,-0.0323732470334412,-0.12621978021978,-0.144444444444444,-0.136752136752137,-0.103142857142857,-0.107142857142857,-0.130534436493739,-0.130534436493739,-0.130534436493739,-0.123984218153127,-0.0358074456850312
"SMO",0.0771352356727451,0.111804642099036,0.1,0.1,0.319444444444444,0.333333333333333,0.241111111111111,0,0.1,0.0398920440259224,0.213333333333333,0.3,0,0.0719047619047619,-0.00556799522316764,0.0766666666666667,0.0886446886446886,-0.0444973544973545,-0.116984126984127,-0.121212121212121,-0.136212121212121,-0.145391705069124,-0.184210526315789,0.266666666666667,-0.051002331002331,0.0661538461538461,-0.065,-0.12,0.1,-0.218333333333333,-0.229144144144144,-0.338418079096045,-0.338418079096045,0.166666666666667,-0.226666666666667,0.0861111111111111,-0.358860759493671,0.0250837438423645,0,-0.213333333333333,-0.00217379519705101,-0.0323732470334412,-0.1,-0.0466666666666667,-0.0411111111111111,-0.103142857142857,-0.15,-0.144444444444444,-0.107142857142857,-0.15,-0.123557692307692,-0.123557692307692,-0.123557692307692,-0.130534436493739,-0.038148582808777
"SHH",0.0558333333333333,0.102365591397849,0,0.2,0.3,0.2,0.213333333333333,0.1,0.2,0.0411111111111111,0.3,0.2,0.1,0.0666666666666667,-0.019047619047619,0.0666666666666667,0.0666666666666667,-0.0257142857142857,-0.14,-0.2,-0.166666666666667,-0.116666666666667,-0.2,0.2,-0.12,0.1,-0.075,-0.1,0,-0.266666666666667,-0.226666666666667,-0.325,-0.325,0.1,-0.166666666666667,0.075,-0.35,0.0163218390804598,0,-0.333333333333333,-0.00909090909090909,-0.0466666666666667,0,0,0,-0.15,-0.1,-0.1,-0.1,0,-0.1,-0.1,-0.1,-0.0923076923076923,-0.0230769230769231
"TWIST1",0.281875677349431,0.233130349771352,0.0666666666666667,0.080952380952381,0.250552428601209,0,0.0228509346109724,0.080952380952381,0.0920634920634921,0.0907811731548371,0.012,0.0333333333333333,0.0920634920634921,-0.049012739111749,0.0794334160463193,-0.0440622440622441,-0.0262370397963618,-0.0710674784775044,-0.133290505029635,-0.128888888888889,-0.130775681341719,-0.190775974724802,-0.0335426079133173,-0.0557575757575758,-0.185665949429056,0.17720823798627,0.089778085755205,-0.198260869565217,0.22,0.0617489550679206,0.0628879072319297,-0.266032699366033,-0.266032699366033,0.128888888888889,0.0729989550679206,0.148656105844321,-0.280914998427838,0.015650006759708,0,-0.0243287671232877,-0.0843590075806569,-0.0910686947189544,-0.05,-0.089935832489024,-0.0863213746576987,-0.0357204941950705,-0.08890559732665,-0.08570559732665,-0.0221611721611722,-0.0269230769230769,-0.112545361495393,-0.112545361495393,-0.112545361495393,-0.111175498481695,-0.0960234303358701
"cMet",0.162547370482742,0.161381512911762,-0.1,0.1,0.268253968253968,0.1,0.0909090909090909,0,0.05,0.0655054930616618,0.1,0.1,-0.05,0.0904844361987219,0.0647619047619048,0.0868480725623583,0.0816649466804266,0.0759663524880916,-0.0162962962962963,0.0804511278195489,0.082578787394017,-0.0801903963812974,0.0266666666666667,0.0466666666666667,-0.128181818181818,0.13,-0.055785864978903,-0.12,0.1,-0.0591666666666667,-0.0570390070921986,-0.171284271284271,-0.171284271284271,-0.0857142857142857,-0.0591666666666667,0.100782812692925,-0.18793299846289,0.0126432691396195,-0.1,-0.0909090909090909,-0.0943564157849872,-0.0683303518187239,-0.1,-0.0566666666666667,-0.0729457364341085,-0.100416666666667,-0.0566666666666667,-0.0748484848484849,-0.106666666666667,-0.1,-0.0219047619047619,-0.0219047619047619,-0.0219047619047619,-0.0294519317160827,-0.130337941628264
"CD44",0.161275105851699,0.161025641025641,-0.1,0,0.258730158730159,0.1,0.0909090909090909,-0.1,0.1,0.0683303518187239,0.1,0.1,0,0.0868480725623583,0.06,0.0888888888888889,0.083625730994152,0.0846620046620047,-0.0237037037037037,0.0857142857142857,0.0804511278195489,-0.0784954811270601,0.0333333333333333,0.0666666666666667,-0.13,0.12,-0.0595833333333333,-0.1,0.1,-0.0591666666666667,-0.0591666666666667,-0.168253968253968,-0.168253968253968,-0.1,-0.0466666666666667,0.0951648351648352,-0.18324549846289,0.00607392607392608,0,-0.1,-0.101113172541744,-0.0729457364341085,-0.1,0.05,-0.0566666666666667,-0.106666666666667,-0.05,-0.0566666666666667,-0.1,-0.1,-0.019047619047619,-0.019047619047619,-0.019047619047619,-0.0219047619047619,-0.119047619047619
