"","TGFR","TGF","PAK1","ZEB2","RKIP","IKK","AKT","FUS","SMO","NFB","SUFU","Csn","TrCP","STAT","LIV1","CD44","DSH","cMet","Jagged","Wnt","SRC","TWIST1","Frizzled","SNAI2","KLF4","MEK","cfos","PI3K","EGR1","miR200","FOXC2","GSK3","RAF","DELTA","RAS","ERK","NOTCH","Csl","NOTCHic","GLI","cateninnuc","TCFLEF","Ecadherin","AXIN2","SNAI1","Patched","SHH","ILK","SMAD","cateninmemb","HEY1","Destcompl","ZEB1","SOSGRB2","CDC42"
"AXIN2",-0.260839205724899,-0.2618293047348,-0.24125,-0.262755497341287,-0.32124256567805,-0.296135265700483,-0.30280193236715,-0.173076923076923,-0.177838827838828,-0.285990338164251,-0.15,-0.255555555555556,-0.2,-0.226666666666667,-0.233333333333333,-0.244640908949091,-0.226666666666667,-0.240539962576851,0.218321226364705,-0.240539962576851,-0.233643410852713,-0.0385871637190096,-0.233643410852713,-0.147981931997329,-0.254713085939009,0.0355575118754732,0.0291056910569106,-0.329948998677372,0.0266666666666667,-0.0738167455170946,0.208103473419633,0.325296563594046,0.329948998677372,0.329948998677372,0.334148473742989,-0.0300402704961629,-0.264142789405947,-0.25719298245614,-0.260764411027569,0.244313547482511,0.24523371509246,0.244758142243346,-0.126307595442452,0.606248781209959,0.336678059623906,0.184981684981685,0.190555455473488,0.0374051069703244,0.0397860593512767,0.184099831196014,0.018714382304646,0.349581824085355,0.262755497341287,0.0457381670845907,0.257299382716049
"SUFU",-0.392127659574468,-0.394691762138571,-0.39,-0.240055439768245,-0.269644435093625,-0.212241758241758,-0.215597462939745,-0.253333333333333,-0.27,-0.196857142857143,-0.253333333333333,-0.192857142857143,-0.15,-0.0966666666666667,-0.05,-0.0902643339740938,-0.1875,-0.0940237324703344,0.0477972418270904,-0.183867521367521,-0.0911111111111111,-0.0855101963300808,-0.181944444444444,-0.0172742223337189,-0.222260942595683,-0.00192640326169306,-0.0153379953379953,-0.272111185757474,-0.0123076923076923,-0.00704597621509161,0.203077170765538,0.202478113056156,0.272111185757474,0.272111185757474,0.272427641453676,-0.00190338397234949,-0.206933621933622,-0.200909090909091,-0.207727272727273,0.179778302036666,0.0937809580150145,0.0935252035393112,-0.0398183295184134,0.256862148019029,0.278537495764262,0.273030303030303,0.274960804960805,0.093205325140809,0.0934362720230261,0.0716758834233121,0.0792530849628807,0.242821795675122,0.240055439768245,0.181247699668752,0.39
"SMO",-0.39,-0.39,-0.333333333333333,-0.236581920903955,-0.26,-0.192857142857143,-0.196857142857143,-0.133333333333333,-0.253333333333333,-0.15,-0.1,-0.1,0,-0.1,-0.1,-0.0911111111111111,-0.2,-0.0966666666666667,0.0520899470899471,-0.1875,-0.05,-0.0814814814814815,-0.15,-0.0171691297208539,-0.227777777777778,-0.0153379953379953,-0.02,-0.267307692307692,0,0.00186859553948162,0.196896551724138,0.19998221842882,0.267307692307692,0.267307692307692,0.267307692307692,0.0123076923076923,-0.200909090909091,-0.2,-0.190909090909091,0.181944444444444,0.0902643339740938,0.0940237324703344,-0.0404032370420792,0.253216898044484,0.270583717357911,0.253333333333333,0.27,0.0833333333333333,0.0912698412698413,0.0716151651181404,0.0695970695970696,0.241054759194294,0.236581920903955,0.186842105263158,0.373333333333333
"FUS",-0.39,-0.392127659574468,-0.373333333333333,-0.234741430106409,-0.265154639175258,-0.196857142857143,-0.212241758241758,-0.253333333333333,-0.253333333333333,-0.192857142857143,-0.133333333333333,-0.15,-0.1,-0.05,-0.1,-0.0940237324703344,-0.15,-0.0911111111111111,0.0508851278128387,-0.181944444444444,-0.0966666666666667,-0.0820050416909056,-0.1875,-0.014835197943475,-0.222859744990893,0.00190338397234949,-0.0123076923076923,-0.267307692307692,-0.02,-0.00407199851992432,0.200843920145191,0.202992251873636,0.267307692307692,0.267307692307692,0.272111185757474,0.0153379953379953,-0.207727272727273,-0.190909090909091,-0.200909090909091,0.183867521367521,0.0935252035393112,0.0902643339740938,-0.0409511822475586,0.257564724131441,0.275300698489986,0.27,0.273030303030303,0.0912698412698413,0.093205325140809,0.0703116269430938,0.0768434464086638,0.241492715398674,0.234741430106409,0.17914979757085,0.39
"Destcompl",-0.215005000185192,-0.217073965702433,-0.218979591836735,-0.216335991072346,-0.269686383146087,-0.252123552123552,-0.256150397761136,-0.140996168582375,-0.149567597153804,-0.247619047619048,-0.144444444444444,-0.247619047619048,-0.233333333333333,-0.180952380952381,-0.166666666666667,-0.18805045223978,-0.180952380952381,-0.190289258209929,0.176752828029748,-0.189781894040676,-0.187801696020874,-0.0405455238866885,-0.187801696020874,-0.100056614685146,-0.20547966969655,0.0419519955730788,0.0333333333333333,-0.265855091866498,0.0333333333333333,-0.0442865530252716,0.163932450925612,0.25195178930271,0.265855091866498,0.265855091866498,0.266483035351585,-0.0415300546448087,-0.212020998518777,-0.20695652173913,-0.210217391304348,0.187370020200231,0.189194333262182,0.188735383746629,-0.0874300717339913,0.244758142243346,0.281767066768065,0.154230809589037,0.15558477477279,0.0390476190476191,0.0384628237259816,0.156212709074392,0.0210913872452334,0.174564479220775,0.216335991072346,0.0420281459731754,0.215531315974666
"TCFLEF",-0.330297761356227,-0.3319533904953,-0.3,-0.190910508594719,-0.154388115902098,-0.177183074989527,-0.180443944554744,-0.146666666666667,-0.156190476190476,-0.151376623376623,-0.1,-0.123376623376623,-0.114285714285714,-0.191666666666667,-0.166666666666667,-0.184134010643445,-0.184313725490196,-0.179102564102564,0.138799974728605,-0.171749622926093,-0.181666666666667,-0.0138753513580358,-0.174313725490196,-0.0368281797680502,-0.0923987776928953,0.0318350754936121,0.0413588850174216,-0.218798577329263,0.0242857142857143,0.0197035762096003,0.225244872430315,0.19319031348181,0.218798577329263,0.218798577329263,0.219192795463297,-0.0365969802555168,-0.263518597077704,-0.252717997768213,-0.26252191933684,0.176718567025472,0.0881718113307298,0.0858522237018639,-0.0532960698023212,0.537280097680098,0.247184124569062,0.152964669738863,0.150510682008802,0.0349409888357257,0.0362794209580966,-0.0271541869538829,-0.00816671424493292,0.304854233061126,0.190910508594719,-0.000797789037309994,0.316279069767442
"SRC",-0.350793650793651,-0.356248196248196,-0.355555555555556,-0.190378855944894,-0.343010752688172,0.00897435897435898,-0.00769230769230769,-0.0333333333333333,-0.0533333333333333,0.0166666666666667,-0.0333333333333333,0.05,0.1,0.2,0.2,0.0914754098360656,0.1,0.08,-0.085540461067984,0.08,0.05,-0.222759883794367,0.05,0.00029812371274019,-0.291149870801034,-0.136554221459882,-0.175757575757576,-0.0321068001668753,-0.166666666666667,0.0111755233494364,0.0784500466853408,0.0687445887445887,0.0321068001668753,0.0321068001668753,0.0245310425911177,0.153535353535354,0.118809523809524,0.12,0.115238095238095,-0.0914754098360656,-0.0866983050180375,-0.0878168732506997,-0.0964975384093031,-0.126607590632836,0.22686642515584,0.0718518518518519,0.0689106753812636,0.105263157894737,0.106164058795638,-0.12656900164646,0.123030453492221,-0.161397117375378,0.190378855944894,0.37,0.355555555555556
"cateninnuc",-0.156202096753821,-0.160350568369541,-0.153142857142857,-0.179784481873654,-0.211131849126886,-0.250424242424242,-0.258236742424242,-0.108888888888889,-0.120364298724954,-0.242424242424242,-0.0888888888888889,-0.233333333333333,-0.233333333333333,-0.101631701631702,-0.0939393939393939,-0.104236946628251,-0.101631701631702,-0.1034432958346,0.0838569768963096,-0.10195927756976,-0.109965034965035,0.0173115073597777,-0.108481016700195,-0.0106403818960815,-0.125989293427016,0.0681748247763405,0.0686335403726708,-0.257897237897238,0.0543478260869565,-0.016358043742962,0.183127211586228,0.224399412909529,0.257897237897238,0.257897237897238,0.257728887728888,-0.0686335403726708,-0.252763862511596,-0.249529190207156,-0.251854771602505,0.102749791403752,0.00674307272572528,0.10505845521675,-0.0769965415391786,0.272212667368112,0.218704472427015,0.124712124811911,0.121444150955702,0.0265786435786436,0.0250779614504035,0.0592627730452148,-0.00361849388865993,0.24722485140084,0.179784481873654,-0.0518342629845977,0.151604395604396
"ZEB2",-0.215930735930736,-0.211697931697932,-0.194805194805195,-0.158283974029648,-0.149291465378422,-0.147222222222222,-0.140680166147456,-0.139285714285714,-0.136428571428571,-0.136111111111111,-0.125,-0.111111111111111,-0.1,-0.1,-0.1,-0.0933040935672515,-0.0909090909090909,-0.0905263157894737,-0.0873802092150556,-0.0811655011655012,-0.08,-0.0718416502919056,-0.0709090909090909,-0.0664504490587192,-0.0660280993949134,-0.063120971192734,-0.0574561403508772,-0.0468614718614719,-0.0416666666666667,-0.00367477002070289,0.0251437451437451,0.0263512692404503,0.0468614718614719,0.0468614718614719,0.0470756046237845,0.0606819468024901,0.0729600672551492,0.0743589743589744,0.0756923076923077,0.0839177947434828,0.0930416095723731,0.0957688822996458,0.118033836596814,0.120705517543931,0.123418145657379,0.126672473867596,0.130308837503959,0.13043956043956,0.134098097024926,0.138434739397769,0.140190615835777,0.140436378307522,0.158283974029648,0.169688644688645,0.211168831168831
"NOTCH",-0.231111111111111,-0.247240143369176,-0.2,-0.144685990338164,-0.206984969053935,-0.0666666666666667,-0.1,-0.0333333333333333,-0.0583333333333333,-0.0333333333333333,0,0,0,0,0,-0.0124475524475524,0,-0.0215384615384615,-0.0384223184223184,-0.0215384615384615,-0.06,-0.126254237288136,-0.06,-0.0798750269338505,-0.144685990338164,0.0271428571428571,0.02,-0.0842424242424242,0,0.025021645021645,0.0381632653061224,0.0380616509926855,0.0842424242424242,0.0842424242424242,0.0711989459815547,-0.02,0.00248847926267281,0.12,0.105714285714286,0.0124475524475524,0.0251320108462966,0.0157442557442557,0.0512586304470855,0.0234231805929919,0.17474358974359,0.0814102564102564,0.063763197586727,0.0619047619047619,0.0619047619047619,0.036606473682648,0.16231884057971,0.0227490347490347,0.144685990338164,0.164210526315789,0.211111111111111
"GLI",-0.370124701800043,-0.367065878270632,-0.361666666666667,-0.132518347840929,-0.157682198635525,-0.114637784938537,-0.109950284938537,-0.193452380952381,-0.182926065162907,-0.120760233918129,-0.180952380952381,-0.0944444444444444,-0.0833333333333333,0.04,0,0.0386177053094224,-0.02,0.0472383949645948,-0.0779300883395981,-0.0114990512333966,0.0496774193548387,-0.143937632825579,-0.0103225806451613,-0.0517051798855387,-0.131252681252681,0.110359833536629,0.119285714285714,-0.114841712757653,0.0942857142857143,0.0383159255605076,0.0367610509115927,-0.100903782679798,0.114841712757653,0.114841712757653,0.119396168203197,-0.107597402597403,0.0456533409119616,0.0352961980548187,0.0427961980548187,-0.0804158423836247,-0.0416837814926534,-0.0395917312834484,-0.0378839201441744,-0.0519248188405797,0.178013382179477,0.180885248836377,0.182942862005101,0.094933273792144,0.094933273792144,-0.0408754356051861,0.0986670611033939,-0.0368554155824523,0.132518347840929,0.226550971152741,0.372011494252874
"NOTCHic",-0.247240143369176,-0.244055429993379,-0.211111111111111,-0.127648953301127,-0.191492011307456,-0.1,-0.0930232558139535,-0.0583333333333333,-0.0814102564102564,-0.0666666666666667,-0.0333333333333333,-0.0333333333333333,0,-0.06,0,-0.0157442557442557,-0.06,-0.0124475524475524,-0.036435563455431,-0.0124475524475524,-0.0215384615384615,-0.116820275023985,-0.0215384615384615,-0.0844842453707242,-0.144685990338164,0.0128571428571429,0.02,-0.0711989459815547,0.02,0.0313800265245352,0.0220342330480579,0.0355823121497103,0.0711989459815547,0.0711989459815547,0.0677506701194857,-0.0271428571428571,0.00775163715740966,0.105714285714286,0.00248847926267281,0.0156733588991653,0.0237579650447698,0.0251320108462966,0.0471238678130885,0.022034291704103,0.168923483923484,0.063763197586727,0.0605373911351141,0.0619047619047619,0.0655018842069202,0.0445172241897474,0.163857302118172,0.0274157014157014,0.127648953301127,0.186937799043062,0.231111111111111
