"","FOXC2","TGF","SNAI1","IKK","Csn","SUFU","NOTCH","NFB","TrCP","ERK","EGR1","MEK","cfos","SNAI2","RAF","STAT","Wnt","Ecadherin","cMet","AXIN2","SRC","CD44","cateninmemb","Destcompl","LIV1","cateninnuc","TCFLEF","GLI","Frizzled","RAS","DSH","PI3K","DELTA","GSK3","ZEB1","TWIST1","SOSGRB2","FUS","NOTCHic","Csl","AKT","Jagged","Patched","SMO","RKIP","SHH","ILK","SMAD","HEY1","PAK1","CDC42","TGFR","miR200","ZEB2","KLF4"
"DSH",0.42026509598113,0.44141392718275,0.421735679779158,0.184583333333333,0.153333333333333,0,-0.215807721690075,0.140833333333333,0.133333333333333,0.200435729847495,0.133333333333333,0.213217684734713,0.174509803921569,0.277776237031593,0.291825932045576,-0.2,-0.258270676691729,0.128559394924514,-0.258270676691729,-0.30770644329667,-0.236842105263158,-0.277475974704974,0.189360737267697,-0.612379504626344,-0.2,0.29592400930617,0.28319026041926,0.277224925057742,0.236842105263158,-0.297148060897116,0.2,-0.291825932045576,-0.291825932045576,-0.673709654348105,0.0200800767838733,-0.110592109184099,-0.073909830007391,0.0454545454545455,0.202521008403361,0.180952380952381,-0.190330459770115,0.0950128680788736,0.0345482474514733,0.0216450216450216,-0.322690642690643,0.0314807627888966,-0.0520238075334793,-0.0508917320617812,-0.0394469807907658,-0.38,-0.401739130434783,-0.423643892339545,-0.331285030179847,-0.437313620312426,-0.410247205678388
"Frizzled",0.403381979098013,0.423643892339545,0.398257418909593,0.140833333333333,0.133333333333333,0,-0.202521008403361,0.153333333333333,0.1,0.174509803921569,0.133333333333333,0.200435729847495,0.133333333333333,0.269277983248124,0.275290498974709,-0.2,-0.236842105263158,0.124608560859544,-0.236842105263158,-0.286187455954898,-0.2,-0.258270676691729,0.182175813828356,-0.590814619130161,-0.1,0.28319026041926,0.277475974704974,0.258270676691729,0.2,-0.291825932045576,0.3,-0.275290498974709,-0.275290498974709,-0.639602925809822,0.0232296830830859,-0.109173669467787,-0.0787878787878788,0,0.180952380952381,0.164285714285714,-0.184583333333333,0.0903617052881759,0.0216450216450216,0.0454545454545455,-0.303809523809524,0.0345482474514733,-0.0361359570661896,-0.0520238075334793,-0.0254118930714675,-0.333333333333333,-0.38,-0.401739130434783,-0.316650883838384,-0.407392360469906,-0.384033613445378
"TCFLEF",0.269073704700758,0.384900675907166,0.340437398491792,-0.0214713028906577,-0.048051948051948,-0.1,-0.0884702302172523,-0.0440519480519481,-0.0571428571428571,0.0818234610917538,0.0328571428571428,0.0933880869420939,0.0694425087108014,-0.0642471702115572,0.0596739890999819,-0.2125,-0.267176973353444,0.0544303913715789,-0.262029914529915,-0.617144322344322,-0.2475,-0.273979600064506,0.1543547315154,-0.507244001135461,-0.2,0.190588992962558,0.180279714612043,0.278978215589469,0.252647058823529,-0.0655872611104944,0.217647058823529,-0.0596739890999819,-0.0596739890999819,-0.396518313704295,0.0340208665603402,0.00767500851473765,0.0541434054966989,0.12,0.0775067750677507,0.0598597162442213,0.0171234768037012,0.160473548183764,0.129754224270353,0.115238095238095,-0.275279882444781,0.127913733472807,-0.0429095465937571,-0.0388942502266443,-0.028493672090589,-0.335897435897436,-0.354502087060227,-0.371324516966769,-0.280048679566752,-0.360844896331738,-0.33937324929972
"TGFR",0.370412880739917,0.369666497804796,0.319283146459333,0.214411027568922,0.216666666666667,0.0866666666666667,-0.0772752832216985,0.188095238095238,0.166666666666667,0.181771094402673,0.147619047619048,0.180401231388975,0.152882205513784,0.0660064166583086,0.210119047619048,-0.0666666666666667,-0.0741239892183288,0.0993789673197994,-0.0836477987421384,-0.124415832141154,-0.0666666666666667,-0.0981214829526647,0.129617562120742,-0.198209726565346,-0.1,0.0993606707845522,0.095729138455057,0.0889626988957482,0.0571428571428571,-0.207779866332498,0.0571428571428571,-0.210119047619048,-0.210119047619048,-0.368699766695929,0.0452276924942181,-0.210286674574931,0.0833008447043535,-0.0533333333333333,0.0736781609195402,0.0633333333333333,-0.223713353150318,-0.049702247550746,-0.0799497126436782,-0.0705747126436782,-0.14965367965368,-0.0805146843950906,-0.0974584555229717,-0.102084790042545,-0.0969340916308208,-0.242222222222222,-0.256507936507937,-0.361865079365079,-0.282553620832264,-0.354467083511598,-0.342095728451564
"cateninnuc",0.144891016087737,0.235790341165134,0.361002734934264,0.0714242424242424,0.0583333333333333,-0.111111111111111,-0.125141004049163,0.0674242424242424,0.0333333333333333,0.0813533558717929,0.0550724637681159,0.0928212457800497,0.0598343685300207,0.314201336413676,0.112404712404712,-0.194172494172494,-0.221152839616211,0.123705808254365,-0.219897131853654,-0.377671066296372,-0.202505827505828,-0.231008242964765,0.224524746286426,-0.497767088199129,-0.178787878787879,0.144092032055825,0.239148646250799,0.2322200332921,0.203761535268385,-0.11964376964377,0.194172494172494,-0.112404712404712,-0.112404712404712,-0.465819278495284,0.0945236274158954,0.044236043050161,0.0570487063487672,0.121111111111111,0.113322822230981,0.101694915254237,-0.0854867424242424,0.191766477901131,0.135244091459345,0.135865209471767,-0.317494322055116,0.14199790409551,-0.0285021645021645,-0.0343684673671031,-0.0136587841309629,-0.187428571428571,-0.210505494505494,-0.224873310597449,-0.247622060732794,-0.338419136976301,-0.321991057578246
"STAT",0.21640081799591,0.238836736934563,0.178181813899315,0.0228571428571429,0,0,-0.0105437819315603,-0.02,0,0.0184313725490196,-0.0333333333333333,0.0109044908285895,0.00666666666666667,0.149436474336559,-0.0688637303556658,-0.0571428571428571,-0.0957792207792208,0.191527967685618,-0.0957792207792208,-0.138336565395389,-0.0821428571428571,-0.0983433233433233,0.1816166563189,-0.174353424176757,0,0.10025110750879,0.0929805473180867,0.0983002291825821,0.0821428571428571,0.0711025363258151,0.0571428571428571,0.0688637303556658,0.0688637303556658,-0.182570093457944,-0.0534247803478573,-0.029646756708226,-0.0372742200328407,0.025,0.00763116057233704,-0.00588235294117647,-0.0211622276029056,0.00730693507613089,-0.0146899224806202,-0.0216666666666667,-0.141024774774775,-0.0208846127461069,-0.0725442834138486,-0.0679465822644233,-0.07,-0.227272727272727,-0.233522727272727,-0.233522727272727,-0.27273102491628,-0.315142549757934,-0.203198653198653
"SNAI1",0.231367756351234,0.234724791195263,0.0623297160428969,0.0410331384015595,0.0333333333333333,0.0404761904761905,0.0193040293040293,0.0280701754385965,-0.0166666666666667,-0.0187354458364038,-0.0182608695652174,-0.0200807373162245,-0.0267354458364038,0.205185957012779,-0.060139873145612,-0.0737037037037037,-0.0742813673750773,0.106578667966781,-0.0748811187425049,-0.0994686337301822,-0.0818118118118118,-0.0808070446684308,0.114426506223115,-0.122508876357561,-0.07,0.0829776960489873,0.0820484239787756,0.0806799048522253,0.081598440545809,0.0622745201078452,0.0737037037037037,0.060139873145612,0.060139873145612,-0.117579802623119,-0.0640948871620334,-0.105255693581781,-0.122691014384457,-0.0372503840245776,-0.0135897435897436,-0.0135897435897436,-0.0361720272904483,-0.016648236697542,-0.0453614951356887,-0.0483614951356887,-0.138468569349542,-0.0513809126114168,-0.0784417136030039,-0.0797947271331392,-0.0772264602992621,-0.221008403361345,-0.227069009421951,-0.230894146033972,-0.279042760164743,-0.314049909771404,-0.307331339174759
"TrCP",0.224633321789607,0.230894146033972,0.162329716042897,0.0280701754385965,-0.0166666666666667,-0.00952380952380952,0.0135897435897436,0.0333333333333333,0.0333333333333333,-0.0267354458364038,-0.04,-0.0187354458364038,-0.0182608695652174,0.202738756208219,-0.0687762367819757,-0.07,-0.081598440545809,0.107359105011526,-0.0818118118118118,-0.0964383306998792,-0.0737037037037037,-0.0748811187425049,0.112941186706707,-0.120480367585631,-0.05,0.0820484239787756,0.0808070446684308,0.0742813673750773,0.0737037037037037,0.060139873145612,0.07,0.0687762367819757,0.0687762367819757,-0.112497294372294,-0.0637258834719965,-0.106589026915114,-0.120049504950495,-0.0404761904761905,-0.0135897435897436,-0.00897435897435897,-0.0410331384015595,-0.0185305896387185,-0.0483614951356887,-0.0372503840245776,-0.131774008680086,-0.0453614951356887,-0.0732804232804233,-0.0784417136030039,-0.0730597936325955,-0.219047619047619,-0.221008403361345,-0.227069009421951,-0.275104239511525,-0.307038839660703,-0.302035389018996
"PAK1",0.224633321789607,0.230894146033972,0.162329716042897,0.0280701754385965,-0.0166666666666667,-0.00952380952380952,0.0135897435897436,0.0333333333333333,0.0333333333333333,-0.0267354458364038,-0.04,-0.0187354458364038,-0.0182608695652174,0.202738756208219,-0.0687762367819757,-0.07,-0.081598440545809,0.107359105011526,-0.0818118118118118,-0.0964383306998792,-0.0737037037037037,-0.0748811187425049,0.112941186706707,-0.120480367585631,-0.05,0.0820484239787756,0.0808070446684308,0.0742813673750773,0.0737037037037037,0.060139873145612,0.07,0.0687762367819757,0.0687762367819757,-0.112497294372294,-0.0637258834719965,-0.106589026915114,-0.120049504950495,-0.0404761904761905,-0.0135897435897436,-0.00897435897435897,-0.0410331384015595,-0.0185305896387185,-0.0483614951356887,-0.0372503840245776,-0.131774008680086,-0.0453614951356887,-0.0732804232804233,-0.0784417136030039,-0.0730597936325955,-0.219047619047619,-0.221008403361345,-0.227069009421951,-0.275104239511525,-0.307038839660703,-0.302035389018996
"LIV1",0.224633321789607,0.230894146033972,0.162329716042897,0.0280701754385965,-0.0166666666666667,-0.00952380952380952,0.0135897435897436,0.0333333333333333,0.0333333333333333,-0.0267354458364038,-0.04,-0.0187354458364038,-0.0182608695652174,0.202738756208219,-0.0687762367819757,-0.07,-0.081598440545809,0.107359105011526,-0.0818118118118118,-0.0964383306998792,-0.0737037037037037,-0.0748811187425049,0.112941186706707,-0.120480367585631,-0.05,0.0820484239787756,0.0808070446684308,0.0742813673750773,0.0737037037037037,0.060139873145612,0.07,0.0687762367819757,0.0687762367819757,-0.112497294372294,-0.0637258834719965,-0.106589026915114,-0.120049504950495,-0.0404761904761905,-0.0135897435897436,-0.00897435897435897,-0.0410331384015595,-0.0185305896387185,-0.0483614951356887,-0.0372503840245776,-0.131774008680086,-0.0453614951356887,-0.0732804232804233,-0.0784417136030039,-0.0730597936325955,-0.219047619047619,-0.221008403361345,-0.227069009421951,-0.275104239511525,-0.307038839660703,-0.302035389018996
"EGR1",0.224633321789607,0.230894146033972,0.162329716042897,0.0280701754385965,-0.0166666666666667,-0.00952380952380952,0.0135897435897436,0.0333333333333333,0.0333333333333333,-0.0267354458364038,-0.04,-0.0187354458364038,-0.0182608695652174,0.202738756208219,-0.0687762367819757,-0.07,-0.081598440545809,0.107359105011526,-0.0818118118118118,-0.0964383306998792,-0.0737037037037037,-0.0748811187425049,0.112941186706707,-0.120480367585631,-0.05,0.0820484239787756,0.0808070446684308,0.0742813673750773,0.0737037037037037,0.060139873145612,0.07,0.0687762367819757,0.0687762367819757,-0.112497294372294,-0.0637258834719965,-0.106589026915114,-0.120049504950495,-0.0404761904761905,-0.0135897435897436,-0.00897435897435897,-0.0410331384015595,-0.0185305896387185,-0.0483614951356887,-0.0372503840245776,-0.131774008680086,-0.0453614951356887,-0.0732804232804233,-0.0784417136030039,-0.0730597936325955,-0.219047619047619,-0.221008403361345,-0.227069009421951,-0.275104239511525,-0.307038839660703,-0.302035389018996
"cfos",0.221874701099952,0.227069009421951,0.155885801961751,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0135897435897436,-0.0166666666666667,0,-0.0182608695652174,0.08,-0.0267354458364038,-0.04,0.200568774291402,-0.060239651416122,-0.05,-0.0737037037037037,0.105629001205297,-0.0737037037037037,-0.0983251231527094,-0.07,-0.0818118118118118,0.108545582311103,-0.115818713450292,-0.1,0.0808070446684308,0.0748811187425049,0.081598440545809,0.07,0.0687762367819757,0.05,0.060239651416122,0.060239651416122,-0.112497294372294,-0.0640474268803567,-0.0995238095238095,-0.125,0.00952380952380952,-0.00897435897435897,-0.0166666666666667,-0.0280701754385965,-0.0142361111111111,-0.0372503840245776,-0.0404761904761905,-0.13011655011655,-0.0483614951356887,-0.0732804232804233,-0.0732804232804233,-0.0715892053973013,-0.214285714285714,-0.219047619047619,-0.221008403361345,-0.267490026313556,-0.302215688535301,-0.288920634920635
"CDC42",0.221874701099952,0.227069009421951,0.155885801961751,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0135897435897436,-0.0166666666666667,0,-0.0182608695652174,-0.02,-0.0267354458364038,-0.04,0.200568774291402,-0.060239651416122,-0.05,-0.0737037037037037,0.105629001205297,-0.0737037037037037,-0.0983251231527094,-0.07,-0.0818118118118118,0.108545582311103,-0.115818713450292,-0.1,0.0808070446684308,0.0748811187425049,0.081598440545809,0.07,0.0687762367819757,0.05,0.060239651416122,0.060239651416122,-0.112497294372294,-0.0640474268803567,-0.0995238095238095,-0.125,0.00952380952380952,-0.00897435897435897,-0.0166666666666667,-0.0280701754385965,-0.0142361111111111,-0.0372503840245776,-0.0404761904761905,-0.13011655011655,-0.0483614951356887,-0.0732804232804233,-0.0732804232804233,-0.0715892053973013,-0.114285714285714,-0.219047619047619,-0.221008403361345,-0.267490026313556,-0.302215688535301,-0.288920634920635
"NOTCH",0.217755102040816,0.226336917562724,0.160769230769231,-0.0222222222222222,0,0,-0.00110599078341014,0.0333333333333333,0,-0.0533333333333333,0,-0.0176190476190476,-0.02,0.200073020661256,-0.0490909090909091,-0.1,-0.0476923076923077,0.0848053197509904,-0.0476923076923077,-0.0913746630727763,-0.04,-0.0567832167832168,0.114839527407185,-0.12410276765417,0,0.0619323533609248,0.0688711288711289,0.0567832167832168,0.04,0.0418445322793149,0.1,0.0490909090909091,0.0490909090909091,-0.106130268199234,-0.0556360708534622,-0.0989152542372881,-0.106315789473684,-0.0333333333333333,-0.108571428571429,-0.08,-0.0333333333333333,0.000327080327080329,-0.0371794871794872,0.0166666666666667,-0.126525198938992,-0.0371794871794872,-0.0547619047619048,-0.0714285714285714,-0.154347826086957,-0.2,-0.211111111111111,-0.223111111111111,-0.266406926406926,-0.29524959742351,-0.291545893719807
