"","SMAD","ILK","miR200","ZEB1","SHH","AKT","Jagged","TGF","TGFR","SNAI1","CDC42","NOTCH","PAK1","NOTCHic","Csl","SOSGRB2","MEK","ERK","TWIST1","cfos","EGR1","GSK3","LIV1","DSH","Destcompl","Frizzled","RAS","STAT","Wnt","RAF","DELTA","Ecadherin","SNAI2","cateninmemb","cateninnuc","TCFLEF","CD44","cMet","GLI","SRC","PI3K","AXIN2","FOXC2","TrCP","RKIP","Csn","SUFU","NFB","FUS","IKK","SMO","Patched","ZEB2","HEY1","KLF4"
"miR200",0.716003283778688,0.658636512618814,0.679766293323926,0.77448476702509,0.495997523390204,0.5050929209817,0.483832238471989,0.471769045202477,0.440955091714105,0.424678654678655,0.399019607843137,0.361384319946564,0.35,0.335960591133005,0.294581280788177,0.363007736943907,0.250717377860235,0.237792207792208,0.416511790867619,0.201428571428571,0.171428571428571,0.053124159686916,-0.1,-0.12,-0.115565458151092,-0.148,0.196583703389822,-0.12,-0.163492957746479,0.186858017604286,0.186858017604286,0.18545430342072,-0.174406632492785,0.248751874765654,0.211416281288268,0.202325372197359,0.189230134102121,0.174623392529088,0.175580869834391,0.159130434782609,-0.186858017604286,0.228431899302534,-0.0824677761263127,-0.2,-0.349750360464788,-0.3,-0.26,-0.378947368421053,-0.3475,-0.450375939849624,-0.4075,-0.456867088607595,-0.77448476702509,-0.658107344632768,-0.717563837129054
"SNAI1",0.713673768995755,0.677634408602151,0.774456009138004,0.762971043346944,0.515241179586518,0.481505847953216,0.418984830486387,0.498781076297641,0.480232689200867,0.391153660238185,0.456735421441304,0.309884877027734,0.43249299719888,0.293150183150183,0.268974358974359,0.386275193557092,0.376061539952833,0.368438221567183,0.320428267384789,0.349771554900516,0.324347826086957,0.00169992177789208,0.03,0.0337037037037037,0.0310918851416231,0.0179142300194932,0.0918419671051641,0.0337037037037037,0.00864593733656635,0.0869158587307798,0.0869158587307798,0.0757116320847981,-0.0700347333827832,0.0362258475698049,0.015771187479405,0.0104536861887494,0.00314334136116315,-0.00389369567587389,-0.00297866128537805,-0.0147847847847848,-0.0869158587307798,-0.0206374973974193,-0.152229273455225,-0.275,-0.35870393974904,-0.35,-0.35,-0.407894736842105,-0.411290322580645,-0.446783625730994,-0.456969334926324,-0.490969334926324,-0.762971043346944,-0.674865980875109,-0.726303603347268
"Csl",0.681250999200639,0.634028776978417,0.743395850311865,0.733503794450227,0.440234750527232,0.435917312661499,0.408445592992364,0.507644206645058,0.482927653357076,0.487312365573235,0.45426523297491,0.292307234361564,0.415555555555556,0.2686708707252,0.239723502304147,0.388552534329171,0.352898550724638,0.333333333333333,0.337302805030965,0.307619047619048,0.293333333333333,-0.0481947104341507,-0.06,-0.0830769230769231,-0.0702810089655585,-0.0921678321678322,0.110884513339205,-0.0830769230769231,-0.108296864425897,0.103899219221558,0.103899219221558,0.209340585327681,-0.135917639181292,0.172987865990611,0.138038780763416,0.130777488596464,0.122685885543028,0.110849150849151,0.118780735393639,0.0921678321678322,-0.103899219221558,0.12203264796889,-0.128009201455888,-0.2,-0.355961047939616,-0.277777777777778,-0.275,-0.344444444444444,-0.313461538461538,-0.397932816537468,-0.366402714932127,-0.408338198803094,-0.733503794450227,-0.732629462041227,-0.686770186335404
"ZEB1",0.783384148730773,0.72857645642308,0.737998371558436,0.731705075064278,0.476099650471641,0.543947984715888,0.566447107641897,0.549541667007071,0.523163714251165,0.481398740359525,0.48712310511411,0.395167922540917,0.43639846743295,0.371200980392157,0.34375,0.450487329434698,0.268328409778008,0.244980392156863,0.502203299296389,0.227333333333333,0.183333333333333,-0.040375574509532,-0.233333333333333,-0.276190476190476,-0.179357145929147,-0.298141695702671,0.217912536329591,-0.287179487179487,-0.313526311087287,0.210510961526441,0.210510961526441,0.352396017176024,-0.213092701311879,0.429873973252034,0.360451367084471,0.352427883718521,0.342055543292989,0.326777765515212,0.328302943389692,0.309130706691682,-0.210510961526441,0.375951341524753,-0.0498966251140164,-0.3,-0.402585010089846,-0.38,-0.308333333333333,-0.448421052631579,-0.358333333333333,-0.502519413287317,-0.403787878787879,-0.443003565062389,-0.731705075064278,-0.726962087998357,-0.676227638368747
"TrCP",0.677634408602151,0.631182795698925,0.741122675804671,0.730867722313733,0.490969334926324,0.446783625730994,0.397573065780504,0.480232689200867,0.456735421441304,0.477452592622527,0.43249299719888,0.293150183150183,0.395238095238095,0.268974358974359,0.23974358974359,0.363256325632563,0.368438221567183,0.349771554900516,0.30494108789761,0.324347826086957,0.32,0.00321807359307359,0.05,0.03,0.0338331132117985,0.0337037037037037,0.0869158587307798,0.03,0.0179142300194932,0.0791885860035071,0.0791885860035071,0.0681674073189292,-0.0667829734096019,0.0279011498150553,0.0104536861887494,0.00314334136116315,-0.00389369567587389,-0.0147847847847848,-0.00864593733656635,-0.0337037037037037,-0.0791885860035071,-0.0294953062552282,-0.147527875742391,-0.2,-0.340712307949877,-0.275,-0.3,-0.35,-0.35,-0.407894736842105,-0.411290322580645,-0.456969334926324,-0.730867722313733,-0.630223123732252,-0.688608899297424
"LIV1",0.677634408602151,0.631182795698925,0.741122675804671,0.730867722313733,0.490969334926324,0.446783625730994,0.397573065780504,0.480232689200867,0.456735421441304,0.477452592622527,0.43249299719888,0.293150183150183,0.395238095238095,0.268974358974359,0.23974358974359,0.363256325632563,0.368438221567183,0.349771554900516,0.30494108789761,0.324347826086957,0.32,0.00321807359307359,0.05,0.03,0.0338331132117985,0.0337037037037037,0.0869158587307798,0.03,0.0179142300194932,0.0791885860035071,0.0791885860035071,0.0681674073189292,-0.0667829734096019,0.0279011498150553,0.0104536861887494,0.00314334136116315,-0.00389369567587389,-0.0147847847847848,-0.00864593733656635,-0.0337037037037037,-0.0791885860035071,-0.0294953062552282,-0.147527875742391,-0.2,-0.340712307949877,-0.275,-0.3,-0.35,-0.35,-0.407894736842105,-0.411290322580645,-0.456969334926324,-0.730867722313733,-0.630223123732252,-0.688608899297424
"EGR1",0.677634408602151,0.631182795698925,0.741122675804671,0.730867722313733,0.490969334926324,0.446783625730994,0.397573065780504,0.480232689200867,0.456735421441304,0.477452592622527,0.43249299719888,0.293150183150183,0.395238095238095,0.268974358974359,0.23974358974359,0.363256325632563,0.368438221567183,0.349771554900516,0.30494108789761,0.324347826086957,0.32,0.00321807359307359,0.05,0.03,0.0338331132117985,0.0337037037037037,0.0869158587307798,0.03,0.0179142300194932,0.0791885860035071,0.0791885860035071,0.0681674073189292,-0.0667829734096019,0.0279011498150553,0.0104536861887494,0.00314334136116315,-0.00389369567587389,-0.0147847847847848,-0.00864593733656635,-0.0337037037037037,-0.0791885860035071,-0.0294953062552282,-0.147527875742391,-0.2,-0.340712307949877,-0.275,-0.3,-0.35,-0.35,-0.407894736842105,-0.411290322580645,-0.456969334926324,-0.730867722313733,-0.630223123732252,-0.688608899297424
"GLI",0.654694836262945,0.607667809235918,0.716010274555166,0.705862689878819,0.384085213032581,0.424585832139874,0.400741538444871,0.581400767984487,0.55716547386684,0.439637241619054,0.531379310344828,0.271574775798914,0.49,0.24776525198939,0.22026525198939,0.565890127571543,0.434485302910717,0.418463203463203,0.310934887598725,0.391190476190476,0.382857142857143,-0.0993198143414437,0.05,-0.08,0.0298844913061847,-0.0767741935483871,0.155211530122069,0.03,-0.0944212523719165,0.147884797448802,0.147884797448802,0.0680609810302328,-0.067228452528396,0.0286464812748448,0.0127370528419522,0.00502635349945369,-0.00179182831872813,-0.0112745869394178,0.00250635875489523,-0.0332258064516129,-0.147884797448802,-0.0283605072463768,-0.130192315961472,-0.2,-0.292932631750904,-0.255555555555556,-0.2,-0.334502923976608,-0.25,-0.385523332139873,-0.307894736842105,-0.350751879699248,-0.705862689878819,-0.606833616298811,-0.665061347061347
"NOTCHic",0.634028776978417,0.57,0.701783649876136,0.69317230273752,0.408338198803094,0.397932816537468,0.377716426325698,0.482927653357076,0.45426523297491,0.464387464387464,0.415555555555556,0.2686708707252,0.355555555555556,0.239723502304147,0.317142857142857,0.363349282296651,0.333333333333333,0.307619047619048,0.318115446114487,0.293333333333333,0.26,-0.0465746809790697,0,-0.06,-0.0664418864792697,-0.0830769230769231,0.103899219221558,-0.06,-0.0921678321678322,0.0925691699604743,0.0925691699604743,0.199224306257914,-0.130921367742068,0.161978691678684,0.130777488596464,0.122685885543028,0.110849150849151,0.0921678321678322,0.108296864425897,0.0830769230769231,-0.0925691699604743,0.10789383048817,-0.126859776168532,-0.1,-0.335223720750676,-0.2,-0.2,-0.277777777777778,-0.275,-0.344444444444444,-0.313461538461538,-0.366402714932127,-0.69317230273752,-0.669230769230769,-0.638198757763975
"cfos",0.631182795698925,0.566666666666667,0.700513538748833,0.691317883085438,0.456969334926324,0.407894736842105,0.366284722222222,0.456735421441304,0.43249299719888,0.453347580689353,0.395238095238095,0.268974358974359,0.342857142857143,0.23974358974359,0.216666666666667,0.344444444444444,0.349771554900516,0.324347826086957,0.287549783549784,0.32,0.36,0.00285443722943723,0.1,0.05,0.0369910079486406,0.03,0.0791885860035071,0.05,0.0337037037037037,0.0669934640522876,0.0669934640522876,0.058824846765296,-0.0615388504439599,0.0169121388260444,0.00314334136116315,-0.00389369567587389,-0.0147847847847848,-0.0337037037037037,-0.0179142300194932,-0.03,-0.0669934640522876,-0.0414449917898194,-0.148217530914805,-0.1,-0.321375291375291,-0.2,-0.2,-0.275,-0.3,-0.35,-0.35,-0.411290322580645,-0.691317883085438,-0.56551724137931,-0.639428571428571
"NOTCH",0.57,0.5,0.645714285714286,0.640579710144928,0.366402714932127,0.344444444444444,0.338643578643579,0.45426523297491,0.415555555555556,0.438461538461539,0.355555555555556,0.239723502304147,0.3,0.317142857142857,0.26,0.317894736842105,0.307619047619048,0.293333333333333,0.289813559322034,0.26,0.2,-0.0432688958551027,0,0,-0.0624418864792696,-0.06,0.0925691699604743,0,-0.0830769230769231,0.0824242424242424,0.0824242424242424,0.185288624787776,-0.125510546098781,0.14919978701337,0.122685885543028,0.110849150849151,0.0921678321678322,0.0830769230769231,0.0921678321678322,0.06,-0.0824242424242424,0.0898382749326146,-0.120408163265306,0,-0.302829354553492,-0.1,-0.1,-0.2,-0.2,-0.277777777777778,-0.275,-0.313461538461538,-0.640579710144928,-0.6,-0.573913043478261
"SMAD",0.573625324447242,0.637911038732957,0.631193895383547,0.619045230505483,0.497017154940145,0.500668534080299,0.476306381790253,0.408232540501827,0.387515409027723,0.374360539997637,0.365727699530516,0.347947454844007,0.333333333333333,0.328899835796388,0.304761904761905,0.336697722567288,0.297645049998763,0.28129889615261,0.306062222862259,0.26036866359447,0.257142857142857,0.0749722972655304,-0.06,-0.0619047619047619,-0.0398773228120579,-0.0674603174603175,0.20850140336948,-0.0885714285714286,-0.0828449328449329,0.201922456001059,0.201922456001059,0.202022471932867,-0.135872979309873,0.170419944826991,0.136791118391216,0.130509456790405,0.123046770223241,0.111774042950514,0.092916875290976,0.0941269841269841,-0.201922456001059,0.122325137249698,-0.0517880039382287,-0.3,-0.29422148066916,-0.377777777777778,-0.375,-0.43015873015873,-0.4,-0.471335200746965,-0.44,-0.472110091743119,-0.619045230505483,-0.638776506005839,-0.58321283457068
