"","TGF","cfos","ERK","EGR1","HEY1","Patched","SHH","SMAD","SMO","ILK","TWIST1","IKK","SRC","TCFLEF","cateninnuc","TrCP","STAT","LIV1","Frizzled","GLI","Wnt","DSH","Csl","NOTCHic","RAS","PI3K","DELTA","FOXC2","SNAI2","GSK3","RAF","RKIP","Jagged","NOTCH","Destcompl","Csn","SNAI1","cMet","CD44","NFB","AKT","SUFU","AXIN2","FUS","MEK","PAK1","CDC42","TGFR","cateninmemb","SOSGRB2","Ecadherin","miR200","ZEB2","ZEB1","KLF4"
"RAS",0.319009900990099,0.145,0.171315789473684,0.12,0.139920948616601,0.128,0.139864406779661,0.151267779839208,0.1,0.147186147186147,0.252896890343699,0.14,-0.05,-0.0346577452584962,-0.0366407480913574,0,-0.1,0,-0.05,-0.0399509803921569,-0.0441176470588235,-0.1,0,-0.00526315789473684,-0.285769230769231,-0.187692307692308,-0.187692307692308,-0.0846031746031746,0.35863181892981,-0.23531007751938,0.187692307692308,-0.14411320754717,-0.140563768972994,-0.00794438927507448,-0.105755354011168,-0.1,-0.29779744346116,0.0441176470588235,0.0377346683354193,-0.133333333333333,-0.145555555555556,-0.1,0.0636627140974967,-0.1,-0.185041279669763,-0.3,-0.32,-0.32,-0.103990156225921,-0.277489177489178,-0.188073518384077,0.0799076923076923,-0.186940353460972,-0.186940353460972,-0.181785714285714
"ERK",0.289799668008277,0.190983125458547,0.087649792125214,0.180344827586207,0.147118795907608,0.145571627558127,0.146054719345567,0.150507608302735,0.144918032786885,0.150203656934954,0.227350686942349,0.226906035141329,0.0385964912280702,0.0378286112085088,0.0376897223196199,0.214285714285714,0.0385964912280702,0.0333333333333333,0.0333333333333333,0.0323834060676166,0.0326340326340326,0.0333333333333333,0.00182595182595183,0.00401573284784964,-0.18485529322163,-0.183205128205128,-0.183205128205128,-0.0497456607801435,0.36740360813801,-0.148762685759033,0.183205128205128,-0.11170560146064,-0.109911046116051,-0.0026306912966031,-0.0432206594111682,-0.214285714285714,-0.289032507894422,-0.0378971905287695,-0.0376427376025608,-0.223376623376623,-0.230575759911971,-0.12,-0.0409720819924587,-0.14,-0.0868141375291137,-0.293333333333333,-0.290529595015576,-0.289799668008277,-0.205684317969918,-0.293605794421328,-0.250901070921852,0.0413957635704756,-0.124664256279299,-0.124664256279299,-0.130384927652286
"Csl",0.228107647085956,0.22,0.22,0.22,0.177590661682733,0.0692514474772539,0.0709755854082884,0.0774757336987553,0.066025641025641,0.0769201781431997,0.131549579706159,0.0847545219638243,0.0153379953379953,0.0167920919502163,0.0168492674790899,0.0333333333333333,0.0123076923076923,0.02,0.0153379953379953,0.0156068125422964,0.0164132641551996,0.0123076923076923,0.0167741935483871,0.0141426146010187,-0.0627027271314687,-0.0634380212491157,-0.0634380212491157,-0.01339432324654,0.162291126981186,-0.0412313832271496,0.0634380212491157,-0.107956629999902,-0.0355567321751097,-0.0150517055101096,-0.0145172685517984,-0.0666666666666667,-0.153393450349972,-0.0164368964368964,-0.0160287331715903,-0.0777777777777778,-0.0855297157622739,-0.0583333333333333,-0.0178184650361737,-0.066025641025641,-0.222173913043478,-0.223111111111111,-0.226336917562724,-0.226973860237883,-0.0470729700963245,-0.242773952619909,-0.0711658996598106,0.055290094317636,-0.10914805028425,-0.10914805028425,-0.102512077294686
"PAK1",0.23465541209032,0.235652173913043,0.233957258658806,0.24,0.0788745333215745,0.0791375092450361,0.0801375092450361,0.078358081583888,0.0729646697388633,0.078358081583888,0.153134199134199,0.0885964912280702,0.0911111111111111,0.0905096185294205,0.0903716874949378,0.0333333333333333,0.08,0.1,0.0911111111111111,0.0889673370417915,0.0884795321637427,0.08,0.00897435897435897,0.00435897435897436,-0.0602068992169423,-0.0620250810351241,-0.0620250810351241,-0.00561081623566163,0.145520358479797,-0.0924074675324675,0.0620250810351241,-0.108617754253113,-0.0306829413769598,-0.00545787545787546,-0.0924687063440066,-0.0583333333333333,-0.157901001146825,-0.0884084084084084,-0.0893985074183094,-0.0833333333333333,-0.0923001949317739,-0.0761904761904762,-0.118724168912848,-0.0761904761904762,-0.236623925325473,-0.228571428571429,-0.230532212885154,-0.233562515915457,-0.179948348224095,-0.271025852585259,-0.196431502628176,0.0522706052117817,-0.108449446230797,-0.108449446230797,-0.103269841269841
"EGR1",0.23465541209032,0.235652173913043,0.233957258658806,0.24,0.0788745333215745,0.0791375092450361,0.0801375092450361,0.078358081583888,0.0729646697388633,0.078358081583888,0.153134199134199,0.0885964912280702,0.0911111111111111,0.0905096185294205,0.0903716874949378,0.0333333333333333,0.08,0.1,0.0911111111111111,0.0889673370417915,0.0884795321637427,0.08,0.00897435897435897,0.00435897435897436,-0.0602068992169423,-0.0620250810351241,-0.0620250810351241,-0.00561081623566163,0.145520358479797,-0.0924074675324675,0.0620250810351241,-0.108617754253113,-0.0306829413769598,-0.00545787545787546,-0.0924687063440066,-0.0583333333333333,-0.157901001146825,-0.0884084084084084,-0.0893985074183094,-0.0833333333333333,-0.0923001949317739,-0.0761904761904762,-0.118724168912848,-0.0761904761904762,-0.236623925325473,-0.228571428571429,-0.230532212885154,-0.233562515915457,-0.179948348224095,-0.271025852585259,-0.196431502628176,0.0522706052117817,-0.108449446230797,-0.108449446230797,-0.103269841269841
"cfos",0.233562515915457,0.24,0.235652173913043,0.32,0.0744627686156921,0.0729646697388633,0.0791375092450361,0.078358081583888,0.0761904761904762,0.0751322751322751,0.153134199134199,0.0833333333333333,0.08,0.0893985074183094,0.0905096185294205,0,0.1,0.1,0.08,0.0884795321637427,0.0911111111111111,0.1,0.0166666666666667,0.00897435897435897,-0.0620250810351241,-0.0595860566448802,-0.0595860566448802,-0.00630047140807543,0.145339526653395,-0.0916801948051948,0.0595860566448802,-0.108065268065268,-0.0300694444444444,-0.00435897435897436,-0.0929198341635555,-0.0333333333333333,-0.157662337662338,-0.0911111111111111,-0.0884084084084084,-0.0583333333333333,-0.0885964912280702,-0.0333333333333333,-0.118095238095238,-0.0761904761904762,-0.233957258658806,-0.214285714285714,-0.228571428571429,-0.230532212885154,-0.177933696209443,-0.268055555555556,-0.194839807126446,0.0522706052117817,-0.105555555555556,-0.105555555555556,-0.103269841269841
"CDC42",0.233562515915457,0.24,0.235652173913043,0.22,0.0744627686156921,0.0729646697388633,0.0791375092450361,0.078358081583888,0.0761904761904762,0.0751322751322751,0.153134199134199,0.0833333333333333,0.08,0.0893985074183094,0.0905096185294205,0,0.1,0.1,0.08,0.0884795321637427,0.0911111111111111,0.1,0.0166666666666667,0.00897435897435897,-0.0620250810351241,-0.0595860566448802,-0.0595860566448802,-0.00630047140807543,0.145339526653395,-0.0916801948051948,0.0595860566448802,-0.108065268065268,-0.0300694444444444,-0.00435897435897436,-0.0929198341635555,-0.0333333333333333,-0.157662337662338,-0.0911111111111111,-0.0884084084084084,-0.0583333333333333,-0.0885964912280702,-0.0333333333333333,-0.118095238095238,-0.0761904761904762,-0.233957258658806,-0.114285714285714,-0.228571428571429,-0.230532212885154,-0.177933696209443,-0.268055555555556,-0.194839807126446,0.0522706052117817,-0.105555555555556,-0.105555555555556,-0.103269841269841
"NOTCHic",0.226973860237883,0.22,0.22,0.22,0.175629877369008,0.066025641025641,0.0692514474772539,0.0769201781431997,0.066025641025641,0.0747619047619048,0.131323846071847,0.0777777777777778,0.0123076923076923,0.0160287331715903,0.0167920919502163,0,0.02,0,0.0123076923076923,0.0164132641551996,0.0153379953379953,0.02,0.12,0.0167741935483871,-0.0634380212491157,-0.0609749670619236,-0.0609749670619236,-0.0122448979591837,0.162067413334654,-0.0407895570121275,0.0609749670619236,-0.105652482534464,-0.034515065508443,-0.0141426146010187,-0.014821960812615,-0.0333333333333333,-0.154183964183964,-0.0153379953379953,-0.0164368964368964,-0.0666666666666667,-0.0847545219638243,-0.0333333333333333,-0.0175613956274334,-0.0583333333333333,-0.22,-0.211111111111111,-0.223111111111111,-0.226336917562724,-0.0455439181085569,-0.240334928229665,-0.0701193880319036,0.0520221204614268,-0.103623188405797,-0.103623188405797,-0.1067977915804
"SMAD",0.187330017780942,0.225345622119816,0.225345622119816,0.228571428571429,0.189924097777149,0.157415902140673,0.160018132623944,0.0715430231868588,0.158333333333333,0.171066832710668,0.105653395480371,0.143977591036415,0.0144444444444444,0.0166331799114942,0.0171397655244628,0.1,0.02,0.02,-0.00555555555555555,-0.00363247863247863,-0.00363247863247863,0,0.13047619047619,0.129326765188834,0.042638065240513,0.042967012608934,0.042967012608934,-0.000640893092625442,0.151321120086013,0.0744575001717859,-0.042967012608934,-0.104295936376975,-0.132654377880184,-0.128533114395183,0.0111668291972151,-0.133333333333333,-0.134186995352318,-0.0164052287581699,-0.0167688651218063,-0.138095238095238,-0.145310924369748,-0.158333333333333,-0.0183829933934044,-0.158333333333333,-0.226307160581354,-0.180952380952381,-0.185177733065057,-0.185736392282934,-0.0411922425628336,-0.218537414965986,-0.0595139694669551,0.0605344795771055,-0.0995742098737717,-0.0995742098737717,-0.0891228876558327
"TGF",0.0257539682539683,0.166666666666667,0.171929824561404,0.166666666666667,0.154867827208253,0.142988505747126,0.146113505747126,0.150400782013685,0.153333333333333,0.148787878787879,-0.000185185185185185,0.258333333333333,0,0.00434458788480636,0.00482305678432789,0.2,0,0,-0.0142857142857143,-0.00862533692722372,-0.0142857142857143,0,0.0333333333333333,0.0333333333333333,-0.123809523809524,-0.123809523809524,-0.123809523809524,-0.121754658385093,0.126493872316271,0.10907029478458,0.123809523809524,-0.0212121212121212,-0.141826215022091,-0.0298850574712644,0.00681499096484687,-0.233333333333333,-0.0297870311506675,0,-0.00566037735849057,-0.258333333333333,-0.253070175438597,-0.133333333333333,-0.0037037037037037,-0.153333333333333,-0.169707602339181,-0.12,-0.131111111111111,-0.131111111111111,-0.0123094720897522,-0.280263157894737,-0.0184053624242993,0.0688395895292447,-0.0926787324041329,-0.0926787324041329,-0.081769641495042
