"","KLF4","Patched","SMO","RKIP","Jagged","FUS","NFB","Csn","SUFU","MEK","TWIST1","DSH","SOSGRB2","SRC","RAF","PI3K","SNAI2","cateninnuc","cateninmemb","Ecadherin","TCFLEF","CD44","GSK3","GLI","cMet","RAS","DELTA","LIV1","Wnt","AXIN2","Frizzled","STAT","Destcompl","PAK1","CDC42","TGFR","TGF","EGR1","cfos","ERK","TrCP","Csl","NOTCHic","NOTCH","SNAI1","IKK","AKT","FOXC2","SHH","ILK","HEY1","SMAD","ZEB2","ZEB1","miR200"
"Csl",0.63228088336784,0.357956259426848,0.324622926093514,0.361340806597665,0.25158279320324,0.277564102564103,0.244444444444444,0.188888888888889,0.208333333333333,0.28332298136646,0.201206691013462,0.0430769230769231,0.0272276033765122,0.0400466200466201,0.00105038389895961,0.00105038389895961,0.0604093311440893,0.0301755915051938,0.0258682343379127,0.0106380226675916,-0.0341207029974751,-0.038853527424956,0.0233638584356033,-0.0413907060681254,-0.0433433233433233,5.2557277510974e-05,-0.00105038389895961,-0.02,-0.0454229641326416,-0.0428274112671697,-0.0400466200466201,-0.0430769230769231,-0.0232220276771354,-0.108888888888889,-0.115340501792115,-0.114703559116955,-0.11946546387886,-0.22,-0.255714285714286,-0.275714285714286,-0.133333333333333,-0.172534562211982,-0.185692456948824,-0.201147002403369,-0.373485073702465,-0.283979328165375,-0.304909560723514,-0.431386271972638,-0.383818328392365,-0.48813977389517,-0.389189236452664,-0.51813977389517,-0.66561027037126,-0.66561027037126,-0.676515662608828
"NOTCHic",0.596566597653554,0.324622926093514,0.277564102564103,0.340603479408725,0.23439529320324,0.208333333333333,0.188888888888889,0.133333333333333,0.133333333333333,0.275714285714286,0.189694275663575,0.02,0.0329186602870813,0.0430769230769231,-0.00239789196310935,-0.00239789196310935,0.0600364750665352,0.0341207029974751,0.0303024851024387,0.0140101156908474,-0.038853527424956,-0.0433433233433233,0.0261620911307432,-0.0454229641326416,-0.0400466200466201,-0.00105038389895961,0.00239789196310935,0,-0.0400466200466201,-0.0441127583108715,-0.0430769230769231,-0.02,-0.0257205042158313,-0.0888888888888889,-0.108888888888889,-0.115340501792115,-0.114703559116955,-0.22,-0.22,-0.255714285714286,-0.1,-0.0628571428571429,-0.172534562211982,-0.185692456948824,-0.360441595441595,-0.244444444444444,-0.283979328165375,-0.418742593811718,-0.357956259426848,-0.448571428571429,-0.349319955406912,-0.48813977389517,-0.636328502415459,-0.636328502415459,-0.646668168055451
"NOTCH",0.542995169082126,0.277564102564103,0.208333333333333,0.325110521662246,0.215189995189995,0.133333333333333,0.133333333333333,0.1,0.1,0.255714285714286,0.184033898305085,0,0.0147368421052632,0.02,0.00484848484848485,0.00484848484848485,0.055026455026455,0.038853527424956,0.0357791585304306,0.0181448783248444,-0.0433433233433233,-0.0400466200466201,0.0302943225357018,-0.0400466200466201,-0.0430769230769231,0.00239789196310935,-0.00484848484848485,0,-0.0430769230769231,-0.0399460916442049,-0.02,0,-0.0280538375491646,-0.1,-0.0888888888888889,-0.108888888888889,-0.115340501792115,-0.2,-0.22,-0.22,0,-0.02,-0.0628571428571429,-0.172534562211982,-0.341923076923077,-0.188888888888889,-0.244444444444444,-0.399387755102041,-0.324622926093514,-0.395238095238095,-0.298550724637681,-0.448571428571429,-0.598550724637681,-0.598550724637681,-0.605627705627706
"SRC",0.384043927648579,0.193333333333333,0.16,0.461355490387748,0.296364972947542,0.1,0.2,0.2,0.1,0.31496093005527,0.357476316786662,-0.2,-0.142857142857143,-0.225,0.114676679182311,0.114676679182311,0.0969663867701756,-0.284275761731102,-0.282689342912738,-0.228047916136151,0.279130347860856,0.273032786885246,-0.0615584415584416,0.273032786885246,0.255,-0.110131224636857,-0.114676679182311,0,0.255,0.304851459900548,0.225,0.1,0.100900621118012,-0.111111111111111,-0.0986111111111111,-0.11765873015873,-0.124931457431457,-0.3,-0.309090909090909,-0.297979797979798,-0.1,-0.01,-0.0719047619047619,-0.10047619047619,-0.36796456790832,-0.238461538461538,-0.271794871794872,-0.488706816059757,-0.216862745098039,-0.337061403508772,-0.288397881496193,-0.379403745851114,-0.526332734351602,-0.526332734351602,-0.536252378861074
"SUFU",0.395930815963701,0.138333333333333,0.127222222222222,0.197208312878416,0.307512506762714,0.105,0.0262857142857143,0.0142857142857143,0.08,0.0308449926204879,0.241206537405868,-0.1625,-0.158722856091277,-0.264444444444444,-0.0283215407269688,-0.0283215407269688,0.0940001811514073,-0.268652458302495,-0.176306851616159,-0.00639108739680025,0.269317419939323,0.269860898200193,-0.202617388847085,0.162163203380675,0.27512405609493,0.0257898951573485,0.0283215407269688,0.25,0.168482905982906,0.429398617702007,0.156944444444444,0.27,0.216854577193542,0.0183333333333333,0.0129279279279279,0.00654494920452367,0.00989800640373471,-0.0430769230769231,-0.0218648018648019,-0.0253130777268708,0,-0.323939393939394,-0.33530303030303,-0.340064935064935,-0.212232785624004,-0.0416703296703297,-0.053079725643484,-0.318303107816602,-0.147213642213642,-0.270199692780338,-0.281292585535645,-0.281054196244541,-0.399487145096822,-0.399487145096822,-0.401950943496105
"FUS",0.377367941712204,0.127222222222222,0.105,0.200065455735559,0.302524383247275,0.08,0.0142857142857143,0,0.2,0.0253130777268708,0.243886949777002,-0.15,-0.167813765182186,-0.27,-0.0200245974955277,-0.0200245974955277,0.0899790868864106,-0.269317419939323,-0.175897574672094,-0.0057731677263574,0.269860898200193,0.27512405609493,-0.204159805299527,0.168482905982906,0.264444444444444,0.0283215407269688,0.0200245974955277,0.2,0.156944444444444,0.428696041589595,0.1625,0.25,0.218927942424802,-0.00666666666666667,0.0183333333333333,0.0129279279279279,0.00654494920452367,-0.02,-0.0430769230769231,-0.0218648018648019,0.1,-0.293939393939394,-0.323939393939394,-0.33530303030303,-0.209677419354839,-0.0262857142857143,-0.0416703296703297,-0.311107078039927,-0.138333333333333,-0.247619047619048,-0.258401019270584,-0.270199692780338,-0.38982530934803,-0.38982530934803,-0.391170274351124
"SMO",0.352777777777778,0.105,0.08,0.182539682539683,0.29047619047619,0.2,0,-0.1,0.1,0.0218648018648019,0.228703703703704,-0.1,-0.144736842105263,-0.25,-0.0293269230769231,-0.0293269230769231,0.0951855500821018,-0.269860898200193,-0.176083794411386,-0.00440330471265877,0.27512405609493,0.264444444444444,-0.206500942423273,0.156944444444444,0.27,0.0200245974955277,0.0293269230769231,0.1,0.1625,0.418137035378415,0.15,0.2,0.222577577461298,0.0333333333333333,-0.00666666666666667,0.0183333333333333,0.0129279279279279,0,-0.02,-0.0430769230769231,0,-0.266666666666667,-0.293939393939394,-0.323939393939394,-0.209677419354839,-0.0142857142857143,-0.0262857142857143,-0.301896551724138,-0.127222222222222,-0.233333333333333,-0.23956043956044,-0.247619047619048,-0.372033898305085,-0.372033898305085,-0.371368294153104
"Patched",0.327777777777778,0.08,0.2,0.171428571428571,0.276190476190476,0.1,-0.1,0,0.2,0.0430769230769231,0.228703703703704,0,-0.15,-0.2,-0.0230769230769231,-0.0230769230769231,0.0894712643678161,-0.27512405609493,-0.178996415770609,0.00039374325782093,0.264444444444444,0.27,-0.211355311355311,0.1625,0.25,0.0293269230769231,0.0230769230769231,0.1,0.15,0.407792207792208,0.1,0.1,0.226453546453546,0.0333333333333333,0.0333333333333333,-0.00666666666666667,0.0183333333333333,-0.1,0,-0.02,0,-0.2,-0.266666666666667,-0.293939393939394,-0.193010752688172,0,-0.0142857142857143,-0.295,-0.105,-0.183333333333333,-0.187179487179487,-0.233333333333333,-0.35,-0.35,-0.352380952380952
"Frizzled",0.319887955182073,0.228787878787879,0.195454545454545,0.115952380952381,0.0843010992275698,0.15,0.153333333333333,0.133333333333333,0.1,0.0910675381263617,0.039453781512605,0,0.0363636363636364,0.125,0.0105946684894053,0.0105946684894053,-0.0257541063852932,0.132820378761473,0.030788270110304,-0.0832410508452995,-0.136153712094807,-0.140789473684211,0.121969696969697,-0.140789473684211,-0.140789473684211,-0.00823246376499588,-0.0105946684894053,-0.1,-0.140789473684211,-0.187582804792107,-0.125,-0.1,-0.235209252351433,0.0666666666666667,0.06,0.0556521739130435,0.0527950310559006,-0.0666666666666667,-0.0666666666666667,-0.0725490196078431,-0.1,0.0357142857142857,0.019047619047619,0.0210084033613445,-0.10588336783989,-0.178333333333333,-0.203333333333333,-0.130494303737878,-0.244916911045943,-0.243629497117869,-0.230943807965085,-0.263255665342168,-0.345679976892955,-0.345679976892955,-0.347376893939394
"Destcompl",0.340249212399629,-0.0131476329439524,-0.0240284619594964,0.269532942134389,0.355777969006331,-0.0383141762452107,0.160662525879917,0.147619047619048,-0.0555555555555556,0.133381123960082,0.276700175159403,-0.297619047619048,-0.0754968446476719,-0.296249184605349,0.0771931977064843,0.0771931977064843,0.161725043519496,-0.292644257747181,-0.258167634355128,-0.018803892995139,0.29351116238767,0.294881025401369,-0.260057676598593,0.295198467288719,0.29674669704316,-0.0770362118352127,-0.0771931977064843,0.283333333333333,0.29723928361525,0.35112268317734,0.296249184605349,0.297619047619048,0.15179558872119,-0.0977551020408163,-0.0984447572132301,-0.100023704581651,-0.0999251824141635,-0.133333333333333,-0.13030303030303,-0.130849478390462,-0.133333333333333,-0.122687034860948,-0.131382687034861,-0.134789500662115,-0.256434393282774,-0.170572435789827,-0.178626127064995,-0.297405468680094,0.00599095982983248,-0.262380952380952,-0.261767975614129,-0.270918964076859,-0.340598101405224,-0.340598101405224,-0.351619672003016
