"","CDC42","MEK","ERK","ZEB2","SOSGRB2","RKIP","TWIST1","AXIN2","SRC","cMet","Destcompl","cateninnuc","ZEB1","LIV1","IKK","SNAI2","RAF","STAT","Jagged","SNAI1","SUFU","NFB","Csl","NOTCH","NOTCHic","FUS","miR200","TrCP","Csn","GSK3","SMAD","SMO","Patched","SHH","DSH","FOXC2","KLF4","ILK","AKT","RAS","PI3K","DELTA","HEY1","Ecadherin","Wnt","Frizzled","GLI","TCFLEF","CD44","cateninmemb","EGR1","cfos","PAK1","TGF","TGFR"
"ZEB1",-0.165767116441779,-0.143125507471711,-0.141803921568627,-0.118161596318841,-0.0625730994152047,-0.0924718865918092,-0.159540922210825,0.0166330883467066,0.00112570356472796,0.00112570356472796,0.024976081324227,0.00210284706956018,-0.0559251305181281,0,-0.0994362956571757,-0.163643229653902,-0.120608004629686,0.0230769230769231,-0.0450307847871336,-0.0648683698155174,-0.025,-0.0814035087719298,-0.0458333333333333,-0.0388166423594231,-0.0379901960784314,-0.025,-0.00875360851637042,0.0666666666666667,0.0866666666666667,0.00994177542468894,0.0135014063226761,0.0295454545454545,0.0275846702317291,0.032211004751302,-0.0285714285714286,0.0469724714946411,0.12742155822135,0.02359756016883,0.0822934385143186,0.118560760535198,0.120608004629686,0.120608004629686,0.0298709494305349,-0.101204524308662,-0.00662020905923345,-0.00662020905923345,-0.00421471077744651,-0.00239638914392417,0.000263185324160933,-0.0195833193485821,0.133333333333333,0.145333333333333,0.170114942528736,0.170397597276345,0.172366101213353
"ZEB2",-0.155324675324675,-0.132642828550527,-0.131423316355405,-0.117430273923979,-0.0923992673992674,-0.0762479871175523,-0.0724625599298503,-0.0591077214006807,-0.0566666666666667,-0.0566666666666667,-0.0555158329179431,-0.0553875441199385,-0.0509762303800212,-0.05,-0.0480555555555556,-0.0457326018420007,-0.0335714285714286,-0.03,-0.0284363420047778,-0.0270164843312748,-0.025,-0.0236111111111111,-0.0230769230769231,-0.0153829340058848,-0.0137435897435897,-0.0107142857142857,-0.00511796529259444,0,0.0111111111111111,0.0112521096281053,0.0171508412576774,0.0192857142857143,0.0192857142857143,0.022012987012987,0.0227272727272727,0.0258243978243978,0.0264082308477648,0.028126451013775,0.0302985462097612,0.0320724992352401,0.0335714285714286,0.0335714285714286,0.0338833746898263,0.0473698206519392,0.0493939393939394,0.0493939393939394,0.0512288017792605,0.0551278038601982,0.0575925925925926,0.0580214417293069,0.108333333333333,0.134649122807018,0.157142857142857,0.162051810623239,0.164168212739641
"STAT",0.140909090909091,0.199709044908286,0.20078431372549,-0.114676349291734,0.132019704433498,0.098490990990991,-0.00236429404345447,0.0316260210377857,0.0232142857142857,0.0186688311688312,0.0304618231786782,0.0170970200908106,0.239564281871974,0.1,-0.0466666666666667,0.0651719800354757,-0.0613988833746898,-0.0142857142857143,-0.0448663777537017,0.0361256876228476,-0.05,-0.08,-0.0392156862745098,-0.045933083283169,-0.0527291997880233,-0.075,0.160042553518844,0.1,0.1,0.0902558967512238,0.0457798878338609,0.055,0.0526744186046512,0.0517894628524388,0.0142857142857143,-0.0207866394001363,0.20137651020004,0.0308373590982287,0.072090395480226,0.0643839580015555,0.0613988833746898,0.0613988833746898,0.034,-0.0200577895881878,-0.0186688311688312,-0.0232142857142857,-0.0228705118411001,-0.0165010725341956,-0.0212329337329337,-0.0295652789531804,-0.166666666666667,-0.206666666666667,-0.140909090909091,-0.150685343133856,-0.154066985645933
"GLI",0.0339080459770115,0.0760850015546148,0.0843722943722944,-0.108016641065028,0.0348810481553844,0.0994649574192772,0.0720039496440175,-0.0711262077294686,-0.0632258064516129,-0.0632258064516129,-0.05807627489985,-0.0696699862798643,0.25334348864994,-0.1,-0.0867406611767514,0.227711560322348,-0.109347750261597,-0.06,-0.0499807412092704,0.0711458491177091,-0.180952380952381,-0.052046783625731,-0.0373474801061008,-0.035085575344196,-0.0398474801061008,-0.130952380952381,0.165093843205298,0.1,0.0888888888888889,0.146714242480885,0.0344927722199591,0.146741854636591,0.144701038310061,0.151696923083723,0.14,-0.0421701926384589,0.10763105963106,0.0469252046523915,0.0898656611767514,0.105189334420013,0.109347750261597,0.109347750261597,0.0489131553223234,0.0458518619082433,0.139696394686907,0.143225806451613,0.0469304372400985,0.0704470335004262,0.0701223581757508,0.0619954817302553,-0.0971428571428571,-0.0804761904761905,-0.0166666666666667,-0.0275417862655797,-0.0282476686185209
"Csl",0.102566308243728,0.199668737060041,0.206190476190476,-0.107126360085764,0.048225386081612,0.118404187424539,0.0651946526081848,0.00115325732886484,0.0121678321678322,0.00887112887112887,0.00433064421770875,0.00519222963411355,0.242505938559265,-0.02,-0.0542635658914729,0.156967254760354,0.00167254035320002,0.00307692307692308,-0.0805377459951136,0.0478679533027359,-0.0666666666666667,-0.0333333333333333,-0.0767741935483871,-0.0756737150794876,-0.0820373514431239,-0.0435897435897436,0.155846033397886,0.0666666666666667,0.0555555555555556,0.0585315740682059,0.044828708461802,0.0494720965309201,0.0462462900793072,0.0522807728379278,-0.00307692307692308,-0.0541889325251791,0.103623188405797,0.049828708461802,0.0627906976744186,-0.00240783447084708,-0.00167254035320002,-0.00167254035320002,-0.0459402802369554,-0.0334885509883959,-0.0110925633506279,-0.0121678321678322,-0.00786675689901496,-0.00433459670100892,-0.00601398601398602,-0.0138677894256119,-0.213333333333333,-0.206190476190476,-0.0928888888888889,-0.100795578720496,-0.101929365568568
"SNAI1",0.101171377641966,0.219952189444534,0.217261606484893,-0.106672742340619,0.0153145691927683,0.118536217937267,0.0663165240556545,-0.06611205103723,-0.0562962962962963,-0.0612467913458012,-0.0650547313997303,-0.0619271617095782,0.240110456372548,-0.06,-0.0556530214424951,0.2309316477266,0.0467359873242226,-0.0562962962962963,-0.060340490797546,-0.0484970833575111,-0.0476190476190476,-0.0482456140350877,-0.0651282051282051,-0.0619570905285191,-0.0607326007326007,-0.0508448540706605,0.156305905738916,0.0416666666666667,0.0166666666666667,0.0539305752003772,0.0457001717482613,0.049610286169426,0.056610286169426,0.0533093152956396,0.0562962962962963,-0.0584100407683643,0.105053338878067,0.044347158218126,0.0612085769980507,-0.0487064306739763,-0.0467359873242226,-0.0467359873242226,0.0485551341976071,0.0349590833277222,0.0590305710074645,0.0536647173489279,0.0599446477899142,0.0620820403879468,0.0623579024569123,0.0610687845507354,-0.22695652173913,-0.225261606484893,-0.104201680672269,-0.0992136392319535,-0.100624929554534
"PAK1",0.104201680672269,0.217261606484893,0.225261606484893,-0.106057736190558,0.0164466446644664,0.122720318355677,0.0672396009787314,-0.0668113517365307,-0.0562962962962963,-0.0562962962962963,-0.0642871875400812,-0.0620820403879468,0.244169496962954,-0.1,-0.0482456140350877,0.230361751648825,0.0440087145969499,-0.06,-0.064340490797546,0.0483000696674,-0.080952380952381,-0.0166666666666667,-0.0666666666666667,-0.0607326007326007,-0.0651282051282051,-0.0476190476190476,0.157362582011731,0.0666666666666667,0.0416666666666667,0.0529404761904762,0.044347158218126,0.0508448540706605,0.049610286169426,0.056610286169426,0.06,-0.0539627726616298,0.103495706479313,0.0533794162826421,0.0556530214424951,-0.0467359873242226,-0.0440087145969499,-0.0440087145969499,0.0568884675309404,0.0351151707366712,0.0536647173489279,0.0562962962962963,0.0590305710074645,0.0623579024569123,0.0612467913458012,0.0615869192657613,-0.24,-0.22695652173913,-0.0904761904761905,-0.100624929554534,-0.101171377641966
"LIV1",0.104201680672269,0.217261606484893,0.225261606484893,-0.106057736190558,0.0164466446644664,0.122720318355677,0.0672396009787314,-0.0668113517365307,-0.0562962962962963,-0.0562962962962963,-0.0642871875400812,-0.0620820403879468,0.244169496962954,-0.1,-0.0482456140350877,0.230361751648825,0.0440087145969499,-0.06,-0.064340490797546,0.0483000696674,-0.080952380952381,-0.0166666666666667,-0.0666666666666667,-0.0607326007326007,-0.0651282051282051,-0.0476190476190476,0.157362582011731,0.0666666666666667,0.0416666666666667,0.0529404761904762,0.044347158218126,0.0508448540706605,0.049610286169426,0.056610286169426,0.06,-0.0539627726616298,0.103495706479313,0.0533794162826421,0.0556530214424951,-0.0467359873242226,-0.0440087145969499,-0.0440087145969499,0.0568884675309404,0.0351151707366712,0.0536647173489279,0.0562962962962963,0.0590305710074645,0.0623579024569123,0.0612467913458012,0.0615869192657613,-0.24,-0.22695652173913,-0.0904761904761905,-0.100624929554534,-0.101171377641966
"NOTCHic",0.0928888888888889,0.206190476190476,0.206190476190476,-0.104363929146538,0.0392822966507177,0.120708334889976,0.0640659844366272,0.00243860437256664,0.00307692307692308,0.0121678321678322,0.00341656743525903,0.00433459670100892,0.241400966183575,0,-0.0333333333333333,0.155848686527692,-0.000790513833992096,-0.02,-0.0789752459951135,0.0490537240537241,-0.0666666666666667,-0.0555555555555556,0.02,-0.0820373514431239,-0.0767741935483871,-0.0666666666666667,0.158678277406601,0.1,0.0666666666666667,0.0604461543333017,0.049828708461802,0.0435897435897436,0.0494720965309201,0.0462462900793072,0.02,-0.053614219881501,0.09648033126294,0.0404761904761905,0.0542635658914729,-0.00167254035320002,0.000790513833992096,0.000790513833992096,-0.0544370122630992,-0.0326745975000238,-0.0121678321678322,-0.00307692307692308,-0.0110925633506279,-0.00601398601398602,-0.00887112887112887,-0.0134090738292816,-0.18,-0.213333333333333,-0.0888888888888889,-0.101929365568568,-0.102566308243728
"Jagged",0.1,0.213333333333333,0.18,-0.103623188405797,0.04,0.107692307692308,0.063,0.00571428571428572,0,-0.02,0.00301158301158301,0.00887112887112887,0.225845410628019,0,-0.0666666666666667,0.156033182503771,0.0333333333333333,0,-0.0661471861471861,0.0583333333333333,0,-0.1,0,0.02,0.02,-0.1,0.146060606060606,0,0,0.0616858237547893,0.0404761904761905,0.0666666666666667,0.0666666666666667,0.0435897435897436,0,-0.0671428571428571,0.116666666666667,0.0166666666666667,0.0555555555555556,-0.0151515151515151,-0.0333333333333333,-0.0333333333333333,-0.0833333333333333,-0.035859649122807,0.02,0,-0.00307692307692308,-0.0121678321678322,-0.00307692307692308,-0.0158240351198098,-0.1,-0.2,-0.2,-0.0928888888888889,-0.0888888888888889
"DELTA",0.1,0.213333333333333,0.18,-0.103623188405797,0.04,0.107692307692308,0.063,0.00571428571428572,0,-0.02,0.00301158301158301,0.00887112887112887,0.225845410628019,0,-0.0666666666666667,0.156033182503771,0.0333333333333333,0,-0.0661471861471861,0.0583333333333333,0,-0.1,0,0.02,0.02,-0.1,0.146060606060606,0,0,0.0616858237547893,0.0404761904761905,0.0666666666666667,0.0666666666666667,0.0435897435897436,0,-0.0671428571428571,0.116666666666667,0.0166666666666667,0.0555555555555556,-0.0151515151515151,-0.0333333333333333,-0.0333333333333333,-0.0833333333333333,-0.035859649122807,0.02,0,-0.00307692307692308,-0.0121678321678322,-0.00307692307692308,-0.0158240351198098,-0.1,-0.2,-0.2,-0.0928888888888889,-0.0888888888888889
"miR200",-0.00196078431372549,-0.0090599876314162,-0.00974025974025974,-0.100385304659498,0.016969696969697,-0.00337658910783787,-0.0926955253335622,0.0627788077911049,0.0843478260869565,0.0829393753827312,0.0684419063763564,0.0829970954404512,0.0986962365591398,0.1,-0.0166917293233083,-0.120461147811441,-0.0985074626865672,0.08,-0.012161320226964,0.000182040182040182,0.02,-0.0252631578947368,0.00463054187192118,-0.00170103810080432,-0.00226600985221675,0.02,7.64323720492694e-06,0,0.02,0.00183733301042571,-0.000460509889866008,-0.0133333333333333,-0.0145991561181435,-0.0156861126398826,-0.08,0.0151693293156708,0.101173222912353,-0.00265486725663717,0.0166917293233083,0.0992555923623776,0.0985074626865672,0.0985074626865672,-0.00163841807909605,-0.176613424170486,-0.0825915492957747,-0.084,-0.0825915492957747,-0.0825425499859058,-0.0829393753827312,-0.0930308563261489,0.0142857142857143,0.0142857142857143,0,0.000347881087919039,0.000347881087919039
"NOTCH",0.0888888888888889,0.206190476190476,0.213333333333333,-0.0962157809983897,0.0347368421052632,0.124933687002653,0.0646949152542373,0.00382749326145553,-0.02,0.00307692307692308,0.00674990076859236,0.00601398601398602,0.240660225442834,0,-0.0555555555555556,0.154445880916469,0.0151515151515151,0,-0.080962000962001,0.0506410256410256,-0.1,-0.0666666666666667,0.02,-0.0767741935483871,0.02,-0.0666666666666667,0.154632034632035,0,0.1,0.0571403692093347,0.0404761904761905,0.0666666666666667,0.0435897435897436,0.0494720965309201,0,-0.0487755102040816,0.103623188405797,0.0404761904761905,0.0333333333333333,0.000790513833992096,-0.0151515151515151,-0.0151515151515151,-0.0528985507246377,-0.0334402942840973,-0.00307692307692308,0.02,-0.0121678321678322,-0.00887112887112887,-0.0121678321678322,-0.0132062340726893,-0.2,-0.18,-0.1,-0.102566308243728,-0.0928888888888889
"TCFLEF",0.0915921288014311,0.0767645594823295,0.0774448315911731,-0.0827320131135921,-0.0823393213572854,0.0970583643293383,0.163285138657888,-0.0182002442002442,-0.085,-0.0773076923076923,-0.0336950888939489,0.0175452329770556,0.213771708311182,-0.1,0.0519229157938835,0.269415393178388,0.0404194439411046,-0.075,0.0654562655994586,-0.00262559848333907,-0.15,0.0680519480519481,-0.0125458313406663,-0.00310670685366224,-0.000781125458313406,-0.13,0.147308541525409,-0.0571428571428571,-0.048051948051948,-0.0593092588775438,0.0160281801322357,0.12047619047619,0.117250384024578,0.12093136561967,0.0705882352941176,-0.185647711891674,-0.0148220651897122,0.0211907040328093,-0.0595316114460575,-0.0434417829686999,-0.0404194439411046,-0.0404194439411046,0.0119893424683605,0.0165659661119128,0.0728959276018099,0.0805882352941176,0.0766226356763441,-0.0184043395062652,0.0817102080309627,0.0677252612047564,-0.0857142857142857,-0.078397212543554,-0.0846153846153846,-0.0929166321126894,-0.0915921288014311
"DSH",0.273333333333333,0.0517322718561109,0.0509803921568627,-0.0747579839378893,0.105469327420547,0.194004329004329,0.152309434412063,-0.0719337026431522,-0.0986842105263158,-0.0986842105263158,0.0110525159330113,-0.0995817366093372,0.285013278833278,-0.1,-0.115,0.185253461629394,-0.114634205413319,-0.125,-0.0107617039063687,0.151711525189786,-0.1,-0.1525,0.0940476190476191,0.0874659654071419,0.0881652661064426,-0.109090909090909,0.228439655703375,0.2,0.14,0.149324321703312,0.0531596424509778,0.0852813852813853,0.094958804636224,0.0906643261086166,0.125,0.045226825398184,0.0637921187892633,0.0429709632056948,0.139137931034483,0.116594989727044,0.114634205413319,0.114634205413319,0.0309616102449249,0.0781330889801991,0.0986842105263158,0.0986842105263158,0.0954162366701067,0.0986022174641903,0.0966974555594284,-0.00868702295156149,-0.0333333333333333,-0.0509803921568627,-0.273333333333333,-0.279465737514518,-0.281904761904762
"GSK3",0.281904761904762,0.0471868173106563,0.0517322718561109,-0.0746093955277852,0.109655373932175,0.196259968102073,0.154230049008734,-0.0748256356720715,-0.0986842105263158,-0.0966974555594284,0.0124262390749627,-0.0990554208198635,0.287539281805046,-0.125,-0.139137931034483,0.185598586737246,-0.116594989727044,-0.0986842105263158,-0.013535426534106,0.148942975909609,-0.109090909090909,-0.115,0.0881652661064426,0.0898036277448042,0.0874659654071419,-0.0852813852813853,0.225743289935497,0.14,0.1525,0.0484923749479044,0.0470127159142462,0.094958804636224,0.0906643261086166,0.0959274840033535,0.0986842105263158,0.0492140662275301,0.0714257065755228,0.0531596424509778,0.138283230179782,0.115964737626204,0.116594989727044,0.116594989727044,0.0396121292760668,0.0772440537480621,0.0954162366701067,0.0986842105263158,0.0973030291229368,0.0995817366093372,0.0986022174641903,-0.00886385761115477,-0.0509803921568627,-0.0509803921568627,-0.273333333333333,-0.279209327258108,-0.279465737514518
"Wnt",0.266666666666667,0.0509803921568627,0.0333333333333333,-0.0730272596843616,0.106060606060606,0.181666666666667,0.149411764705882,-0.0672727272727273,-0.1,-0.125,0.00993633151200984,-0.0966974555594284,0.272118603538977,0,-0.14,0.185948275862069,-0.0879699248120301,-0.1,-0.00120098039215686,0.161801242236025,0,-0.2,0.1,0.0940476190476191,0.0857142857142857,-0.1,0.221313131313131,0.1,0.1,0.146630094043887,0.0495130192804612,0.1,0.109090909090909,0.0852813852813853,0.2,0.0327935222672065,0.0705882352941176,0.0239316239316239,0.1525,0.110697197539303,0.0879699248120301,0.0879699248120301,0.0128205128205128,0.0772854145592147,0.125,0.2,0.0986842105263158,0.0986842105263158,0.0986842105263158,-0.0100847457627119,0,-0.0333333333333333,-0.3,-0.273333333333333,-0.273333333333333
"SRC",0.0541666666666667,0.20821421764818,0.21010101010101,-0.0688454627133872,-0.0342857142857143,0.102411208862822,0.0582518630794493,0.0326023205406095,0,0.03,-0.00321428571428572,0.0245575237466535,0.169556753519018,0.2,0.0551282051282051,0.0988298727263125,0.146733416770964,0.1,-0.0346512585274053,-0.0222014173286832,-0.1,0.0166666666666667,-0.125,-0.133333333333333,-0.129761904761905,-0.05,0.119675010979359,-0.1,-0.05,0.00632034632034632,0.0305535798956852,0.05,0.0314814814814815,0.0314814814814815,0,-0.0914985994397759,0.175387596899225,0.0278508771929825,-0.0717948717948718,-0.139157659195206,-0.146733416770964,-0.146733416770964,0.0361055941741145,-0.0184700647935942,-0.03,0,-0.0283606557377049,-0.0283606557377049,-0.0283606557377049,-0.0272339470139201,-0.233333333333333,-0.187878787878788,-0.0666666666666667,-0.0745995670995671,-0.0636904761904762
"Frizzled",0.273333333333333,0.0509803921568627,0.0509803921568627,-0.0660965666150546,0.103030303030303,0.203095238095238,0.157983193277311,-0.0765750528541226,-0.125,-0.0986842105263158,0.0139151113528586,-0.0986022174641903,0.288950286707293,-0.1,-0.1525,0.183740073969324,-0.110697197539303,-0.1,-0.012312091503268,0.149102829537612,-0.1,-0.14,0.0857142857142857,0.0881652661064426,0.0940476190476191,-0.1,0.226000631313131,0.1,0.2,0.147236154649948,0.0429709632056948,0.109090909090909,0.0852813852813853,0.094958804636224,0.2,0.0560493362206948,0.0705882352941176,0.0495130192804612,0.115,0.114634205413319,0.110697197539303,0.110697197539303,0.0362247681396618,0.0775185147923149,0.0986842105263158,0.125,0.0986842105263158,0.0966974555594284,0.0986842105263158,-0.00786252354048964,-0.0333333333333333,-0.0333333333333333,-0.266666666666667,-0.281904761904762,-0.273333333333333
