"","EGR1","ERK","SUFU","SNAI1","Csn","NOTCHic","PAK1","TrCP","Csl","ZEB2","ZEB1","FUS","TGFR","NFB","IKK","TGF","miR200","RAF","FOXC2","DSH","SHH","SOSGRB2","Destcompl","Frizzled","Ecadherin","GLI","cateninmemb","HEY1","cateninnuc","TCFLEF","CD44","SMAD","SRC","cMet","ILK","Wnt","KLF4","AXIN2","Patched","STAT","AKT","RAS","PI3K","DELTA","LIV1","CDC42","SMO","SNAI2","NOTCH","Jagged","MEK","GSK3","TWIST1","cfos","RKIP"
"SMO",-0.1,-0.143076923076923,-0.3,-0.173348694316436,-0.1,0.0393939393939394,-0.333333333333333,0,0.0666666666666667,-0.393361581920904,-0.393361581920904,-0.266666666666667,-0.345,-0.05,-0.0642857142857143,-0.328783783783784,-0.416305003013864,0.0360576923076923,-0.179310344827586,-0.3,-0.1075,-0.115789473684211,-0.182857297741019,-0.25,0.121478900711337,-0.227777777777778,-0.0230403312802311,-0.153846153846154,-0.111745463983584,-0.116256742179072,0.121111111111111,-0.193492063492063,0.15,0.143333333333333,-0.163333333333333,0.25,0.397222222222222,0.026063591580833,0.124166666666667,0.2,0.0282857142857143,-0.0383832737030411,-0.0360576923076923,-0.0360576923076923,0.1,0.353333333333333,0.186666666666667,-0.254940339354132,-0.0593939393939394,-0.168068783068783,0.146107226107226,0.181848572139834,0.0331699346405229,0.12,0.212063492063492
"Patched",-0.1,-0.12,-0.2,-0.187634408602151,0,0.0666666666666667,-0.233333333333333,0,0,-0.391666666666667,-0.391666666666667,-0.3,-0.353333333333333,-0.1,-0.05,-0.345,-0.402380952380952,0.0423076923076923,-0.2,-0.2,-0.124166666666667,-0.1,-0.186733266733267,-0.3,0.132918015102481,-0.25,-0.0249820788530466,-0.120512820512821,-0.116256742179072,-0.121111111111111,0.143333333333333,-0.163333333333333,0.2,0.15,-0.133333333333333,0.25,0.355555555555556,0.0467532467532468,0.186666666666667,0.1,0.0642857142857143,-0.0360576923076923,-0.0423076923076923,-0.0423076923076923,0.1,0.333333333333333,0.266666666666667,-0.26255938697318,-0.0393939393939394,-0.171640211640212,0.143076923076923,0.188644688644689,0.0361111111111111,0.1,0.234285714285714
"SNAI2",-0.166666666666667,-0.205882352941176,-0.2,-0.239716647284641,-0.133333333333333,0.182894736842105,-0.252941176470588,-0.1,0.174122807017544,-0.312775330396476,-0.312775330396476,-0.26,-0.272843496372908,-0.133333333333333,-0.122988505747126,-0.266632316248685,-0.325906011733626,0.128985507246377,-0.259029341134917,-0.287272727272727,-0.229061427387857,0.0763015551048006,-0.231322966174663,-0.294415584415584,-0.0526105212720851,-0.275073865653816,-0.216281702855119,-0.0792646172393008,-0.25867513806489,-0.26395464117048,0.274470105088006,-0.136706683482073,0.294415584415584,0.287373330894458,-0.114218645204561,0.287373330894458,0.304230769230769,0.154718352408247,0.251596638655462,0.287272727272727,0.112145132253151,-0.126702402223546,-0.128985507246377,-0.128985507246377,0.26,0.271988795518207,0.265882352941176,0.0241113793043259,-0.185492139439508,-0.304552574417134,0.20993640699523,0.243078682422584,-0.178409202192642,0.196078431372549,0.264051282051282
"Jagged",-0.1,-0.02,0,0.0833333333333333,0,0.02,0,0,0,-0.289371980676329,-0.289371980676329,0.1,0.0888888888888889,0.1,0.133333333333333,0.108888888888889,-0.317575757575758,-0.00666666666666667,0.105714285714286,0,0.216025641025641,0.02,0.00477220077220077,0,-0.0571929824561404,0.0123076923076923,-0.0331552954088165,-0.333333333333333,-0.020992340992341,-0.0089044289044289,-0.0123076923076923,-0.247619047619048,0,-0.02,-0.233333333333333,-0.02,0.311111111111111,-0.00428571428571428,-0.208333333333333,0,-0.188888888888889,-0.0115151515151515,0.00666666666666667,0.00666666666666667,0,-0.1,-0.133333333333333,0.124987430869784,-0.0485714285714286,-0.17021645021645,0.02,-0.0103448275862069,0.03,0,-0.00512820512820512
"NOTCH",0,-0.02,0.1,0.0941025641025641,0.1,0.0485714285714286,0.1,0,0.02,-0.278260869565217,-0.278260869565217,0.133333333333333,0.108888888888889,0.133333333333333,0.188888888888889,0.105663082437276,-0.297575757575758,0.0115151515151515,0.103673469387755,0,0.221907993966817,0.0147368421052632,-0.00550817305957493,0.02,-0.052354272778721,-0.0089044289044289,-0.0389144577124815,-0.33768115942029,-0.0295637695637696,-0.020992340992341,0.0089044289044289,-0.230952380952381,-0.02,-0.0123076923076923,-0.247619047619048,-0.0123076923076923,0.289371980676329,0.00514824797843666,-0.216025641025641,0,-0.211111111111111,-0.0245586297760211,-0.0115151515151515,-0.0115151515151515,0,-0.0888888888888889,-0.208333333333333,0.111759917642271,-0.164700460829493,-0.188734968734969,-0.00857142857142857,-0.00352664576802508,0.0147457627118644,0.02,-0.015473032714412
"FOXC2",-0.16,-0.169090909090909,-0.2,-0.184374181454199,-0.1,0.134354066985646,-0.227272727272727,-0.1,0.129090909090909,-0.273219814241486,-0.273219814241486,-0.233333333333333,-0.213939393939394,-0.08,-0.0657142857142857,-0.20369549150037,-0.286780626780627,0.0758974358974359,-0.200750039210414,-0.233333333333333,-0.164784946236559,0.0435534591194969,-0.178750103245991,-0.227450980392157,0.1602430490898,-0.195654669245405,-0.122899831649832,-0.0863712757830405,-0.183503010138661,-0.185620071159832,0.19465017149428,-0.130492753623188,0.227450980392157,0.211171910624715,-0.116,0.211171910624715,0.274074074074074,0.0945983230762876,0.191666666666667,0.233333333333333,0.0546031746031746,-0.0722209653092006,-0.0758974358974359,-0.0758974358974359,0.233333333333333,0.223272727272727,0.216666666666667,-0.287533476589757,-0.133323139150594,-0.237075098814229,0.170121836925961,0.190951621396498,-0.127633986928105,0.169090909090909,0.217068645640074
"SMAD",0,0.0553638409602401,0.133333333333333,0.052497794320375,0.127777777777778,0.0428899835796388,0.1,0.05,0.0371428571428571,-0.259782063661166,-0.259782063661166,0.158333333333333,0.108765441812889,0.151587301587302,0.149626517273576,0.0980084697013347,-0.277462850195925,-0.115286262500236,0.0879023999891495,0.147619047619048,0.151956333913123,-0.0108843537414966,0.148946335904001,0.130952380952381,-0.0194141269484407,0.110310432972303,0.0840176921225953,-0.156395183205876,0.119527176464281,0.124998301084341,-0.134360580595875,-0.225757347675156,-0.157619047619048,-0.14781512605042,-0.148614490532299,-0.123260073260073,0.263720299708651,-0.0970460234579144,-0.162737003058104,-0.174285714285714,-0.133626517273576,0.115944157237078,0.115286262500236,0.115286262500236,-0.16,-0.112676056338028,-0.178333333333333,0.258587182641979,-0.0373344280240832,-0.0296925010473398,-0.0524792255756247,-0.0307480099961303,0.0653282572903519,-0.0483870967741935,-0.026095571237192
"cfos",-0.12,0.0478260869565217,0.133333333333333,0.129106252397392,0.133333333333333,0.148717948717949,0.114285714285714,0.1,0.133333333333333,-0.229905069372382,-0.229905069372382,0.233333333333333,0.159103641456583,0.208333333333333,0.233333333333333,0.151527883880825,-0.25636193871488,-0.00206971677559913,0.140758352121336,0.15,0.236220629231382,0.0222222222222222,0.127622982074827,0.15,-0.0118863146364631,0.110916179337232,0.063013361441776,-0.216991504247876,0.086959434682207,0.093996471719244,-0.107857857857858,-0.21410650281618,-0.15,-0.124074074074074,-0.225396825396825,-0.124074074074074,0.253777777777778,-0.0938752052545156,-0.259677419354839,-0.15,-0.228070175438596,-0.000369307614644774,0.00206971677559913,0.00206971677559913,-0.1,-0.157142857142857,-0.25,0.218275033968465,-0.156410256410256,-0.160833333333333,-0.049521002210759,-0.068538961038961,0.0118008658008658,0,-0.07004662004662
"CDC42",-0.02,0.0478260869565217,0.133333333333333,0.129106252397392,0.133333333333333,0.148717948717949,0.0142857142857143,0.1,0.133333333333333,-0.229905069372382,-0.229905069372382,0.233333333333333,0.159103641456583,0.208333333333333,0.233333333333333,0.151527883880825,-0.25636193871488,-0.00206971677559913,0.140758352121336,0.15,0.236220629231382,0.0222222222222222,0.127622982074827,0.15,-0.0118863146364631,0.110916179337232,0.063013361441776,-0.216991504247876,0.086959434682207,0.093996471719244,-0.107857857857858,-0.21410650281618,-0.15,-0.124074074074074,-0.225396825396825,-0.124074074074074,0.253777777777778,-0.0938752052545156,-0.259677419354839,-0.15,-0.228070175438596,-0.000369307614644774,0.00206971677559913,0.00206971677559913,-0.1,-0.157142857142857,-0.25,0.218275033968465,-0.156410256410256,-0.160833333333333,-0.049521002210759,-0.068538961038961,0.0118008658008658,0,-0.07004662004662
"TrCP",0,0.049521002210759,0.233333333333333,0.117889068626509,0.208333333333333,0.156410256410256,0.157142857142857,0.133333333333333,0.148717948717949,-0.227011178697141,-0.227011178697141,0.25,0.151527883880825,0.233333333333333,0.228070175438596,0.137320233607601,-0.246717268664118,0.000369307614644774,0.126275593500647,0.15,0.224220629231382,0.0192519251925193,0.123863583578587,0.124074074074074,-0.00351261221431779,0.0977454476299149,0.0613650097934243,-0.203756210130229,0.0837870208891035,0.086959434682207,-0.093996471719244,-0.19152585765489,-0.124074074074074,-0.107857857857858,-0.21410650281618,-0.110916179337232,0.227548269581056,-0.0869569662608049,-0.236220629231382,-0.15,-0.207699805068226,0.000539783294446135,-0.000369307614644774,-0.000369307614644774,-0.15,-0.159103641456583,-0.259677419354839,0.208510115342786,-0.150915750915751,-0.165127811860941,-0.0441876688774257,-0.0619935064935065,0.0118008658008658,-0.0478260869565217,-0.0639692719803217
