"","HEY1","Patched","SMO","NFB","RKIP","Csn","NOTCHic","Csl","TrCP","cateninmemb","AXIN2","TCFLEF","CD44","Wnt","cMet","Frizzled","SRC","TWIST1","MEK","Destcompl","RAS","RAF","PI3K","cfos","GSK3","EGR1","SNAI2","DELTA","ERK","LIV1","STAT","DSH","GLI","cateninnuc","Ecadherin","SOSGRB2","NOTCH","Jagged","PAK1","SUFU","CDC42","SNAI1","TGFR","FOXC2","IKK","TGF","FUS","AKT","SHH","ILK","ZEB2","ZEB1","miR200","SMAD","KLF4"
"LIV1",0.638768850868683,0.490919952210275,0.427956989247312,0.35,0.391290551069557,0.275,0.241538461538462,0.215384615384615,0.2,0.169634463937241,0.164179446664808,0.144518280656895,0.138962725101339,0.134307992202729,0.132032032032032,0.118518518518519,0.118518518518519,0.245720779220779,0.0901891427167772,0.0893024227234754,-0.00814624001854992,-0.00769169456400446,-0.00769169456400446,0.105217391304348,-0.0330909090909091,-0.04,0.075183177720367,0.00769169456400446,-0.103522476050111,-0.1,-0.1,-0.1,-0.142600675129558,-0.149759659967239,-0.165006717327135,-0.294196919691969,-0.267912087912088,-0.332595006816633,-0.433333333333333,-0.3,-0.462745098039216,-0.499705116087703,-0.476381461675579,-0.512103573136572,-0.392105263157895,-0.495507144735689,-0.366666666666667,-0.423586744639376,-0.537919952210275,-0.64179040791944,-0.758621667643568,-0.758621667643568,-0.768077180110623,-0.688887182112989,-0.715540983606557
"EGR1",0.638768850868683,0.490919952210275,0.427956989247312,0.35,0.391290551069557,0.275,0.241538461538462,0.215384615384615,0.2,0.169634463937241,0.164179446664808,0.144518280656895,0.138962725101339,0.134307992202729,0.132032032032032,0.118518518518519,0.118518518518519,0.245720779220779,0.0901891427167772,0.0893024227234754,-0.00814624001854992,-0.00769169456400446,-0.00769169456400446,0.105217391304348,-0.0330909090909091,-0.04,0.075183177720367,0.00769169456400446,-0.103522476050111,-0.1,-0.1,-0.1,-0.142600675129558,-0.149759659967239,-0.165006717327135,-0.294196919691969,-0.267912087912088,-0.332595006816633,-0.433333333333333,-0.3,-0.462745098039216,-0.499705116087703,-0.476381461675579,-0.512103573136572,-0.392105263157895,-0.495507144735689,-0.366666666666667,-0.423586744639376,-0.537919952210275,-0.64179040791944,-0.758621667643568,-0.758621667643568,-0.768077180110623,-0.688887182112989,-0.715540983606557
"NOTCH",0.391304347826087,0.369230769230769,0.3,0.2,0.357471264367816,0.1,0.0628571428571429,0.02,0,0.217974951086816,0.187385444743935,0.175844155844156,0.154965034965035,0.127692307692308,0.127692307692308,0.12,0.12,0.167305084745763,0.0776190476190476,0.0946033991267636,0.0390513833992095,0.0115151515151515,0.0115151515151515,-0.02,-0.0493469174503657,0,-0.00575187339893221,-0.0115151515151515,-0.0133333333333333,0,-0.1,-0.1,-0.154965034965035,-0.188497217068646,-0.197358800226372,-0.195789473684211,-0.172534562211982,-0.217306397306397,-0.3,-0.1,-0.355555555555556,-0.441923076923077,-0.415555555555556,-0.447551020408163,-0.255555555555556,-0.444587813620072,-0.2,-0.322222222222222,-0.428054298642534,-0.490476190476191,-0.666666666666667,-0.666666666666667,-0.674285714285714,-0.573809523809524,-0.6
"Jagged",0.3,0.3,0.2,0.1,0.333333333333333,0,0.02,0,0,0.19546186208158,0.162857142857143,0.154965034965035,0.127692307692308,0.12,0.12,0.1,0.1,0.169,0.0133333333333333,0.0899305019305019,0.0115151515151515,-0.00666666666666667,-0.00666666666666667,0,-0.0425287356321839,-0.1,0.00324283559577678,0.00666666666666667,0.02,0,0,0,-0.127692307692308,-0.175844155844156,-0.183649122807018,-0.18,-0.0628571428571429,-0.198787878787879,-0.2,0,-0.3,-0.425,-0.355555555555556,-0.412857142857143,-0.2,-0.415555555555556,-0.1,-0.255555555555556,-0.369230769230769,-0.4,-0.6,-0.6,-0.6,-0.490476190476191,-0.5
"DELTA",0.3,0.3,0.2,0.1,0.333333333333333,0,0.02,0,0,0.19546186208158,0.162857142857143,0.154965034965035,0.127692307692308,0.12,0.12,0.1,0.1,0.169,0.0133333333333333,0.0899305019305019,0.0115151515151515,-0.00666666666666667,-0.00666666666666667,0,-0.0425287356321839,-0.1,0.00324283559577678,0.00666666666666667,0.02,0,0,0,-0.127692307692308,-0.175844155844156,-0.183649122807018,-0.18,-0.0628571428571429,-0.198787878787879,-0.2,0,-0.3,-0.425,-0.355555555555556,-0.412857142857143,-0.2,-0.415555555555556,-0.1,-0.255555555555556,-0.369230769230769,-0.4,-0.6,-0.6,-0.6,-0.490476190476191,-0.5
"STAT",0.514666666666667,0.297248062015504,0.271666666666667,0.26,0.236192084942085,0.2,0.193428722840488,0.174509803921569,0.1,-0.189365145288162,-0.19978687978688,-0.160984135037763,-0.154359529359529,-0.148376623376623,-0.148376623376623,-0.139285714285714,-0.139285714285714,0.330127793246234,0.0465528146742568,-0.0763387548840358,-0.149316537659099,-0.145585194375517,-0.145585194375517,0,0.0931330663106364,0,0.243529776974753,0.145585194375517,-0.0411764705882353,0.2,0.114285714285714,0.114285714285714,0.152578304048892,0.166586042069944,0.108197923324938,-0.355090311986864,-0.207991829636604,-0.315337900022134,-0.277272727272727,-0.15,-0.308522727272727,-0.317319934379199,-0.326943779904306,-0.412854805725971,-0.321904761904762,-0.329359238841504,-0.225,-0.35410815173527,-0.328221513342937,-0.51207729468599,-0.598368298368298,-0.598368298368298,-0.609113287508336,-0.550008329168749,-0.467775797187562
"Frizzled",0.334271685761047,0.278787878787879,0.245454545454545,0.193333333333333,0.125952380952381,0.133333333333333,0.00952380952380952,-0.00714285714285715,0.1,0.134205676620931,0.16738548273432,0.136437534232933,0.126503759398496,0.115789473684211,0.115789473684211,0.1,0.1,0.100364145658263,0.0471023965141612,0.0131202968291943,-0.00777740701072653,-0.0164388243335612,-0.0164388243335612,-0.02,-0.0912852664576802,0,-0.0401941694767758,0.0164388243335612,-0.0211764705882353,-0.1,-0.1,-0.2,-0.126503759398496,-0.14262801042341,-0.144429220137324,-0.106060606060606,-0.011484593837535,-0.146356209150327,-0.133333333333333,-0.1,-0.18,-0.205900621118012,-0.206086956521739,-0.217053008191319,-0.230833333333333,-0.218467908902691,-0.2,-0.262083333333333,-0.311045943304008,-0.34893659312264,-0.429975709192153,-0.429975709192153,-0.428718434343434,-0.38912350901049,-0.400560224089636
"AKT",0.339636600329398,0.29465811965812,0.264102564102564,0.096078431372549,0.120102020741407,0.0666666666666667,0.00769230769230769,0.00769230769230769,0.0333333333333333,0.191538714783272,0.202801444043321,0.1716336481329,0.162767668751457,0.149773318468971,0.149773318468971,0.132850241545894,0.132850241545894,-0.0353805493460361,0.0456705861427368,0.0354435555564552,0.0401240643056124,0.0355457510526004,0.0355457510526004,0.026890756302521,-0.0106260376421667,0.0142857142857143,-0.129187065930018,-0.0355457510526004,-0.0482022317123571,-0.1,-0.111111111111111,-0.111111111111111,-0.163739798915898,-0.178249032748284,-0.218967014259628,-0.0678632478632479,-0.0162288930581614,-0.126008481468572,-0.0661764705882353,-0.2,-0.0901764705882353,-0.1764414659838,-0.100745576279292,-0.100292927440553,-0.119155354449472,-0.107694216762676,-0.233333333333333,-0.228246263540381,-0.323079172289699,-0.350270348139256,-0.418631753245468,-0.418631753245468,-0.420356830048248,-0.377543075411983,-0.398864147548358
"Wnt",0.293846153846154,0.245454545454545,0.2,0.133333333333333,0.111666666666667,0.1,-0.00714285714285715,-0.05,0.1,0.124364406779661,0.155757575757576,0.126503759398496,0.115789473684211,0.1,0.1,0.2,0.1,0.0994117647058823,0.0211764705882353,0.0102025249459051,-0.0164388243335612,-0.0300751879699248,-0.0300751879699248,0,-0.0931034482758621,-0.1,-0.0367241379310345,0.0300751879699248,0.02,0,-0.1,-0.2,-0.115789473684211,-0.136437534232933,-0.138135513843618,-0.0909090909090909,-0.00952380952380952,-0.135245098039216,-0.1,0,-0.133333333333333,-0.196376811594203,-0.18,-0.205425101214575,-0.193333333333333,-0.206086956521739,-0.1,-0.230833333333333,-0.278787878787879,-0.309401709401709,-0.399282639885222,-0.399282639885222,-0.394343434343434,-0.34893659312264,-0.352941176470588
"PI3K",0.304298254464736,0.264102564102564,0.233333333333333,0.0666666666666667,0.114511958629606,0.0333333333333333,0.00769230769230769,0,0,0.182058592459112,0.188,0.162767668751457,0.149773318468971,0.132850241545894,0.132850241545894,0.111111111111111,0.111111111111111,-0.0338514973582686,0.0482022317123571,0.0343682867392509,0.0355457510526004,0.02595670995671,0.02595670995671,-0.0142857142857143,-0.00860990860990861,0,-0.120644352362178,-0.02595670995671,-0.026890756302521,-0.1,-0.1,-0.1,-0.149773318468971,-0.1716336481329,-0.209573074865688,-0.0523076923076923,-0.00769230769230769,-0.119385964912281,-0.025,-0.1,-0.0661764705882353,-0.162657004830918,-0.0901764705882353,-0.0957816492450639,-0.096078431372549,-0.100745576279292,-0.2,-0.119155354449472,-0.29465811965812,-0.315870348139256,-0.398083808039989,-0.398083808039989,-0.399501215074986,-0.350270348139256,-0.372368421052632
