"","SNAI1","SOSGRB2","RKIP","AXIN2","TCFLEF","Ecadherin","Wnt","CD44","ZEB2","ZEB1","cMet","Frizzled","Csn","DSH","SRC","TGF","TGFR","PAK1","CDC42","EGR1","cfos","TrCP","LIV1","NOTCHic","MEK","Csl","cateninmemb","Patched","miR200","NOTCH","PI3K","HEY1","SMAD","KLF4","ILK","AKT","Jagged","RAS","RAF","DELTA","NFB","IKK","FUS","ERK","SHH","FOXC2","TWIST1","SMO","STAT","SUFU","GLI","cateninnuc","SNAI2","Destcompl","GSK3"
"Destcompl",-0.509684296725316,-0.300613714650362,-0.460380628417565,-0.546744273306897,-0.523587460609542,0.160708108209746,-0.480608354377512,-0.503039515404062,-0.563760847539756,-0.563760847539756,-0.480278321374212,-0.446944988040878,0.195238095238095,-0.412698412698413,-0.446944988040878,-0.365200192599726,-0.348352901959332,-0.300204081632653,-0.325721323011963,-0.0333333333333333,-0.0212121212121212,0.166666666666667,-0.355555555555556,0.14439678809244,-0.0123236934608588,0.128092440266353,0.44375131037715,-0.0357567971504009,-0.576268264592811,0.159827649815887,-0.257297235268969,0.330968860199629,-0.365802005012531,0.511435796803181,-0.337380952380952,-0.303878016162813,-0.515826593703473,0.270798020198326,0.257297235268969,0.257297235268969,-0.243064182194617,-0.270992110122545,0.053639846743295,0.0173869846000994,0.030921207208428,0.310487551480376,-0.0184788399015485,0.0507827038861522,0.412698412698413,0.0777777777777778,0.503057333969349,0.538426828279098,0.479770956635428,0.746298333716211,0.749007350056142
"SUFU",-0.311962078600577,-0.350251502883082,-0.273868433971527,-0.456253712615696,-0.313787400028847,0.126013864539025,-0.389957264957265,-0.297211313072325,-0.492636542374891,-0.492636542374891,-0.285933117583603,-0.361111111111111,-0.0357142857142857,-0.35,-0.257777777777778,-0.421141211083928,-0.411082039486295,-0.378333333333333,-0.397252252252252,-0.0569230769230769,-0.0417715617715618,-0.05,-0.2,0.264242424242424,-0.04079332748445,0.257424242424242,0.261050932095794,-0.131489898989899,-0.511561863211873,0.278528138528139,-0.0926587363585942,0.217561886341352,-0.235430089789026,0.45246965086221,-0.2121044546851,-0.0670601076775574,-0.289465374978782,0.102468862940873,0.0926587363585942,0.0926587363585942,-0.0162857142857143,-0.0355164835164835,0.149166666666667,0.0429209870589181,0.129559397059397,0.260029429910877,-0.00900191712195814,0.154722222222222,0.246666666666667,0.186666666666667,0.400737934102246,0.321306581614524,0.388152297337223,0.547941693442323,0.458384326018213
"FUS",-0.299866678259861,-0.341160593792173,-0.265297005400098,-0.439157693880333,-0.297211313072325,0.120143627669818,-0.361111111111111,-0.285933117583603,-0.474279054452185,-0.474279054452185,-0.257777777777778,-0.35,-0.05,-0.3,-0.246666666666667,-0.411082039486295,-0.397252252252252,-0.353333333333333,-0.378333333333333,-0.08,-0.0569230769230769,-0.1,-0.2,0.257424242424242,-0.0429209870589181,0.242424242424242,0.247817644237676,-0.154722222222222,-0.488141788862431,0.264242424242424,-0.0896019677996422,0.1958751393534,-0.2121044546851,0.419535519125683,-0.18952380952381,-0.0355164835164835,-0.274025945050041,0.0926587363585942,0.0896019677996422,0.0896019677996422,0.0357142857142857,-0.0162857142857143,0.186666666666667,0.0417715617715618,0.131489898989899,0.254818511796733,-0.00632150475082412,0.149166666666667,0.2,0.266666666666667,0.389957264957265,0.313787400028847,0.375166140448627,0.525985287275391,0.437818773318984
"cateninnuc",-0.418858154105486,-0.390595126115516,-0.377775785009036,-0.514152437755146,-0.346177148446038,0.203665443036579,-0.30843124514953,-0.339530397139093,-0.472918820821369,-0.472918820821369,-0.307784365393061,-0.301909506019095,0.0291666666666667,-0.248484848484848,-0.301262626262626,-0.353035056395695,-0.341244663382594,-0.303428571428571,-0.323428571428571,-0.0695652173913043,-0.0743271221532091,-0.0333333333333333,-0.248484848484848,0.266971050672273,-0.0708606258113208,0.249529190207156,0.316954808478944,-0.166588263245426,-0.484184517724305,0.277880141581363,-0.111423621423621,0.211880525605969,-0.221084129149613,0.378115399823585,-0.202666666666667,-0.0991950757575758,-0.345792085672823,0.111423621423621,0.111423621423621,0.111423621423621,-0.0382575757575758,-0.0882575757575758,0.196666666666667,0.0667321854443484,0.145455365641941,0.32988165386526,-0.0628527438033473,0.16224043715847,0.248484848484848,0.166666666666667,0.34044705542621,0.263989907352418,0.41149230517858,0.624750988288922,0.568959076728112
"GSK3",-0.253614762386249,-0.226853331958267,-0.25080331948753,-0.350814194424068,-0.329459922310834,0.0214240975019924,-0.306308663816404,-0.312273813673256,-0.444705317927371,-0.444705317927371,-0.307988099387542,-0.279511278195489,0.27,-0.272368421052632,-0.279511278195489,-0.192984473991897,-0.180933191940615,-0.151014492753623,-0.172919254658385,0.0392156862745098,0.0429193899782135,0.22,-0.225,0.0557256469021175,0.050087879383545,0.0438375350140056,0.167481141988626,0.161734360368835,-0.46299492924123,0.0616996728761435,-0.257281045259154,0.278307416301813,-0.301130486817485,0.423272654500176,-0.291085509306241,-0.322820144414972,-0.297626079309879,0.270516339376801,0.257281045259154,0.257281045259154,-0.28875,-0.308290229885057,-0.15021645021645,-0.0466787884744541,-0.161734360368835,0.151418667012302,0.0274623033074619,-0.159893869571289,0.272368421052632,-0.145454545454545,0.310553946835272,0.333012553889781,0.319658117980836,0.625160802898526,0.47637388134196
"SMO",-0.292319508448541,-0.321929824561404,-0.23952380952381,-0.412449619346171,-0.285933117583603,0.110280613971188,-0.35,-0.257777777777778,-0.440536723163842,-0.440536723163842,-0.246666666666667,-0.3,-0.1,-0.3,-0.2,-0.397252252252252,-0.378333333333333,-0.333333333333333,-0.353333333333333,-0.1,-0.08,0,-0.1,0.242424242424242,-0.0417715617715618,0.233333333333333,0.239065316490935,-0.149166666666667,-0.458438818565401,0.257424242424242,-0.0663461538461538,0.153846153846154,-0.18952380952381,0.391666666666667,-0.146666666666667,-0.0162857142857143,-0.240291005291005,0.0896019677996422,0.0663461538461538,0.0663461538461538,0.05,0.0357142857142857,0.266666666666667,0.0569230769230769,0.154722222222222,0.240344827586207,-0.0037037037037037,0.186666666666667,0.2,0.3,0.361111111111111,0.297211313072325,0.361701149425287,0.500729812822836,0.412735161278851
"cMet",-0.302660413231332,-0.121428571428571,-0.125185185185185,-0.0165079365079365,-0.0508527131782946,-0.040635697223394,-0.00666666666666667,-0.0508527131782946,-0.432323232323232,-0.432323232323232,-0.00666666666666667,0,-0.1,0.1,0.1,-0.166660756501182,-0.160277777777778,-0.153333333333333,-0.165833333333333,-0.15,-0.19,-0.2,0.1,-0.116541353383459,-0.182727272727273,-0.142857142857143,0.0210233597956018,0.0163636363636364,-0.444739377470356,-0.0803711406175012,-0.191428571428571,0.125868593051256,-0.127709750566893,0.511111111111111,-0.107709750566893,-0.045,-0.0583571500962805,0.17256064690027,0.191428571428571,0.191428571428571,0.0666666666666667,-0.02,0.1,0.17,-0.0632386363636364,0.160912447257384,0.199677326418899,0.02,-0.2,0.1,0.0521212121212121,0.0655419787150177,-0.162926060152338,0.315545997268686,0.382699692780338
"DSH",-0.238664596273292,-0.215225424981523,-0.241530136530137,-0.338789841303824,-0.312273813673256,0.0194155364219792,-0.279511278195489,-0.307988099387542,-0.429697888506866,-0.429697888506866,-0.279511278195489,-0.272368421052632,0.22,-0.225,-0.272368421052632,-0.180933191940615,-0.172919254658385,-0.146666666666667,-0.151014492753623,0.0333333333333333,0.0392156862745098,0.2,-0.2,0.0438375350140056,0.0466787884744541,0.0261904761904762,0.153245951891367,0.159893869571289,-0.448575234047795,0.0557256469021175,-0.255880485035064,0.261352399000775,-0.291085509306241,0.40724212014903,-0.275613811193033,-0.308290229885057,-0.289012940623748,0.257281045259154,0.255880485035064,0.255880485035064,-0.27,-0.28875,-0.145454545454545,-0.0429193899782135,-0.161734360368835,0.142965716454089,0.024261278979677,-0.15021645021645,0.225,-0.1,0.306308663816404,0.329459922310834,0.308700395806548,0.604625403109868,0.561066061042459
"Frizzled",-0.22851966873706,-0.203030303030303,-0.224047619047619,-0.313051444679352,-0.307988099387542,0.00808981210240061,-0.272368421052632,-0.279511278195489,-0.412375053861197,-0.412375053861197,-0.272368421052632,-0.225,0.2,-0.1,-0.225,-0.172919254658385,-0.151014492753623,-0.1,-0.146666666666667,0.0333333333333333,0.0333333333333333,0.1,-0.1,0.0261904761904762,0.0429193899782135,-0.00714285714285715,0.149359026096314,0.15021645021645,-0.428453282828283,0.0438375350140056,-0.234620642515379,0.252580469176214,-0.275613811193033,0.388795518207283,-0.269071755118267,-0.28875,-0.269633095662507,0.255880485035064,0.234620642515379,0.234620642515379,-0.22,-0.27,-0.1,-0.0392156862745098,-0.159893869571289,0.13474060822898,0.0306442577030812,-0.145454545454545,0.2,-0.1,0.279511278195489,0.312273813673256,0.299736484281519,0.585159754254906,0.532063740856844
"AKT",-0.248327219013718,-0.243803418803419,-0.243214777549816,-0.326998452810727,-0.300703110588014,-0.0381997665799094,-0.27453734671126,-0.294311358010695,-0.41111928392827,-0.41111928392827,-0.27453734671126,-0.263768115942029,0.1,-0.233333333333333,-0.263768115942029,-0.273198281803326,-0.266249641319943,-0.241176470588235,-0.249176470588235,0.0333333333333333,0.0392156862745098,0.1,-0.2,0.0436724565756824,0.0446524988912353,0.0307692307692308,0.109350115150593,0.144444444444444,-0.427556633077366,0.0546480663317799,-0.213111783193975,0.236781086001251,-0.261670751532936,0.392290823211876,-0.247192637054822,-0.273188902600667,-0.265573951434879,0.217208168736144,0.213111783193975,0.213111783193975,-0.141176470588235,-0.153996983408748,-0.133333333333333,-0.0408550305368049,-0.144444444444444,0.241501681031848,-0.057209088556725,-0.133333333333333,0.233333333333333,-0.1,0.292973100901204,0.313164649049553,0.181943007975469,0.545442932957687,0.422304845691942
