"","NOTCH","NOTCHic","Jagged","Csl","HEY1","AXIN2","Csn","ILK","ZEB1","TrCP","SUFU","GLI","Wnt","Destcompl","cateninnuc","TCFLEF","SMO","NFB","FUS","IKK","Patched","AKT","SHH","DSH","ERK","miR200","DELTA","SNAI2","SOSGRB2","ZEB2","PAK1","GSK3","CDC42","TGF","TGFR","EGR1","RAF","PI3K","RAS","cfos","RKIP","MEK","KLF4","cateninmemb","STAT","LIV1","SNAI1","cMet","SRC","CD44","Frizzled","SMAD","TWIST1","Ecadherin","FOXC2"
"ZEB1",0.223711716091395,0.222058823529412,0.203447163180808,0.208333333333333,0.218217628658043,0.187648002392507,0.153333333333333,0.199435292872359,0.084977834289061,0.133333333333333,0.158333333333333,0.0849219090355625,0.0735817028499955,0.132901231497957,0.0736351919122198,0.0700148396617306,0.125378787878788,0.116491228070175,0.120833333333333,0.118130572332471,0.119496434937611,0.116702000903899,0.11914056305149,0.0523809523809524,0.130117647058824,-0.0445758440619665,0.13077454365674,0.102494555607808,0.0273294346978558,-0.1464037615969,-0.0408045977011494,-0.0149555315248895,-0.0451524237881059,-0.0497409365184309,-0.0568275506916592,-0.1,-0.13077454365674,-0.13077454365674,-0.134711551530755,-0.136,-0.114288226280489,-0.137606633842964,-0.133303933938144,-0.0446073395394987,-0.0435897435897436,-0.0666666666666667,-0.136639891792439,-0.0644888349335982,-0.0801751094434021,-0.0755999460447093,-0.0889663182346109,-0.197512215949282,-0.23118947357097,-0.183917140648344,-0.269580018202489
"Destcompl",0.292135481303382,0.293137485311398,0.287810687131085,0.293137485311398,0.156918295379834,0.325266590090069,-0.2,0.132142857142857,0.216291866731275,-0.2,-0.0555555555555556,0.267335030959065,0.268633732257766,0.143208440388499,0.266301919802034,0.266811863708204,-0.0785112205801861,-0.217391304347826,-0.0727969348659004,-0.220094007050529,-0.0779930858651602,-0.21740944329214,-0.0805075926349861,0.268253968253968,0.241743284038366,0.113506119380036,0.294893689149037,0.23887000898198,-0.0322773334054614,-0.109123900562383,-0.00489795918367347,-0.251616863614876,-0.0124841660802252,-0.0121237823623097,-0.0130104818696989,-0.235384615384615,-0.294893689149037,-0.294893689149037,-0.294422731535223,-0.244475524475524,-0.18358104618752,-0.237945815683936,-0.0955125036332504,0.26472278000017,-0.268253968253968,-0.261111111111111,-0.225340047392962,-0.269126318829856,-0.269623831267667,-0.267633781516423,-0.269623831267667,-0.128517126148705,-0.243004604685744,0.0615100113096131,-0.267137093721225
"cfos",0.202307692307692,0.188461538461538,0.195451388888889,0.15,0.163193403298351,0.198193760262726,0.133333333333333,0.151587301587302,0.227891156462585,0.1,0.133333333333333,0.177348927875244,0.156296296296296,0.163187065173307,0.178420202380598,0.173235017195413,0.123809523809524,0.0833333333333333,0.0904761904761905,0.108333333333333,0.120583717357911,0.108333333333333,0.107003470444331,0.1,0.0669565217391304,0.0541380188439012,0.140522875816993,-0.052615413783297,0.0652777777777778,-0.0803451324032438,0.0571428571428571,-0.0233739177489177,0.0333333333333333,0.0265597147950089,0.0235294117647059,0.08,-0.140522875816993,-0.140522875816993,-0.152717997768213,-0.08,-0.153752913752914,-0.082210759027266,-0.066031746031746,-0.144483691651974,-0.1,-0.1,-0.21908049756151,-0.156296296296296,-0.16,-0.175215215215215,-0.16,-0.149974398361495,-0.248952380952381,-0.265915112733394,-0.371690920270547
"NOTCHic",0.212461799660441,0.201935483870968,0.199267796221439,0.26,0.263511705685619,0.191775232105421,0.133333333333333,0.15047619047619,0.229533011272142,0.1,0.133333333333333,0.158810436874953,0.134079254079254,0.144125488639507,0.156782287142156,0.150217401645973,0.121794871794872,0.0777777777777778,0.0833333333333333,0.1,0.110030165912519,0.0930232558139535,0.10035274655768,0.08,0.0795238095238095,0.055688511873483,0.140711462450593,-0.0228827210791139,0.0460287081339713,-0.0801288244766506,0.0444444444444444,-0.0523518887938951,0.0324444444444444,0.022047896262813,0.0163154121863799,-0.02,-0.140711462450593,-0.140711462450593,-0.152041511711677,-0.0866666666666667,-0.155343021880176,-0.0995238095238095,-0.067615596963423,-0.120851320166107,-0.08,-0.1,-0.223829873829874,-0.134079254079254,-0.149230769230769,-0.157156177156177,-0.149230769230769,-0.151195614936622,-0.238676047329709,-0.245849296832953,-0.374634628044766
"SOSGRB2",0.22588397517975,0.224475524475524,0.0628061695656226,0.209090909090909,0.168844696969697,0.032212596259626,-0.1,0.0638709677419355,0.165927318295739,0,0,0.0414596273291925,0.0226190476190476,-0.148046807778351,0.0404367848709812,0.0364214885038684,0.0833333333333333,-0.0666666666666667,0.0333333333333333,-0.0192982456140351,0.0698198198198198,-0.0359649122807018,0.0558663314477268,0,0.0112398112398112,0.0910132697595802,0.170809792843691,-0.181925201542727,0.152777777777778,-0.0797117794486216,0.0571428571428571,-0.0494539744189113,0.0471428571428571,0.0537167796742265,0.0586813186813187,-0.0857142857142857,-0.170809792843691,-0.170809792843691,-0.178502100535999,-0.0301587301587302,-0.0877558479532164,-0.0324519324519325,-0.091140350877193,-0.200816465816466,0,0,-0.133397299218195,-0.0186335403726708,-0.0142857142857143,-0.0374741200828157,-0.0142857142857143,-0.0729618768328446,-0.110695652173913,-0.277029067036935,-0.165030525030525
"Csl",0.217007254205896,0.212461799660441,0.195101129554772,0.201935483870968,0.264165300456861,0.194088856784084,0.0777777777777778,0.151195614936622,0.235057873150595,0.133333333333333,0.0833333333333333,0.152358823971727,0.158810436874953,0.143942673283017,0.151693665072402,0.156782287142156,0.110030165912519,0.1,0.121794871794872,0.0930232558139535,0.10035274655768,0.0798449612403101,0.0908699879369905,0.149230769230769,0.0995238095238095,0.058085026034703,0.152041511711677,-0.02161501041543,0.0403376512234022,-0.0740514764103522,0.0324444444444444,-0.0495536560987552,0.0163154121863799,0.0104832704124729,0.022047896262813,-0.0866666666666667,-0.152041511711677,-0.152041511711677,-0.148732688182265,-0.0795238095238095,-0.155803851373263,-0.106045548654244,-0.0761870255348516,-0.11458220701626,-0.149230769230769,-0.08,-0.220667818493905,-0.157156177156177,-0.134079254079254,-0.150217401645973,-0.134079254079254,-0.151751170492178,-0.233484173740544,-0.245849296832953,-0.382105892412582
"TrCP",0.206703296703297,0.202307692307692,0.193610898091343,0.188461538461538,0.161722815063057,0.203225206803606,0.0833333333333333,0.149974398361495,0.234643568038148,0.133333333333333,0.0904761904761905,0.175885513241097,0.177348927875244,0.163036689233457,0.174696064449564,0.178420202380598,0.120583717357911,0.108333333333333,0.123809523809524,0.108333333333333,0.107003470444331,0.0916666666666667,0.0980034704443307,0.16,0.082210759027266,0.057183704123089,0.152717997768213,-0.0515304228248883,0.0583470847084709,-0.0723065471942406,0.0333333333333333,-0.0215557359307359,0.0235294117647059,0.015630753046375,0.0265597147950089,-0.08,-0.152717997768213,-0.152717997768213,-0.150899815950031,-0.0669565217391304,-0.154305399940759,-0.094210759027266,-0.0775071558678116,-0.139172336340618,-0.16,-0.1,-0.215500545294207,-0.175215215215215,-0.156296296296296,-0.173235017195413,-0.156296296296296,-0.153845366103431,-0.246234989648033,-0.265153867058653,-0.378587471994685
"EGR1",0.206703296703297,0.202307692307692,0.193610898091343,0.188461538461538,0.161722815063057,0.203225206803606,0.0833333333333333,0.149974398361495,0.234643568038148,0.133333333333333,0.0904761904761905,0.175885513241097,0.177348927875244,0.163036689233457,0.174696064449564,0.178420202380598,0.120583717357911,0.108333333333333,0.123809523809524,0.108333333333333,0.107003470444331,0.0916666666666667,0.0980034704443307,0.16,0.082210759027266,0.057183704123089,0.152717997768213,-0.0515304228248883,0.0583470847084709,-0.0723065471942406,0.0333333333333333,-0.0215557359307359,0.0235294117647059,0.015630753046375,0.0265597147950089,-0.08,-0.152717997768213,-0.152717997768213,-0.150899815950031,-0.0669565217391304,-0.154305399940759,-0.094210759027266,-0.0775071558678116,-0.139172336340618,-0.16,-0.1,-0.215500545294207,-0.175215215215215,-0.156296296296296,-0.173235017195413,-0.156296296296296,-0.153845366103431,-0.246234989648033,-0.265153867058653,-0.378587471994685
"NOTCH",0.201935483870968,0.26,0.194632034632035,0.26,0.280434782608696,0.173719676549865,0.1,0.173809523809524,0.230273752012882,0,0.1,0.134079254079254,0.149230769230769,0.147792155306174,0.150217401645973,0.157156177156177,0.0833333333333333,0.133333333333333,0.133333333333333,0.0777777777777778,0.121794871794872,0.1,0.110030165912519,0.1,0.0866666666666667,0.0435497835497835,0.136363636363636,-0.0234839234839235,0.0642105263157895,-0.0719806763285024,0.1,-0.0531783350748868,0.0444444444444444,0.0163154121863799,0.0324444444444444,0,-0.136363636363636,-0.136363636363636,-0.140711462450593,-0.02,-0.15393457117595,-0.0795238095238095,-0.0497584541062802,-0.115374646738116,-0.1,0,-0.224358974358974,-0.149230769230769,-0.08,-0.134079254079254,-0.08,-0.15047619047619,-0.221694915254237,-0.251821731748727,-0.369795918367347
"TGFR",0.316296204415778,0.314137931034483,0.214686719600435,0.29,0.209971419498253,0.145209331546957,0.1,0.170938416422287,0.100760534841965,0.1,0.18,0.133669246152508,0.114959568733154,0.0609286421189254,0.112625622707771,0.107754054948693,0.154137931034483,0.0428571428571429,0.13,0.0639097744360902,0.151012931034483,0.0662353558314391,0.147058128774596,0.0857142857142857,-0.0664327485380117,0.0621044340037666,0.168452380952381,-0.057303990864412,0.125893437296946,-0.0697911893861982,0.226666666666667,-0.091149832341417,0.217142857142857,0.114939209726444,0.106428571428571,0.0666666666666667,-0.168452380952381,-0.168452380952381,-0.177224310776942,0.0508771929824561,-0.105454545454545,0.0582135704558199,-0.0612981729686535,-0.10317808029302,-0.0666666666666667,-0.1,-0.0649262630638335,-0.0959119496855346,-0.116666666666667,-0.113017212843429,-0.135714285714286,-0.169870800763924,-0.0845215500197707,-0.165241396407716,-0.0969584203531422
