"","ILK","Patched","SMAD","TGF","SOSGRB2","TGFR","ERK","PAK1","cfos","CDC42","SMO","MEK","SNAI2","NOTCHic","EGR1","TWIST1","NOTCH","SRC","SNAI1","Destcompl","ZEB2","cateninmemb","Ecadherin","LIV1","RKIP","ZEB1","STAT","TCFLEF","RAS","GLI","DSH","cateninnuc","GSK3","CD44","Frizzled","AXIN2","RAF","PI3K","DELTA","Wnt","cMet","Jagged","miR200","KLF4","IKK","Csl","TrCP","NFB","FUS","FOXC2","SHH","HEY1","AKT","SUFU","Csn"
"AKT",0.408454261704682,0.267735042735043,0.434380187630608,0.358205773267969,0.378675213675214,0.347631755141081,0.361482297837168,0.291176470588235,0.333613445378151,0.319176470588235,0.220512820512821,0.377937994039699,0.164021317570226,0.350124069478908,0.257142857142857,0.111587103339377,0.375733825576469,-0.167149758454106,0.479442719116632,0.299612143935596,-0.434804857270087,-0.124064976051027,0.0797831096038413,0.2,-0.363475590905258,0.434804857270087,-0.188888888888889,0.199426088333092,0.434742589643398,0.201391271131373,-0.188888888888889,0.194503011410015,0.434402783596332,0.200457016168144,0.167149758454106,0.127510400550112,0.421007649884362,0.421007649884362,0.421007649884362,0.184072835377183,0.184072835377183,-0.294056000929476,0.237585878593593,-0.418471659919028,0.14947209653092,-0.330769230769231,0.166666666666667,0.172549019607843,-0.166666666666667,-0.410429121584449,-0.283524516419253,-0.421031389896394,0.0221993692581928,-0.15,0.166666666666667
"GSK3",0.436627721037345,0.28876236567707,0.455968050872427,0.438244555020801,0.44357207927259,0.435680452456699,0.377378413353646,0.392753623188406,0.366100217864924,0.424182194616977,0.268516966904064,0.394992049717282,0.281985965096207,0.372874674345263,0.336470588235294,0.196696381497541,0.397549999020587,-0.170300751879699,0.480616704383135,0.282772624053197,-0.430946890626158,-0.132569905417082,0.0860674694392085,0.2,-0.341642392695024,0.430946890626158,-0.163157894736842,0.189490360625251,0.435571367152143,0.196222567146687,-0.163157894736842,0.18666141325683,0.321047439394405,0.19474414513104,0.170300751879699,0.124343829860865,0.431999938580714,0.431999938580714,0.431999938580714,0.190562189788196,0.189506049892944,-0.300924646451534,0.233284422766827,-0.421930034891004,0.00543103448275863,-0.355392156862745,0.0466666666666667,0.0341666666666667,-0.22012987012987,-0.499808946663292,-0.296417868069414,-0.450533584540412,0.00201223106395521,-0.177272727272727,0.0466666666666667
"PI3K",0.375654261704682,0.220512820512821,0.408454261704682,0.347631755141081,0.354230769230769,0.319176470588235,0.333613445378151,0.25,0.257142857142857,0.291176470588235,0.166666666666667,0.361482297837168,0.155277598977261,0.330769230769231,0.2,0.108834809761396,0.350124069478908,-0.188888888888889,0.465157004830918,0.297544319287126,-0.415626775078306,-0.125797901637164,0.0829649277856595,0.1,-0.347947640594699,0.415626775078306,-0.2,0.200457016168144,0.421007649884362,0.184072835377183,-0.2,0.199426088333092,0.435209235209235,0.184072835377183,0.188888888888889,0.122095238095238,0.39361038961039,0.39361038961039,0.39361038961039,0.167149758454106,0.167149758454106,-0.270877192982456,0.227425450786107,-0.395394736842105,0.172549019607843,-0.3,0.2,0.166666666666667,-0.15,-0.393135888501742,-0.267735042735043,-0.384189284633236,0.14947209653092,-0.1,0.166666666666667
"Frizzled",0.378274696879348,0.22012987012987,0.412854136131685,0.424182194616977,0.396969696969697,0.392753623188406,0.336470588235294,0.333333333333333,0.26,0.366666666666667,0.177272727272727,0.366100217864924,0.267087729794409,0.341666666666667,0.2,0.192983193277311,0.355392156862745,-0.2,0.456642512077295,0.280512528169527,-0.403460374731878,-0.134665052461663,0.0928389732480999,0.1,-0.322380952380952,0.403460374731878,-0.2,0.189506049892944,0.416033552026092,0.170300751879699,-0.3,0.19474414513104,0.421980146290491,0.170300751879699,0.2,0.115870331219168,0.393198906356801,0.393198906356801,0.393198906356801,0.163157894736842,0.163157894736842,-0.26293449197861,0.218768939393939,-0.386274509803922,0.0466666666666667,-0.3,0.1,0.0466666666666667,-0.15,-0.47565765935411,-0.268516966904064,-0.386677577741407,0.0341666666666667,-0.1,0.0666666666666667
"Csn",0.397740683229814,0.285732905087744,0.418049166520302,0.452768531294161,0.426671278680964,0.442506001461225,0.371688311688312,0.386363636363636,0.341818181818182,0.411736770691995,0.233044733044733,0.376896645021645,0.276707386590887,0.347979797979798,0.26,0.20016440704379,0.362402874902875,-0.155172413793103,0.464015493430464,0.254751896517287,-0.39098593879239,-0.130624007584768,0.0898449315026508,0.2,-0.335341550795714,0.39098593879239,-0.2,0.187475895673465,0.423916534574367,0.184340614982139,-0.2,0.180440417621751,0.397759162408482,0.182974287956423,0.155172413793103,0.134903997481901,0.407217878144425,0.407217878144425,0.407217878144425,0.161196510178646,0.161196510178646,-0.280241952854832,0.207707555306646,-0.38034475328593,-0.0225,-0.338888888888889,0.14,-0.01,-0.193650793650794,-0.502077168583592,-0.305405036235285,-0.409114064230343,-0.0601,-0.171428571428571,-0.01
"Wnt",0.324786324786325,0.177272727272727,0.378274696879348,0.392753623188406,0.363636363636364,0.366666666666667,0.26,0.3,0.2,0.333333333333333,0.15,0.336470588235294,0.247844827586207,0.3,0.1,0.184411764705882,0.341666666666667,-0.2,0.434420289855072,0.282899796074036,-0.384648493543759,-0.118474576271186,0.0921396725487992,0,-0.311666666666667,0.384648493543759,-0.1,0.170300751879699,0.393198906356801,0.163157894736842,-0.2,0.189506049892944,0.411677115987461,0.163157894736842,0.3,0.104242424242424,0.397744360902256,0.397744360902256,0.397744360902256,0.2,0.2,-0.235661764705882,0.209393939393939,-0.352941176470588,0.0466666666666667,-0.2,0.1,0.0666666666666667,-0.1,-0.445425101214575,-0.22012987012987,-0.329230769230769,0.0466666666666667,0,0.1
"SNAI1",0.401319337770951,0.324427888718211,0.408084405421627,0.401240342658865,0.380817350602985,0.399829052336285,0.393960206337509,0.396078431372549,0.381960206337509,0.403654188948307,0.327427888718211,0.407861551628989,0.268427034935768,0.266300366300366,0.390434782608696,0.224334440921397,0.276912611198325,-0.0707307307307307,0.255600300303775,-0.0956894895433605,-0.355567725495218,-0.109066786302743,0.095026818522445,0.04,-0.250136667465778,0.355567725495218,-0.0437037037037037,0.0586844249507274,0.100105283968639,0.0666208407072685,-0.0437037037037037,0.0615238673874853,-0.0331317185289958,0.062960287019693,0.0726510721247563,0.0646781173716763,0.105688206792941,0.105688206792941,0.105688206792941,0.0770413160271954,0.0737010277604337,-0.271046668872048,0.180528285214488,-0.35148080379182,-0.275950292397661,-0.241025641025641,-0.2,-0.270394736842105,-0.308909370199693,-0.434186952520729,-0.330835655708503,-0.410239365611312,-0.27108918128655,-0.247619047619048,-0.2125
"TrCP",0.387770950674176,0.327427888718211,0.401319337770951,0.399829052336285,0.371383388338834,0.403654188948307,0.381960206337509,0.366666666666667,0.390434782608696,0.396078431372549,0.308909370199693,0.393960206337509,0.270740142545557,0.241025641025641,0.36,0.216847261434218,0.266300366300366,-0.0437037037037037,0.354354748702352,-0.0972794018240622,-0.352000689824861,-0.112071967649893,0.0917489829345158,0.1,-0.246370977089209,0.352000689824861,-0.04,0.062960287019693,0.105688206792941,0.0770413160271954,-0.04,0.0586844249507274,-0.0345178571428571,0.0737010277604337,0.0437037037037037,0.0705056231991821,0.10887002497476,0.10887002497476,0.10887002497476,0.0726510721247563,0.0707307307307307,-0.272929021813224,0.17927948598298,-0.345561800676555,-0.270394736842105,-0.233333333333333,-0.2,-0.2125,-0.247619047619048,-0.43126446205059,-0.324427888718211,-0.397739365611312,-0.275950292397661,-0.214285714285714,-0.2
"EGR1",0.387770950674176,0.327427888718211,0.401319337770951,0.399829052336285,0.371383388338834,0.403654188948307,0.381960206337509,0.366666666666667,0.390434782608696,0.396078431372549,0.308909370199693,0.393960206337509,0.270740142545557,0.241025641025641,0.36,0.216847261434218,0.266300366300366,-0.0437037037037037,0.354354748702352,-0.0972794018240622,-0.352000689824861,-0.112071967649893,0.0917489829345158,0.1,-0.246370977089209,0.352000689824861,-0.04,0.062960287019693,0.105688206792941,0.0770413160271954,-0.04,0.0586844249507274,-0.0345178571428571,0.0737010277604337,0.0437037037037037,0.0705056231991821,0.10887002497476,0.10887002497476,0.10887002497476,0.0726510721247563,0.0707307307307307,-0.272929021813224,0.17927948598298,-0.345561800676555,-0.270394736842105,-0.233333333333333,-0.2,-0.2125,-0.247619047619048,-0.43126446205059,-0.324427888718211,-0.397739365611312,-0.275950292397661,-0.214285714285714,-0.2
"Csl",0.38602946214457,0.313415316498808,0.397140573255681,0.391824744088444,0.331906484615085,0.390690957240372,0.358095238095238,0.367555555555556,0.355238095238095,0.38368458781362,0.295135746606335,0.365703933747412,0.202147069029234,0.215226776618967,0.326666666666667,0.205454082900864,0.230681322073512,4.66200466200467e-05,0.349421890508847,-0.00772722191441117,-0.350032561987883,-0.0151191141476848,0.0219797551749507,0.02,-0.248767084122487,0.350032561987883,0.00307692307692308,0.00486260377209123,0.0620635027215193,0.0139318745770359,0.00307692307692308,0.00423367295448117,-0.00174135643627936,0.0108168022453737,-4.66200466200467e-05,0.00557271853786865,0.064637032133284,0.064637032133284,0.064637032133284,0.0139318745770359,0.012041292041292,-0.240290855973803,0.179035885972302,-0.343008971704624,-0.255297157622739,-0.204700460829493,-0.2,-0.211111111111111,-0.248076923076923,-0.420564118862228,-0.314277385464325,-0.293276717598968,-0.265374677002584,-0.225,-0.211111111111111
