"","AXIN2","Destcompl","cateninmemb","Ecadherin","SRC","TCFLEF","Wnt","cateninnuc","GLI","Frizzled","DSH","ZEB1","GSK3","PAK1","KLF4","TWIST1","RAS","SOSGRB2","miR200","Jagged","Patched","NOTCHic","SMO","Csl","NOTCH","ZEB2","RKIP","MEK","NFB","Csn","AKT","SNAI1","IKK","ERK","TrCP","EGR1","cfos","ILK","HEY1","SUFU","FUS","SMAD","SNAI2","SHH","RAF","PI3K","DELTA","FOXC2","CDC42","LIV1","TGFR","TGF","STAT","CD44","cMet"
"FOXC2",-0.269477785579558,-0.381337923857242,-0.30095276223325,-0.212160767792299,-0.215686274509804,-0.179309203653461,-0.20405836753306,-0.170716426567533,-0.190265264084784,-0.215686274509804,-0.233333333333333,0.279772961816306,-0.381315069950416,-0.227272727272727,0.17037037037037,-0.0871764705882353,-0.336941930618401,0.0404516866781018,0.158001628001628,-0.16988051428831,-0.26875,-0.0264114832535885,-0.25,-0.0527272727272727,-0.00270014304740296,-0.152688338493292,-0.256565656565657,-0.268256243453333,0.26,0.2,-0.274285714285714,-0.296066938149366,0.274285714285714,0.263101604278075,-0.1,-0.2,-0.245454545454545,0.121333333333333,0.0944996180290298,0.2,0.233333333333333,0.130028985507246,0.231393368699477,0.278427419354839,0.331794871794872,0.331794871794872,0.331794871794872,-0.0728473482556967,0.239272727272727,0.233333333333333,0.235272727272727,0.228931263858093,0.233333333333333,0.19101488927219,0.20405836753306
"SOSGRB2",-0.0207714521452145,-0.267423851316469,-0.107530127530128,-0.115273676406643,-0.0428571428571429,0.00876757110166722,-0.0428571428571429,0.0154597317135219,-0.0124223602484472,-0.0428571428571429,0,0.152431077694236,-0.258208604548016,-0.0571428571428571,0.0749122807017544,0.0782898550724638,-0.295654063450674,0.158333333333333,0.0819298859708873,0.0558978149808101,-0.102252252252252,0.15034965034965,-0.0833333333333333,0.127272727272727,0.165842608096129,-0.0763408521303258,-0.0666301169590643,-0.0611442611442611,0.188888888888889,0.2,-0.177266081871345,-0.126495380241649,0.173099415204678,0.0550836550836551,-0.2,-0.0857142857142857,-0.0523809523809524,0.0808602150537634,0.0694128787878788,0,0.0333333333333333,0.070370704564253,-0.127638236912193,0.0836476010894616,0.308474576271187,0.308474576271187,0.308474576271187,-0.135457875457875,0.0571428571428571,0,0.060989010989011,0.0702088691450393,0,0.00807453416149068,0.0385093167701863
"RKIP",-0.04971870604782,-0.307495053770637,-0.114928710222828,-0.104650197743801,-0.0666666666666667,-0.0166482640166851,-0.0666666666666667,-0.00519788233729575,-0.0435897435897436,-0.0666666666666667,0,0.189970349115256,-0.269661150512214,-0.0666666666666667,0.0701099952175992,0.201348781937017,-0.18525086025086,0.052952380952381,0.0724757383906133,-0.0469621634731991,-0.0213333333333333,-0.0484848484848485,0.00666666666666668,-0.0666666666666667,-0.0254079254079254,-0.0761099952175992,-0.243487394957983,0.00119589141599413,0.0857142857142857,0.1,-0.0758658008658009,-0.279146933238649,0.0607142857142857,-0.0203448275862069,-0.1,0.01,0.01,0.00217158750534873,-0.018776616337592,-0.1,-0.0666666666666667,-0.00871950160356216,-0.201140933729673,0.00657923497267759,0.191233766233766,0.191233766233766,0.191233766233766,-0.262422634836428,0.0466666666666667,0,0.060952380952381,0.0712327547841567,0,0.0383265856950067,0.0614035087719298
"MEK",-0.031700688029802,-0.299963673017499,-0.111026271198438,-0.104103749656369,-0.0614035087719298,-0.00519788233729575,-0.0435897435897436,-0.0037108934897121,-0.0219114219114219,-0.0666666666666667,-0.0666666666666667,0.201081460226367,-0.267449848300912,-0.0466666666666667,0.0759923481587757,0.217832298420534,-0.174139749139749,0.0573968253968254,0.0758813111460313,-0.0387654421617237,-0.00657923497267759,-0.0254079254079254,-0.0213333333333333,-0.0484848484848485,-0.0202984363568305,-0.0753163444239485,-0.254013710747457,-0.113804108584006,0.0607142857142857,0.0857142857142857,-0.0911599185128597,-0.278505907597624,0.0758658008658009,-0.00119589141599413,-0.1,0.01,0.0203448275862069,-0.00871950160356216,-0.0260493436103192,-0.0666666666666667,-0.00666666666666668,-0.00687448315337766,-0.21038667582213,-0.0084534447658845,0.18525086025086,0.18525086025086,0.18525086025086,-0.276837049250842,0.060952380952381,0,0.0712327547841567,0.0646634117184632,0.0666666666666667,0.0166482640166851,0.0383265856950067
"SUFU",-0.211918375493965,-0.324447286382084,-0.101004264243452,-0.0493823558110237,-0.0544444444444444,-0.0445511286835352,0.0408119658119658,-0.0401010008062974,0.044157690719029,0.0388888888888889,0.05,-0.0569637653531212,-0.3019815439494,0.00833333333333333,0.0536225363480689,0.0126987769013556,-0.233886980415746,-0.0541835357624831,0.00279416531769945,-0.102627262812135,0.0468686868686869,0.0118181818181818,0.06,-0.00409090909090909,0.0213419913419913,-0.041677504459444,-0.0616934333871005,-0.0966840593986595,0.180857142857143,0.192857142857143,-0.172674386016668,-0.0868420744688966,0.169318681318681,0.092854272164617,-0.15,-0.107692307692308,-0.0986013986013986,-0.0481874039938556,-0.0567168818609363,-0.0933333333333333,-0.0933333333333333,-0.0511897134626778,0.150978277814842,-0.0511157911157911,0.233886980415746,0.233886980415746,0.233886980415746,0.00467019135071357,-0.0137387387387387,0.05,-0.0116110791642707,-0.00983593123527657,0.0433333333333333,0.0497141721617961,0.0534735706580367
"FUS",-0.214026103831201,-0.32481942885949,-0.10605201322026,-0.0505152085401689,-0.0433333333333333,-0.0497141721617961,0.0388888888888889,-0.0445511286835352,0.0408119658119658,0.05,0.05,-0.0593792242903192,-0.300439127496958,0,0.0554189435336976,0.0100183645302216,-0.233886980415746,-0.0464912280701754,0.000563682046323981,-0.102864792503347,0.06,-0.00409090909090909,0.0933333333333333,-0.00909090909090909,0.0118181818181818,-0.0411944126720044,-0.0580199639993454,-0.092854272164617,0.192857142857143,0.15,-0.169318681318681,-0.0846274237022867,0.180857142857143,0.0986013986013986,-0.1,-0.1,-0.107692307692308,-0.0423809523809524,-0.0506927854753942,0.0666666666666667,-0.0933333333333333,-0.0481874039938556,0.153812819673774,-0.0468686868686869,0.227336762075134,0.227336762075134,0.227336762075134,0.00491833030852994,-0.00833333333333333,0.1,-0.0137387387387387,-0.0116110791642707,0.05,0.0534735706580367,0.0544444444444444
"SRC",-0.213247481830932,-0.0978714763497372,-0.167723394701392,-0.115505757858699,-0.2,-0.158604558176729,-0.17,-0.153906571599548,-0.168360655737705,-0.2,-0.2,0.212009583707697,-0.0664935064935065,0.0444444444444444,-0.073578811369509,0.112791461412151,0.090857132021087,0.00857142857142857,0.047126335821988,-0.0191790167019525,-0.0681481481481482,-0.120714285714286,-0.0866666666666667,-0.135,-0.113571428571429,-0.0279799341120096,-0.148680351906158,-0.0518010291595197,-0.133333333333333,-0.1,0.088034188034188,-0.0854900835384375,-0.11025641025641,0.0272727272727273,0.1,0,-0.0272727272727273,0.0570175438596491,0.0331181727904667,-0.0333333333333333,0.0666666666666667,0.0687292555713609,0.105505465903175,0.0710893246187364,-0.0954025865665415,-0.0954025865665415,-0.0954025865665415,-0.162647058823529,-0.0444444444444444,0,-0.0253968253968254,-0.0381240981240981,0.1,0.168360655737705,0.17
"SHH",-0.219047619047619,-0.301558441558442,-0.107240143369176,-0.0641666666666667,-0.1,-0.0433333333333333,0,-0.0544444444444444,0.05,0,0,-0.075,-0.271794871794872,0.2,0.05,0,-0.192307692307692,-0.15,0.0166666666666667,-0.134285714285714,-0.0666666666666667,0,-0.1,-0.1,0,-0.025,-0.06,-0.1,0,0,-0.15,-0.0833333333333333,0.1,0,0,0,0.1,-0.133333333333333,-0.133333333333333,0,0,-0.116666666666667,0.13632183908046,-0.0933333333333333,0.2,0.2,0.2,0.05,-0.1,0,0,0,0.1,0.05,0.1
"ZEB2",-0.17667192562256,-0.175100551207378,-0.170558751505834,-0.157469971904728,-0.146666666666667,-0.141721302473712,-0.140885780885781,-0.138994029746439,-0.137216056115139,-0.135757575757576,-0.109090909090909,-0.107130993152258,-0.0935689050297356,-0.0857142857142857,-0.0785823858744711,-0.0776262542889449,-0.0642463175653754,-0.0612271062271062,-0.0608801997269161,-0.044681398482027,-0.0433275261324042,-0.0346666666666667,-0.0335714285714286,-0.0333333333333333,-0.0275628415300546,-0.0240377155495737,-0.0226731078904992,-0.0138163070934614,-0.0111111111111111,-0.0111111111111111,-0.0095742471443406,-0.00873779922355123,-0.00444444444444444,-0.00203735144312394,0,0,0.00526315789473684,0.0226190476190476,0.0238269794721408,0.025,0.025,0.0262775842044135,0.0332014292986476,0.045145707950586,0.0606060606060606,0.0606060606060606,0.0606060606060606,0.0891452991452991,0.0948051948051948,0.1,0.111811997526283,0.117103002817289,0.12,0.145594541910331,0.149298245614035
"PI3K",0.200666666666667,-0.210970004078943,0.0794766355528675,-0.0183056957462149,0.133333333333333,0.162230788126146,0.146376811594203,0.162436973693156,0.157146042363434,0.133333333333333,0.1,0.181813054838762,-0.214886964886965,-0.15,0.0197368421052632,0.0873536299765808,-0.181364407282216,0.216923076923077,0.0532337106107598,0.12640350877193,-0.0512820512820513,0.205769230769231,-0.0666666666666667,0.175,0.205769230769231,-0.0190785010630183,-0.11969941822883,-0.0796758047481287,0.166666666666667,0.233333333333333,-0.169984917043741,-0.12621578099839,0.172549019607843,0.084593837535014,-0.2,-0.133333333333333,-0.0904761904761905,0.10391356542617,0.11572999697306,0,0.05,0.0983135654261705,-0.0758678977082244,0.0401709401709402,0.1964329004329,0.1964329004329,0.1964329004329,-0.182968641114983,0.144117647058824,-0.1,0.132117647058824,0.126426590148254,-0.1,-0.157146042363434,-0.146376811594203
