"","SOSGRB2","AXIN2","Wnt","MEK","Frizzled","ERK","PAK1","cfos","SRC","ZEB2","DSH","EGR1","Ecadherin","RKIP","KLF4","RAS","RAF","PI3K","miR200","AKT","NFB","IKK","FUS","Csn","TrCP","SUFU","ILK","SMAD","ZEB1","HEY1","SMO","Patched","SHH","FOXC2","GSK3","DELTA","SNAI1","Csl","NOTCHic","NOTCH","Jagged","STAT","LIV1","TWIST1","TGF","TGFR","Destcompl","CDC42","cMet","CD44","cateninmemb","GLI","TCFLEF","cateninnuc","SNAI2"
"TCFLEF",-0.284834024259174,-0.155161904761905,0.169864253393665,-0.219437531110005,0.126274509803922,-0.228281068524971,-0.330769230769231,-0.240662020905923,0.135833333333333,-0.222021309587099,0.0862745098039216,-0.252857142857143,0.248430284801388,-0.303669008587041,-0.120507066462949,0.236009560620238,0.203552267584759,0.203552267584759,-0.0291461951702916,0.0120010382324548,-0.043012987012987,-0.00430330959363217,0.00333333333333333,-0.087012987012987,-0.114285714285714,0.0166666666666667,-0.0918256246677299,-0.101194649524326,0.137040536948432,0.111868176483649,-0.0271428571428571,-0.0513364055299539,-0.0734222951005061,-0.0749045301877715,-0.461804081946275,-0.203552267584759,0.294205443556908,0.0589351187629523,0.017758648174717,-0.0184539764100006,-0.113636999646346,-0.0958333333333333,-0.0333333333333333,0.111414148091046,0.363620065096925,0.357328674368448,-0.568097415605864,0.347048300536673,-0.179423076923077,-0.21338534107402,-0.324953395572304,-0.204025744076895,-0.345115008886162,-0.37166140063874,0.0407320280097462
"SUFU",0.180045393203288,0.65967281422095,0.377457264957265,0.0987351362259653,0.323611111111111,0.0804372638855397,-0.0416666666666667,0.0517016317016317,0.434444444444445,-0.168126779821763,0.2625,0.0123076923076923,0.372627397043359,-0.126994646655913,-0.182716261466139,0.507642350924352,0.472199312949668,0.472199312949668,-0.00550896781161542,0.20955262187477,0.150285714285714,0.188747252747253,0.118333333333333,0.114285714285714,0.1,-0.0933333333333333,-0.0891193036354327,-0.0930454006331232,0.0654726633944821,0.0651855390985826,-0.151666666666667,-0.178939393939394,-0.203263718263718,-0.205969137998586,-0.478466042304765,-0.472199312949668,0.138228949896019,-0.38030303030303,-0.432575757575758,-0.470670995670996,-0.380862244741133,-0.373333333333333,-0.3,-0.213190394093623,0.0510944817409629,0.0481359018593061,-0.520591401935111,0.0470720720720721,-0.487842502696872,-0.532203404952511,-0.507013997447066,-0.421695183172878,-0.569431665822076,-0.601196371704429,-0.602957260020362
"ZEB2",-0.255311355311355,-0.221723030139539,-0.184219114219114,-0.182226662249645,-0.179090909090909,-0.177348613469157,-0.176623376623377,-0.174122807017544,-0.17,-0.167917335387513,-0.159090909090909,-0.158333333333333,-0.136247622372518,-0.101578099838969,-0.0658913939950501,-0.0620184562047517,-0.0545238095238095,-0.0545238095238095,-0.0302528532416582,-0.0253556593977155,-0.0236111111111111,-0.0169444444444444,-0.0142857142857143,-0.0111111111111111,0,0,0.000710674302223599,0.00497896698515043,0.00662563307784676,0.00991766298217911,0.0228571428571429,0.0326132404181185,0.0362496040544821,0.0427350427350427,0.0524737459931954,0.0545238095238095,0.0588673497210812,0.0820512820512821,0.0913846153846154,0.100674232870954,0.10308111962267,0.15,0.15,0.151502794803387,0.170874733731877,0.171403834260977,0.173005647492369,0.174805194805195,0.175263157894737,0.186374269005848,0.192492282595581,0.19431085733838,0.194472860555144,0.201875457957741,0.2479096297179
"SMO",0.142982456140351,0.550783699059561,0.2625,0.0517016317016317,0.2,0.0123076923076923,-0.0333333333333333,0.02,0.3,-0.16680790960452,0.1,0,0.322470095574742,-0.125555555555556,-0.169444444444444,0.429841234347048,0.387980769230769,0.387980769230769,-0.00587703435804702,0.150285714285714,0.1,0.114285714285714,-0.0666666666666667,0.1,0,0.1,-0.0766666666666667,-0.0846031746031746,0.0600282485875706,0.0637362637362637,-0.0933333333333333,-0.118333333333333,-0.151666666666667,-0.175689655172414,-0.415740246808208,-0.387980769230769,0.126344086021505,-0.266666666666667,-0.33030303030303,-0.38030303030303,-0.315026455026455,-0.2,-0.1,-0.162745098039216,0.0470720720720721,0.0416666666666667,-0.462384127500407,0.0333333333333333,-0.373333333333333,-0.434444444444445,-0.436506072310958,-0.323611111111111,-0.487842502696872,-0.532203404952511,-0.519295019157088
"cMet",-0.420952380952381,-0.115238095238095,-0.0933333333333333,-0.354545454545455,-0.1,-0.36,-0.22,-0.34,-0.2,-0.162193362193362,-0.1,-0.3,-0.0856401434505651,-0.284814814814815,-0.0571428571428572,0.176118598382749,0.168571428571429,0.168571428571429,-0.0542468159859464,0.165416666666667,0.166666666666667,0.146666666666667,-0.05,0.2,0.1,0.1,0.0187074829931973,0.0223438466295609,0.14025974025974,-0.033952528379773,0.03,0.03,0.03,-0.076714135021097,-0.220814132104455,-0.168571428571429,0.16366925274151,-0.0142857142857143,-0.0300751879699248,-0.0449688049912014,0.0517188608492956,0.2,0.1,0.186079762933696,0.209627659574468,0.2075,-0.14778043895691,0.2075,0.0933333333333333,0.0863565891472868,0.11537672884648,0.0887878787878788,0.0848181276088253,0.0814282971003507,0.338336310891055
"Patched",0.116666666666667,0.481818181818182,0.2,0.0123076923076923,0.1,0.02,-0.0333333333333333,0,0.2,-0.158333333333333,0,-0.1,0.290366774541532,-0.12,-0.161111111111111,0.387980769230769,0.319230769230769,0.319230769230769,-0.00714285714285714,0.114285714285714,0.1,0.1,-0.1,0,0,0.2,-0.0666666666666667,-0.0766666666666667,0.0583333333333333,0.058974358974359,0.0666666666666667,-0.0933333333333333,-0.118333333333333,-0.155,-0.373992673992674,-0.319230769230769,0.126344086021505,-0.2,-0.266666666666667,-0.33030303030303,-0.272169312169312,-0.1,-0.1,-0.133333333333333,0.0416666666666667,0.0333333333333333,-0.425174825174825,0.0333333333333333,-0.3,-0.373333333333333,-0.391845878136201,-0.2625,-0.434444444444445,-0.487842502696872,-0.465961685823755
"CD44",-0.414285714285714,-0.12,-0.1,-0.36,-0.1,-0.34,-0.2,-0.3,-0.2,-0.157142857142857,0,-0.3,-0.0838589729671046,-0.273703703703704,-0.0523809523809524,0.168571428571429,0.142857142857143,0.142857142857143,-0.0542468159859464,0.146666666666667,0.2,0.166666666666667,-0.1,0.1,0,0.1,0.0166666666666667,0.0187074829931973,0.141269841269841,-0.0280701754385965,0.05,0.03,0.03,-0.0729166666666667,-0.20952380952381,-0.142857142857143,0.165364167995747,0,-0.0142857142857143,-0.0300751879699248,0.0538927738927739,0.1,0.1,0.189450549450549,0.2075,0.2075,-0.141023682200153,0.22,0.2,0.0933333333333333,0.115732600732601,0.0933333333333333,0.0863565891472868,0.0848181276088253,0.336876456876457
"AKT",-0.0269230769230769,0.454173972838233,0.391222593831289,0.0694931884353659,0.334299516908213,0.0492400238784038,-0.169117647058824,0.0246498599439776,0.334299516908213,-0.155076944607664,0.277777777777778,-0.00476190476190476,0.324047399360491,-0.197013153087322,-0.15023616734143,0.520650532391084,0.489084267330843,0.489084267330843,-0.0187315438520839,0.16694090223502,0.196078431372549,0.239668174962293,0.183333333333333,0.166666666666667,0.166666666666667,-0.15,-0.126762384953982,-0.136526694718291,0.0811059147748987,0.105096461262125,-0.191025641025641,-0.210470085470085,-0.230470085470085,-0.254786600647961,-0.527957959006346,-0.489084267330843,0.197087011005775,-0.311538461538462,-0.343796526054591,-0.384040428493615,-0.282556059021727,-0.277777777777778,-0.2,-0.171688390383585,0.185009376973102,0.178060736489718,-0.601903062929008,0.169117647058824,-0.391222593831289,-0.427945757673097,-0.371503239151292,-0.428652761429055,-0.464440603033922,-0.492748295341614,-0.33678132238571
"SHH",0.05,0.4,0.1,0.02,0,0,0,-0.1,0.1,-0.15,0,0,0.254444444444444,-0.12,-0.15,0.319230769230769,0.25,0.25,0,0.1,0,0.1,-0.2,0,0,0.2,-0.0666666666666667,-0.0666666666666667,0.05,0.0666666666666667,0.1,0.0666666666666667,-0.0933333333333333,-0.125,-0.335897435897436,-0.25,0.116666666666667,-0.1,-0.2,-0.266666666666667,-0.231428571428571,-0.1,0,-0.1,0.0333333333333333,0.0333333333333333,-0.377922077922078,0.0333333333333333,-0.2,-0.3,-0.339068100358423,-0.2,-0.373333333333333,-0.434444444444445,-0.403295019157088
"PI3K",-0.0469230769230769,0.409047619047619,0.334299516908213,0.0492400238784038,0.277777777777778,0.0246498599439776,-0.175,-0.00476190476190476,0.277777777777778,-0.146857766525472,0.2,-0.0333333333333333,0.300562550875642,-0.19390756302521,-0.142543859649123,0.489084267330843,0.443878787878788,0.443878787878788,-0.0224748593601053,0.239668174962293,0.166666666666667,0.196078431372549,0.15,0.166666666666667,0.2,-0.1,-0.125962384953982,-0.126762384953982,0.0824757777885973,0.107352100359869,-0.183333333333333,-0.191025641025641,-0.210470085470085,-0.242004645760743,-0.496909571909572,-0.443878787878788,0.18981884057971,-0.25,-0.311538461538462,-0.343796526054591,-0.260701754385965,-0.2,-0.1,-0.154868818518141,0.178060736489718,0.169117647058824,-0.574525064583268,0.169117647058824,-0.334299516908213,-0.391222593831289,-0.342858998580446,-0.391222593831289,-0.427945757673097,-0.464440603033922,-0.30070092037566
