"","KLF4","SOSGRB2","CD44","cMet","AKT","Csl","IKK","SRC","TGFR","NFB","TrCP","Csn","HEY1","cfos","MEK","ERK","PI3K","DELTA","FUS","Patched","ZEB1","FOXC2","GSK3","SHH","SMO","SNAI1","SNAI2","LIV1","RAF","miR200","ILK","RKIP","RAS","SMAD","Ecadherin","SUFU","EGR1","STAT","DSH","CDC42","TWIST1","PAK1","TGF","Frizzled","ZEB2","Wnt","cateninmemb","Jagged","NOTCHic","GLI","TCFLEF","NOTCH","cateninnuc","Destcompl","AXIN2"
"DSH",0.158935030322809,0.349815225424982,0.42892247174227,0.38984962406015,0.340186781609195,0.292857142857143,0.31375,0.343421052631579,0.417805383022774,0.2575,0.2,0.22,0.133526861343211,0.0356862745098039,0.0371343391157633,0.0393899782135076,0.557816696357931,0.557816696357931,0.0409090909090909,0.00711492808267001,-0.268340607600904,0.0718715882240974,-0.625152012160973,0.00331451977009072,-0.0361471861471861,-0.395721187025535,-0.223842940806179,-0.2,-0.557816696357931,0.0249994610741562,-0.113022624215843,-0.331620046620047,-0.600113615125438,-0.12094715251773,-0.223453901994508,-0.05,-0.0533333333333333,-0.275,-0.275,-0.399710144927536,-0.441113892365457,-0.386666666666667,-0.428606776750997,-0.343421052631579,-0.17355761141247,-0.38984962406015,-0.329250347700518,-0.264995180947643,-0.353641456582633,-0.429718905105902,-0.461303424123222,-0.387907190848367,-0.487928535432216,-0.711814573685007,-0.456113147964782
"Frizzled",0.156022408963585,0.33030303030303,0.38984962406015,0.343421052631579,0.31375,0.242857142857143,0.2575,0.275,0.399710144927536,0.22,0.1,0.2,0.123000545553737,0.0533333333333333,0.0393899782135076,0.0356862745098039,0.503485987696514,0.503485987696514,0.05,0.0361471861471861,-0.260466591852873,0.077499293851803,-0.583620689655172,-0.00711492808267001,-0.0409090909090909,-0.37688060731539,-0.21022245186555,-0.1,-0.503485987696514,0.0256092171717172,-0.104611409262572,-0.318333333333333,-0.557816696357931,-0.113022624215843,-0.216869178552892,-0.1,-0.0333333333333333,-0.2,-0.1,-0.386666666666667,-0.412745098039216,-0.366666666666667,-0.417805383022774,-0.275,-0.164108792514833,-0.343421052631579,-0.310758003766478,-0.238638591800356,-0.292857142857143,-0.38984962406015,-0.42892247174227,-0.353641456582633,-0.461303424123222,-0.668112283608671,-0.410965468639887
"Wnt",0.127450980392157,0.296969696969697,0.343421052631579,0.275,0.2575,0.2,0.22,0.2,0.386666666666667,0.2,0.1,0.1,0.125128205128205,0.0333333333333333,0.0356862745098039,0.0533333333333333,0.43984962406015,0.43984962406015,0.1,0.0409090909090909,-0.241654710664754,0.0868016194331984,-0.538166144200627,-0.0361471861471861,-0.05,-0.359420289855072,-0.192241379310345,0,-0.43984962406015,0.0271717171717172,-0.116239316239316,-0.293333333333333,-0.503485987696514,-0.104611409262572,-0.211974073657787,0,0,-0.1,0,-0.366666666666667,-0.379411764705882,-0.3,-0.399710144927536,-0.1,-0.159158297465328,-0.275,-0.286313559322034,-0.217426470588235,-0.242857142857143,-0.343421052631579,-0.38984962406015,-0.292857142857143,-0.42892247174227,-0.615327137720077,-0.355151515151515
"ILK",0.144736842105263,0.333846153846154,0.396306205871423,0.351690821256039,0.21659125188537,0.25,0.162745098039216,0.277777777777778,0.379647058823529,0.133333333333333,0,0.1,0.103282548010628,0.0476190476190476,0.0283326445332231,0.0299719887955182,0.512155844155844,0.512155844155844,0.05,0.0256410256410256,-0.242318353701089,0.0733914053426249,-0.593807118807119,0.00491452991452991,-0.0333333333333333,-0.333027375201288,-0.195032765194691,-0.1,-0.512155844155844,0.028899652260308,-0.085874349739896,-0.29715578539108,-0.565580501690091,-0.093074349739896,-0.230707886596739,-0.1,-0.0333333333333333,-0.2,-0.2,-0.367647058823529,-0.389722703051285,-0.35,-0.396720229555237,-0.277777777777778,-0.153483373095087,-0.351690821256039,-0.317668772096097,-0.232894736842105,-0.296153846153846,-0.396306205871423,-0.434159313216056,-0.357444168734491,-0.465293333834613,-0.674410697290117,-0.41647619047619
"STAT",0.242661913250149,0.408210180623974,0.351171051171051,0.324675324675325,0.191025020177563,0.162745098039216,0.172380952380952,0.292857142857143,0.263367224880383,0.12,0.1,0.1,0.07,0.226666666666667,0.226160657811512,0.22078431372549,0.34793217535153,0.34793217535153,0,-0.0235658914728682,-0.16359153666846,-0.0376373551465576,-0.307654650645305,0.0421499622693284,-0.00666666666666667,-0.222355612450993,-0.179112880739675,-0.1,-0.34793217535153,0.00731222500648829,-0.0546698872785829,-0.221385135135135,-0.378529190276903,-0.0684629907268588,-0.258369888399177,-0.05,-0.266666666666667,-0.242857142857143,-0.242857142857143,-0.252840909090909,-0.387884088258901,-0.259090909090909,-0.271579785266856,-0.292857142857143,-0.149641384256769,-0.324675324675325,-0.345352872329084,-0.203271589836787,-0.214096449390567,-0.352406417112299,-0.373568527511745,-0.238368294050761,-0.392281280789457,-0.443110528391445,-0.385396955985191
"Csl",0.131138716356108,0.356311510483526,0.285012130726416,0.264195804195804,0.161240310077519,0.203410138248848,0.144961240310078,0.241118881118881,0.31129520809077,0.133333333333333,0.0666666666666667,0.0777777777777778,0.171476380964872,0.226190476190476,0.224171842650104,0.24047619047619,0.279446121095297,0.279446121095297,0.0243589743589744,-0.0313652508149662,-0.154003523100328,-0.000437069154691913,-0.20234052404414,0.0330893887460007,0.0109351432880845,-0.203532176358263,-0.210520197165972,-0.16,-0.279446121095297,-0.00166387568631703,-0.0565262076053443,-0.202461309599131,-0.302975532860002,-0.0587484298275665,-0.175014067452545,-0.0166666666666667,-0.233333333333333,-0.213846153846154,-0.213846153846154,-0.305562724014337,-0.297784782073559,-0.299111111111111,-0.314696568634988,-0.241118881118881,-0.142089928025551,-0.26585006391458,-0.275767394822434,-0.214393203757856,-0.221831190880427,-0.286011354237161,-0.302264039123363,-0.240922099971336,-0.316043341581911,-0.366279855130391,-0.324125334617526
"TrCP",0.130755659640906,0.358910891089109,0.271676528013162,0.254844844844845,0.133040935672515,0.170512820512821,0.121929824561404,0.235925925925926,0.308912655971479,0.116666666666667,0.0666666666666667,0.0666666666666667,0.066283769879766,0.235652173913043,0.238296241709654,0.254296241709654,0.256307455231415,0.256307455231415,0.0404761904761905,-0.0159953348125391,-0.144205631823096,0.0047262841217227,-0.128010281385281,0.0159953348125391,-0.00499231950844855,-0.18668668672596,-0.175012593430777,-0.15,-0.256307455231415,-0.00371785077667431,-0.0539085168117426,-0.193256448891808,-0.27585290977687,-0.0539085168117426,-0.193966687161123,-0.0238095238095238,-0.24,-0.21,-0.21,-0.305882352941176,-0.276189535102579,-0.3,-0.309459104058911,-0.235925925925926,-0.137913779060046,-0.256978557504873,-0.266184855622433,-0.178184645535106,-0.184358974358974,-0.273076118480483,-0.285750602087236,-0.198644688644689,-0.296785084845856,-0.329887911341285,-0.304083093224277
"LIV1",0.130755659640906,0.358910891089109,0.271676528013162,0.254844844844845,0.133040935672515,0.170512820512821,0.121929824561404,0.235925925925926,0.308912655971479,0.116666666666667,0.0666666666666667,0.0666666666666667,0.066283769879766,0.235652173913043,0.238296241709654,0.254296241709654,0.256307455231415,0.256307455231415,0.0404761904761905,-0.0159953348125391,-0.144205631823096,0.0047262841217227,-0.128010281385281,0.0159953348125391,-0.00499231950844855,-0.18668668672596,-0.175012593430777,-0.15,-0.256307455231415,-0.00371785077667431,-0.0539085168117426,-0.193256448891808,-0.27585290977687,-0.0539085168117426,-0.193966687161123,-0.0238095238095238,-0.24,-0.21,-0.21,-0.305882352941176,-0.276189535102579,-0.3,-0.309459104058911,-0.235925925925926,-0.137913779060046,-0.256978557504873,-0.266184855622433,-0.178184645535106,-0.184358974358974,-0.273076118480483,-0.285750602087236,-0.198644688644689,-0.296785084845856,-0.329887911341285,-0.304083093224277
"cfos",0.138952380952381,0.35,0.254844844844845,0.235925925925926,0.121929824561404,0.116666666666667,0.116666666666667,0.21,0.305882352941176,0.0666666666666667,0.1,0.0666666666666667,0.0530484757621189,0.24,0.254296241709654,0.235652173913043,0.231917211328976,0.231917211328976,0.0238095238095238,0.00499231950844855,-0.146456435681617,0.00955387032861925,-0.106555735930736,0.0159953348125391,-0.0404761904761905,-0.173560195079182,-0.169587638638734,-0.1,-0.231917211328976,-0.00371785077667431,-0.041005291005291,-0.192703962703963,-0.256307455231415,-0.0539085168117426,-0.191821358441399,-0.0666666666666667,-0.4,-0.15,-0.15,-0.3,-0.266406926406926,-0.314285714285714,-0.308912655971479,-0.21,-0.134376801568085,-0.235925925925926,-0.258492547930125,-0.162847222222222,-0.170512820512821,-0.256978557504873,-0.271676528013162,-0.184358974358974,-0.285750602087236,-0.309436783521737,-0.283957307060755
"RKIP",0.107460545193687,-0.0304761904761905,0.256342780026991,0.214035087719298,0.214772727272727,0.2,0.1875,0.166666666666667,0.202857142857143,0.2,0.1,0.1,0.213124274099884,-0.2,-0.206749816581071,-0.162068965517241,0.241883116883117,0.241883116883117,0.2,0.12,-0.12468962219034,0.0984232242852933,-0.44511426319937,-0.138032786885246,-0.14,-0.204930125001138,-0.216926618872763,0,-0.241883116883117,0.0428079453090423,-0.195956354300385,-0.0518207282913165,-0.278635253635254,-0.179124671132068,-0.209412990408219,-0.1,0.25,-0.1,-0.1,-0.193333333333333,-0.206978609625668,-0.133333333333333,-0.203791722296395,-0.166666666666667,-0.131460545193687,-0.216666666666667,-0.27711661241073,-0.267289190718732,-0.209090909090909,-0.258974358974359,-0.286412710096921,-0.243706293706294,-0.31109464393916,-0.524772557106466,-0.27739099859353
