"","SNAI2","CD44","FOXC2","Wnt","Frizzled","TGF","TWIST1","MEK","LIV1","PAK1","ZEB2","cfos","RAF","DELTA","RKIP","GSK3","ZEB1","SNAI1","ILK","KLF4","Csn","SMO","TrCP","SUFU","FUS","Patched","SOSGRB2","SHH","SMAD","NFB","HEY1","miR200","IKK","AKT","Csl","NOTCH","NOTCHic","EGR1","RAS","PI3K","Jagged","Ecadherin","ERK","Destcompl","CDC42","TGFR","DSH","STAT","GLI","cateninmemb","SRC","cMet","TCFLEF","cateninnuc","AXIN2"
"ZEB2",-0.25422839830233,-0.217894736842105,-0.208299922299922,-0.204965034965035,-0.197272727272727,-0.170151858723287,-0.165830018442685,-0.151643615332588,-0.15,-0.148051948051948,-0.135431718626353,-0.134649122807018,-0.117554112554113,-0.117554112554113,-0.0964412238325282,-0.0588517193574807,-0.0521401669510963,-0.0406852890452751,-0.0392965485219006,-0.0294939291323381,-0.0111111111111111,-0.00857142857142857,0,0,0,0.00606271777003484,0.00996336996336997,0.014244535951853,0.0374672802292177,0.0486111111111111,0.0495431987367471,0.0613418228879786,0.0775,0.080303738317757,0.0974358974358975,0.0991845313156789,0.104102564102564,0.108333333333333,0.114770386644048,0.117554112554113,0.142809660854354,0.144063359529008,0.144326542161856,0.155678298387927,0.160779220779221,0.169622758194187,0.177272727272727,0.19,0.205882466157696,0.209026622163628,0.21,0.217894736842105,0.218246849518162,0.218636459907772,0.256896017090244
"TGFR",-0.166362775169992,-0.228910956636875,-0.320583349155117,-0.199838274932615,-0.182857142857143,-0.284056906450523,-0.262959667852906,-0.372629976768405,-0.1,-0.357777777777778,-0.087722865719498,-0.33859649122807,-0.208928571428571,-0.208928571428571,-0.253506493506494,-0.0130632203981837,-0.211898842489922,-0.195489322959154,-0.101036168132942,-0.0863794449892848,-0.141666666666667,-0.0667816091954023,-0.166666666666667,-0.0466666666666667,-0.0633333333333333,-0.0605316091954023,0.0227745289148798,-0.0464073154100916,0.0971215773856114,0.18452380952381,0.108056429650587,-0.0810619889318443,0.216102756892231,0.23703298945037,0.0166666666666667,0.0228437939303729,0.0235632183908046,0.333333333333333,0.207758980785297,0.208928571428571,0.170027320654842,0.164933192165639,0.363040935672515,0.0954660213152712,0.367301587301587,0.279801587301587,0.142857142857143,0.166666666666667,0.205644726545518,0.231228688890615,0.206666666666667,0.223647798742138,0.232260238933526,0.234828883751949,0.266699782758438
"AXIN2",-0.220629205143577,-0.156763133729152,-0.157643582022973,-0.154554931836407,-0.156279069767442,-0.115935508619692,-0.124833863204384,-0.132798891185818,-0.133333333333333,-0.11375,-0.0701735267960395,-0.129105691056911,-0.172225320970996,-0.172225320970996,-0.111616054196699,-0.135986455827417,-0.124176285737496,-0.0935283581491797,0.068944099378882,-0.0655497093644649,-0.122222222222222,0.152930402930403,-0.133333333333333,0.15,0.157692307692308,0.154716117216117,-0.0360607477297519,0.155043986068576,-0.0705314009661836,0.135265700483092,-0.0719248370363989,-0.0858868169517494,0.142512077294686,0.149178743961353,-0.0266666666666667,-0.0208751608751609,-0.0195238095238095,0.126666666666667,0.171437919396193,0.172225320970996,0.125788758832237,0.0217747171076132,0.130040270496163,0.138643003102475,0.112515432098765,0.11428534360319,0.14,0.14,0.157070655106848,0.138905597037808,0.156279069767442,0.154554931836407,0.153597834784252,0.153900472051869,0.536475055005079
"cMet",-0.36463273952325,-0.132325581395349,-0.115369198312236,-0.13,-0.15,-0.104722222222222,-0.095261143351031,0.0622727272727273,-0.1,-0.0866666666666667,-0.0496392496392496,0.065,-0.0447619047619048,-0.0447619047619048,0.0488888888888889,0.0318932411674347,-0.0810966810966811,-0.0793460925039872,0.167573696145125,0.0412698412698413,0.2,0.16,0.2,0.1,0.2,0.196363636363636,0.0776190476190476,0.183863636363636,-0.169391877963307,-0.233333333333333,-0.104815961472308,-0.0646634826526131,-0.186666666666667,-0.199166666666667,-0.0714285714285714,-0.0685170372740362,-0.0451127819548872,-0.125,0.0409883198562444,0.0447619047619048,-0.126904834296139,0.0401189928625554,-0.075,0.0792002058808781,0.0991666666666667,0.104722222222222,0.1,0.2,0.134545454545455,0.103013048635824,0.25,0.13,0.121556350626118,0.118731491869056,0.161587301587302
"miR200",0.23602201696536,0.234760866124937,0.037546139497359,0.231042253521127,0.224,-0.00357368753953194,0.148250747207802,0.0222448979591837,0.2,0,-0.0477643369175627,0.0242857142857143,0.181492537313433,0.181492537313433,-0.00292141396435875,0.0753314076365758,0.0424014336917563,-0.00482258482258482,0.00265486725663717,-0.0519668737060041,0.02,-0.0391666666666667,0,-0.02,-0.0325,-0.0404324894514768,0.0583462282398453,-0.0415194459732159,-0.00359530612811052,-0.0357894736842105,-0.00502824858757062,-0.069700737866361,-0.0443609022556391,-0.0443609022556391,-0.0308374384236453,-0.0302140213186385,-0.0273891625615764,-0.0142857142857143,-0.18273942010645,-0.181492537313433,-0.0710850315671702,-0.174177507227183,-0.0242857142857143,-0.149173633095694,0.00196078431372549,0.00357368753953194,-0.22,-0.22,-0.23433895681783,-0.222018610820199,-0.224347826086957,-0.231390079608083,-0.234364040728112,-0.232394343758415,-0.271373491240683
"Jagged",-0.314605329311212,-0.198461538461538,-0.154285714285714,-0.16,-0.1,-0.108888888888889,-0.186,-0.246666666666667,0,-0.2,-0.0289855072463768,-0.2,-0.16,-0.16,-0.138461538461538,-0.14367816091954,-0.128019323671498,-0.0833333333333333,-0.0166666666666667,-0.0333333333333333,0,0.0666666666666667,0,0,0.1,0.0666666666666667,0,0.058974358974359,0.00238095238095237,-0.1,0.116666666666667,-0.0387878787878788,-0.0666666666666667,-0.0111111111111111,0,0.0742857142857143,0.06,0.1,0.196363636363636,0.16,0.0483116883116883,0.108070175438596,0.18,0.126285714285714,0.1,0.0888888888888889,0,0,0.198461538461538,0.193007133711359,0.1,0.16,0.201491841491841,0.204788544788545,0.221428571428571
"DELTA",-0.314605329311212,-0.198461538461538,-0.154285714285714,-0.16,-0.1,-0.108888888888889,-0.186,-0.246666666666667,0,-0.2,-0.0289855072463768,-0.2,-0.16,-0.16,-0.138461538461538,-0.14367816091954,-0.128019323671498,-0.0833333333333333,-0.0166666666666667,-0.0333333333333333,0,0.0666666666666667,0,0,0.1,0.0666666666666667,0,0.058974358974359,0.00238095238095237,-0.1,0.116666666666667,-0.0387878787878788,-0.0666666666666667,-0.0111111111111111,0,0.0742857142857143,0.06,0.1,0.196363636363636,0.16,0.0483116883116883,0.108070175438596,0.18,0.126285714285714,0.1,0.0888888888888889,0,0,0.198461538461538,0.193007133711359,0.1,0.16,0.201491841491841,0.204788544788545,0.221428571428571
"SOSGRB2",0.233549354414921,-0.146376811594203,-0.0711599511599512,-0.116666666666667,-0.1,-0.0516273088613514,-0.0513913043478261,-0.211661011661012,0,-0.0571428571428571,-0.0265664160401002,-0.201587301587302,-0.044256120527307,-0.044256120527307,-0.161915204678363,-0.0541760467987677,-0.0746616541353383,-0.00511442786069652,-0.203225806451613,-0.032280701754386,-0.2,-0.183333333333333,-0.2,-0.2,-0.133333333333333,-0.16981981981982,-0.153333333333333,-0.167494238424471,0.191337694563501,0.144444444444444,0.109469696969697,-0.0577486818537299,0.181286549707602,0.202119883040936,0.0727272727272727,0.117472668176894,0.118881118881119,0.19047619047619,0.0557945820657685,0.044256120527307,0.254181952198999,0.232914094676486,0.193479193479193,0.0177450811679,0.0371428571428571,0.040989010989011,0,0,0.141304347826087,0.245892515892516,0.1,0.121739130434783,0.149534706331045,0.157756503654181,0.143990649064906
"SRC",-0.32366312231703,-0.284918032786885,-0.333202614379085,-0.28,-0.25,-0.288423520923521,-0.247341164582544,-0.122565275395464,-0.2,-0.288888888888889,-0.0257936507936508,-0.0909090909090909,-0.153658740091781,-0.153658740091781,-0.105637015314435,-0.0683116883116883,-0.194953578915843,-0.170984286040652,0.0298245614035088,0.076421188630491,0.15,0.12,0.1,0.1,0.1,0.108888888888889,0.142857142857143,0.117712418300654,-0.0343290659080133,-0.116666666666667,0.0145150612380007,-0.0659054311228224,-0.0935897435897436,-0.0547008547008547,0.065,0.0804761904761905,0.0697619047619048,0.1,0.153658740091781,0.153658740091781,0.071085626911315,0.207926109837875,0.113131313131313,0.083137044115305,0.276388888888889,0.281150793650794,0.2,0.3,0.284918032786885,0.282835653345308,0.25,0.28,0.282479008396641,0.27957073099172,0.322963151855157
"Csl",-0.336865232093232,-0.204380381523239,-0.174494487450152,-0.206868185577863,-0.201491841491841,-0.115032723040589,-0.189527879102446,-0.274089026915114,-0.16,-0.108888888888889,-0.0224948176617646,-0.268095238095238,-0.187582312739734,-0.187582312739734,-0.139511889511106,-0.137596356126395,-0.129562192507184,-0.0631741366523975,0.0135662898252826,-0.0154140786749482,0.0111111111111111,0.0825037707390649,0.0666666666666667,0.0666666666666667,0.058974358974359,0.0943317277283122,-0.0240673746450383,0.0960558656593467,-0.00578851204750486,0.0444444444444444,0.0861190897763788,-0.0158323279098526,0.0560723514211886,0.0459948320413437,-0.016036866359447,-0.0310129429144709,-0.0291947610962891,0.246666666666667,0.185744077445616,0.187582312739734,0.0399722230185806,0.0997919247886446,0.27952380952381,0.133116442073079,0.121792114695341,0.121155172020181,0.198461538461538,0.198461538461538,0.20606173396496,0.192998827794048,0.201491841491841,0.204788544788545,0.206059770836216,0.204744733672122,0.25524741294555
"NOTCH",-0.328891043596926,-0.201491841491841,-0.180816326530612,-0.198461538461538,-0.16,-0.121792114695341,-0.197864406779661,-0.268095238095238,0,-0.1,-0.0215780998389694,-0.18,-0.196363636363636,-0.196363636363636,-0.148806366047745,-0.136859979101358,-0.15024154589372,-0.0725641025641025,-0.00238095238095237,-0.0289855072463768,0.1,0.0666666666666667,0,0.1,0.0666666666666667,0.058974358974359,-0.0157894736842105,0.0825037707390649,-0.0142857142857143,-0.0666666666666667,0.094927536231884,-0.0302164502164502,-0.0111111111111111,0.0444444444444444,0.06,-0.016036866359447,0.0742857142857143,0.2,0.19201581027668,0.196363636363636,0.0446079846079846,0.108070175438596,0.246666666666667,0.130958611481976,0.0888888888888889,0.108888888888889,0.1,0.1,0.201491841491841,0.194577814339631,0.16,0.198461538461538,0.204788544788545,0.204380381523239,0.242183288409704
