"","TGF","FOXC2","RKIP","TWIST1","Csn","SUFU","SNAI1","NOTCHic","Jagged","NFB","ERK","MEK","TrCP","SMO","DELTA","ZEB2","ZEB1","AXIN2","Wnt","STAT","GLI","cMet","TCFLEF","Frizzled","Destcompl","miR200","CD44","SRC","Ecadherin","KLF4","cateninmemb","SNAI2","cateninnuc","SMAD","LIV1","ILK","Patched","DSH","HEY1","SHH","FUS","RAS","AKT","RAF","PI3K","EGR1","NOTCH","IKK","Csl","cfos","SOSGRB2","GSK3","TGFR","CDC42","PAK1"
"SRC",-0.241670274170274,-0.236699346405229,0.00544151189312479,-0.104317291903499,-0.1,0.0333333333333333,-0.0829798114504942,-0.0716666666666667,0.0596430251705481,-0.1,0.171717171717172,0.196245473603964,-0.1,0.113333333333333,-0.196812682519816,-0.294639113507038,-0.294639113507038,-0.0392728122742148,0.02,0.1,0.0150819672131148,0.02,0.0175209916033587,0,0.0297212931995541,-0.310610452349583,0.0150819672131148,0,-0.108816880287469,0.201291989664083,-0.0250565035174375,0.0569593554081887,-0.0110332958539179,-0.123624940730204,0,-0.142543859649123,-0.102222222222222,0,-0.109524991724594,-0.119869281045752,-0.0333333333333333,0.198327834034968,0.0517094017094017,0.196812682519816,0.196812682519816,-0.133333333333333,0.0823809523809524,0.0461538461538462,0.105,-0.160606060606061,0.267142857142857,-0.0379220779220779,0.252579365079365,0.276388888888889,0.288888888888889
"Jagged",-0.0466666666666667,-0.0471428571428571,0.00512820512820512,-0.055,0,0,0.108333333333333,0.22,0.133852813852814,0.1,0.02,0.0533333333333333,0,0.133333333333333,-0.0133333333333333,-0.289371980676329,-0.289371980676329,0.0528571428571429,0.06,0,0.0523076923076923,0.06,0.0553379953379953,0,0.0575598455598455,-0.317575757575758,0.0523076923076923,0,-0.134280701754386,0.311111111111111,-0.052518748856777,0.0916289592760181,-0.0388544788544788,-0.214285714285714,0,-0.2,-0.183333333333333,0,-0.3,-0.206410256410256,-0.1,-0.00484848484848485,-0.166666666666667,0.0133333333333333,0.0133333333333333,0.1,-0.22,-0.133333333333333,-0.2,0,0.08,-0.0394636015325671,0.0666666666666667,0.1,0.2
"DELTA",-0.0466666666666667,-0.0471428571428571,0.00512820512820512,-0.055,0,0,0.108333333333333,0.22,0.133852813852814,0.1,0.02,0.0533333333333333,0,0.133333333333333,-0.0133333333333333,-0.289371980676329,-0.289371980676329,0.0528571428571429,0.06,0,0.0523076923076923,0.06,0.0553379953379953,0,0.0575598455598455,-0.317575757575758,0.0523076923076923,0,-0.134280701754386,0.311111111111111,-0.052518748856777,0.0916289592760181,-0.0388544788544788,-0.214285714285714,0,-0.2,-0.183333333333333,0,-0.3,-0.206410256410256,-0.1,-0.00484848484848485,-0.166666666666667,0.0133333333333333,0.0133333333333333,0.1,-0.22,-0.133333333333333,-0.2,0,0.08,-0.0394636015325671,0.0666666666666667,0.1,0.2
"STAT",-0.0916607435915216,-0.0529720518064076,0.00938384813384813,0.0227013116818214,0.1,0.1,0.065643695068194,0.076205617382088,0.0996012302100444,0.14,0.0368627450980392,0.0379380139152435,0.1,0.181666666666667,-0.0664340363937138,-0.271364532902994,-0.271364532902994,-0.027699751229163,0.0165584415584416,0.0142857142857143,0.0241214667685256,0.0165584415584416,0.012762167730622,0.0392857142857143,-0.0392679880997564,-0.300598032820869,0.0225413475413475,0.0392857142857143,-0.0852533772372911,0.194048326401268,-0.0179724980375603,0.0296985945536466,-0.0171721796495731,-0.202487645066356,-0.1,-0.207085346215781,-0.207248062015504,-0.0142857142857143,-0.213333333333333,-0.186894079714619,-0.175,0.064941499080281,-0.173575464083939,0.0664340363937138,0.0664340363937138,-0.0333333333333333,-0.102419209615098,-0.144761904761905,-0.0843137254901961,-0.0133333333333333,0.0157224958949097,0.0517400979083222,0.103738038277512,0.122159090909091,0.140909090909091
"NOTCHic",-0.0132579960276693,-0.00362738643844635,0.0529183945405412,-0.0231483850335785,0.133333333333333,0.133333333333333,0.113380138380138,0.129677419354839,0.142192279145922,0.166666666666667,0.0604761904761905,0.0719047619047619,0.1,0.206410256410256,0.0149934123847167,-0.248631239935588,-0.248631239935588,0.0501841868823001,0.0553379953379953,0.06,0.0413595007143394,0.0553379953379953,0.042527948242234,0.0523076923076923,0.0484165433791602,-0.272241323223982,0.0388544788544788,0.0523076923076923,-0.117079693998619,0.267943409247757,-0.0514801243439641,0.0820966671785957,-0.0359630627460507,-0.185844467283316,0,-0.200952380952381,-0.212292609351433,-0.06,-0.310969899665552,-0.204765727631003,-0.183333333333333,-0.00858947149801723,-0.19405684754522,-0.0149934123847167,-0.0149934123847167,-0.02,-0.137572156196944,-0.177777777777778,-0.22,-0.0533333333333333,0.0761722488038278,-0.0404966593838067,0.0240860215053764,0.0466666666666667,0.0666666666666667
"cateninnuc",-0.130355811633029,-0.0715734265734266,-0.161743897128513,-0.0292016404009344,-0.183333333333333,-0.0222222222222222,-0.15524930770742,-0.0571701776668272,0.0451501647291911,-0.18030303030303,0.0605808458037407,0.0692964421340159,-0.233333333333333,0.00892531876138434,-0.19473467973468,-0.242509620439956,-0.242509620439956,-0.187789599537538,0.00473235817190553,0.0034965034965035,-0.00791586317196799,0.00591196243370157,0.000308396635961013,-0.0115719896541814,-0.188719191837489,-0.254289276267904,-0.00678645026471113,-0.0103923853923854,-0.0635106128031987,0.243738023542294,-0.0769592920469679,0.020092256110456,-0.0934318431976843,-0.127561400400418,0.0272727272727273,-0.135337662337662,-0.000850784599893654,-0.0034965034965035,-0.120632905357659,-0.0110904360160157,0.0222222222222222,0.197933332933333,0.17177178030303,0.19473467973468,0.19473467973468,-0.0456521739130435,0.0671701776668272,0.16630303030303,0.0711236660389203,-0.0631124913733609,-0.0155310693229135,0.202287042453317,0.133630920803335,0.140527472527473,0.145142857142857
"SMAD",-0.077280975353333,-0.0719126240945865,0.0582356184441157,-0.057220863224261,0.0555555555555556,0.108333333333333,0.0823816908897554,0.0267651888341544,0.0158339617371875,0.0793650793650794,0.0645804308219912,0.0655419692835297,0,0.125833333333333,-0.0174507646647385,-0.239774891417563,-0.239774891417563,0.146181644006547,0.0871794871794872,0.12,0.0799852425751706,0.105294117647059,0.0977934392210072,0.0833333333333333,0.148320845936208,-0.257382200657788,0.0976577540106952,0.103333333333333,-0.246901599209654,0.242463072663291,-0.147869626291073,0.11763522489897,-0.0942473399302271,-0.17301935507415,-0.12,-0.0868288788836734,-0.104732415902141,-0.1,-0.0629352675940612,-0.0954387356047429,-0.120833333333333,0.0194244488752648,-0.0823454715219421,0.0174507646647385,0.0174507646647385,-0.0285714285714286,-0.0172413793103448,-0.0970121381886088,-0.00952380952380952,-0.0576036866359447,0.101922508133688,-0.0272089314194577,0.0740937243573171,0.0847082494969819,0.114285714285714
"CD44",-0.205833333333333,-0.20625,0.0537037037037037,-0.178974358974359,-0.2,-0.1,-0.146092503987241,-0.214285714285714,-0.0818648018648019,-0.2,0.29,0.31,-0.1,-0.1,-0.233333333333333,-0.23968253968254,-0.23968253968254,-0.06,-0.05,0.1,-0.03,0.05,-0.0276744186046512,-0.1,-0.0829859216413838,-0.248717610891524,-0.03,0,0.00405276300075996,0.115873015873016,0.0356043956043956,0.080967920967921,0.0199821109123435,0.0616780045351474,-0.1,0.0555555555555556,0.12,0,0.0970760233918129,0.0654545454545455,0.1,0.219047619047619,0.253333333333333,0.233333333333333,0.233333333333333,-0.2,0.240601503759398,0.233333333333333,0.2,-0.25,0.442857142857143,-0.068452380952381,0.205833333333333,0.193333333333333,0.133333333333333
"cMet",-0.193067375886525,-0.194857594936709,0.0907407407407407,-0.162120426390089,-0.2,-0.1,-0.141007758224529,-0.240601503759398,-0.0862126279517584,-0.233333333333333,0.31,0.322727272727273,-0.2,-0.12,-0.219047619047619,-0.230591630591631,-0.230591630591631,-0.0520634920634921,-0.03,0,-0.03,-0.03,-0.0199821109123435,-0.05,-0.0789318675873298,-0.251842610891524,-0.0276744186046512,0.05,0.0017626866648821,0.13968253968254,0.0366720112627586,0.0889971180482129,0.0216770261665808,0.0489507318078747,-0.1,0.0616780045351474,0.0654545454545455,0.1,0.102958376332989,0.0654545454545455,0.1,0.219047619047619,0.222083333333333,0.219047619047619,0.219047619047619,-0.25,0.225707886738122,0.253333333333333,0.214285714285714,-0.29,0.46952380952381,-0.0716781874039939,0.205833333333333,0.205833333333333,0.193333333333333
"NFB",-0.0129386523462473,0.0435897966575257,0.0248633879781421,0.142567693744164,0.171428571428571,0.16,0.0484924729183853,0.0422799422799423,0.164826144707477,0.0880952380952381,-0.00447619047619048,-0.00774416433239963,0.1,0.191111111111111,-0.074964000579399,-0.227017947166768,-0.227017947166768,-0.110982776089159,-0.0864957264957265,-0.111111111111111,-0.0786305579564007,-0.0864957264957265,-0.089699616934116,-0.0726495726495727,0.0823839252361219,-0.235506235959408,-0.0791510937273649,-0.0726495726495727,0.0299046600178022,0.239102564102564,0.0281548566724335,-0.076370933048573,0.0833466757576454,-0.266384303393165,0.1,-0.266756050605061,-0.211800766283525,0.111111111111111,-0.269816084328468,-0.209391127729308,-0.18,0.0694913637634786,-0.0965036465036465,0.074964000579399,0.074964000579399,0.00714285714285715,-0.0545380067960713,-0.0853925353925354,-0.0597402597402597,0.0111428571428571,-0.0377996461742592,0.0171934927817281,0.0224323232323232,0.0232323232323232,0.0277777777777778
