"","SOSGRB2","IKK","CDC42","SUFU","TGFR","SHH","SMO","PAK1","Csn","Csl","ZEB2","Wnt","GLI","Frizzled","AXIN2","DSH","cateninnuc","CD44","TCFLEF","cfos","RAF","PI3K","MEK","RAS","ERK","Ecadherin","KLF4","GSK3","STAT","DELTA","SRC","cateninmemb","cMet","EGR1","Destcompl","RKIP","LIV1","TWIST1","SNAI2","SNAI1","Jagged","NOTCH","NOTCHic","NFB","SMAD","ILK","Patched","AKT","TGF","TrCP","FUS","HEY1","FOXC2","miR200","ZEB1"
"GLI",-0.176830632494349,-0.0389783983768946,-0.318333333333333,0.0857142857142857,-0.308899371069182,0.133035078878855,0.131766917293233,-0.318333333333333,-0.0222222222222222,-0.0459062776304156,-0.102367554190135,0.0985578747628083,-0.00186765715208527,0.0903225806451613,-0.026520229468599,0.1,-0.000930105968857056,-0.000783390759380341,-0.00338079335678294,0.176190476190476,0.133821648645506,0.133821648645506,0.157205041735428,0.128079074388081,0.148917748917749,0.062531582108145,-0.107681681681682,0.058138963940454,0,-0.133821648645506,0.00967741935483871,0.0072015639982538,-7.86782061369007e-05,-0.142857142857143,0.0504915030410336,0.0777748831770679,0,0.107268815885115,0.152808181115198,0.056534597866101,-0.0161029657787706,0.0270967538208918,0.0309062776304156,0.0695906432748538,-0.0293530180890846,-0.021785450521517,-0.127685284640172,0.0389783983768946,0.3114876063633,0.0333333333333333,-0.110714285714286,-0.0171447068306151,0.197064628482972,0.181767654430193,0.281653268475849
"miR200",-0.00590264345583494,-0.0118796992481203,-0.0274509803921569,0.02,-0.0306767868437698,0.0182177582095028,0.0133333333333333,-0.0333333333333333,-0.02,0.00226600985221675,-0.10125,0.0882253521126761,0.0860275499148739,0.084,0.0637101080042546,0.08,0.086686737549147,0.0863259871883966,0.0859291617915712,0.00428571428571428,0.0756869498660543,0.0756869498660543,0.00496598639455782,0.0749388201902439,0.00428571428571428,0.182474173510803,-0.1,-0.00225912351425067,-0.08,-0.0756869498660543,-0.0843478260869565,-0.0934819718117132,-0.0885731781996326,-0.0142857142857143,-0.0601265349903051,0.00246623882087963,-0.1,0.0945548929598009,-0.106767850107435,0.00115588115588116,-0.0162740350035963,-0.007409200968523,-0.00571428571428572,0.0147368421052632,-0.000624390584720154,-0.00281874795149131,-0.0171308016877637,0.0118796992481203,0.0306767868437698,0,-0.02,-0.0034180790960452,0.019492377541158,0.0022394685010436,0.10244623655914
"SMAD",-0.203320023661639,-0.175303454715219,-0.232796780684105,-0.191666666666667,-0.218830300237177,-0.165864937530553,-0.159166666666667,-0.228571428571429,-0.138888888888889,-0.188571428571429,-0.098540145028565,-0.0410561660561661,-0.0374590437540078,-0.0468253968253968,-0.0253270119913295,-0.0190476190476191,-0.00505910936408013,-0.00237619896443426,-0.00576832922223616,0.0640552995391705,-0.0595298965953988,-0.0595298965953988,0.0473737252994567,-0.0657798965953988,0.0454506483763798,0.0612195268202126,-0.105188972604335,0.071302100850973,-0.0142857142857143,0.0595298965953988,0.0134920634920635,0.00821904021788343,0.00564892623716153,-0.0285714285714286,0.0196988495640297,0.0688017369960722,0,0.135680269836235,0.163067069023693,0.0788091791720824,0.174282781734395,0.181948549534756,0.18512315270936,0.200793650793651,0.0568459850651632,0.162560270779449,0.172928134556575,0.175303454715219,0.224009583105703,0.15,0.179166666666667,0.201428874498672,0.227805152618694,0.203006284802501,0.306145501078882
"SNAI1",-0.223270907279407,-0.108235867446394,-0.308887191240132,-0.080952380952381,-0.314898120201881,-0.0602226055563565,-0.0734653240029584,-0.321008403361345,-0.141666666666667,-0.105128205128205,-0.0975004918573078,-0.00935339704274236,-0.0150206730939307,-0.0127680311890838,-0.0311060984125395,-0.0259259259259259,-0.00964038329261817,-0.0122949682355623,-0.0099501406493554,0.0537067059690494,0.0583681627368858,0.0583681627368858,0.0594884697956563,0.0572187374495295,0.0590400393023827,0.0641466698448292,-0.095012030612766,-0.0160785274956067,0.0259259259259259,-0.0583681627368858,0.00970970970970971,0.00604707191049949,0.00673941268000674,-0.0791304347826087,0.0242977928049723,0.107943591888205,0,0.170560902865251,0.162504964333775,0.0552908055322052,0.0745093778820321,0.0986603872318158,0.0974358974358975,0.110087719298246,0.0868558731670266,0.0815668202764977,0.0654653240029584,0.11240253411306,0.313285216976075,0.0666666666666667,0.0648233486943164,0.0938892948483741,0.312730095206688,0.249865078285408,0.366133760816421
"CDC42",-0.229166666666667,-0.141666666666667,-0.319047619047619,-0.0666666666666667,-0.321008403361345,-0.0734653240029584,-0.080952380952381,-0.185714285714286,-0.0666666666666667,-0.0666666666666667,-0.0965813444021676,-0.0259259259259259,-0.0127680311890838,0,-0.0260262725779967,0,-0.0122949682355623,-0.00970970970970971,-0.00673941268000674,0.04,0.055119825708061,0.055119825708061,0.0537067059690494,0.0660954354641586,0.0791304347826087,0.0637269081346729,-0.0896190476190476,-0.00798971861471861,0,-0.055119825708061,0,0.0081765486513752,0.0259259259259259,-0.02,0.0219967276420651,0.11011655011655,0.1,0.172735930735931,0.159531393181028,0.166135130692093,0.0770138888888889,0.105128205128205,0.112820512820513,0.0666666666666667,0.0880184331797235,0.0928571428571429,0.0648233486943164,0.110087719298246,0.308887191240132,0.1,0.080952380952381,0.103623188405797,0.311514654642345,0.25308972073678,0.36996617856182
"DELTA",-0.22,-0.0666666666666667,-0.3,0,-0.311111111111111,-0.0743589743589744,-0.0666666666666667,-0.2,0,0,-0.0963768115942029,0.06,0.0523076923076923,0,0.0228571428571429,0,0.0514418914418914,0.0523076923076923,0.0371561771561772,0,0.0933333333333333,0.0933333333333333,0.0533333333333333,0.0660606060606061,0.02,0.138385964912281,-0.0833333333333333,0.0118773946360153,0,-0.0933333333333333,0,-0.0620760929211633,-0.06,0.1,-0.0173436293436293,0.107692307692308,0,0.171,0.111764705882353,0.175,0.0765367965367965,-0.0342857142857143,-0.02,0.1,0.0928571428571429,0.116666666666667,0.0666666666666667,0.0777777777777778,0.331111111111111,0,0.1,0.0166666666666667,0.324285714285714,0.253939393939394,0.374154589371981
"Csl",-0.212488427276617,-0.107751937984496,-0.331111111111111,-0.0666666666666667,-0.32410474168436,-0.0597855921696136,-0.0625942684766214,-0.331111111111111,-0.0777777777777778,-0.101198156682028,-0.0941545893719807,0.0489841341454245,0.0497905857583277,0.0371561771561772,0.0273506703129102,0.0523076923076923,0.0500721139864367,0.0518500547071976,0.0477279173026174,0.0747619047619048,0.0720004932598636,0.0720004932598636,0.060879917184265,0.0657504932598636,0.0576190476190476,0.138953872968927,-0.0963768115942029,0.0162226276597863,-0.0523076923076923,-0.0720004932598636,-0.0371561771561772,-0.0595608614276971,-0.0514418914418914,-0.0533333333333333,-0.0243117420171188,0.116115930631276,-0.06,0.173933334103345,0.110727191771713,0.160849738023651,0.0655613550356928,0.0860306925671951,0.0933034198399224,0.133333333333333,0.0829210916980701,0.0873655361425146,0.0658200749282343,0.105426356589147,0.327959616967806,0.0666666666666667,0.0743589743589744,-0.00426017006579666,0.32321195886586,0.253821987953236,0.371379880961913
"TrCP",-0.228176567656766,-0.110087719298246,-0.321008403361345,-0.080952380952381,-0.308887191240132,-0.0654653240029584,-0.0648233486943164,-0.319047619047619,-0.0666666666666667,-0.112820512820513,-0.0936874537269265,-0.0127680311890838,-0.00935339704274236,-0.0259259259259259,-0.028541995848437,0,-0.0099501406493554,-0.00673941268000674,-0.0122949682355623,0.0791304347826087,0.0660954354641586,0.0660954354641586,0.0590400393023827,0.0583681627368858,0.0537067059690494,0.062273620937441,-0.097815768930523,-0.00980790043290043,0,-0.0660954354641586,0.0259259259259259,0.00414724462207117,0.00970970970970971,-0.04,0.0278613892962004,0.11840384293423,0,0.175996800301148,0.162605534229853,0.157781908735052,0.0733329072937969,0.0974358974358975,0.105128205128205,0.141666666666667,0.0815668202764977,0.0880184331797235,0.0734653240029584,0.108235867446394,0.314898120201881,0.0666666666666667,0.080952380952381,0.0962702472293265,0.315652585676827,0.252074492310384,0.370930808786901
"PAK1",-0.228176567656766,-0.110087719298246,-0.321008403361345,-0.080952380952381,-0.308887191240132,-0.0654653240029584,-0.0648233486943164,-0.319047619047619,-0.0666666666666667,-0.112820512820513,-0.0936874537269265,-0.0127680311890838,-0.00935339704274236,-0.0259259259259259,-0.028541995848437,0,-0.0099501406493554,-0.00673941268000674,-0.0122949682355623,0.0791304347826087,0.0660954354641586,0.0660954354641586,0.0590400393023827,0.0583681627368858,0.0537067059690494,0.062273620937441,-0.097815768930523,-0.00980790043290043,0,-0.0660954354641586,0.0259259259259259,0.00414724462207117,0.00970970970970971,-0.04,0.0278613892962004,0.11840384293423,0,0.175996800301148,0.162605534229853,0.157781908735052,0.0733329072937969,0.0974358974358975,0.105128205128205,0.141666666666667,0.0815668202764977,0.0880184331797235,0.0734653240029584,0.108235867446394,0.314898120201881,0.0666666666666667,0.080952380952381,0.0962702472293265,0.315652585676827,0.252074492310384,0.370930808786901
"LIV1",-0.228176567656766,-0.110087719298246,-0.321008403361345,-0.080952380952381,-0.308887191240132,-0.0654653240029584,-0.0648233486943164,-0.319047619047619,-0.0666666666666667,-0.112820512820513,-0.0936874537269265,-0.0127680311890838,-0.00935339704274236,-0.0259259259259259,-0.028541995848437,0,-0.0099501406493554,-0.00673941268000674,-0.0122949682355623,0.0791304347826087,0.0660954354641586,0.0660954354641586,0.0590400393023827,0.0583681627368858,0.0537067059690494,0.062273620937441,-0.097815768930523,-0.00980790043290043,0,-0.0660954354641586,0.0259259259259259,0.00414724462207117,0.00970970970970971,-0.04,0.0278613892962004,0.11840384293423,0,0.175996800301148,0.162605534229853,0.157781908735052,0.0733329072937969,0.0974358974358975,0.105128205128205,0.141666666666667,0.0815668202764977,0.0880184331797235,0.0734653240029584,0.108235867446394,0.314898120201881,0.0666666666666667,0.080952380952381,0.0962702472293265,0.315652585676827,0.252074492310384,0.370930808786901
