"","SUFU","Csn","Patched","AKT","SOSGRB2","TrCP","LIV1","Frizzled","Destcompl","miR200","Wnt","DSH","GLI","cfos","IKK","EGR1","RAS","RAF","DELTA","TGFR","TGF","FOXC2","GSK3","CDC42","PAK1","ZEB2","ZEB1","PI3K","MEK","ERK","SNAI2","TWIST1","Ecadherin","CD44","cMet","STAT","NOTCHic","TCFLEF","cateninnuc","SMO","SRC","cateninmemb","KLF4","NFB","Csl","NOTCH","AXIN2","SMAD","Jagged","FUS","RKIP","SNAI1","SHH","ILK","HEY1"
"AKT",0.2,0.366666666666667,0.263461538461538,0.30087755381873,0.291239316239316,0.3,0.1,0.168599033816425,-0.307187506220473,-0.00539101168320069,0.170137495354887,0.155555555555556,0.168461517701255,0.205602240896359,0.373604826546003,0.176190476190476,-0.25252744834524,-0.250358773646445,-0.250358773646445,-0.192590148254424,-0.202559936774061,-0.190204291215845,-0.455642639916834,0.183647058823529,-0.167647058823529,-0.272066694145296,-0.272066694145296,0.250358773646445,-0.208507407943464,-0.207241585158654,-0.0968424276869276,-0.183136855109103,0.0434493590461914,-0.169572523603474,-0.170137495354887,-0.155555555555556,-0.278287841191067,-0.173902420510691,-0.178517805126075,-0.221794871794872,-0.168599033816425,-0.0790625610433654,-0.256078497525866,-0.36078431372549,-0.265384615384615,-0.295361011922774,-0.222296716520543,-0.282577105185509,-0.227635645404903,-0.183333333333333,-0.423469688878896,-0.418093906263243,-0.276093117408907,-0.282913805522209,-0.299112173532408
"PI3K",0.1,0.3,0.221794871794872,0.373604826546003,0.273461538461538,0.2,0.1,0.155555555555556,-0.30396169976886,0.0101170097071736,0.168599033816425,0.1,0.170137495354887,0.176190476190476,0.36078431372549,0.133333333333333,-0.250358773646445,-0.247619047619048,-0.247619047619048,-0.183647058823529,-0.192590148254424,-0.178174216027875,-0.446368446368446,0.167647058823529,-0.15,-0.258368064008309,-0.258368064008309,0.247619047619048,-0.207241585158654,-0.205602240896359,-0.0929228296969778,-0.168152145628981,0.0429948135916459,-0.170137495354887,-0.168599033816425,-0.1,-0.265384615384615,-0.169572523603474,-0.173902420510691,-0.183333333333333,-0.155555555555556,-0.0752908994735387,-0.262061403508772,-0.366666666666667,-0.25,-0.278287841191067,-0.219047619047619,-0.282913805522209,-0.220350877192982,-0.2,-0.3930349062702,-0.405813204508857,-0.263461538461538,-0.264513805522209,-0.278811421652709
"LIV1",0.128571428571429,0.15,0.225604483131365,0.192105263157895,0.150577557755776,0.2,-0.05,-0.00629629629629629,-0.0599290584691327,0.0155185347481555,-0.01682261208577,-0.01,-0.0202372462321114,0.10695652173913,0.192105263157895,0.12,0.0218726480491186,0.0250544662309368,0.0250544662309368,-0.119187675070028,-0.109898057583689,-0.110460594666799,-0.110457792207792,0.102521008403361,-0.080952380952381,-0.206173870714562,-0.206173870714562,-0.0250544662309368,-0.112538442643085,-0.101871775976419,-0.078956179180701,-0.214158573310747,-0.00630785232303788,0.0163846024242064,0.0144044044044044,0.01,-0.174871794871795,0.0152734913130953,0.0145838361406815,-0.219431643625192,0.00629629629629629,0.0113850662252381,-0.185155347384856,-0.15,-0.148717948717949,-0.171575091575092,0.0336388140161725,-0.218958866700802,-0.180056450238582,-0.145238095238095,-0.333102680008757,-0.320592352070555,-0.203604483131365,-0.202184673152415,-0.207041332275039
"GLI",0.228571428571429,0.0944444444444444,0.307451664876477,0.133795612543263,0.147801402137685,0.15,-0.05,0.0567741935483871,-0.0377590980944834,0.0308178818085939,0.0485388994307401,0.06,-0.0535887601437281,-0.0538095238095238,0.138483112543263,-0.0371428571428571,0.154701380895975,0.156879598717757,0.156879598717757,-0.202115593146823,-0.192468534323293,-0.0927869152046784,0.0156996141014406,0.188908045977012,-0.171666666666667,-0.201283324799454,-0.201283324799454,-0.156879598717757,0.0472083901365669,0.0577056277056277,-0.0771631398172544,-0.207449854427783,-0.0163755489017493,0.0189659241976179,0.0181038552321007,0.01,-0.136664456233422,0.017991898223592,0.0182907625391927,-0.309492481203007,0.0132258064516129,0.00828760862828283,-0.183567567567568,-0.0997076023391813,-0.114164456233422,-0.131902551471517,0.0385265700483092,-0.208411789173172,-0.174252167655648,-0.241071428571429,-0.248643951215947,-0.267443012832512,-0.286464010555489,-0.191655032416415,-0.195584023597606
"SMO",0.1,-0.1,0.3225,-0.0397142857142857,0.190350877192982,0,0.1,0.1,0.193654097840144,0.014376130198915,0.0875,0.2,0.104166666666667,-0.06,-0.0357142857142857,0,0.238383273703041,0.236057692307692,0.236057692307692,-0.22,-0.211891891891892,-0.0981034482758621,0.210348874426544,0.253333333333333,-0.233333333333333,-0.185028248587571,-0.185028248587571,-0.236057692307692,0.0586013986013986,0.0676923076923077,0.00879036672140121,-0.0743464052287582,0.00336324771014701,-0.01,0.00666666666666667,-0.1,-0.00606060606060606,-0.0206796116504854,-0.0236871304474779,-0.36,0,-0.0600873438424331,-0.172222222222222,0.05,-0.0333333333333333,-0.00106060606060606,-0.175742648156441,-0.197142857142857,-0.141746031746032,-0.2,-0.148888888888889,-0.161059907834101,-0.311388888888889,-0.173333333333333,-0.178021978021978
"CDC42",0.2,0.2,0.219431643625192,0.192105263157895,0.141666666666667,0.1,-0.1,-0.01,-0.0585756750104861,0.00587386469739411,-0.00629629629629629,-0.05,-0.01682261208577,0.12,0.15,0.06,0.0250544662309368,0.0250544662309368,0.0250544662309368,-0.102521008403361,-0.119187675070028,-0.119426111908178,-0.105730519480519,0.080952380952381,-0.185714285714286,-0.184630462354433,-0.184630462354433,-0.0250544662309368,-0.101871775976419,-0.10695652173913,-0.0766053654374822,-0.212528138528139,-0.00305525716732854,0.0144044044044044,0.00629629629629629,0.05,-0.148717948717949,0.0163846024242064,0.0152734913130953,-0.145238095238095,0.01,0.0119345167746886,-0.168761904761905,-0.15,-0.133333333333333,-0.174871794871795,0.0323809523809524,-0.202184673152415,-0.192326388888889,-0.128571428571429,-0.331445221445221,-0.330377554934517,-0.225604483131365,-0.231216931216931,-0.234982508745627
"FUS",0.2,-0.05,0.311388888888889,-0.0397142857142857,0.171120107962213,-0.1,0.1,0.0875,0.19759570367956,0.016356328218717,0.104166666666667,0.1,0.113782051282051,-0.0676923076923077,-0.0397142857142857,-0.06,0.244933492043652,0.238383273703041,0.238383273703041,-0.211891891891892,-0.218274870615296,-0.102050816696915,0.216703389476712,0.22,-0.253333333333333,-0.173371806869779,-0.173371806869779,-0.238383273703041,0.0551531227393296,0.0586013986013986,0.0100470992169129,-0.0685872429250932,0.00610297373754427,-0.0206796116504854,-0.01,0,-0.00106060606060606,-0.0236871304474779,-0.0212414782735649,-0.3225,0.00666666666666667,-0.059528684624556,-0.173861566484517,0.0357142857142857,-0.00606060606060606,-0.00787878787878788,-0.183817182317932,-0.192626728110599,-0.157408682348441,-0.36,-0.145796105383734,-0.170493870098252,-0.33260101010101,-0.197142857142857,-0.202659659181398
"SHH",0,0,0.2,-0.05,0.25,0,0,0.2,0.184155844155844,0,0.2,0.2,0.1,0.1,-0.1,0,0.242307692307692,0.25,0.25,-0.233333333333333,-0.253333333333333,-0.125,0.21025641025641,0.233333333333333,-0.2,-0.15,-0.15,-0.25,0.06,0,0.0183141762452107,-0.075,-0.00166666666666666,0,-0.1,-0.1,0,0.00666666666666667,-0.01,-0.1,-0.1,-0.0385663082437276,-0.15,0,-0.1,-0.0333333333333333,-0.19047619047619,-0.183333333333333,-0.145714285714286,0,-0.16,-0.166666666666667,-0.36,-0.2,-0.2
"TWIST1",0.0333333333333333,0.1,0.0880365296803653,0.0940026075619296,0.0445617946762112,0.1,-0.0333333333333333,-0.0246031746031746,-0.0740053233645619,-0.0649355413478671,-0.0340768588137009,-0.0190476190476191,-0.0356768588137009,-0.0510144927536232,0.0923076923076923,-0.0466666666666667,0.0276221465568853,0.0286495438171592,0.0286495438171592,-0.109245036572623,-0.104917018349388,-0.126811288861176,-0.0785147493672084,0.111745036572623,-0.104848484848485,-0.149291396659818,-0.149291396659818,-0.0286495438171592,0.0613967917847832,0.0589092295957285,0.0420126134773376,-0.0981878155533762,0.00184484388893783,0.035121845029561,0.033113812901047,0.0190476190476191,-0.0411396011396011,0.0334373121045993,0.0313096525301312,-0.0866666666666667,0.0246031746031746,0.0300528786352193,-0.151229935376277,-0.0923076923076923,-0.0437037037037037,-0.0383094124603559,0.0666256324320841,-0.173536317595724,-0.0817842550370806,-0.0666666666666667,-0.126900335595988,-0.155685933111945,-0.0845882538182963,-0.170566020566021,-0.16932389644254
"Csn",0.0142857142857143,0.12,0.0652469394404878,0.1538,0.174398708635997,0.22,0.133333333333333,0.146551724137931,-0.278096490410487,-0.0111118030452724,0.147756543415039,0.15,0.149939949528577,0.0990909090909091,0.145,0.09,-0.216431441191101,-0.215087871133519,-0.215087871133519,-0.153629579375848,-0.156254877705204,-0.142929689111828,-0.404412738518211,0.153629579375848,-0.143181818181818,-0.0696708023159636,-0.0696708023159636,0.215087871133519,-0.106112012987013,-0.102987012987013,-0.0483970786719479,-0.0308547607916472,0.018639293789816,-0.149978765637262,-0.147756543415039,-0.15,-0.162987012987013,-0.153837286537583,-0.156543239634396,-0.0577200577200577,-0.146551724137931,-0.0447683279695156,-0.0628183581124758,-0.136666666666667,-0.159090909090909,-0.168756243756244,-0.187341241737488,-0.0753518205091358,-0.0694515604745064,-0.0365079365079365,-0.200526962524439,-0.201139310635107,-0.0726239886208157,-0.0668685300207039,-0.0735603543743079
