"","HEY1","AKT","Csn","FOXC2","ILK","GSK3","SMAD","PAK1","TGFR","TrCP","Jagged","NOTCH","Csl","Destcompl","RAF","PI3K","RAS","SRC","DSH","AXIN2","CD44","TCFLEF","Frizzled","Wnt","GLI","SNAI2","Ecadherin","ZEB1","cateninmemb","cateninnuc","cMet","STAT","DELTA","LIV1","TWIST1","SNAI1","EGR1","miR200","RKIP","cfos","MEK","ERK","NOTCHic","TGF","SHH","SMO","Patched","SUFU","FUS","CDC42","ZEB2","IKK","NFB","SOSGRB2","KLF4"
"ZEB1",0.23931766851456,0.0836920169275648,0.133333333333333,0.166340256099189,0.229714074015269,-0.205106751395902,0.230194843246038,0.221455938697318,0.230225158148506,0.133333333333333,0.0472942740189969,0.123067574137093,0.116666666666667,-0.326389653335861,-0.263488313722008,-0.263488313722008,-0.277504061753504,-0.293746091307067,-0.276190476190476,-0.159927951253331,-0.320543476927982,-0.329586030119471,-0.298141695702671,-0.313526311087287,-0.324866517272854,0.309626743090426,0.149816443108059,0.0131379462175829,0.306721598413242,0.336043955755479,0.309432365816871,0.271794871794872,0.263488313722008,0.233333333333333,0.0796898063631359,-0.167595510726081,-0.183333333333333,-0.159817838841347,-0.186304269553786,-0.211333333333333,-0.239993608015894,-0.228980392156863,-0.120588235294118,-0.234162166022522,-0.102482777323158,-0.111742424242424,-0.107820855614973,-0.133333333333333,-0.120833333333333,-0.228702315508912,-0.241407949871218,-0.0922634454989934,-0.107017543859649,-0.124522417153996,-0.229903710972703
"DSH",0.24111005828811,-0.185804597701149,-0.0866666666666667,0.430572471184466,0.229501204680514,-0.747676395929856,0.241954034869193,0.413333333333333,0.461325051759834,-0.0666666666666667,-0.0907556930453647,0.194671015259251,0.164285714285714,-0.705817794592092,-0.631961345740873,-0.631961345740873,-0.680980953584011,-0.368421052631579,-0.3,-0.263657951311764,-0.46861026739033,-0.501943600723663,-0.368421052631579,-0.425563909774436,-0.469354759447639,0.421397178054822,0.290066545560982,0.306327138209816,0.390218690079294,0.528034428862577,0.425563909774436,0.3,0.631961345740873,0.2,-0.0626518266881221,-0.470441683919945,-0.3,0.0366277870165065,-0.473759573759574,-0.364705882352941,-0.476541025767032,-0.427668845315904,-0.189775910364146,-0.480488814826037,-0.0668121376611383,-0.0861471861471862,-0.0796955732439603,-0.1,-0.0909090909090909,-0.439420289855072,-0.204723924758635,0.161666666666667,0.124166666666667,-0.284922394678492,-0.184591118000598
"Frizzled",0.230583742498636,-0.161666666666667,-0.0666666666666667,0.420615761227756,0.219220830848738,-0.701504702194357,0.229501204680514,0.366666666666667,0.439420289855072,-0.1,-0.0698254604872252,0.189775910364146,0.164285714285714,-0.668985733523389,-0.568181818181818,-0.568181818181818,-0.631961345740873,-0.3,-0.1,-0.247202255109232,-0.425563909774436,-0.46861026739033,-0.3,-0.368421052631579,-0.425563909774436,0.396833732187534,0.284359785244915,0.28979170513895,0.37007734732311,0.501943600723663,0.368421052631579,0.2,0.568181818181818,0.1,-0.0711624649859944,-0.449861973775017,-0.2,0.0341887626262626,-0.438095238095238,-0.3,-0.427668845315904,-0.364705882352941,-0.164285714285714,-0.461325051759834,-0.0796955732439603,-0.0909090909090909,-0.0861471861471862,-0.1,-0.1,-0.413333333333333,-0.189763294837375,0.124166666666667,0.0866666666666667,-0.272727272727273,-0.170028011204482
"Csl",0.302417863466457,0.0201550387596899,0.1,0.290925593819285,0.197882836587873,-0.306461462982324,0.202882836587873,0.337333333333333,0.353339086363948,0.133333333333333,-0.0312885795832816,0.0909265098229445,0.088294930875576,-0.377292259061843,-0.33641880358522,-0.33641880358522,-0.361051156526397,-0.293240093240093,-0.253846153846154,-0.202210454309935,-0.34674087816945,-0.361855381986244,-0.293240093240093,-0.326573426573427,-0.348347620121814,0.411004623838859,0.229469803414423,0.193768471810749,0.336665732637402,0.373919418578582,0.325108225108225,0.253846153846154,0.33641880358522,0.2,0.0138821670910151,-0.29020202020202,-0.366666666666667,0.00690907389989335,-0.311211159027982,-0.40952380952381,-0.468809523809524,-0.443809523809524,-0.0909265098229445,-0.361275594300456,-0.061540390948884,-0.0888763197586727,-0.0727472875006082,-0.108333333333333,-0.100641025641026,-0.343784946236559,-0.174130034430299,-0.0457364341085271,-0.0666666666666667,-0.233683043529,-0.161932367149758
"Wnt",0.207179487179487,-0.124166666666667,-0.1,0.408987854251012,0.198290598290598,-0.645141065830721,0.219220830848738,0.3,0.413333333333333,-0.1,-0.046593137254902,0.164285714285714,0.15,-0.621505627422594,-0.5,-0.5,-0.568181818181818,-0.2,0,-0.216969696969697,-0.368421052631579,-0.425563909774436,-0.1,-0.3,-0.368421052631579,0.365603448275862,0.277133678018808,0.274940219990435,0.343093220338983,0.46861026739033,0.3,0.1,0.5,0,-0.0873529411764706,-0.418115942028986,-0.1,0.0326262626262626,-0.391666666666667,-0.2,-0.364705882352941,-0.3,-0.164285714285714,-0.439420289855072,-0.0861471861471862,-0.1,-0.0909090909090909,0,-0.1,-0.366666666666667,-0.172931611669058,0.0866666666666667,0.0666666666666667,-0.245454545454545,-0.150980392156863
"CDC42",0.201624187906047,0.0675438596491228,0.133333333333333,0.309321582291453,0.193915343915344,-0.27150974025974,0.197141150366957,0.242857142857143,0.353501400560224,0.1,0.0119097222222222,0.107948717948718,0.0833333333333333,-0.365662080512484,-0.301089324618736,-0.301089324618736,-0.338894202667517,-0.26,-0.2,-0.212840722495895,-0.333173173173173,-0.354955351390995,-0.26,-0.300740740740741,-0.33495126705653,0.402081713906531,0.24897687981687,0.182952842153811,0.341307620817639,0.37014053657618,0.300740740740741,0.2,0.301089324618736,0.1,-0.0298701298701299,-0.277745629897529,-0.3,0.00694762753586283,-0.296526806526807,-0.36,-0.443419307295505,-0.407826086956522,-0.106410256410256,-0.362592309651133,-0.093320816976731,-0.119047619047619,-0.10937019969278,-0.133333333333333,-0.119047619047619,-0.347619047619048,-0.170158345824205,-0.0833333333333333,-0.108333333333333,-0.269444444444444,-0.161174603174603
"NOTCH",0.305072463768116,0.0666666666666667,0.1,0.288163265306122,0.197619047619048,-0.250461511668408,0.194285714285714,0.3,0.337333333333333,0,0.00174122174122175,0.088294930875576,0.18,-0.333250820914372,-0.254545454545455,-0.254545454545455,-0.299472990777339,-0.2,-0.1,-0.179838274932615,-0.293240093240093,-0.325108225108225,-0.2,-0.253846153846154,-0.293240093240093,0.384611793435323,0.225649688737974,0.173993558776167,0.31806402431725,0.34674087816945,0.253846153846154,0.1,0.254545454545455,0,-0.00335593220338983,-0.27,-0.2,0.00510822510822511,-0.272060123784262,-0.3,-0.40952380952381,-0.366666666666667,-0.165714285714286,-0.343784946236559,-0.0888763197586727,-0.108333333333333,-0.100641025641026,-0.1,-0.133333333333333,-0.333333333333333,-0.16304347826087,-0.1,-0.133333333333333,-0.235789473684211,-0.151932367149758
"NFB",0.291034571723426,-0.0951437151437152,-0.0857142857142857,0.360786234571095,0.286585533553355,-0.62545464339582,0.292161741731794,0.383333333333333,0.421260606060606,-0.1,-0.114991043716105,0.145879998138063,0.132034632034632,-0.570224100932908,-0.512591702666087,-0.512591702666087,-0.557367822069072,-0.347008547008547,-0.277777777777778,-0.260106382978723,-0.43789077212806,-0.466582755250423,-0.347008547008547,-0.397777777777778,-0.438227215980025,0.617697117529865,0.34655596068394,0.247190677844035,0.452319452653321,0.488778833681796,0.397777777777778,0.277777777777778,0.512591702666087,0.2,0.00677404295051353,-0.34976762289844,-0.2,0.0311003108717544,-0.363198823034889,-0.276,-0.366457516339869,-0.322666666666667,-0.133621933621934,-0.434551745301112,-0.0944353659850129,-0.121481481481481,-0.107688378033206,-0.16,-0.14,-0.406060606060606,-0.15595258260594,0.0595881595881596,0.019047619047619,-0.275654577620522,-0.136721611721612
"GLI",0.118274425065597,0.000374261546723947,0.05,0.258548116615067,0.119392148251018,-0.374549492360115,0.123716472575343,0.19,0.201624376491,0.0833333333333333,-0.0514131377286877,0.0313347859037514,0.0228824049513705,-0.373015085207569,-0.211413124719717,-0.211413124719717,-0.2345814415514,-0.289032258064516,-0.16,-0.214432367149758,-0.336551181529613,-0.351161571140003,-0.189032258064516,-0.216091081593928,-0.336942145423715,0.399748673631734,0.239743878140894,0.168011350059737,0.331222221630842,0.361741367912268,0.315861526357199,0.26,0.211413124719717,0.2,-0.0322634204128262,-0.23695759685293,-0.182857142857143,0.00923961487428979,-0.24191353168513,-0.22452380952381,-0.269253665303389,-0.246601731601732,-0.0303824049513705,-0.208918494138059,-0.123898757033678,-0.139880952380952,-0.13171768707483,-0.152380952380952,-0.139880952380952,-0.193448275862069,-0.155688940092166,-0.0175617615467239,-0.0236842105263158,-0.041486036087806,-0.147831831831832
"Jagged",0.283333333333333,0.1,0,0.294285714285714,0.183333333333333,-0.20727969348659,0.197619047619048,0.2,0.333333333333333,0,0.0202597402597403,0.165714285714286,0.2,-0.300540540540541,-0.2,-0.2,-0.254545454545455,-0.1,0,-0.162857142857143,-0.253846153846154,-0.293240093240093,-0.1,-0.2,-0.253846153846154,0.363976872800402,0.226456140350877,0.170289855072464,0.300786537406256,0.325108225108225,0.2,0,0.2,0,-0.022,-0.25,-0.1,-0.000606060606060606,-0.241025641025641,-0.2,-0.366666666666667,-0.3,-0.18,-0.337333333333333,-0.100641025641026,-0.133333333333333,-0.108333333333333,0,-0.1,-0.3,-0.151932367149758,-0.133333333333333,-0.1,-0.22,-0.138888888888889
