"","GSK3","Csn","ERK","NFB","miR200","AKT","Destcompl","Patched","SHH","PI3K","DELTA","SMO","RAS","KLF4","PAK1","TGFR","Csl","NOTCHic","CDC42","TGF","Jagged","cMet","STAT","TCFLEF","Wnt","SNAI2","cateninnuc","CD44","ZEB2","ZEB1","GLI","LIV1","SNAI1","Frizzled","DSH","SRC","TWIST1","Ecadherin","SOSGRB2","AXIN2","RKIP","cateninmemb","NOTCH","HEY1","SMAD","ILK","IKK","FOXC2","FUS","RAF","cfos","MEK","TrCP","EGR1","SUFU"
"Wnt",-0.303369905956113,0.1,0.0533333333333333,0.2,-0.182121212121212,0.26,-0.266076682389203,0.209090909090909,0.270995670995671,-0.180451127819549,-0.180451127819549,0.2,-0.175905673274094,0.329411764705882,-0.1,-0.16,-0.1,-0.0571428571428571,-0.166666666666667,-0.181739130434783,0.106936274509804,0.15,0.1,0.155451127819549,0.15,0.0843965517241379,0.148166359607628,0.144736842105263,-0.341606886657102,-0.341606886657102,0.144736842105263,0,-0.343633540372671,-0.2,-0.2,-0.1,-0.152352941176471,0.0952839908583418,-0.112121212121212,-0.192121212121212,-0.301666666666667,0.127754237288136,0.0654761904761905,-0.289230769230769,-0.310574438481415,-0.28034188034188,-0.26,-0.398461538461538,-0.1,0.180451127819549,-0.0333333333333333,-0.0709803921568627,-0.1,0,0
"PI3K",-0.322498797498798,0.1,0.0509803921568627,0.166666666666667,-0.177911480780333,0.188989441930618,-0.28952726093732,0.246153846153846,0.265598290598291,-0.224138528138528,-0.224138528138528,0.2,-0.214549487042638,0.322149122807018,-0.15,-0.160117647058824,-0.075,-0.0826923076923077,-0.144117647058824,-0.16418268770923,0.10280701754386,0.13768115942029,0.1,0.144495587929634,0.13768115942029,0.0716327727937134,0.150887340506953,0.148450390189521,-0.32811350763588,-0.32811350763588,0.148450390189521,0.1,-0.316099033816425,-0.133333333333333,-0.1,-0.133333333333333,-0.132815169308398,0.130151685001279,-0.0784615384615385,-0.192952380952381,-0.292065287653523,0.133637196889867,0.073014888337469,-0.28656038744829,-0.286671788715486,-0.279471788715486,-0.16078431372549,-0.38662950058072,-0.2,0.224138528138528,-0.0333333333333333,-0.0624558019929283,0,-0.0333333333333333,-0.1
"ILK",-0.322498797498798,0.1,0.0509803921568627,0.166666666666667,-0.177911480780333,0.188989441930618,-0.28952726093732,0.246153846153846,0.265598290598291,-0.224138528138528,-0.224138528138528,0.2,-0.214549487042638,0.322149122807018,-0.15,-0.160117647058824,-0.075,-0.0826923076923077,-0.144117647058824,-0.16418268770923,0.10280701754386,0.13768115942029,0.1,0.144495587929634,0.13768115942029,0.0716327727937134,0.150887340506953,0.148450390189521,-0.32811350763588,-0.32811350763588,0.148450390189521,0.1,-0.316099033816425,-0.133333333333333,-0.1,-0.133333333333333,-0.132815169308398,0.130151685001279,-0.0784615384615385,-0.192952380952381,-0.292065287653523,0.133637196889867,0.073014888337469,-0.28656038744829,-0.286671788715486,-0.279471788715486,-0.16078431372549,-0.38662950058072,-0.2,0.224138528138528,-0.0333333333333333,-0.0624558019929283,0,-0.0333333333333333,-0.1
"Patched",-0.172161172161172,0,0.06,0.1,-0.180952380952381,0.221428571428571,-0.20035964035964,-0.106666666666667,-0.0941666666666667,-0.211538461538462,-0.211538461538462,-0.0666666666666667,-0.211538461538462,0.283333333333333,0.1,0,0,0,0,-0.025,0.137989417989418,-0.05,-0.1,-0.0455555555555556,-0.15,0.0358927203065134,-0.0523516720604099,-0.0566666666666667,-0.325,-0.325,-0.15,-0.1,-0.260752688172043,0.2,0.2,0.1,-0.168518518518519,-0.0195765911542611,0.05,0.219047619047619,-0.274285714285714,-0.0852329749103943,0.00909090909090909,-0.125641025641026,-0.193333333333333,-0.133333333333333,-0.15,-0.37,0.1,0.211538461538462,0,-0.0523076923076923,0,-0.1,0
"SMO",-0.157598065365056,0.1,0.0523076923076923,0.15,-0.17209162145871,0.201428571428571,-0.199584446561191,-0.0941666666666667,-0.0608333333333334,-0.211538461538462,-0.211538461538462,-0.106666666666667,-0.204561717352415,0.308333333333333,0,-0.025,0,-0.00909090909090909,0,-0.00878378378378378,0.152275132275132,-0.0566666666666667,-0.1,-0.0523516720604099,-0.15,0.0358927203065134,-0.0500960329626656,-0.0455555555555556,-0.319915254237288,-0.319915254237288,-0.138888888888889,-0.1,-0.279800307219662,0.15,0.2,0.05,-0.150871459694989,-0.0221596169845194,0.0447368421052632,0.212151067323481,-0.263174603174603,-0.0910582176288409,-0.00590909090909091,-0.187545787545788,-0.207619047619048,-0.193333333333333,-0.221428571428571,-0.366551724137931,0.0666666666666667,0.211538461538462,-0.06,-0.0735198135198135,0,0,0.1
"NOTCH",0.0286050156739812,0.1,0.293333333333333,0.2,-0.160606060606061,0.2,-0.0746417926604842,0.203846153846154,0.233257918552036,-0.00424242424242424,-0.00424242424242424,0.15,0.0203952569169961,0.318599033816425,-0.1,-0.0786666666666667,0.1,0.0571428571428571,-0.0666666666666667,-0.0754408602150538,0.189466089466089,-0.0476923076923077,-0.1,-0.0556177156177156,-0.0476923076923077,0.0628133304603893,-0.0405156748013891,-0.0325407925407925,-0.318599033816425,-0.318599033816425,-0.0325407925407925,0,-0.307692307692308,0.04,0.1,0.04,-0.192135593220339,0.0760622524052066,-0.184210526315789,0.0762803234501348,-0.318037135278515,0.0590042683516616,-0.179723502304147,-0.355797101449275,-0.269047619047619,-0.269047619047619,-0.188888888888889,-0.402040816326531,-0.2,0.00424242424242424,-0.26,-0.321904761904762,0,-0.2,-0.1
"CDC42",0.080784632034632,0.2,0.341739130434783,0.175,-0.157011289364231,0.208552631578947,-0.0571037205739106,0.242626728110599,0.241392160209364,0.0648692810457516,0.0648692810457516,0.207142857142857,0.0587717200701419,0.30631746031746,0.0142857142857143,-0.0868347338935574,0.166666666666667,0.18974358974359,-0.080952380952381,-0.091380188439012,0.212430555555556,-0.0462962962962963,-0.05,-0.0523439280865023,-0.0462962962962963,0.0697800739406579,-0.0608624466050209,-0.0652152152152152,-0.311666474499404,-0.311666474499404,-0.0673489278752437,-0.1,-0.281355690722779,0.05,0.05,0.05,-0.210891774891775,0.049817379058964,-0.205555555555556,0.0789162561576355,-0.316293706293706,0.0659359288178409,-0.20974358974359,-0.245452273863069,-0.260505205666496,-0.265343915343915,-0.1875,-0.392631003620961,-0.157142857142857,-0.0648692810457516,-0.32,-0.353603537214444,-0.1,-0.26,-0.2
"PAK1",0.0880573593073593,0.175,0.353603537214444,0.1875,-0.153457989871845,0.195589668615984,-0.0574044724536098,0.241392160209364,0.230392160209365,0.0587717200701419,0.0587717200701419,0.242626728110599,0.0660444473428692,0.311235493104346,-0.080952380952381,-0.091380188439012,0.18974358974359,0.20974358974359,-0.0868347338935574,-0.0793583305155147,0.20261460463531,-0.0652152152152152,-0.05,-0.0608624466050209,-0.0673489278752437,0.0632701281902058,-0.0572762397084691,-0.0523439280865023,-0.308129497007443,-0.308129497007443,-0.0561294156801217,-0.05,-0.285412969959056,0.0462962962962963,0.05,0.0462962962962963,-0.200565687935253,0.0551460987821474,-0.212486248624862,0.074513740434365,-0.311321330603099,0.058060470942383,-0.222930402930403,-0.243981685627774,-0.262440689537464,-0.260505205666496,-0.208552631578947,-0.392631003620961,-0.207142857142857,-0.0587717200701419,-0.341739130434783,-0.366936870547777,-0.2,-0.32,-0.157142857142857
"SHH",-0.176923076923077,0,0,0,-0.166666666666667,0.15,-0.208051948051948,-0.0666666666666667,-0.106666666666667,-0.25,-0.25,-0.1,-0.211538461538462,0.25,0,0,0.1,0,0.1,0,0.134285714285714,-0.1,-0.1,-0.0566666666666667,-0.2,0.0345593869731801,-0.0455555555555556,-0.05,-0.3,-0.3,-0.15,0,-0.283333333333333,0.2,0.2,0.1,-0.15,-0.0147222222222222,0.05,0.219047619047619,-0.26,-0.0963440860215054,0,-0.133333333333333,-0.133333333333333,-0.133333333333333,-0.1,-0.35,0,0.25,-0.1,-0.06,0,0,0
"SRC",-0.0803463203463203,-0.05,0.409090909090909,-0.0166666666666667,-0.149155321329234,-0.0145299145299145,-0.111476349737219,0.087037037037037,0.09880174291939,0.0426199415936587,0.0426199415936587,0.0833333333333333,0.0456502446239618,0.178294573643411,-0.0444444444444444,-0.0849206349206349,0.17,0.155714285714286,-0.0944444444444444,-0.0849206349206349,0.092559985885674,-0.065,-0.2,-0.0698380647740904,-0.065,0.0470696089747942,-0.0651400781969092,-0.0600819672131148,-0.27529200359389,-0.27529200359389,-0.0600819672131148,-0.2,-0.26416956175801,0.075,0.1,0.075,-0.202734621700139,0.196017174546586,-0.291428571428571,0.108043265757151,-0.393548387096774,0.110624158060171,-0.152142857142857,-0.104170804369414,-0.157687292555714,-0.140570175438596,0.00897435897435898,-0.370732959850607,-0.0833333333333333,-0.0426199415936587,-0.342424242424242,-0.403430531732419,0.1,-0.333333333333333,-0.0333333333333333
