"","SOSGRB2","PI3K","DELTA","RAS","GSK3","NOTCH","NOTCHic","Jagged","IKK","Csl","SNAI2","HEY1","Ecadherin","cateninmemb","NFB","Wnt","SNAI1","cMet","CD44","cfos","Csn","TCFLEF","EGR1","cateninnuc","Destcompl","Patched","TrCP","SHH","RKIP","DSH","AXIN2","STAT","FUS","SMO","SRC","GLI","TWIST1","Frizzled","SUFU","MEK","ERK","FOXC2","SMAD","ILK","LIV1","AKT","RAF","TGF","TGFR","CDC42","PAK1","ZEB2","miR200","KLF4","ZEB1"
"SNAI2",-0.373191345503719,0.304657479849271,0.304657479849271,0.292328712725983,0.303602727867365,0.338157894736842,0.338157894736842,0.279857837784535,0.306034482758621,0.322368421052632,0.0111095103054473,0.0951778179626281,0.256651129743819,0.307317593851366,0.275,0.274596670934699,0.293264737038605,0.274596670934699,0.25739236985943,0.207843137254902,0.2,0.241928452333657,0.166666666666667,0.231990564134899,0.292282735780223,0.255678271308523,0.1,0.243002214970495,-0.268051282051282,0.287272727272727,0.330991041433371,0.287272727272727,0.26,0.265882352941176,-0.287272727272727,-0.25694961211117,0.340158572383384,-0.287272727272727,0.2,-0.212241653418124,-0.217647058823529,0.0906145624100192,-0.0750820713756221,-0.0698189134808853,0.26,-0.316877856252597,-0.304657479849271,0.343901707840327,0.34203835380306,0.324089635854342,0.276470588235294,-0.153344661212503,0.236861602028597,-0.175576923076923,0.306204111600587
"cfos",-0.0194444444444444,0.267755991285403,0.267755991285403,0.259219405919549,0.216122835497835,0.08,0.0692307692307692,0.0413888888888889,0.0333333333333333,0,-0.0505671943628148,-0.0246126936531734,0.218442119328412,0.281941718238905,-0.0416666666666667,0.263703703703704,0.0392953038522659,0.263703703703704,0.255595595595596,0.12,-0.0666666666666667,0.244704506486685,0.2,0.237667469449648,0.285386963258769,0.109984639016897,-0.1,0.103811799510724,0.00193473193473193,0.2,0.307077175697865,0.2,0.080952380952381,0.080952380952381,-0.26,-0.25317738791423,0.0974632034632035,-0.26,0.0666666666666667,-0.133264554163596,-0.141739130434783,-0.0314463346314135,0.0214541730670763,0.0198412698412698,0.1,-0.0491228070175439,-0.267755991285403,0.0357142857142857,0.019047619047619,-0.0142857142857143,-0.0571428571428571,-0.115911449325493,-0.181542313895255,-0.096,-0.174637764710404
"KLF4",-0.333662092624357,0.243589743589744,0.243589743589744,0.228148567119155,0.249168903314068,0.277994376757263,0.287272727272727,0.207125528145018,0.274285714285714,0.287272727272727,-0.301006232385779,0.0849961802902979,0.0620426662609851,0.219172092586727,0.26,0.194756041951664,0.242090225827139,0.194756041951664,0.174756041951664,0.187272727272727,0.2,0.160374771048654,0.16,0.153774521982652,0.234620892535423,0.197916666666667,0.1,0.183938172043011,-0.223191094619666,0.233333333333333,0.25739236985943,0.233333333333333,0.233333333333333,0.216666666666667,-0.215686274509804,-0.174066386779251,0.27958605664488,-0.215686274509804,0.2,-0.167988312475881,-0.181390374331551,0.0554860971073917,-0.0627826086956522,-0.0613333333333333,0.233333333333333,-0.274285714285714,-0.243589743589744,0.285652623798965,0.292969696969697,0.291636363636364,0.263636363636364,-0.109499484004128,0.204639804639805,-0.137037037037037,0.268008255933953
"HEY1",-0.333662092624357,0.243589743589744,0.243589743589744,0.228148567119155,0.249168903314068,0.277994376757263,0.287272727272727,0.207125528145018,0.274285714285714,0.287272727272727,-0.301006232385779,0.0849961802902979,0.0620426662609851,0.219172092586727,0.26,0.194756041951664,0.242090225827139,0.194756041951664,0.174756041951664,0.187272727272727,0.2,0.160374771048654,0.16,0.153774521982652,0.234620892535423,0.197916666666667,0.1,0.183938172043011,-0.223191094619666,0.233333333333333,0.25739236985943,0.233333333333333,0.233333333333333,0.216666666666667,-0.215686274509804,-0.174066386779251,0.27958605664488,-0.215686274509804,0.2,-0.167988312475881,-0.181390374331551,0.0554860971073917,-0.0627826086956522,-0.0613333333333333,0.233333333333333,-0.274285714285714,-0.243589743589744,0.285652623798965,0.292969696969697,0.291636363636364,0.263636363636364,-0.109499484004128,0.204639804639805,-0.137037037037037,0.268008255933953
"FOXC2",-0.333662092624357,0.243589743589744,0.243589743589744,0.228148567119155,0.249168903314068,0.277994376757263,0.287272727272727,0.207125528145018,0.274285714285714,0.287272727272727,-0.301006232385779,0.0849961802902979,0.0620426662609851,0.219172092586727,0.26,0.194756041951664,0.242090225827139,0.194756041951664,0.174756041951664,0.187272727272727,0.2,0.160374771048654,0.16,0.153774521982652,0.234620892535423,0.197916666666667,0.1,0.183938172043011,-0.223191094619666,0.233333333333333,0.25739236985943,0.233333333333333,0.233333333333333,0.216666666666667,-0.215686274509804,-0.174066386779251,0.27958605664488,-0.215686274509804,0.2,-0.167988312475881,-0.181390374331551,0.0554860971073917,-0.0627826086956522,-0.0613333333333333,0.233333333333333,-0.274285714285714,-0.243589743589744,0.285652623798965,0.292969696969697,0.291636363636364,0.263636363636364,-0.109499484004128,0.204639804639805,-0.137037037037037,0.268008255933953
"EGR1",-0.0422167216721672,0.259219405919549,0.259219405919549,0.252401224101368,0.212122835497835,0.0843956043956044,0.08,0.0340269256987048,0.0491228070175439,0.0692307692307692,-0.0493013715780047,-0.0216715171825852,0.212836582996232,0.271135857433045,0.0333333333333333,0.25317738791423,0.0419206021816215,0.255595595595596,0.244704506486685,0.141739130434783,-0.0416666666666667,0.237667469449648,0.12,0.230908848759992,0.281627564762529,0.103811799510724,-0.0666666666666667,0.100811799510724,0.00138224574688663,0.26,0.302045729156985,0.26,0.080952380952381,0.109984639016897,-0.263703703703704,-0.242933485475206,0.0936588556371165,-0.263703703703704,0.080952380952381,-0.139931220830263,-0.133264554163596,-0.0286877139417584,0.0130670762928828,0.0214541730670763,0.2,-0.0620857699805068,-0.259219405919549,0.0389929742388759,0.0357142857142857,0.019047619047619,-0.0142857142857143,-0.10787286411649,-0.183572770748047,-0.120590163934426,-0.162740658601079
"Ecadherin",-0.327083145255936,0.228148567119155,0.228148567119155,0.217254712370552,0.241442633998395,0.264983224340906,0.277994376757263,0.19774337711527,0.274285714285714,0.287272727272727,-0.292517370254533,0.0883518849882845,-0.0368862529210987,0.213531066945701,0.274285714285714,0.174066386779251,0.234495289118278,0.174756041951664,0.160374771048654,0.181390374331551,0.26,0.153774521982652,0.187272727272727,0.152000479032138,0.228749503905414,0.183938172043011,0.2,0.17370195157057,-0.218322180761988,0.215686274509804,0.241928452333657,0.215686274509804,0.216666666666667,0.197916666666667,-0.194756041951664,-0.159399720112584,0.2693439709838,-0.194756041951664,0.233333333333333,-0.157400077181763,-0.167988312475881,0.0538842664437762,-0.0615719549426255,-0.0627826086956522,0.233333333333333,-0.266493506493507,-0.228148567119155,0.274621882388477,0.285652623798965,0.292969696969697,0.291636363636364,-0.102390479264791,0.205198463857682,-0.130707923112986,0.268008255933953
"cateninmemb",-0.327083145255936,0.228148567119155,0.228148567119155,0.217254712370552,0.241442633998395,0.264983224340906,0.277994376757263,0.19774337711527,0.274285714285714,0.287272727272727,-0.292517370254533,0.0883518849882845,-0.0282025881207397,0.118534561408435,0.274285714285714,0.174066386779251,0.234495289118278,0.174756041951664,0.160374771048654,0.181390374331551,0.26,0.153774521982652,0.187272727272727,0.152000479032138,0.228749503905414,0.183938172043011,0.2,0.17370195157057,-0.218322180761988,0.215686274509804,0.241928452333657,0.215686274509804,0.216666666666667,0.197916666666667,-0.194756041951664,-0.159399720112584,0.2693439709838,-0.194756041951664,0.233333333333333,-0.157400077181763,-0.167988312475881,0.0538842664437762,-0.0615719549426255,-0.0627826086956522,0.233333333333333,-0.266493506493507,-0.228148567119155,0.274621882388477,0.285652623798965,0.292969696969697,0.291636363636364,-0.102390479264791,0.205198463857682,-0.130707923112986,0.268008255933953
"GLI",0.0273616059456767,0.357698440380687,0.357698440380687,0.354332103747023,0.32129943591972,0.156752557787041,0.149133510167993,0.0970820348649947,0.12218045112782,0.139133510167993,-0.0440271386919814,0.0367473547015143,0.241110264283927,0.289066446430426,0.107894736842105,0.159696394686907,-0.00624426191516103,0.260786782061369,0.253028161371714,0.196428571428571,0.05,0.246209979553532,0.171428571428571,0.239336100294715,0.292775861249534,-0.0582841031149302,0.0166666666666667,-0.0603417162836545,0.0441260956851821,0.16,0.30501056763285,0.26,-0.0732142857142857,-0.0521616541353384,-0.263225806451613,-0.252462352133716,0.0445369457933125,-0.163225806451613,-0.0857142857142857,-0.20341716294755,-0.19512987012987,0.00202173632610939,-0.0388704811357371,-0.0318434541087101,0.2,-0.13624295112782,-0.357698440380687,-0.147653756362662,-0.153536109303839,-0.17051724137931,-0.205,-0.0859348011606076,-0.197674276188208,-0.095014157014157,-0.195236047107015
"SRC",-0.00857142857142857,0.359032123487693,0.359032123487693,0.352971517427087,0.244761904761905,0.222380952380952,0.197380952380952,0.0987702893436838,0.153846153846154,0.145,-0.190774189167779,0.0549569678914267,0.26219930396401,0.306546924113157,0.1,0.27,0.104517085259174,0.27,0.258524590163934,0.0272727272727273,0.1,0.246329468212715,0,0.23581492682569,0.24501353718745,0.0518518518518519,0.1,0.0577342047930283,0.00488758553274683,0.2,0.303468060691062,0.1,0.0333333333333333,0.0333333333333333,-0.25,-0.258524590163934,0.106163950991537,-0.25,0.0333333333333333,-0.0773775490756623,-0.0717171717171717,-0.0673809523809524,-0.0260431484115695,-0.0197368421052632,0,-0.181623931623932,-0.359032123487693,0.0518434343434343,0.0263888888888889,-0.00694444444444444,-0.0444444444444444,-0.0801662174303684,-0.106233347972478,0.0253875968992248,-0.125277029050614
