"","PAK1","CDC42","EGR1","miR200","SOSGRB2","SMO","FUS","SHH","ILK","Patched","Csl","KLF4","AKT","SUFU","RAF","DELTA","RAS","Wnt","LIV1","GLI","cMet","SNAI2","SRC","TCFLEF","CD44","ZEB2","STAT","Ecadherin","GSK3","DSH","ZEB1","cateninnuc","cateninmemb","AXIN2","Frizzled","RKIP","PI3K","Csn","Destcompl","HEY1","NFB","SMAD","IKK","SNAI1","Jagged","NOTCH","TrCP","TWIST1","NOTCHic","ERK","MEK","cfos","TGF","TGFR","FOXC2"
"TWIST1",0.000606060606060599,0.00405433646812956,-0.0933333333333333,0.234353491947036,-0.0759784075573549,0.204,0.2,0.209371482556178,0.0422103922103922,0.210849315068493,0.0140740740740741,0.114373566812591,0.164928292046936,0.233333333333333,-0.0666446098704163,-0.0666446098704163,-0.0652747468567177,-0.141010860484545,-0.1,-0.136210860484545,-0.142063492063492,-0.0884107595414669,-0.142063492063492,-0.141474305301129,-0.137645821380761,-0.127178933319284,-0.114285714285714,-0.0962295106148484,0.175134978382809,0.114285714285714,0.127178933319284,0.144292016629478,0.0489079811333418,0.101529867981481,0.142063492063492,-0.244306418219462,0.0666446098704163,-0.2,0.159711633641747,-0.0412988141801701,-0.161538461538462,-0.0438605572268939,-0.161538461538462,-0.24841192116106,0.0423470996324468,-0.00314035370639145,-0.2,0.0477937143583597,-0.00125356125356126,0.0550038138825324,0.0594814258228309,0.0628985507246377,-0.0099711929601569,-0.00655433646812957,0.00733040402957882
"Destcompl",0.214897959183673,0.216966924700915,0.153333333333333,0.231662048763738,-0.00530579543980337,0.138281335522715,0.132567049808429,0.139117165991441,-0.0267460317460317,0.137763200807689,-0.157775166470819,0.0812291607744482,-0.105112403244881,0.122222222222222,0.090565296246895,0.090565296246895,0.0886814657916359,-0.260092163815207,-0.233333333333333,-0.265843555280885,-0.260609379715902,-0.126957803166152,-0.256131767775603,-0.268497337188811,-0.266579528969633,-0.0882277579548625,-0.254761904761905,-0.141910170657012,0.277245916093358,0.254761904761905,0.0882277579548625,0.269058275485599,-0.173004426287994,0.13118453698012,0.256131767775603,-0.252357043356787,-0.090565296246895,0.114285714285714,0.195897598651156,0.0134863427171119,0.105590062111801,0.0275647451963241,0.101085557607297,-0.286530345804683,0.250984706335174,0.159809670261008,0.1,-0.00345569525935909,0.15560125342734,-0.144540486835569,-0.147494073333459,-0.147272727272727,-0.221734879069595,-0.220651135227231,-0.188706095479897
"AXIN2",0.142916666666667,0.141682098765432,0.1,0.153127115884173,-0.00512530635952796,0.101831501831502,0.0923076923076923,0.101503632979043,-0.0144007361398666,0.101831501831502,-0.0971929824561404,0.0651463994416501,-0.0748792270531401,0.1,0.0732241386220625,0.0732241386220625,0.0711244010892541,-0.125252606255012,-0.1,-0.128397260343062,-0.125252606255012,-0.0856054203984954,-0.126976744186046,-0.13118453698012,-0.128722637800753,-0.0687282056545308,-0.12,-0.100395176244533,0.129597009524927,0.12,0.0687282056545308,0.131487174247738,-0.0834891985975575,-0.0222387245968421,0.126976744186046,-0.125332919768404,-0.0732241386220625,0.0777777777777778,0.137423318249161,0.00836589994805005,0.0821256038647343,0.014797561536692,0.0748792270531401,-0.137628225207495,0.123555786164482,0.0947315924947504,0.0666666666666667,-0.00270879272231537,0.0954072681704261,-0.091748347390016,-0.0903690370451884,-0.0926829268292683,-0.145102175286359,-0.143452010269857,-0.12462712931097
"GLI",-0.238333333333333,-0.231436781609195,-0.265714285714286,-0.0392795336758185,-0.0371286825269126,-0.0476190476190476,-0.0476190476190476,-0.0545813387083228,0.0489403631194676,-0.0517006802721089,0.0906808134394341,0.069950235950236,0.0736838375701158,-0.0476190476190476,-0.108410982111715,-0.108410982111715,-0.114945635577061,0.177912713472486,0.1,0.073231862408656,0.0969944925255704,-0.00122021851470729,0.0896774193548387,0.0905233774337657,0.091822078732467,-0.0585797064345452,0.08,0.0727008266257925,-0.0762350008132272,-0.16,0.0585797064345452,-0.0933327020004124,-0.0579065065254848,-0.0797025966183575,-0.169677419354839,0.00297652364186625,0.108410982111715,-0.0944444444444444,-0.104528439920761,-0.0417579873437259,-0.0891812865497076,-0.0489403631194676,-0.0830588375701158,0.0368814307403875,-0.0710213159229198,-0.0878236705822913,-0.0833333333333333,0.0329860311354369,-0.0906808134394341,0.242554112554113,0.236476764487814,0.249047619047619,0.22695287483894,0.225776404250705,0.113940273477812
"cateninnuc",0.173142857142857,0.182373626373626,-0.0123188405797101,0.205999673655642,-0.0557603510981478,0.131693989071038,0.133333333333333,0.136324633599381,-0.0387359307359307,0.13479957913315,-0.101381042059008,0.0326269124311829,-0.0235179924242424,0.133333333333333,-0.00192604692604693,-0.00192604692604693,-0.00142099642099642,-0.241730737993394,-0.227272727272727,-0.245288050246359,-0.243214756258235,-0.0746769061404325,-0.235606060606061,-0.248055789011889,-0.246786184829663,-0.0545397015487044,-0.227272727272727,-0.144448156916681,0.274866522575464,0.227272727272727,0.0545397015487044,0.148635739301864,-0.114549766451166,0.0800213948716779,0.23412204234122,-0.249365692206883,0.00192604692604693,0.00833333333333333,0.272706128799176,0.0241079731878661,0.0174242424242424,0.0399637615681272,0.0274242424242424,-0.258921977535044,0.241116844911996,0.111592458549494,0.0333333333333333,0.101600972128846,0.110683367640404,0.00249364467856488,0.00341107587122543,0.00755693581780538,-0.184040042074073,-0.182948339017305,-0.0736307080897245
"CD44",0.133333333333333,0.0733333333333333,0.2,0.0912823891084761,0.0285714285714286,0.15,0.1,0.119090909090909,0.116666666666667,0.11,0.1,0.13968253968254,0.16,0.1,-0.0904761904761905,-0.0904761904761905,-0.0819047619047619,0.05,0.1,0.0166666666666667,0.15,-0.0245443445443445,0.2,0.0189922480620155,0.0166666666666667,-0.053968253968254,0.1,-0.0118749321463468,-0.0827380952380952,0,0.053968253968254,-0.0112999403697078,-0.026996336996337,-0.03,-0.1,0.0314814814814815,0.0904761904761905,0,0.205178435010368,-0.128070175438597,-0.1,-0.110544217687075,-0.166666666666667,-0.0462519936204147,-0.106386946386946,-0.155639097744361,0.1,-0.0267399267399267,-0.171428571428571,-0.125,-0.125,-0.125,-0.0663888888888889,-0.0608333333333333,-0.0666666666666667
"Wnt",-0.1,-0.0666666666666667,-0.1,-0.0313131313131313,-0.0575757575757576,0.05,0,0.0361471861471861,0.0145299145299145,0.0409090909090909,0.05,0.0490196078431373,0.0741666666666667,0,0.0300751879699248,0.0300751879699248,0.0118933697881066,-0.1,0,-0.126315789473684,-0.1,-0.0513793103448276,-0.1,-0.122744360902256,-0.126315789473684,-0.0514586322333812,-0.1,0.0295005807200929,0.165909090909091,0,0.0514586322333812,0.116784096001593,-0.0783050847457627,0.0890909090909091,0,-0.11,-0.0300751879699248,-0.1,0.231560267127446,-0.00564102564102564,-0.0666666666666667,-0.0122043331345657,-0.0866666666666667,-0.0880952380952381,0.0379656862745098,-0.0559523809523809,-0.1,0.0605882352941176,-0.0642857142857143,0.0266666666666667,-0.00274509803921568,0.0666666666666667,0.0202898550724638,0.0333333333333333,0.025748987854251
"cMet",0.0733333333333333,0.0608333333333333,0.125,0.106907389108476,0.0152380952380952,0.11,0.15,0.122215909090909,0.110544217687075,0.119090909090909,0.171428571428571,0.153968253968254,0.14125,0.1,-0.0819047619047619,-0.0819047619047619,-0.06303683737646,0.0166666666666667,0.1,0.0212121212121212,0.0166666666666667,-0.0369531036684321,0.15,0.0112999403697078,0.0189922480620155,-0.0468975468975469,0.2,-0.00246017387662666,-0.0859639016897081,-0.1,0.0468975468975469,-0.00452027935275866,-0.026640465110216,-0.0347619047619048,-0.05,0.0166666666666667,0.0819047619047619,-0.1,0.203827083659016,-0.118266253869969,-0.166666666666667,-0.112362399505257,-0.16,-0.0564214851458384,-0.104213033343468,-0.132234842425212,0,-0.0390994773017245,-0.155639097744361,-0.125,-0.152272727272727,-0.125,-0.0748995271867612,-0.0663888888888889,-0.070464135021097
"CDC42",-0.0857142857142857,-0.180952380952381,-0.18,-0.0598124098124098,-0.0555555555555556,0.019047619047619,0.019047619047619,0.01363145019059,0.0285714285714286,0.022273425499232,0.05,0.046952380952381,0.0385964912280702,0.0333333333333333,0.00457516339869281,0.00457516339869281,0.00579467559381476,0.105925925925926,0.1,0.1164522417154,0.105925925925926,-0.00222264353651215,0.08,0.107825845647628,0.116736736736737,-0.0418482647296207,0.1,0.0925183352301811,-0.0220995670995671,-0.1,0.0418482647296207,-0.108566586388369,-0.0577266348018979,-0.0923809523809524,-0.08,0.0209090909090909,-0.00457516339869281,-0.0333333333333333,-0.136690325398559,-0.0255372313843078,-0.0333333333333333,-0.0285714285714286,-0.0333333333333333,0.0653109759438873,-0.0576388888888889,-0.0561538461538462,0,0.0372900432900433,-0.0423076923076923,0.14695652173913,0.152041267501842,0.16,0.175961293608352,0.178991596638655,0.152747147639544
"SMAD",-0.226190476190476,-0.227598926894702,-0.171428571428571,-0.08360513204598,-0.0656388642413487,-0.0816666666666667,-0.0916666666666667,-0.0940127667314667,-0.0674304690743047,-0.0899235474006116,-0.0476190476190476,0.0507024007824881,-0.0667357609710551,-0.0916666666666667,-0.0541651070908713,-0.0541651070908713,-0.0633756334066608,0.105189255189255,0.12,0.097275586124507,0.125415499533147,-0.00435015259580229,0.113650793650794,0.118001659641695,0.11705186316951,-0.0401555127138602,0.0914285714285714,0.085373325403919,-0.115011337868481,-0.0714285714285714,0.0401555127138602,-0.122054344545443,-0.0421507585464837,-0.0858257939431659,-0.0936507936507937,0.0504837646458418,0.0541651070908713,0.0611111111111111,-0.0723410216814337,0.0557704547061735,0.0658730158730159,-0.0335219118780763,0.0560690943043884,0.0950819646303517,0.0333868174835917,0.034263820470717,0.05,0.0700019020926118,0.0326765188834154,0.164076733469082,0.157345964238312,0.161751152073733,0.22528193786757,0.223688312369562,0.201519818451847
