"","ZEB2","TGF","PAK1","TGFR","SRC","AXIN2","TCFLEF","Destcompl","GLI","Ecadherin","CD44","cateninnuc","cMet","FUS","PI3K","STAT","Jagged","NOTCHic","NOTCH","RKIP","SMO","SMAD","SOSGRB2","Csl","SHH","cfos","Csn","Patched","ZEB1","TrCP","SUFU","LIV1","EGR1","IKK","NFB","ERK","GSK3","SNAI1","KLF4","AKT","MEK","ILK","HEY1","miR200","TWIST1","RAS","RAF","DELTA","DSH","Wnt","cateninmemb","FOXC2","Frizzled","CDC42","SNAI2"
"ZEB2",-0.111304648092097,-0.0777475434618292,-0.0753246753246753,-0.0751020408163265,-0.0666666666666667,-0.061178278604769,-0.0535430909040991,-0.0534722535539698,-0.0527140138149312,-0.0504024887190599,-0.049317738791423,-0.0483482857092939,-0.0456140350877193,-0.0428571428571429,-0.0418398268398268,-0.04,-0.0337813540432255,-0.0299487179487179,-0.0261235813366961,-0.0250885668276973,-0.0228571428571429,-0.0194795854551952,-0.018956043956044,-0.0179487179487179,-0.0164048146974976,-0.0157894736842105,-0.0111111111111111,-0.00822299651567944,-0.00443668854131394,0,0,0,0,0.000833333333333333,0.00138888888888889,0.00288624787775891,0.00358463681485876,0.00553217355768935,0.00862409319621052,0.00924454828660436,0.0126423454387345,0.0182600732600733,0.0222253552898714,0.0240863216396854,0.0391871994632274,0.0399126319790131,0.0418398268398268,0.0418398268398268,0.0454545454545455,0.049044289044289,0.0525295945647522,0.0645609945609946,0.0721212121212121,0.0771428571428572,0.0827603839896144
"Jagged",-0.101932367149758,0.207111111111111,0.2,0.211111111111111,-0.1,-0.0471428571428571,-0.0167832167832168,-0.0584401544401544,-0.00769230769230769,0.0436491228070175,-0.00769230769230769,-0.0024975024975025,0,0,0.06,0,0.0388744588744589,0.08,0.108571428571429,0.143589743589744,0.0333333333333333,0.0714285714285714,0.16,0.1,0.0448717948717949,0,0,0.0833333333333333,0.306763285024155,0,0,0,-0.1,-0.0333333333333333,0,-0.02,-0.0103448275862069,0.15,0.0888888888888889,-0.0222222222222222,0.0133333333333333,-0.0666666666666667,-0.166666666666667,0.209090909090909,-0.096,-0.0509090909090909,-0.06,-0.06,0,0,0.0161057252606548,-0.00428571428571428,0.1,-0.2,-0.142357968828557
"DELTA",-0.101932367149758,0.207111111111111,0.2,0.211111111111111,-0.1,-0.0471428571428571,-0.0167832167832168,-0.0584401544401544,-0.00769230769230769,0.0436491228070175,-0.00769230769230769,-0.0024975024975025,0,0,0.06,0,0.0388744588744589,0.08,0.108571428571429,0.143589743589744,0.0333333333333333,0.0714285714285714,0.16,0.1,0.0448717948717949,0,0,0.0833333333333333,0.306763285024155,0,0,0,-0.1,-0.0333333333333333,0,-0.02,-0.0103448275862069,0.15,0.0888888888888889,-0.0222222222222222,0.0133333333333333,-0.0666666666666667,-0.166666666666667,0.209090909090909,-0.096,-0.0509090909090909,-0.06,-0.06,0,0,0.0161057252606548,-0.00428571428571428,0.1,-0.2,-0.142357968828557
"GLI",-0.100634749957331,0.281640680214832,0.266666666666667,0.282346562567773,-0.0232258064516129,-0.0362152777777778,-0.0321168313224527,-0.0138013192458902,-0.0692833784165691,0.0347574246756986,-0.0285454027510242,-0.0299052353870074,-0.020786782061369,-0.0696428571428571,0.0760426528476755,-0.02,0.0178040645131989,-0.00452696728558797,-0.00547934823796893,0.104901146519816,-0.0643796992481203,0.0463507950868616,0.320999885070682,-0.00452696728558797,-0.062322086079396,-0.125952380952381,-0.0222222222222222,-0.0643796992481203,0.298610513739546,-0.0333333333333333,-0.0571428571428571,0,0.134285714285714,-0.0061343835779926,0.00409356725146199,0.111666666666667,0.147702192153045,0.113063899609885,0.099033033033033,-0.0030093835779926,0.118848987108656,-0.04472917346524,-0.0428534067328634,0.200241667517209,-0.0905176289471706,-0.0802010686892597,-0.0760426528476755,-0.0760426528476755,-0.04,-0.0379506641366224,0.00987556991233976,-0.000954807361541107,-0.0367741935483871,-0.280459770114942,-0.170239721928347
"SMAD",-0.0995313427022271,0.192372070194842,0.183333333333333,0.193168882943846,0,-0.0261920778818623,0.00596131641258946,-0.0716400514051792,0.0103348090758163,0.0416475554580051,0.0101675579322638,0.0083929273548387,0.00980392156862745,0.145833333333333,0.169521238586741,0,0.149688311688312,0.10495894909688,0.105752599890531,0.133856538341196,0.145833333333333,0.0675911759473403,0.132837917775806,0.103809523809524,0.142313671657401,-0.0382488479262673,0.0888888888888889,0.144915902140673,0.294040622904076,0.1,0.183333333333333,0,0.0285714285714286,-0.105135387488329,0.103174603174603,0.0266209409495231,-0.143105382503879,0.119615025207767,0.0965031089930981,-0.0998020541549953,0.0323901717187539,-0.16711498547115,-0.183446479504043,0.195985433152062,-0.0928724719340433,-0.168534396481478,-0.169521238586741,-0.169521238586741,0,-0.00961538461538462,0.0256173914541558,-0.0187123200347215,0,-0.19037558685446,-0.155669104163723
"Csl",-0.0961701408350459,0.219292971732902,0.207111111111111,0.219973243841746,-0.0167832167832168,-0.0404392468536136,-0.0114147793319004,-0.0512027906262047,-0.006836980224077,0.0412741358749859,-0.00698729841586985,-0.00792707207060821,-0.0024975024975025,0.0448717948717949,0.0535506272837607,-0.00769230769230769,0.0416966933606006,0.0182488479262673,0.0191579388353582,0.166199484347975,0.0507541478129713,0.0746979559209775,0.147172754502665,0.0182488479262673,0.049669609436998,-0.0204761904761905,0.0222222222222222,0.0539799542645842,0.325633757706782,0.0333333333333333,0.0833333333333333,0,0.0133333333333333,-0.051421188630491,0.0444444444444444,-0.00238095238095238,-0.00258365717274033,0.150389111693459,0.0926466528640442,-0.0428940568475452,0.00740165631469979,-0.0735868448098664,-0.174051194613854,0.220794591206016,-0.107241708241263,-0.0550212155190548,-0.0535506272837607,-0.0535506272837607,0.00769230769230769,0.00280472215956087,0.0171855708313243,0.00681429857816319,0.0167832167832168,-0.21678853046595,-0.147222546889192
"TrCP",-0.0941720921478479,0.236349860361432,0.219047619047619,0.235803412274,-0.0237037037037037,-0.0289525048796357,-0.0237766479350638,-0.0236702752732454,-0.0204944610849617,0.0382069056289547,-0.0208136849721008,-0.0210180272454086,-0.0128928928928929,0.0428571428571429,0.0418141240235932,-0.02,0.0514579072937969,0.0425641025641026,0.0436630036630037,0.184440752617548,0.0525345622119816,0.0765898617511521,0.143041804180418,0.041025641025641,0.0517691301132161,0.00434782608695652,0.0333333333333333,0.0537691301132161,0.342453344445668,0.0333333333333333,0.0761904761904762,0,0,-0.0635964912280702,0.0583333333333333,-0.0263817243920413,0.0461899350649351,0.16923302692494,0.0931262034868592,-0.0580409356725146,-0.0170483910587079,-0.0746543778801843,-0.0768968456947997,0.23402680561534,-0.114335215509129,-0.0454504876599568,-0.0418141240235932,-0.0418141240235932,0.02,0.01317738791423,0.0117583201918792,0.024193576505455,0.0237037037037037,-0.232773109243697,-0.194177223189512
"LIV1",-0.0941720921478479,0.236349860361432,0.219047619047619,0.235803412274,-0.0237037037037037,-0.0289525048796357,-0.0237766479350638,-0.0236702752732454,-0.0204944610849617,0.0382069056289547,-0.0208136849721008,-0.0210180272454086,-0.0128928928928929,0.0428571428571429,0.0418141240235932,-0.02,0.0514579072937969,0.0425641025641026,0.0436630036630037,0.184440752617548,0.0525345622119816,0.0765898617511521,0.143041804180418,0.041025641025641,0.0517691301132161,0.00434782608695652,0.0333333333333333,0.0537691301132161,0.342453344445668,0.0333333333333333,0.0761904761904762,0,0,-0.0635964912280702,0.0583333333333333,-0.0263817243920413,0.0461899350649351,0.16923302692494,0.0931262034868592,-0.0580409356725146,-0.0170483910587079,-0.0746543778801843,-0.0768968456947997,0.23402680561534,-0.114335215509129,-0.0454504876599568,-0.0418141240235932,-0.0418141240235932,0.02,0.01317738791423,0.0117583201918792,0.024193576505455,0.0237037037037037,-0.232773109243697,-0.194177223189512
"NOTCHic",-0.0923027375201288,0.219973243841746,0.211111111111111,0.21678853046595,-0.00769230769230769,-0.040696316262354,-0.00698729841586985,-0.0508980983653881,-0.00280472215956087,0.042088089363358,-0.0024975024975025,-0.0114147793319004,-0.0167832167832168,0.0833333333333333,0.0668511198945982,0,0.043780026693934,0.0182488479262673,0.0182488479262673,0.167581972827237,0.0448717948717949,0.0735868448098664,0.13822966507177,0.108571428571429,0.0539799542645842,-0.0133333333333333,0.0333333333333333,0.0507541478129713,0.32231884057971,0,0.0333333333333333,0.1,-0.02,-0.0444444444444444,0.0222222222222222,0.0204761904761905,-0.00332003419777714,0.144855514855515,0.0840752242926156,-0.051421188630491,-0.00238095238095238,-0.0714285714285714,-0.169476031215162,0.222319645672247,-0.105210105532459,-0.0535506272837607,-0.0668511198945982,-0.0668511198945982,0,0.0167832167832168,0.0234546839811714,0.00279131007241607,0.00769230769230769,-0.207111111111111,-0.149981681863092
"cfos",-0.091921288289327,0.235803412274,0.214285714285714,0.232773109243697,-0.02,-0.0264367816091954,-0.0208136849721008,-0.0236702752732454,-0.01317738791423,0.0402138260441796,-0.0128928928928929,-0.0237766479350638,-0.0237037037037037,0.0761904761904762,0.0552287581699346,0,0.0551388888888889,0.041025641025641,0.0425641025641026,0.181678321678322,0.0428571428571429,0.0746543778801843,0.136111111111111,0.0333333333333333,0.0537691301132161,0,0.0333333333333333,0.0525345622119816,0.337630193320266,0,0.0333333333333333,0.1,-0.12,-0.0583333333333333,0.0333333333333333,-0.00434782608695652,0.0454626623376623,0.163743766781741,0.0816507936507937,-0.0635964912280702,-0.0263817243920413,-0.0714285714285714,-0.0710144927536232,0.234534419828538,-0.108900432900433,-0.0418141240235932,-0.0552287581699346,-0.0552287581699346,0,0.0237037037037037,0.0172528256863847,0.0193659902985584,0.02,-0.219047619047619,-0.196347205106329
