"","SNAI2","Destcompl","cateninnuc","GLI","TCFLEF","CD44","cateninmemb","LIV1","TWIST1","RAS","PI3K","DELTA","GSK3","PAK1","FOXC2","IKK","RKIP","Patched","SHH","SMO","FUS","NFB","MEK","SNAI1","Csl","SOSGRB2","NOTCHic","HEY1","TrCP","SUFU","SMAD","NOTCH","ILK","Csn","ERK","cfos","Jagged","AKT","EGR1","ZEB2","Ecadherin","TGF","TGFR","CDC42","AXIN2","RAF","KLF4","miR200","STAT","cMet","ZEB1","DSH","Wnt","SRC","Frizzled"
"DSH",-0.356247870811255,-0.597479147146835,-0.303305782856296,-0.295971546513342,-0.301079602980962,-0.297270079171439,-0.120879998402907,-0.2,-0.299096191668157,-0.515534958285013,-0.499008347640755,-0.499008347640755,-0.576156092487399,0.0266666666666667,0.0331655044262143,-0.182916666666667,-0.230549450549451,-0.179095098449937,-0.178481601517422,-0.15974025974026,-0.145454545454545,-0.139166666666667,0.0407305846315134,-0.241066252587992,0.0476190476190476,-0.152032520325203,0.069187675070028,0.0949745886811956,0.0666666666666667,0.1,0.109406827379294,-0.0754813813637343,-0.0931804122849548,0.126666666666667,-0.0384749455337691,-0.0125490196078431,0.183746908206553,0.197859195402299,-0.00666666666666667,-0.317048712519328,-0.039906715020795,0.00268040195929909,-0.00045548654244307,0.0081159420289855,0.176144369809368,0.499008347640755,-0.304217997878763,-0.248701111727026,0.275,0.297932330827068,-0.0278924250269106,0.275,0.297932330827068,0.290789473684211,0.290789473684211
"Frizzled",-0.349379419123246,-0.584502047910193,-0.301079602980962,-0.297932330827068,-0.297270079171439,-0.297932330827068,-0.121468926553672,-0.1,-0.294131652661064,-0.499008347640755,-0.479323308270677,-0.479323308270677,-0.562931034482759,0.0333333333333333,0.0353300065907165,-0.139166666666667,-0.222857142857143,-0.15974025974026,-0.179095098449937,-0.145454545454545,-0.1,-0.126666666666667,0.0384749455337691,-0.226863354037267,0.0642857142857143,-0.166666666666667,0.0476190476190476,0.0984833606110202,0.1,0.1,0.0931804122849548,-0.069187675070028,-0.0978533094812165,0.0666666666666667,-0.0125490196078431,-0.00666666666666667,0.186072489601901,0.182916666666667,0.0333333333333333,-0.300513279448461,-0.0401701039584596,-0.00045548654244307,0.0081159420289855,-0.0266666666666667,0.179097956307259,0.479323308270677,-0.291596638655462,-0.246871843434343,0.2,0.290789473684211,-0.0208058108536822,0.3,0.290789473684211,0.275,0.275
"PI3K",-0.245264043663086,-0.602714902785186,-0.331580526801793,-0.322058714232627,-0.326013516492514,-0.322058714232627,-0.16025004312701,-0.1,-0.205265361074342,-0.51572246931151,-0.491064935064935,-0.491064935064935,-0.576418951418951,0.15,0.147858304297329,-0.0509803921568627,-0.233112475759535,-0.148717948717949,-0.170940170940171,-0.133333333333333,-0.1,-0.0333333333333333,0.0257106121136979,-0.244995974235105,0.075,-0.201923076923077,0.0596153846153846,0.0894998822856758,0,0.1,0.0865869547819128,-0.0757444168734491,-0.0873869547819128,-0.0333333333333333,-0.00112044817927171,0.00476190476190476,0.193157894736842,0.0945701357466063,0.0333333333333333,-0.29404977522437,0.016290601669884,-0.111304638928742,-0.112117647058824,-0.144117647058824,0.194190476190476,0.491064935064935,-0.284429824561404,-0.242873350250399,0.2,0.308212560386473,-0.00272733174286317,0.2,0.308212560386473,0.277777777777778,0.277777777777778
"Wnt",-0.340862068965517,-0.566199660642289,-0.297270079171439,-0.290789473684211,-0.297932330827068,-0.290789473684211,-0.128135593220339,0,-0.277941176470588,-0.479323308270677,-0.429323308270677,-0.429323308270677,-0.535658307210031,0.1,0.0213765182186235,-0.126666666666667,-0.205,-0.145454545454545,-0.15974025974026,-0.1,-0.1,-0.0666666666666667,0.0125490196078431,-0.217339544513458,0.05,-0.139393939393939,0.0642857142857143,0.0835897435897436,0.1,0,0.0978533094812165,-0.0476190476190476,-0.0769230769230769,0.1,-0.00666666666666667,0.0333333333333333,0.172941176470588,0.139166666666667,0,-0.289622190339551,-0.0352749990633547,0.0081159420289855,-0.0266666666666667,-0.0333333333333333,0.172121212121212,0.429323308270677,-0.272549019607843,-0.223434343434343,0.1,0.275,-0.037637494021999,0.2,0.275,0.2,0.3
"TrCP",-0.249861646253589,-0.170037455325728,-0.0812553769201089,-0.0758065896448438,-0.0782208941614882,-0.0774801534207475,-0.0511227586760463,-0.15,-0.0781805947675513,-0.121059229308871,-0.127877411127052,-0.127877411127052,-0.174734307359307,-0.119047619047619,-0.0543066343442339,0.0344298245614035,-0.115704387693338,-0.0815469078909939,-0.0845469078909939,-0.102534562211982,-0.0928571428571429,0.0291666666666667,-0.110125276344878,-0.0581905151634163,-0.0858974358974359,0.0258113311331133,-0.0751282051282051,0.0624856689302408,-0.0666666666666667,0.10952380952381,0.071252773510838,0.0674358974358974,-0.0751237412527735,-0.0666666666666667,0.110125276344878,0.0982608695652174,0.0870028118609407,-0.0325779727095517,0.12,-0.224415375902028,-0.0206033901989459,0.0710536971867734,0.0814362108479756,0.0935574229691877,0.0805418719211823,0.127877411127052,-0.225207390059849,-0.22448477006554,0.13,0.0804504504504505,-0.0772952093257598,0.13,0.0782456140350877,0.0966666666666667,0.0966666666666667
"CDC42",-0.25365911460802,-0.17304497412272,-0.0782208941614882,-0.0782456140350877,-0.0774801534207475,-0.0804504504504505,-0.0459945535478412,-0.1,-0.0754632034632035,-0.127877411127052,-0.131535947712418,-0.131535947712418,-0.17946158008658,-0.185714285714286,-0.0625824964131994,0.0291666666666667,-0.10962703962704,-0.102534562211982,-0.0815469078909939,-0.0928571428571429,-0.10952380952381,0.0666666666666667,-0.110125276344878,-0.0622477943996931,-0.116666666666667,0.0347222222222222,-0.0858974358974359,0.0492503748125937,-0.1,0.0666666666666667,0.0751237412527735,0.0751282051282051,-0.058994708994709,-0.0666666666666667,0.0982608695652174,0.12,0.0827083333333333,-0.0344298245614035,0.14,-0.222164572043507,-0.0234407604411604,0.0814362108479756,0.0935574229691877,0.119047619047619,0.0805418719211823,0.131535947712418,-0.207174603174603,-0.211794414735591,0.15,0.0966666666666667,-0.0853337945347631,0.15,0.0966666666666667,0.13,0.13
"GLI",-0.262524333022592,-0.13414492443335,-0.0864165410948175,-0.0965933222980339,-0.0848026737905736,-0.0867507257386256,-0.0577436067645093,-0.15,-0.0763208221697186,-0.143316464961559,-0.150643197634827,-0.150643197634827,-0.0346673132025211,0.0216666666666667,-0.0352155357757138,-0.0233858455662967,-0.0935137156785617,0.0621509129967776,0.0642085261655019,0.049906015037594,0.0446428571428571,-0.0213450292397661,-0.222327377962737,-0.0447860529998485,-0.0191688770999116,0.0149258705895874,-0.00916887709991158,0.0183850388434429,0.0166666666666667,-0.0571428571428571,0.0207619477334195,0.00345459138562587,-0.0218430288145006,0.00555555555555556,0.221774891774892,0.22047619047619,0.0342353547563421,0.0233858455662967,0.237142857142857,-0.214028161802355,-0.012426718552519,-0.0529751234260783,-0.0461515940143136,-0.0354597701149425,0.0833876811594203,0.150643197634827,-0.215205491205491,-0.207562911804398,0.13,0.0927852084972463,-0.0693966547192354,0.04,0.00212523719165085,0.10741935483871,0.0174193548387097
"NOTCH",-0.295859369388781,-0.220108541117887,-0.11008991008991,-0.125034965034965,-0.112947052947053,-0.125034965034965,-0.0612144260134821,0,-0.132915254237288,-0.168722002635046,-0.167272727272727,-0.167272727272727,-0.213357715081853,-0.1,-0.093265306122449,0.0555555555555556,-0.109549071618037,-0.108974358974359,-0.120739064856712,-0.116666666666667,-0.0666666666666667,0.0666666666666667,-0.0852380952380952,-0.0607692307692308,-0.22,-0.00631578947368421,-0.234285714285714,-0.0369565217391304,0,0.1,0.0638095238095238,0.105253456221198,-0.0738095238095238,-0.1,0.106666666666667,0.14,0.134237614237614,-0.0111111111111111,0.2,-0.205636070853462,-0.0517945670628183,0.127756272401434,0.147111111111111,0.111111111111111,0.091078167115903,0.167272727272727,-0.201932367149758,-0.217835497835498,0.1,0.152307692307692,-0.0711755233494364,0.1,0.152307692307692,0.16,0.16
"Jagged",-0.303795877325289,-0.218239382239382,-0.112947052947053,-0.152307692307692,-0.125034965034965,-0.152307692307692,-0.0659264678982989,0,-0.138,-0.167272727272727,-0.14,-0.14,-0.208812260536398,0,-0.115714285714286,0.0666666666666667,-0.0923076923076923,-0.116666666666667,-0.108974358974359,-0.0666666666666667,-0.1,0.1,-0.106666666666667,-0.05,-0.2,0.02,-0.22,-0.05,0,0,0.0738095238095238,0.234285714285714,-0.05,0,0.14,0.2,0.141645021645022,-0.0555555555555556,0.1,-0.201932367149758,-0.0590526315789474,0.147111111111111,0.111111111111111,0.1,0.104285714285714,0.14,-0.188888888888889,-0.192121212121212,0,0.16,-0.0971014492753623,0,0.16,0.1,0.1
"DELTA",-0.303795877325289,-0.218239382239382,-0.112947052947053,-0.152307692307692,-0.125034965034965,-0.152307692307692,-0.0659264678982989,0,-0.138,-0.167272727272727,-0.14,-0.14,-0.208812260536398,0,-0.115714285714286,0.0666666666666667,-0.0923076923076923,-0.116666666666667,-0.108974358974359,-0.0666666666666667,-0.1,0.1,-0.106666666666667,-0.05,-0.2,0.02,-0.22,-0.05,0,0,0.0738095238095238,0.234285714285714,-0.05,0,0.14,0.2,0.141645021645022,-0.0555555555555556,0.1,-0.201932367149758,-0.0590526315789474,0.147111111111111,0.111111111111111,0.1,0.104285714285714,0.14,-0.188888888888889,-0.192121212121212,0,0.16,-0.0971014492753623,0,0.16,0.1,0.1
"RAS",-0.366706058633969,-0.502617872385314,-0.219595400221076,-0.207843137254902,-0.216479252912294,-0.210325406758448,-0.0579732357335388,0,-0.126764866339334,-0.421025641025641,-0.29025641025641,-0.29025641025641,-0.589793281653747,0.1,0.0865079365079365,0.113333333333333,-0.258540880503145,-0.220666666666667,-0.235920903954802,-0.216666666666667,-0.2,0.133333333333333,-0.094406604747162,-0.17039331366765,-0.15,0.0614718614718615,-0.144736842105263,0.109288537549407,-0.1,0.1,0.215213358070501,0.142850049652433,-0.209090909090909,-0.1,0.104210526315789,0.12,0.248149024246008,-0.0911111111111111,0.12,-0.200187776141384,-0.0474680060869319,-0.0652067559697146,-0.0741176470588235,-0.08,0.151620553359684,0.29025641025641,-0.186785714285714,-0.170338461538462,0.1,0.191176470588235,0.0742452135493373,0.1,0.191176470588235,0.15,0.15
