"","SNAI2","AXIN2","FOXC2","cateninmemb","TCFLEF","cateninnuc","Wnt","GLI","DSH","RAF","PI3K","RAS","TWIST1","ZEB2","ZEB1","HEY1","Destcompl","Ecadherin","ILK","SMAD","MEK","Csn","Csl","NOTCHic","TGFR","TGF","AKT","IKK","SNAI1","RKIP","miR200","KLF4","Jagged","NFB","CDC42","PAK1","cfos","EGR1","NOTCH","ERK","TrCP","SUFU","SMO","SOSGRB2","FUS","Patched","SHH","DELTA","Frizzled","STAT","LIV1","CD44","SRC","cMet","GSK3"
"ZEB2",-0.198849575880508,-0.194353134800936,-0.187198135198135,-0.157105895353086,-0.150850286906625,-0.149291845348183,-0.147575757575758,-0.143906032805115,-0.140909090909091,-0.136277056277056,-0.136277056277056,-0.135206392465493,-0.126703472159356,-0.125206035418681,-0.125206035418681,-0.107390029325513,-0.105647783055636,-0.104289331045822,-0.0962234948150441,-0.0956137387174831,-0.0690746338702776,-0.0666666666666667,-0.0666666666666667,-0.0653333333333333,-0.0589857761286333,-0.0568693740122312,-0.0566173416407061,-0.0519444444444444,-0.0513885713101201,-0.0366988727858293,0.0105878638041393,0.0179307568017894,0.0421671909974983,0.0541666666666667,0.0555844155844156,0.061038961038961,0.0614035087719298,0.0666666666666667,0.0669726775956284,0.0678551216751556,0.1,0.1,0.111428571428571,0.112893772893773,0.114285714285714,0.118745644599303,0.120563826417485,0.136277056277056,0.147575757575758,0.15,0.15,0.152962962962963,0.156666666666667,0.156666666666667,0.20533355919637
"AXIN2",-0.181991204395746,0.292258873557233,-0.159899592990928,-0.0976051607782268,-0.10523546707771,-0.1045869586471,-0.10785084202085,-0.10785084202085,-0.12,0.0626066563350301,0.0626066563350301,0.0631315907182322,-0.109323385902155,-0.118667040977071,-0.118667040977071,0.0108374384236453,0.0950431451211929,0.00645204853284368,0.00515297906602254,0.00356567747872096,-0.0192259785311356,-0.0555555555555556,0.0891228070175439,0.0819799498746867,0.0388644433519065,0.0408446413717085,-0.0591304347826087,-0.0613526570048309,-0.110262995610299,-0.107894856040017,0.0472507630019488,0.114246832883923,-0.107302943824683,0.0599033816425121,-0.0326697530864198,-0.04625,0.020650406504065,0.0133333333333333,-0.079277247171984,0.017846668186308,0.0666666666666667,0.1,0.106593406593407,0.0707994389901823,0.0923076923076923,0.103021978021978,0.100726896054765,-0.0626066563350301,0.113023255813953,0.12,0.1,0.108166299434099,0.113023255813953,0.10785084202085,-0.0902873809384107
"ILK",-0.0836310026685977,0.082952380952381,-0.0890638792102207,0.0269344802000262,0.0321896591903961,0.0344577004275095,0.0328502415458937,0.0282348569305091,0,0.0168658008658009,0.0168658008658009,0.0223452529205954,-0.0217753340347781,-0.106829202979697,-0.106829202979697,0.020246863754078,0.0152185895223453,-0.0286065423169058,0.0135734293717487,0.0095734293717487,0.0115259218441475,0.0333333333333333,0.1,0.0846153846153846,-0.0791764705882353,-0.0653553323768532,0.0351432880844646,0.0274509803921569,-0.00999597423510467,-0.00580155138978668,-0.0414330500396074,0.109649122807018,-0.00114035087719298,-0.0333333333333333,0.0911764705882353,0.05,-0.019047619047619,-0.0333333333333333,-0.0684863523573201,-0.0131652661064426,0,0,-0.0166666666666667,-0.0265384615384615,-0.05,-0.0166666666666667,-0.0277777777777778,-0.0168658008658009,-0.0111111111111111,0,-0.1,-0.0282348569305091,-0.0111111111111111,-0.0328502415458937,0.00915103415103415
"AKT",-0.0821234649801555,0.0862014784253052,-0.0913195183079651,0.0278519113926867,0.0344577004275095,0.0332269311967403,0.0282348569305091,0.0321454714556488,0.0111111111111111,0.0223452529205954,0.0223452529205954,0.0192127228001135,-0.0177997988665824,-0.105459339965999,-0.105459339965999,0.0194949840548298,0.0157975804239168,-0.0280004817108452,0.0095734293717487,0.0119303317286511,0.00899427627452724,0.0333333333333333,0.0846153846153846,0.0684863523573201,-0.0653553323768532,-0.0716997432529861,-0.0699072169660405,0.0351432880844646,-0.00924409453585655,-0.00145372530283016,-0.042502568756185,0.107085020242915,0.00283315905658185,-0.0274509803921569,0.0791764705882353,0.0911764705882353,-0.0131652661064426,-0.019047619047619,-0.0770229377231738,-0.0115259218441475,-0.0333333333333333,-0.05,-0.0166666666666667,-0.0243162393162393,-0.0166666666666667,-0.0277777777777778,-0.0235672514619883,-0.0223452529205954,-0.0328502415458937,-0.0111111111111111,0,-0.0321896591903961,-0.0328502415458937,-0.0282348569305091,0.00552200189296963
"SOSGRB2",-0.287677939173164,0.108319581958196,-0.121379731379731,0.125657735657736,0.0842824452435436,0.0863856957215551,0.0821428571428571,0.0864906832298137,0.1,0.00169491525423729,0.00169491525423729,0.0106692742285963,-0.0354202898550725,-0.100275689223058,-0.100275689223058,-0.0544507575757576,0.00226008145471233,0.101178615170223,-0.14,-0.139300699300699,0.0978393978393978,-0.2,-0.109090909090909,-0.0783216783216783,0.0736263736263736,0.0814277920660899,-0.167763157894737,-0.171929824561404,-0.0972665245202559,-0.143640350877193,0.0259439882439012,0.104561403508772,0.178538688988486,0.166666666666667,-0.0928571428571429,-0.0928571428571429,-0.0650793650793651,-0.0761904761904762,0.0825470304343544,-0.0948090948090948,0.2,0.2,0.133333333333333,0.0186111111111111,0.166666666666667,0.136036036036036,0.12905929184999,-0.00169491525423729,-0.0571428571428571,-0.1,0,-0.0832298136645963,-0.0571428571428571,-0.0788819875776397,0.0113019503482337
"Wnt",-0.0467241379310345,0.0709090909090909,-0.077165991902834,-0.00419491525423729,0.0156015037593985,0.0175882587262859,0,0.0263157894736842,0.2,0.0593984962406015,0.0593984962406015,0.0775803144224197,-0.0273529411764706,-0.0985174557627929,-0.0985174557627929,0.0256410256410256,-0.012489297778608,-0.0495007680491551,0.0145299145299145,0.021506658715961,0.0274509803921569,-0.1,0.05,0.121428571428571,-0.08,-0.0756521739130435,-0.0866666666666667,-0.0866666666666667,-0.0209627329192547,0.005,-0.0322222222222222,0.096078431372549,-0.00203431372549019,0.0666666666666667,0.0333333333333333,0.1,-0.0333333333333333,0,-0.113095238095238,-0.0333333333333333,0.1,0,-0.05,0.0121212121212121,0,-0.0227272727272727,-0.017965367965368,-0.0593984962406015,-0.1,-0.1,0,-0.0263157894736842,0,0,-0.0841692789968652
"DSH",-0.0437010349905601,0.0690054504420121,-0.0833876771942867,-0.00218246363047824,0.0209215920596192,0.0190516009643387,0.0156015037593985,0.017562288073124,0,0.0815173222964355,0.0815173222964355,0.0761951934448948,-0.0380925561714047,-0.09554715873309,-0.09554715873309,0.0260142992505814,-0.00668615120157357,-0.0493493245263332,0.0149646026411947,0.0160966781128928,0.02218782249742,-0.0866666666666667,0.113095238095238,0.0915266106442577,-0.0575569358178054,-0.0669646013230319,-0.0799137931034483,-0.0741666666666667,-0.0164906832298137,-0.00439060939060939,-0.0275347222222222,0.095985967202415,-0.00724925382415122,0.0866666666666667,0.0756521739130435,0.08,-0.0274509803921569,-0.0333333333333333,-0.10341472253237,-0.0274509803921569,0.0666666666666667,-0.05,-0.017965367965368,-0.011529933481153,-0.0227272727272727,-0.0308685937718196,-0.0228931336491202,-0.0815173222964355,-0.0263157894736842,0,0,-0.0175882587262859,-0.0263157894736842,-0.0156015037593985,-0.0794867225741696
"PAK1",-0.202932643444516,-0.100720636986089,-0.179961976380123,-0.0647787116303961,-0.0671616170626072,-0.0674374791315727,-0.0736647173489279,-0.0692744734464889,-0.08,0.00131914554439662,0.00131914554439662,0.00313732736257844,-0.0989323357801619,-0.0822568506393238,-0.0822568506393238,0.0240666431490137,-0.0707726959168322,-0.0307649208604883,0.0195511179382147,0.022131763099505,0.0292340948169983,0.0333333333333333,0.0346153846153846,0.0361538461538462,-0.0308632543926661,-0.0297703582178028,0.0260477582846004,0.0353070175438596,-0.0610854068441453,-0.0402588571649345,-0.0251082251082251,0.0737345823575332,-0.0263537406271302,-0.0458333333333333,0.0338935574229692,0.0476190476190476,-0.0356521739130435,-0.04,-0.0361538461538462,-0.0305674281503316,-0.0333333333333333,-0.019047619047619,-0.022273425499232,0.0708195819581958,-0.019047619047619,-0.0185697217955282,-0.0185697217955282,-0.00131914554439662,0.0762962962962963,0.08,0.1,0.0686430985440886,0.0762962962962963,0.0735935935935936,0.067215367965368
"MEK",-0.272482687792304,0.11796986860278,-0.111287945770704,0.125612581222337,0.0867103366701599,0.0874538310939517,0.0882051282051282,0.0917016317016317,0.0666666666666667,-0.0592768342768343,-0.0592768342768343,-0.0538800088800089,-0.0595385333620628,-0.0813630297647514,-0.0813630297647514,-0.0648069545630521,0.0465435348253278,0.0988955347406737,-0.0495887297330503,-0.05438577770353,-0.0136818292981169,-0.0571428571428571,-0.0838383838383839,-0.07999222999223,-0.0333867378727192,-0.0231677597705294,-0.063702571937866,-0.0601731601731602,-0.0345531046489722,-0.0227517322718561,-0.016093059317275,0.0799139167862267,0.0857155448112614,0.0571428571428571,0.0361904761904762,0.0266666666666667,-0.0910344827586207,-0.06,0.0894812810871205,-0.0846515040352164,0.1,0.0666666666666667,0.0306666666666667,0.0249523809523809,0.0266666666666667,0.0355846994535519,0.0323167255973428,0.0592768342768343,-0.0766666666666667,-0.0666666666666667,-0.1,-0.0869647895963686,-0.0719298245614035,-0.083468286099865,0.0142330918926664
"Csl",-0.0831192681828022,0.0563907193247058,-0.156659629368989,0.0665868467801759,0.0554602213489891,0.0539164820694007,0.0532431009850365,0.0548560042108429,0.0430769230769231,0.0601822465390681,0.0601822465390681,0.0601822465390681,-0.0506733785185608,-0.0791319472246688,-0.0791319472246688,0.126793450936673,0.0279810220248977,0.0703381641735089,0.0245186707776636,0.0267408929998858,0.0522463768115942,0.0222222222222222,0.0103225806451613,0.0103225806451613,0.0115245987717736,0.0112978414021591,0.00361757105943152,0.010594315245478,-0.0559349989784772,-0.0365923845173089,-0.0248196215486253,0.074824016563147,0.0143332857509182,-0.0222222222222222,-0.0057921146953405,0.00711111111111111,-0.0533333333333333,-0.0533333333333333,-0.0121407624633431,-0.0533333333333333,-0.0333333333333333,-0.0333333333333333,-0.0469079939668175,0.0591846578752869,-0.041025641025641,-0.0479832627840218,-0.0479832627840218,-0.0601822465390681,-0.0521678321678322,-0.0430769230769231,-0.02,-0.0553075495932639,-0.0521678321678322,-0.0532667332667333,0.00312346879583411
"RKIP",-0.274915777816635,0.112564463197375,-0.111287945770704,0.126100386100386,0.0869647895963686,0.0867103366701599,0.0766666666666667,0.0882051282051282,0.1,-0.0652597402597403,-0.0652597402597403,-0.0592768342768343,-0.0562418300653595,-0.0781884265901483,-0.0781884265901483,-0.0629887727448703,0.0457067147416458,0.1010813270904,-0.0485986307231493,-0.0495887297330503,0.0846515040352164,-0.1,-0.111111111111111,-0.0838383838383839,-0.0361904761904762,-0.0333867378727192,-0.0601731601731602,-0.0571428571428571,-0.0319890020848697,-0.00959383753501402,-0.0120682915154174,0.0661884265901483,0.0832565284178187,0.0571428571428571,0.0266666666666667,0.0333333333333333,-0.06,-0.01,0.07999222999223,-0.0910344827586207,0.1,0.1,0.0266666666666667,0.0405079365079365,0.0666666666666667,0.0306666666666667,0.0355846994535519,0.0652597402597403,-0.0666666666666667,-0.1,0,-0.083468286099865,-0.0666666666666667,-0.0719298245614035,0.0139873916469661
