"","GSK3","TCFLEF","SRC","Destcompl","cateninmemb","Jagged","TWIST1","NOTCH","AKT","Wnt","Frizzled","GLI","ILK","DSH","Csl","NOTCHic","IKK","TrCP","RKIP","cfos","TGF","miR200","EGR1","FOXC2","PI3K","DELTA","RAS","SOSGRB2","RAF","ZEB2","ZEB1","SNAI2","PAK1","ERK","MEK","TGFR","CDC42","SMO","FUS","Ecadherin","HEY1","SHH","NFB","LIV1","Patched","SMAD","KLF4","STAT","SNAI1","CD44","SUFU","cMet","cateninnuc","Csn","AXIN2"
"SUFU",0.0892360639136963,0.258484932519141,0.206666666666667,0.118785056446252,0.20858966140477,0.239540766088143,0.264657545079648,0.115108225108225,0.18000368758758,0.350641025641026,0.308333333333333,0.330938423410542,0.191879160266257,0.325,0.0975757575757576,0.0793939393939394,0.186043956043956,0.1,0.256960282394745,0.227552447552448,0.0485585699006321,-0.198234501919104,0.218461538461538,-0.0762643828275232,0.0519879639249752,0.0519879639249752,0.0314183436718106,-0.0996626180836707,-0.0519879639249752,-0.35519140320658,-0.35519140320658,-0.258464339214725,0.00666666666666667,-0.240196125713367,-0.237217402309112,-0.01719762315507,-0.0554954954954955,0.156388888888889,0.134166666666667,-0.0820029808899279,-0.179623414825091,0.143105475605476,-0.151428571428571,-0.15,0.131136363636364,-0.197652832321684,-0.359209449952554,-0.223333333333333,-0.340150837931729,-0.22886536730175,0.146666666666667,-0.248414239482201,-0.244520738145739,-0.171428571428571,-0.408908202913659
"FUS",0.11314351892655,0.22886536730175,0.223333333333333,0.0881098836658164,0.199721994283351,0.248804424045388,0.281358576007483,0.0793939393939394,0.186043956043956,0.308333333333333,0.325,0.350641025641026,0.183492063492063,0.25,0.0575757575757576,0.0975757575757576,0.151428571428571,0.1,0.26798069055801,0.218461538461538,0.01719762315507,-0.202695468461855,0.18,-0.104800362976407,0.0227303220035778,0.0227303220035778,0.0519879639249752,-0.0612010796221323,-0.0227303220035778,-0.349394301757305,-0.349394301757305,-0.250224391950387,-0.06,-0.227552447552448,-0.240196125713367,-0.0554954954954955,0.00666666666666667,0.134166666666667,0.146666666666667,-0.0708804268219567,-0.171189679885332,0.131136363636364,-0.171428571428571,-0.2,0.156388888888889,-0.191879160266257,-0.338251366120219,-0.15,-0.310338231458134,-0.248414239482201,0.266666666666667,-0.206666666666667,-0.258484932519141,-0.1,-0.409610779026071
"GSK3",0.0551218511235752,0.0818307216650781,0.0915413533834586,0.0519942117580833,0.0731209237270774,0.20459671958988,0.278736997782195,0.224793343910991,0.081325523135868,0.0673583468475109,0.0915413533834586,0.0970753279795864,0.282266854688026,0.0486842105263158,0.205812324929972,0.24427386339151,0.0650862068965517,0.0333333333333333,0.314440208913893,0.0236601307189543,-0.102697842984163,-0.185980455666088,0.0125490196078431,-0.119548252644948,-0.118972359316329,-0.118972359316329,-0.0975437878877581,0.161496416232661,0.118972359316329,-0.335503662299117,-0.335503662299117,0.0329984072620827,0.0657971014492753,-0.0199007322227137,-0.0358098231318046,0.0788516891380094,0.11055900621118,-0.201543080575339,-0.172510822510823,-0.0174666291525271,-0.257264453870506,-0.19721044195145,-0.0708333333333333,-0.075,-0.186205657262455,-0.292011982124308,-0.326456315869563,-0.0486842105263158,-0.322774407369958,-0.0988387359126293,-0.177272727272727,-0.0683625454364388,-0.0992649321913938,-0.0208333333333333,-0.15319505783251
"EGR1",-0.0088474025974026,-0.00623405583801623,-0.0188888888888889,-0.04023353681576,0.00304918048817605,0.222073108384458,0.230235554300772,0.188021978021978,0.236963937621832,-0.0241520467836257,-0.0188888888888889,-0.00610326629582085,0.265847414234511,-0.03,0.165384615384615,0.194615384615385,0.238815789473684,0.2,0.245769423946219,0.0982608695652174,-0.106240946453097,-0.168309141838554,0.12,-0.106379863972502,0.0111018119985121,0.0111018119985121,0.0201927210894212,0.0463833883388339,-0.0111018119985121,-0.331769518169322,-0.331769518169322,0.167267531507576,0.080952380952381,-0.106735445836404,-0.12540211250307,0.10733384262796,0.110364145658263,-0.237864823348694,-0.202380952380952,-0.0239044821719649,-0.249229061939618,-0.227753712237583,-0.2125,0.05,-0.226753712237583,-0.289073220686124,-0.326220660941972,0.03,-0.320529192366901,0.00178961139357179,-0.185714285714286,0.0215915915915916,-0.000110771748190664,-0.175,0.0284295318647954
"cfos",-0.0233928571428571,-0.00178961139357179,-0.03,-0.0328651157631284,0.0035986310376266,0.210416666666667,0.218822510822511,0.194615384615385,0.238815789473684,-0.0188888888888889,-0.03,-0.0241520467836257,0.267460317460318,-0.05,0.15,0.165384615384615,0.2125,0.1,0.243006993006993,0.12,-0.10733384262796,-0.168309141838554,0.16,-0.109138484662158,0.014760348583878,0.014760348583878,0.0111018119985121,0.0236111111111111,-0.014760348583878,-0.32758945386064,-0.32758945386064,0.166905867854773,0.142857142857143,-0.0982608695652174,-0.106735445836404,0.110364145658263,0.080952380952381,-0.202380952380952,-0.185714285714286,-0.0202366621027607,-0.250699650174913,-0.226753712237583,-0.175,0.1,-0.237864823348694,-0.265847414234511,-0.303269841269841,0.05,-0.325541125541126,0.0215915915915916,-0.2,0.0188888888888889,0.00623405583801623,-0.2,0.0422660098522168
"SMO",0.0760197731071518,0.248414239482201,0.15,0.117160978556327,0.196928698193966,0.211455026455026,0.233714596949891,0.0975757575757576,0.151428571428571,0.325,0.25,0.308333333333333,0.153333333333333,0.3,0.0666666666666667,0.0575757575757576,0.171428571428571,0,0.223650793650794,0.18,0.0554954954954955,-0.178933092224231,0.2,-0.0613793103448276,0.0552884615384615,0.0552884615384615,0.0227303220035778,-0.103508771929825,-0.0552884615384615,-0.326694915254237,-0.326694915254237,-0.25112205801861,0,-0.218461538461538,-0.227552447552448,0.00666666666666667,-0.06,0.146666666666667,0.266666666666667,-0.0829352213425047,-0.149450549450549,0.156388888888889,-0.1,-0.1,0.134166666666667,-0.183492063492063,-0.333333333333333,-0.2,-0.321658986175115,-0.206666666666667,0.3,-0.223333333333333,-0.22886536730175,-0.1,-0.379175996417376
"Patched",0.108058608058608,0.206666666666667,0.2,0.0706493506493507,0.182365591397849,0.215026455026455,0.260185185185185,0.0575757575757576,0.171428571428571,0.25,0.3,0.325,0.133333333333333,0.2,0,0.0666666666666667,0.1,0,0.251428571428571,0.2,-0.00666666666666667,-0.192857142857143,0.1,-0.12,0.0115384615384615,0.0115384615384615,0.0552884615384615,-0.0666666666666667,-0.0115384615384615,-0.325,-0.325,-0.239693486590038,-0.1,-0.18,-0.218461538461538,-0.06,0,0.266666666666667,0.3,-0.0582119741100324,-0.125641025641026,0.134166666666667,-0.1,-0.1,0.146666666666667,-0.153333333333333,-0.283333333333333,-0.1,-0.264516129032258,-0.223333333333333,0.2,-0.15,-0.248414239482201,0,-0.368831168831169
"DSH",0.127168440141878,0.0988387359126293,0.0486842105263158,0.075347505171257,0.0761271129401632,0.18459671958988,0.250183860778354,0.24427386339151,0.0650862068965517,0.0915413533834586,0.0486842105263158,0.0673583468475109,0.278870628272932,0.075,0.227380952380952,0.205812324929972,0.0708333333333333,-0.0666666666666667,0.292635697635698,0.0125490196078431,-0.0788516891380094,-0.17507775930032,0.00666666666666667,-0.0957842973020452,-0.0951628355068057,-0.0951628355068057,-0.118972359316329,0.131263858093126,0.0951628355068057,-0.324062354721108,-0.324062354721108,0.0304099689531958,0.126666666666667,-0.0236601307189543,-0.0199007322227137,0.11055900621118,0.0657971014492753,-0.172510822510823,-0.177272727272727,-0.0234264579309268,-0.257610474631751,-0.186205657262455,-0.0208333333333333,0,-0.201543080575339,-0.282266854688026,-0.319586086861929,-0.075,-0.3406038647343,-0.0683625454364388,-0.15,-0.0915413533834586,-0.0818307216650781,-0.0333333333333333,-0.135386838654428
"Csn",0.128943453975686,0.0994171614201938,0.0563218390804598,0.0737446042925258,0.0552262999158475,0.195914717297397,0.275341280972417,0.263354700854701,0.0931666666666667,0.0888519595623875,0.0563218390804598,0.0709480294313831,0.27246765010352,0.0666666666666667,0.236868686868687,0.227777777777778,0.0891666666666667,-0.14,0.307690463447402,0.0481818181818182,-0.110421983412045,-0.171802236870576,0.03,-0.127872733013636,-0.0958545086160338,-0.0958545086160338,-0.113320919364594,0.119185979476536,0.0958545086160338,-0.324024813895782,-0.324024813895782,0.0758930295499417,0.154545454545455,-0.0494805194805195,-0.0494805194805195,0.133095014438298,0.0933514246947083,-0.185569985569986,-0.182539682539683,-0.021879953455728,-0.254277408637874,-0.202818355039402,-0.0433333333333333,0,-0.21675278126891,-0.274267135964702,-0.3132500179559,-0.0666666666666667,-0.371456721937561,-0.072407515117943,-0.171428571428571,-0.0888519595623875,-0.0864887188465318,-0.06,-0.115621163833805
"Frizzled",0.153850574712644,0.0683625454364388,0.075,0.0423322379956845,0.0687066182405165,0.198550207961973,0.270042016806723,0.205812324929972,0.0708333333333333,0.0486842105263158,0.075,0.0915413533834586,0.279805207712184,0.1,0.185714285714286,0.227380952380952,0.0208333333333333,-0.1,0.30452380952381,0.00666666666666667,-0.11055900621118,-0.179955808080808,-0.0333333333333333,-0.124788626306374,-0.125871496924129,-0.125871496924129,-0.0951628355068057,0.172727272727273,0.125871496924129,-0.319337945272289,-0.319337945272289,0.038442564995105,0.0666666666666667,-0.0125490196078431,-0.0236601307189543,0.0657971014492753,0.126666666666667,-0.177272727272727,-0.15,-0.0126275114866775,-0.257610474631751,-0.201543080575339,-0.0333333333333333,-0.1,-0.172510822510823,-0.278870628272932,-0.303081232492997,0,-0.313647342995169,-0.0915413533834586,-0.1,-0.0486842105263158,-0.0988387359126293,0.0666666666666667,-0.140028188865398
