"","cateninnuc","STAT","SRC","Ecadherin","GLI","KLF4","Destcompl","LIV1","ZEB1","AXIN2","SNAI2","SOSGRB2","cateninmemb","CDC42","TGFR","PAK1","Csn","SUFU","miR200","NOTCHic","NOTCH","HEY1","Jagged","FUS","IKK","RAF","TrCP","PI3K","DELTA","RAS","TWIST1","FOXC2","Patched","SHH","SMO","EGR1","Csl","AKT","ILK","SMAD","ZEB2","MEK","NFB","ERK","cfos","TGF","SNAI1","RKIP","Wnt","Frizzled","DSH","cMet","CD44","TCFLEF","GSK3"
"SNAI2",0.357117490161048,0.305454545454545,0.326883116883117,0.453626453129181,0.345833180903603,0.276346153846154,0.272377732950101,0.26,0.16803629116845,0.187842984670475,0.62240050150774,0.137762001352265,0.0831885586010801,-0.122689075630252,-0.116706169647346,-0.127450980392157,0.133333333333333,-0.2,-0.170501540949446,0.281578947368421,0.281578947368421,0.0926461723930078,0.322116899788937,-0.26,0.136781609195402,0.124554881517655,0.1,-0.124554881517655,-0.124554881517655,-0.125468123526788,-0.209812538406736,-0.288525853093606,-0.27968787515006,0.278279424445835,-0.277647058823529,0.1,-0.276315789473684,-0.140396067026728,-0.0698189134808853,-0.0741251335765791,-0.276607929515419,0.0553789083200848,-0.133333333333333,0.0607843137254902,0.0705882352941176,0.113600579585234,-0.285806747803222,-0.272576923076923,-0.336742271812694,-0.326883116883117,-0.305454545454545,-0.336742271812694,-0.345344422350329,-0.352148546061669,-0.269566944156491
"TGF",0.0261720983419097,0,0.0333333333333333,0.0415404734519506,0.00485175202156334,0.279455886092042,-0.0641710208578767,0,0.115561103021057,0.0141534391534392,-0.193257541969779,-0.0342105263157895,0.0219067979992177,0.293333333333333,0.283809523809524,0.26,0.233333333333333,0.133333333333333,-0.100348645607266,-0.0533333333333333,-0.0464367816091954,0.126950354609929,-0.133449926362297,0.153333333333333,0.219047619047619,0.0291666666666667,0.2,-0.0291666666666667,-0.0291666666666667,-0.0220238095238095,0.223518518518519,-0.060388198757764,0.142988505747126,-0.139863505747126,0.153333333333333,-0.1,0.0533333333333333,-0.219047619047619,-0.13969696969697,-0.149374389051808,-0.272183158819314,-0.147736006683375,-0.233333333333333,-0.17218045112782,-0.114285714285714,-0.378452380952381,-0.285327399872854,-0.282683982683983,-0.0142857142857143,-0.0142857142857143,0,-0.0333333333333333,-0.0238993710691824,-0.0252151605428666,-0.170257509396453
"Destcompl",0.199375440121882,0.188888888888889,0.190258751902588,0.0131303909983885,0.198734293334282,0.260202086877047,0.139299015103374,0.188888888888889,0.125372634098351,0.0995531310962252,0.224232546086529,0.0904939720473701,-0.191013857578017,0.14109781843772,0.140571502648246,0.140408163265306,-0.1,-0.122222222222222,-0.132129004740925,0.0132687034860948,0.0162747155101429,0.036735401350786,0.184298011658841,-0.104980842911877,-0.0947512730121426,-0.115173465483051,-0.1,0.115173465483051,0.115173465483051,0.115016479611779,0.0380521295750583,-0.158302645692455,-0.107571516487007,0.109312328866117,-0.104980842911877,-0.156410256410256,-0.0121817469643557,0.0954224139517399,-0.036984126984127,-0.0373350041771094,-0.253134920634921,-0.159067037963074,0.0956521739130435,-0.157801215178264,-0.159440559440559,-0.138502537131005,-0.273815437382581,-0.294122026710443,-0.195209246952092,-0.190258751902588,-0.188888888888889,-0.194736363842886,-0.19809457279811,-0.198916490606329,-0.240832035779817
"Ecadherin",0.295608174265231,0.272549019607843,0.274874601003192,0.176395124736318,0.289495290658364,0.242006563525551,0.226594569024846,0.266666666666667,0.127737125780719,0.136656105167044,0.363650571914945,0.108135475911047,-0.0168270934124593,-0.0620606060606061,-0.0605971914264597,-0.0687272727272727,0.08,-0.233333333333333,-0.134150403703476,0.220734967691018,0.222593703750497,0.0820309575935316,0.265791027931011,-0.233333333333333,0.0884656084656085,0.0729751131221719,0.1,-0.0729751131221719,-0.0729751131221719,-0.0738131019489876,-0.168272489380606,-0.237526972381256,-0.22385752688172,0.227794534755736,-0.227083333333333,0.0345454545454546,-0.223827751196172,-0.0910630110630111,-0.0613333333333333,-0.059638418079096,-0.236241984945637,0.027923259275594,-0.0847619047619048,0.0314526710402999,0.0345454545454546,0.0640329961280872,-0.239697374261887,-0.231505492901962,-0.283495290658364,-0.274874601003192,-0.272549019607843,-0.282700687959714,-0.288386306688811,-0.292246829727416,-0.22590814942227
"cateninmemb",0.295608174265231,0.272549019607843,0.274874601003192,0.194072995583685,0.289495290658364,0.242006563525551,0.226594569024846,0.266666666666667,0.127737125780719,0.136656105167044,0.363650571914945,0.108135475911047,-0.105498212297909,-0.0620606060606061,-0.0605971914264597,-0.0687272727272727,0.08,-0.233333333333333,-0.134150403703476,0.220734967691018,0.222593703750497,0.0820309575935316,0.265791027931011,-0.233333333333333,0.0884656084656085,0.0729751131221719,0.1,-0.0729751131221719,-0.0729751131221719,-0.0738131019489876,-0.168272489380606,-0.237526972381256,-0.22385752688172,0.227794534755736,-0.227083333333333,0.0345454545454546,-0.223827751196172,-0.0910630110630111,-0.0613333333333333,-0.059638418079096,-0.236241984945637,0.027923259275594,-0.0847619047619048,0.0314526710402999,0.0345454545454546,0.0640329961280872,-0.239697374261887,-0.231505492901962,-0.283495290658364,-0.274874601003192,-0.272549019607843,-0.282700687959714,-0.288386306688811,-0.292246829727416,-0.22590814942227
"KLF4",0.292246829727416,0.266666666666667,0.272549019607843,0.274934559984614,0.283495290658364,0.240740740740741,0.224823832771351,0.233333333333333,0.129158926728586,0.134800435063952,0.359857676069069,0.104188107489994,-0.0174681190534849,-0.0687272727272727,-0.0620606060606061,-0.0727272727272727,0.1,-0.2,-0.133964183964184,0.223827751196172,0.220734967691018,0.0813598166539343,0.261900867747944,-0.233333333333333,0.0847619047619048,0.0707692307692308,0.1,-0.0707692307692308,-0.0707692307692308,-0.0729751131221719,-0.165106753812636,-0.23592514171764,-0.227083333333333,0.22385752688172,-0.233333333333333,0.08,-0.229090909090909,-0.0884656084656085,-0.0613333333333333,-0.0613333333333333,-0.235294117647059,0.0314526710402999,-0.08,0.0345454545454546,0.0345454545454546,0.0605971914264597,-0.236849272996065,-0.231880024737168,-0.274874601003192,-0.272549019607843,-0.266666666666667,-0.274874601003192,-0.282700687959714,-0.288386306688811,-0.222817641696001
"HEY1",0.292246829727416,0.266666666666667,0.272549019607843,0.274934559984614,0.283495290658364,0.240740740740741,0.224823832771351,0.233333333333333,0.129158926728586,0.134800435063952,0.359857676069069,0.104188107489994,-0.0174681190534849,-0.0687272727272727,-0.0620606060606061,-0.0727272727272727,0.1,-0.2,-0.133964183964184,0.223827751196172,0.220734967691018,0.0813598166539343,0.261900867747944,-0.233333333333333,0.0847619047619048,0.0707692307692308,0.1,-0.0707692307692308,-0.0707692307692308,-0.0729751131221719,-0.165106753812636,-0.23592514171764,-0.227083333333333,0.22385752688172,-0.233333333333333,0.08,-0.229090909090909,-0.0884656084656085,-0.0613333333333333,-0.0613333333333333,-0.235294117647059,0.0314526710402999,-0.08,0.0345454545454546,0.0345454545454546,0.0605971914264597,-0.236849272996065,-0.231880024737168,-0.274874601003192,-0.272549019607843,-0.266666666666667,-0.274874601003192,-0.282700687959714,-0.288386306688811,-0.222817641696001
"GLI",-0.0525703626628972,-0.05,-0.0532258064516129,-0.0476104374298709,-0.0403221769146917,0.208430716430716,-0.0613746013001745,-0.05,0.0495328554360812,-0.0553049516908213,-0.239055169356343,-0.0727230586522622,-0.0461530392855377,0.151781609195402,0.158699848189113,0.148333333333333,0.0722222222222222,-0.0190476190476191,-0.0380514635003799,-0.0333996463306808,-0.0362567891878237,0.0462558522405721,-0.0534649572927357,-0.0565476190476191,0.0608366153478935,0.0713118906439451,0.0833333333333333,-0.0713118906439451,-0.0713118906439451,-0.0715099104459253,0.135656413950132,-0.031609799621603,-0.0483843537414966,0.0496189216427312,-0.0565476190476191,-0.154285714285714,0.0283996463306808,-0.0623991153478935,-0.0511075233727794,-0.045702117967374,-0.21237037037037,-0.146993972877951,-0.0669590643274854,-0.133181818181818,-0.129285714285714,-0.157052789365584,-0.157919634129312,-0.180674026403917,-0.0626565464895636,-0.0567741935483871,-0.06,0.0459087332808812,0.0484949401774329,0.0523910440735368,0.0508476335897629
"CD44",-0.231043530113298,-0.1,-0.2,-0.200477689718814,-0.233333333333333,0.138095238095238,-0.268983957219251,-0.1,0.126984126984127,-0.17,-0.350933510933511,-0.0404761904761905,-0.0760989010989011,0.3,0.275,0.2,0.2,0.1,-0.107830478700044,-0.0142857142857143,-0.0511278195488722,0.13859649122807,-0.155058275058275,0.1,0.133333333333333,-0.0142857142857143,0.1,0.0142857142857143,0.0142857142857143,0.0171428571428571,0.218827838827839,-0.0995833333333333,0.09,-0.117272727272727,0.05,-0.2,0,-0.153333333333333,-0.0944444444444444,-0.0842403628117914,-0.20952380952381,-0.215,-0.2,-0.255,-0.175,-0.275,-0.198777246145667,-0.228888888888889,0.2,0.1,0,0.3,0.233333333333333,0.235658914728682,-0.0190476190476191
"cMet",-0.234433360621772,-0.2,-0.3,-0.196660895825685,-0.237878787878788,0.10952380952381,-0.261551524786819,-0.1,0.121933621933622,-0.168412698412698,-0.357502853999204,-0.0938095238095238,-0.08641918579641,0.275,0.275,0.3,0.2,0.1,-0.118767978700044,-0.0511278195488722,-0.0702767557190849,0.128792569659443,-0.150710448971319,0.05,0.153333333333333,-0.0171428571428571,0.2,0.0171428571428571,0.0171428571428571,0.00959568733153639,0.210962670288513,-0.0856592827004219,0.117272727272727,-0.117272727272727,0.09,-0.175,0.0142857142857143,-0.153333333333333,-0.0842403628117914,-0.0751494537208823,-0.198412698412698,-0.202272727272727,-0.133333333333333,-0.215,-0.255,-0.275,-0.176743347840582,-0.228888888888889,0.233333333333333,0.2,0.1,0.233333333333333,0.235658914728682,0.231043530113298,-0.0271121351766513
"cateninnuc",0.0456792091777769,0.124242424242424,0.135353535353535,0.0560349498161202,0.143685815871641,0.193588983179731,0.18502020594609,0.124242424242424,0.0686949363492929,0.0378168954859692,0.308687882812998,0.0619280536870312,-0.100687162220578,0.035032967032967,0.0287111279525073,0.0365714285714286,-0.0208333333333333,-0.0888888888888889,-0.08819544205916,0.158511803092016,0.162602712182925,0.055290565430061,0.126478716233053,-0.0788888888888889,-0.0158030303030303,-0.0282234432234432,-0.0333333333333333,0.0282234432234432,0.0282234432234432,0.0290651940651941,-0.0567367260344333,-0.179930031716917,-0.0853240787880845,0.0885920526442936,-0.0772495446265938,0.00507246376811595,-0.153860640301318,0.0150217803030303,-0.0402106782106782,-0.0425299142270493,-0.194636863639116,0.00155896221141383,0.0178030303030303,-0.0034869093482192,0.000310559006211183,-0.028929468563861,-0.198587818842954,-0.195619892927585,-0.140919017452668,-0.136571191365712,-0.124242424242424,-0.139701361440492,-0.14247913921827,-0.145541125775402,-0.186471494501481
"DELTA",-0.0956843156843157,0,-0.1,-0.0571929824561404,-0.0876923076923077,0.161111111111111,-0.11569111969112,0,0.0219806763285024,-0.0771428571428571,-0.268174962292609,0.08,-0.0325772818730565,0.2,0.255555555555556,0.2,0,0,-0.0321212121212121,-0.16,-0.174285714285714,-0.116666666666667,-0.0366233766233766,0,0.0333333333333333,-0.08,0,0.08,0.08,0.08,0.138,0.0342857142857143,0.0583333333333333,-0.0198717948717949,0.0333333333333333,-0.1,0.1,0,0.0166666666666667,0.0214285714285714,-0.165458937198068,-0.0866666666666667,0,-0.02,0,-0.235555555555556,-0.0833333333333333,-0.128205128205128,0.08,0.1,0,0.08,0.0876923076923077,0.0967832167832168,0.0409961685823755
