"","ZEB1","ILK","SMAD","miR200","FOXC2","SHH","SMO","Patched","NOTCH","IKK","FUS","AKT","RKIP","SNAI1","GSK3","MEK","cfos","TWIST1","EGR1","SNAI2","TGFR","RAS","RAF","DELTA","CDC42","AXIN2","DSH","STAT","LIV1","SRC","Ecadherin","cateninmemb","CD44","cateninnuc","TCFLEF","cMet","Frizzled","GLI","Wnt","PI3K","TGF","PAK1","Destcompl","ZEB2","SOSGRB2","ERK","TrCP","KLF4","NFB","SUFU","Csn","Csl","NOTCHic","Jagged","HEY1"
"miR200",0.575228494623656,0.36047197640118,0.393387336902747,0.383824705294412,0.314974564730662,0.353724087323427,0.308333333333333,0.352637130801688,0.260620633992931,0.238947368421053,0.295,0.271022840119166,0.281833517099696,0.247709512709513,0.0622111611201029,0.171725417439703,0.132857142857143,0.0878390321335107,0.142857142857143,-0.0658629210271947,0.0479838709677419,0.135734840090741,0.136482969766552,0.136482969766552,0.0625,-0.115460373915858,-0.04,-0.04,0,-0.0443478260869565,0.0930003551879135,0.047795328116313,0.0536530959081308,0.055860888115923,0.0572245244795593,0.0570238824249847,0.036,0.0431815508435227,0.0486760563380282,-0.136482969766552,-0.0642629407351838,-0.0291666666666667,0.0820307759528374,-0.21415770609319,-0.165051579626048,-0.173766233766234,-0.2,-0.233074534161491,-0.258947368421053,-0.22,-0.18,-0.233891625615764,-0.24423645320197,-0.253930775992967,-0.362768361581921
"ZEB1",0.482702838948981,0.385025470037973,0.382621623884127,0.37561261336499,0.28877601305281,0.381140930976079,0.361742424242424,0.36370320855615,0.229135269810403,0.258746045441473,0.320833333333333,0.254460331155758,0.281704137255394,0.267950544989724,-0.0128429978321671,0.175645849529239,0.169333333333333,0.0857955393220956,0.133333333333333,-0.109013920282636,0.0493784833471589,0.108326373721254,0.106594090256687,0.106594090256687,0.0346576711644178,-0.159829777562487,-0.0333333333333333,-0.041025641025641,-0.0333333333333333,-0.0532207629768605,0.159552317580171,0.0245927710807744,0.0554266453298017,0.05675383024049,0.0548947304361847,0.051259978663135,0.0455284552845528,0.0454623701669213,0.041682301438399,-0.106594090256687,-0.041898168386529,-0.0477011494252874,0.124419736999089,-0.125660537539892,-0.177115009746589,-0.168156862745098,-0.166666666666667,-0.103798329761881,-0.230877192982456,-0.308333333333333,-0.246666666666667,-0.214583333333333,-0.228308823529412,-0.227293945564738,-0.385570974793773
"CD44",-0.284126984126984,-0.166666666666667,-0.180952380952381,-0.221436100131752,-0.28625,-0.156363636363636,-0.1,-0.12,-0.109022556390977,-0.1,-0.1,-0.133333333333333,-0.308518518518519,-0.273870281765019,0.160714285714286,-0.215,-0.225,-0.222783882783883,-0.2,0.19031635031635,-0.113333333333333,0.0019047619047619,0.00476190476190476,0.00476190476190476,-0.113333333333333,-0.06,0,-0.1,-0.1,-0.2,-0.0127673433937683,0.0319230769230769,0.03,-0.00173524150268337,0.00441860465116279,0.15,0.1,0.03,0.05,-0.00476190476190476,0.118888888888889,0.133333333333333,-0.165327949361563,-0.103174603174603,0.0833333333333333,0.225,0,-0.00793650793650794,0.1,0.1,0.1,0.1,0.114285714285714,0.136783216783217,0.170175438596491
"cMet",-0.299278499278499,-0.180952380952381,-0.19004329004329,-0.233936100131752,-0.292579113924051,-0.171988636363636,-0.12,-0.156363636363636,-0.123916173412254,-0.133333333333333,-0.1,-0.139583333333333,-0.31962962962963,-0.284039773290442,0.173617511520737,-0.231363636363636,-0.225,-0.217165905255793,-0.225,0.199075474403942,-0.118888888888889,-0.00186882300089847,0.0019047619047619,0.0019047619047619,-0.113333333333333,-0.0361904761904762,-0.1,-0.2,-0.1,-0.15,-0.0109861729103078,0.0358376676704079,0.00441860465116279,-0.00681998726539523,-0.00173524150268337,0.03,0.05,0.00727272727272727,0.03,-0.0019047619047619,0.123144208037825,0.113333333333333,-0.176138760172374,-0.1001443001443,0.09,0.215,0.1,-0.00317460317460317,0.1,0.1,0.1,0.114285714285714,0.109022556390977,0.13243539069626,0.18390092879257
"STAT",0.319499731038193,0.170933977455717,0.172083402743073,0.273537922230306,0.258178595773688,0.123933251011868,0.108333333333333,0.110658914728682,0.0546539686459732,0.0838095238095238,0.075,0.0821146085552865,0.202133204633205,0.18125758284155,0.0268669336893636,0.07146110056926,0.08,0.160763773957177,0,0.0708567630886798,0.025299043062201,-0.0101718454872042,-0.0109181141439206,-0.0109181141439206,0.0147727272727273,0.0236120742003095,-0.0142857142857143,-0.0142857142857143,0.1,-0.0267857142857143,0.132544756531069,0.0345572040871081,0.0282231657231657,0.0323034325271949,0.0298004527894118,0.0222402597402597,0.0267857142857143,0.0281226126814362,0.0222402597402597,0.0109181141439206,-0.0199850334003652,-0.0272727272727273,-0.0285600043756975,-0.0561681907835754,-0.0412972085385878,-0.0682352941176471,0,-0.141354723707665,-0.06,-0.05,-0.1,-0.0509803921568627,-0.0536830948595654,-0.0607591537646058,-0.172666666666667
"cfos",0.347901533494754,0.178571428571429,0.180184331797235,0.296316102198455,0.258077474892396,0.188499175058315,0.164285714285714,0.167511520737327,0.0561538461538462,0.1,0.114285714285714,0.1,0.261678321678322,0.246705024932873,-0.168584956709957,0.117347089167281,0.12,0.0778614718614719,0.12,0.00748791354630771,0.042296918767507,0.08914926404166,0.0867102396514161,0.0867102396514161,0.0285714285714286,-0.21320197044335,-0.15,-0.15,-0.1,-0.17,0.237299487420213,0.13313612400555,0.177107107107107,0.186872416971427,0.182057602156612,0.166296296296296,0.17,0.17682261208577,0.166296296296296,-0.0867102396514161,-0.0362363127069009,-0.0428571428571429,0.213036897222309,-0.0543583535108959,-0.148611111111111,-0.115652173913043,0,-0.034,-0.075,-0.1,-0.1,-0.05,-0.0576923076923077,-0.0489236111111111,-0.180134932533733
"SNAI1",0.363538114297861,0.195668202764977,0.194561191694866,0.312971309754641,0.264375507578721,0.2041787867088,0.188499175058315,0.193499175058315,0.0586342229199372,0.12037037037037,0.167511520737327,0.119675925925926,0.274803914040605,0.153349382367538,-0.174466744888775,0.119613157926623,0.117347089167281,0.0792349389740694,0.115652173913043,-2.27043173786703e-06,0.0438865859309447,0.0902606239461234,0.0896038094962055,0.0896038094962055,0.0362363127069009,-0.225714615031466,-0.166296296296296,-0.166296296296296,-0.17,-0.177107107107107,0.23748942077251,0.130465168018532,0.186872416971427,0.190437759751766,0.18852758938522,0.182057602156612,0.17682261208577,0.18480763014436,0.180237246232111,-0.0896038094962055,-0.0416688439954608,-0.042296918767507,0.21867442855063,-0.0543148482526922,-0.153938964651182,-0.114680422500614,-0.075,-0.0419822276696798,-0.1,-0.164285714285714,-0.1,-0.0561538461538462,-0.0594505494505495,-0.0490578586751674,-0.19648647314998
"SMAD",0.266157498513754,0.244872752817958,0.157253705198911,0.249097875758464,0.177766639602133,0.236824375021316,0.2275,0.239426605504587,0.174488232074439,0.141690009337068,0.2375,0.156356676003735,0.165664101777398,0.135072349245736,0.0787692716640085,0.0606485412561932,0.0668202764976959,0.0709280965026218,0.0571428571428571,0.0826472373585066,-0.00172937063723121,0.144080492517518,0.143422597780676,0.143422597780676,0.00553319919517103,-0.052119190245852,-0.0333333333333333,-0.06,-0.06,-0.0488888888888889,0.126746587444331,0.0527969648418246,0.0458371954842543,0.0462804063434702,0.0467869919564388,0.0469281045751634,0.0222222222222222,0.0181408719178503,0.0202991452991453,-0.143422597780676,-0.0030515058567927,0.00714285714285714,-0.00881500486882743,-0.0508183210803259,-0.107837917775806,-0.064494695102347,-0.15,-0.0556499223517789,-0.143650793650794,-0.2,-0.138888888888889,-0.172380952380952,-0.168932676518883,-0.159796536796537,-0.248385949670159
"NOTCHic",0.344138486312399,0.175238095238095,0.17739636861939,0.294486900382854,0.240941408821593,0.187623461295188,0.163461538461538,0.169343891402715,0.0310599078341014,0.1,0.125,0.0976744186046512,0.263717761920773,0.246080586080586,-0.159174028688135,0.111428571428571,0.12,0.0700781366592048,0.02,-0.0173229794118631,0.0342365591397849,0.0742314557007211,0.0727536231884058,0.0727536231884058,0.0213333333333333,-0.192013327343516,-0.12,-0.12,-0.1,-0.143076923076923,0.210411424005353,0.0999749038402853,0.14993672993673,0.159159350282578,0.154426525855097,0.14004662004662,0.143076923076923,0.149724039401459,0.14004662004662,-0.0727536231884058,-0.0285040750633518,-0.0333333333333333,0.189239394267432,-0.0493236714975845,-0.159952153110048,-0.105714285714286,0,-0.0292443064182195,-0.0666666666666667,-0.1,-0.1,0.0657142857142857,-0.0310599078341014,-0.0216312605716579,-0.0748829431438127
"Jagged",0.313768115942029,0.15,0.145238095238095,0.263636363636364,0.224285714285714,0.163461538461538,0.1,0.125,-0.0657142857142857,0.1,0,0.0666666666666667,0.225641025641026,0.233333333333333,-0.14367816091954,0.12,0,0.063,0.1,-0.0033182503770739,0.0333333333333333,0.08,0.08,0.08,0,-0.172857142857143,0,0,0,-0.1,0.20480701754386,0.103436985549662,0.143076923076923,0.14993672993673,0.14004662004662,0.12,0.1,0.143076923076923,0.12,-0.08,-0.0213333333333333,0,0.178965250965251,-0.0471014492753623,-0.12,-0.02,0,-0.0166666666666667,0,0,0,0.1,0.08,-0.0156709956709957,-0.05
