"","GSK3","Destcompl","PAK1","RAF","CDC42","SUFU","Patched","FOXC2","Csn","ZEB2","ZEB1","cfos","FUS","AKT","Csl","ERK","SNAI2","NOTCHic","Wnt","Frizzled","CD44","cMet","TWIST1","SRC","DSH","STAT","SNAI1","Ecadherin","RKIP","Jagged","cateninnuc","TCFLEF","KLF4","cateninmemb","NFB","SOSGRB2","HEY1","GLI","NOTCH","LIV1","ILK","AXIN2","MEK","SMAD","IKK","SHH","EGR1","TGFR","TGF","PI3K","DELTA","SMO","RAS","TrCP","miR200"
"miR200",0.208167542818896,0.194205918607704,0.2125,0.197481821660926,0.210539215686275,0.16,0.159725738396624,0.181722667576326,0.16,-0.16535394265233,-0.16535394265233,0.114285714285714,0.135,0.12784792169102,0.146995073891626,0.114285714285714,-0.0735187405416746,0.160788177339902,0.138591549295775,0.14,0.129280362192697,0.128156766687079,-0.00707780971584652,0.129565217391304,0.16,-0.16,-0.106161061161061,-0.144742685160558,-0.122948366364159,-0.139540238152322,-0.134727692640027,-0.1324549653673,-0.165890269151139,-0.146306032866581,-0.123157894736842,-0.127398452611219,-0.17680790960452,-0.139690450394676,-0.161353149091314,-0.2,-0.188696914360631,-0.159218114781322,-0.10952380952381,-0.183367760755616,-0.120300751879699,-0.157551825353146,-0.114285714285714,-0.204087602783049,-0.2017620213877,-0.197481821660926,-0.197481821660926,-0.148333333333333,-0.196234938867909,-0.1,-0.034266249228327
"ZEB2",-0.184490660772464,-0.0869011580922239,-0.0857142857142857,-0.0791991341991342,-0.0766233766233766,-0.075,-0.073397212543554,-0.0679160839160839,-0.0666666666666667,-0.0636297759323362,-0.0636297759323362,-0.0614035087719298,-0.0607142857142857,-0.0588629283489097,-0.0564102564102564,-0.054951895868704,-0.0508482560297378,-0.0497435897435897,-0.0411888111888112,-0.0360606060606061,-0.0330799220272904,-0.0312280701754386,-0.0277508533513678,-0.0233333333333333,-0.0227272727272727,0.01,0.0131018895955728,0.0257996903438446,0.0299677938808374,0.0317049686812257,0.0330972990164984,0.0341362600554595,0.0342223532460576,0.0406391070570121,0.0416666666666667,0.0423809523809524,0.0429449582675389,0.0439411047667928,0.0459184531315679,0.05,0.0500840943094464,0.0512472989948037,0.0525128714784601,0.0531328747972513,0.0616666666666667,0.0661244852708267,0.0666666666666667,0.074582560296846,0.0761698618841476,0.0791991341991342,0.0791991341991342,0.0807142857142857,0.0811263290599479,0.1,0.111080042714209
"TWIST1",-0.0361361458642076,-0.0437224966771219,0.133333333333333,0.0720376767562093,0.133333333333333,0.166666666666667,0.114922374429224,0.149429078048733,0.1,-0.0568489542173753,-0.0568489542173753,0.108985507246377,0.133333333333333,0.0466567330974111,0.0437037037037037,0.101090770404272,0.287669638062122,0.0565242165242165,0.0058813700918964,0.0174603174603174,-0.00132973637203323,0.00469436001350894,0.0396362282517889,0.0174603174603174,0.0285714285714286,-0.0285714285714286,-0.0639296732468278,-0.0749999709881195,-0.10086359651577,0.00042756098703895,0.00138539138842592,0.00270799058336554,-0.0561079841567646,-0.0148639317059613,-0.0769230769230769,-0.0596021827143109,-0.106090519649842,-0.000281370091896396,-0.0659581787883675,1.11022302462516e-17,-0.112316862316862,0.0309020012245819,-0.0986032082152168,-0.110666697300361,-0.0483516483516483,-0.11935587196617,-0.113333333333333,-0.129583333333333,-0.12662205770691,-0.0720376767562093,-0.0720376767562093,-0.105333333333333,-0.0682705534685381,-0.1,-0.0792188100478636
"ILK",-0.3002886002886,-0.289149592628617,0.35,-0.207047619047619,0.367647058823529,0.1,0.0820512820512821,0.362418118466899,0.1,-0.0490193453105474,-0.0490193453105474,0.242857142857143,0.05,0.118702865761689,-0.125,0.248739495798319,0.0616041982361329,-0.117307692307692,0.132850241545894,0.111111111111111,0.137465626161278,0.132850241545894,0.123050379572119,0.111111111111111,0.1,-0.1,-0.27268115942029,0.092572074795916,-0.304460245636716,-0.011578947368421,-0.140909041619371,-0.140290484918341,-0.0467105263157895,-0.0251214051299318,-0.1,-0.202692307692308,-0.113917196381125,-0.137465626161278,0.117307692307692,-0.1,-0.105874349739896,-0.18,-0.256936217109795,-0.105074349739896,-0.105882352941176,-0.0681623931623932,-0.2,-0.367647058823529,-0.373338115734099,0.207047619047619,0.207047619047619,-0.0666666666666667,0.201568166992825,0,-0.16629945892241
"MEK",-0.251480494033686,-0.302319462912656,0.166666666666667,-0.12997002997003,0.171428571428571,0.166666666666667,0.162863387978142,0.189113914975984,0.171428571428571,-0.045547174967548,-0.045547174967548,0.0472413793103448,0.126666666666667,0.180581869111281,0.133333333333333,0.0536243580337491,-0.243574929940706,0.129487179487179,-0.0374358974358974,-0.0566666666666667,-0.0372776346460557,-0.0421727395411606,0.0607851951969599,-0.0614035087719298,-0.0666666666666667,0.0666666666666667,-0.147433607370788,0.151211371310016,-0.122836503022262,-0.145479974393944,0.0341069052458646,0.0344786524577605,-0.0407460545193687,0.148094844178058,-0.146428571428571,-0.182603174603175,-0.131560905219442,0.0325407925407925,-0.124377690436085,0,-0.140618419993476,0.0459440453111339,-0.158624358033749,-0.140987423683512,-0.167640692640693,-0.150445087324547,-0.03,-0.172363150867824,-0.177472639918919,0.12997002997003,0.12997002997003,-0.154666666666667,0.126477966477966,-0.1,-0.115380701615009
"RKIP",-0.257131599684791,-0.304202308100941,0.133333333333333,-0.137662337662338,0.166666666666667,0.1,0.154666666666667,0.187312113174182,0.1,-0.0407852702056432,-0.0407852702056432,0.03,0.166666666666667,0.167640692640693,0.133333333333333,0.0472413793103448,-0.241385148918809,0.133333333333333,-0.0566666666666667,-0.0666666666666667,-0.0421727395411606,-0.0614035087719298,0.0604188948306595,-0.0666666666666667,0,0,-0.147433607370788,0.148114832147903,-0.110994397759104,-0.152037351443124,0.0344786524577605,0.0372776346460557,-0.0387852702056432,0.14931435637318,-0.171428571428571,-0.184825396825397,-0.142469996128533,0.0374358974358974,-0.129487179487179,0,-0.149529311082584,0.0522503516174402,-0.0536243580337491,-0.140618419993476,-0.146428571428571,-0.162863387978142,0.07,-0.171428571428571,-0.172363150867824,0.137662337662338,0.137662337662338,-0.126666666666667,0.12997002997003,-0.1,-0.111355933813152
"RAF",-0.257131599684791,-0.304202308100941,0.133333333333333,-0.137662337662338,0.166666666666667,0.1,0.154666666666667,0.187312113174182,0.1,-0.0407852702056432,-0.0407852702056432,0.03,0.166666666666667,0.167640692640693,0.133333333333333,0.0472413793103448,-0.241385148918809,0.133333333333333,-0.0566666666666667,-0.0666666666666667,-0.0421727395411606,-0.0614035087719298,0.0604188948306595,-0.0666666666666667,0,0,-0.147433607370788,0.148114832147903,-0.110994397759104,-0.152037351443124,0.0344786524577605,0.0372776346460557,-0.0387852702056432,0.14931435637318,-0.171428571428571,-0.184825396825397,-0.142469996128533,0.0374358974358974,-0.129487179487179,0,-0.149529311082584,0.0522503516174402,-0.0536243580337491,-0.140618419993476,-0.146428571428571,-0.162863387978142,0.07,-0.171428571428571,-0.172363150867824,0.137662337662338,0.137662337662338,-0.126666666666667,0.12997002997003,-0.1,-0.111355933813152
"cMet",0.186731950844854,0.201731700051028,0.0466666666666667,0.0619047619047619,0.0591666666666667,-0.1,-0.0918181818181818,0.0294409282700422,-0.1,-0.0316017316017316,-0.0316017316017316,0.195,-0.05,-0.107083333333333,-0.0857142857142857,0.185,0.202895741727859,-0.101503759398496,0.12,0.1,0.117674418604651,0.12,-0.0134312878133103,0.2,0.1,-0.2,-0.0135832004253057,-0.131460619466215,-0.164074074074074,0.113257322387757,-0.104645300829771,-0.10690518783542,-0.128571428571429,-0.15812906547782,0.0666666666666667,0.00238095238095238,0.0939456484348125,-0.115454545454545,0.095120780675092,-0.1,0.0812925170068027,-0.144761904761905,-0.172272727272727,0.0922016079158936,0.113333333333333,0.0949431818181818,-0.175,-0.0480555555555556,-0.0416725768321513,-0.0619047619047619,-0.0619047619047619,0.11,-0.0675651392632525,0.1,-0.0548055281071585
"CD44",0.185119047619048,0.203083051402379,0.0666666666666667,0.0476190476190476,0.0466666666666667,-0.1,-0.11,0.0408333333333333,-0.1,-0.0285714285714286,-0.0285714285714286,0.175,-0.1,-0.113333333333333,-0.1,0.195,0.200705960705961,-0.0857142857142857,0.1,0.1,0.12,0.2,-0.0123076923076923,0.2,0,-0.1,-0.0135832004253057,-0.131206166540007,-0.164074074074074,0.115431235431235,-0.10690518783542,-0.117674418604651,-0.142857142857143,-0.159908424908425,0.1,0.00238095238095238,0.095906432748538,-0.12,0.101503759398496,-0.1,0.0833333333333333,-0.14,-0.185,0.0812925170068027,0.0666666666666667,0.0918181818181818,-0.2,-0.0591666666666667,-0.0480555555555556,-0.0476190476190476,-0.0476190476190476,0.05,-0.0619047619047619,0,-0.0563680281071585
"cateninnuc",-0.164992308418887,-0.17483801773324,0.0325714285714286,-0.177885852885853,0.0294945054945055,0.0666666666666667,0.0581329124664834,0.100211127670144,0.220833333333333,-0.0267050158831144,-0.0267050158831144,0.127398205659075,0.0566666666666667,0.198119318181818,-0.0952291274325173,0.123600737304645,0.209935463243681,-0.0870895925487963,0.0194200677226288,0.0281157198965418,0.01436462088636,0.0179360494577886,0.0389618162206542,0.0266317016317016,0.034965034965035,-0.034965034965035,-0.103882209913728,-0.0808121199396168,-0.118601878683765,0.00666772591248298,-0.115776185943649,-0.0145886686832233,0.00156720503695593,-0.00876296160011411,-0.205681818181818,0.080096873438322,-0.0132460077910713,-0.0158627554696643,0.0825441380033418,-0.0272727272727273,-0.0114227994227994,0.162565911758407,-0.122224590515654,-0.0104678198866466,-0.199681818181818,-0.0600936967802089,-0.128985507246377,-0.0266209422761147,-0.0244375361625776,0.177885852885853,0.177885852885853,-0.0550273224043716,0.180242755242755,-0.233333333333333,-0.0235801339876866
