"","FUS","SMO","Patched","TrCP","SUFU","FOXC2","Csl","NOTCHic","NOTCH","Jagged","RKIP","AXIN2","DSH","SNAI1","Wnt","GLI","TCFLEF","cfos","SOSGRB2","TGFR","Destcompl","TWIST1","SNAI2","PI3K","DELTA","RAS","RAF","miR200","Ecadherin","PAK1","TGF","CDC42","MEK","ERK","cateninnuc","LIV1","CD44","cMet","cateninmemb","STAT","SRC","Frizzled","EGR1","ZEB2","ZEB1","GSK3","Csn","HEY1","SMAD","AKT","KLF4","IKK","ILK","NFB","SHH"
"SNAI2",-0.22,-0.178823529411765,-0.156374549819928,0.1,-0.2,0.256418544740935,0.128070175438597,0.129824561403509,0.127227158806106,0.197933283093155,0.194397435897436,-0.236636646611118,-0.210909090909091,0.171443576868043,-0.17117066032559,-0.165288307384413,-0.164925232989374,0.207843137254902,-0.246247464503043,-0.124685771744595,-0.128864120155471,0.231980630764071,0.0979017588794671,-0.120124255788934,-0.120124255788934,-0.121494118802633,0.120124255788934,0.142104517247428,0.0814333181424088,0.13921568627451,0.119095709632794,0.13921568627451,-0.224403815580286,-0.217647058823529,0.167409705039064,0.22,0.164719047422364,0.17117066032559,0.176803676621913,0.210909090909091,0.18948051948052,0.18948051948052,-0.166666666666667,-0.108654289909797,-0.108654289909797,0.116472745761711,-0.133333333333333,-0.0893610608800482,-0.133351945805615,-0.151779531920787,-0.0896153846153846,-0.150574712643678,-0.125217974513749,-0.133333333333333,0.146515394890351
"RAS",0,-0.0333333333333333,-0.0373333333333333,-0.2,-0.1,0.233333333333333,0.25,0.234210526315789,0.23987090367428,-0.0346658781785925,0.0108993710691824,-0.0916732542819499,-0.1,0.178249754178958,-0.0705882352941176,-0.066421568627451,-0.0672821796476365,-0.27,0.194805194805195,0.0658823529411765,0.0894257376815516,0.187103109656301,0.157493614068977,0.267692307692308,0.267692307692308,0.161923076923077,-0.267692307692308,0.136892307692308,-0.0383639129784544,-0.06,-0.0688526499708794,-0.06,0.264014447884417,0.254210526315789,0.066432321290696,0,0.0642052565707134,0.0705882352941176,-0.00966963836463783,0.1,0.1,0.1,0.22,-0.098059646539028,-0.098059646539028,0.193294573643411,0.3,0.0270750988142292,0.0225108225108225,0.247777777777778,-0.103214285714286,0.22,0.0225108225108225,0.2,0.0220790960451977
"ZEB1",-0.05,-0.05,-0.0362745098039216,-0.0333333333333333,-0.075,-0.0482374190596317,-0.0375,-0.041421568627451,-0.038115783503484,-0.0392133072413248,0.0309563164108619,-0.16406837941794,-0.152380952380952,0.0319849699314024,-0.133525417671759,-0.136618201176914,-0.133073358779462,-0.00466666666666667,-0.0952046783625731,-0.0109422446137337,-0.0763182116172427,0.0860283979530125,-0.118504056325018,-0.0456149123570529,-0.0456149123570529,-0.0482920777113836,0.0456149123570529,-0.0955984834516447,0.0172715870842068,0.0160919540229885,0.00739893752711957,0.0175412293853073,0.00627330050963116,-0.0012156862745098,0.133464748211948,0.166666666666667,0.128552082183718,0.126468748850384,0.131435292698528,0.143589743589744,0.136272670419012,0.145063879210221,0.0166666666666667,-0.0775667644522923,-0.0775667644522923,0.0733405340782652,0.0133333333333333,0.0360323441670592,0.0331458155857294,0.0101310653683389,-0.0736877148712608,0.0129882082254817,0.0365112002011141,0.00807017543859649,0.0387656130067685
"KLF4",-0.166666666666667,-0.1,-0.0875,0.1,-0.2,0.198354843046313,0.0709090909090909,0.0761722488038278,0.07101760962857,0.122069874153832,0.140342197485055,-0.164719047422364,-0.133333333333333,0.110963031567423,-0.0876424988600091,-0.0893666367910436,-0.0928598901643569,0.187272727272727,-0.194339622641509,-0.0642424242424242,-0.0813657865951221,0.175041394335512,-0.215558661196959,-0.0656410256410257,-0.0656410256410257,-0.0693174962292609,0.0656410256410257,0.107216117216117,-0.136663133084703,0.0909090909090909,0.0637546193643755,0.0869090909090909,-0.186545013506809,-0.181390374331551,0.0967204132029622,0.166666666666667,0.0885120640774004,0.0876424988600091,0.0835487130304203,0.133333333333333,0.103921568627451,0.103921568627451,-0.16,-0.0668679050567595,-0.0668679050567595,0.0674233758110174,-0.1,-0.0600916730328495,-0.0969275362318841,-0.0964021164021164,-0.0592592592592593,-0.103809523809524,-0.0853333333333333,-0.08,0.0842741935483871
"FOXC2",-0.166666666666667,-0.1,-0.0875,0.1,-0.2,0.198354843046313,0.0709090909090909,0.0761722488038278,0.07101760962857,0.122069874153832,0.140342197485055,-0.164719047422364,-0.133333333333333,0.110963031567423,-0.0876424988600091,-0.0893666367910436,-0.0928598901643569,0.187272727272727,-0.194339622641509,-0.0642424242424242,-0.0813657865951221,0.175041394335512,-0.215558661196959,-0.0656410256410257,-0.0656410256410257,-0.0693174962292609,0.0656410256410257,0.107216117216117,-0.136663133084703,0.0909090909090909,0.0637546193643755,0.0869090909090909,-0.186545013506809,-0.181390374331551,0.0967204132029622,0.166666666666667,0.0885120640774004,0.0876424988600091,0.0835487130304203,0.133333333333333,0.103921568627451,0.103921568627451,-0.16,-0.0668679050567595,-0.0668679050567595,0.0674233758110174,-0.1,-0.0600916730328495,-0.0969275362318841,-0.0964021164021164,-0.0592592592592593,-0.103809523809524,-0.0853333333333333,-0.08,0.0842741935483871
"Ecadherin",-0.1,-0.0875,-0.0842741935483871,0.1,-0.166666666666667,0.192176353343796,0.0761722488038278,0.07101760962857,0.0699023679928823,0.12870602976024,0.132477028945729,-0.164925232989374,-0.103921568627451,0.112545310048435,-0.0893666367910436,-0.0940333034577103,-0.0967204132029622,0.181390374331551,-0.177234359483615,-0.0637546193643755,-0.08229775304433,0.17411029563905,-0.216822959812251,-0.0693174962292609,-0.0693174962292609,-0.0718314627097079,0.0693174962292609,0.103677942169562,-0.237539471935726,0.0869090909090909,0.0661054331075943,0.0642424242424242,-0.183015601742103,-0.186545013506809,0.0984944561534757,0.133333333333333,0.0928598901643569,0.0885120640774004,0.0858564053381126,0.103921568627451,0.0876424988600091,0.0876424988600091,-0.187272727272727,-0.0644982368103141,-0.0644982368103141,0.0685271285703993,-0.08,-0.0715010690060039,-0.0855473909534337,-0.0938047138047138,-0.0516643225503985,-0.0964021164021164,-0.0969275362318841,-0.103809523809524,0.0787623825247651
"CD44",0.1,0.15,0.13,0,0.1,0.127083333333333,0,0.0428571428571429,0.0270676691729323,0.127832167832168,0.256296296296296,-0.06,0,0.0614832535885167,-0.05,-0.03,-0.0276744186046512,0.325,-0.311904761904762,0.0591666666666667,-0.0844919786096257,0.0876923076923077,-0.288964368964369,-0.114285714285714,-0.114285714285714,-0.128571428571429,0.114285714285714,0.096477821695213,-0.0213739007708175,-0.0666666666666667,-0.0536111111111111,-0.0466666666666667,-0.375,-0.345,0.0230590339892665,0.1,0.03,0.15,0.0247619047619048,0.1,0.2,0.1,-0.3,-0.0603174603174603,-0.0603174603174603,-0.14702380952381,-0.1,-0.116959064327485,-0.161337868480726,-0.226666666666667,0.0253968253968254,-0.233333333333333,-0.138888888888889,-0.2,-0.139090909090909
"TGF",0.18,0.18,0.211034482758621,0.2,0.2,0.270108695652174,0.06,0.05,0.05,0.168059646539028,0.237662337662338,0.0597442680776014,0,0.155565797838525,0.0728571428571429,0.0671967654986523,0.0563571665011586,0.257142857142857,-0.246052631578947,-0.0768253968253968,-0.0225766052440209,0.139259259259259,-0.180108576196461,-0.219047619047619,-0.219047619047619,-0.224404761904762,0.219047619047619,0.12572810331431,-0.0453421435613351,0.08,-0.028531746031746,0.0911111111111111,-0.27234753550543,-0.283458646616541,-0.055878697601637,0,-0.0576729559748428,-0.0633333333333333,-0.0569402761479114,0,-0.0333333333333333,-0.0428571428571429,-0.2,-0.0565337586390218,-0.0565337586390218,-0.261650048147113,-0.3,-0.179626047711154,-0.197155425219941,-0.340789473684211,-0.0619883040935673,-0.325,-0.189090909090909,-0.325,-0.207909482758621
"cMet",0.15,0.13,0.139090909090909,0.1,0.1,0.105564345991561,0.0428571428571429,0.0270676691729323,0.0164293713005919,0.138701733049559,0.241481481481481,-0.0520634920634921,-0.1,0.0665679993512286,-0.03,-0.0254545454545455,-0.0230590339892665,0.345,-0.305238095238095,0.0536111111111111,-0.0811136002312473,0.073085566119274,-0.286044660935172,-0.128571428571429,-0.128571428571429,-0.130458221024259,0.128571428571429,0.088665321695213,-0.018066012730105,-0.0466666666666667,-0.0536111111111111,-0.0591666666666667,-0.384090909090909,-0.375,0.0241889774920914,0.1,0.0276744186046512,0.03,0.0236942891035418,0.2,0.15,0.05,-0.325,-0.0532467532467533,-0.0532467532467533,-0.148636712749616,-0.2,-0.142449260405917,-0.150428777571635,-0.232916666666667,0.0396825396825397,-0.226666666666667,-0.161337868480726,-0.233333333333333,-0.160965909090909
"TWIST1",0.266666666666667,0.238666666666667,0.234557077625571,0.1,0.233333333333333,0.0689569713857036,-0.00888888888888889,-0.0165811965811966,-0.0146944041283664,-0.0158854056483727,0.0803761716805195,0.16806822210048,0.133333333333333,0.0453547470430273,0.116959064327485,0.117759064327485,0.115781431854077,0.111594202898551,-0.0360323886639676,-0.00780172413793103,0.0991667727355341,-0.110562184446624,-0.16937771160413,-0.0138336117463252,-0.0138336117463252,-0.0141760774997499,0.0138336117463252,0.0697959682772596,-0.0588915036547931,0,0.00666277197392192,-0.00344827586206897,-0.116006352675979,-0.119488939740656,-0.116759005172076,-0.133333333333333,-0.116240849924521,-0.115839243498818,-0.124800107202121,-0.133333333333333,-0.122222222222222,-0.122222222222222,-0.133333333333333,-0.0502915195897652,-0.0502915195897652,-0.114503377903571,-0.1,-0.154305581424226,-0.133199085674333,-0.116942944061588,-0.05560767146133,-0.113553113553114,-0.142770042770043,-0.123076923076923,-0.234064466788132
