"","AKT","IKK","SHH","Patched","NFB","Csn","TGF","SMO","TGFR","ILK","TrCP","SUFU","RKIP","TCFLEF","CD44","cMet","GLI","Wnt","RAS","RAF","PI3K","DELTA","STAT","LIV1","AXIN2","TWIST1","SNAI2","SOSGRB2","GSK3","FOXC2","cateninmemb","DSH","EGR1","Frizzled","MEK","ERK","cfos","SRC","Destcompl","Ecadherin","cateninnuc","SNAI1","ZEB1","Csl","HEY1","NOTCHic","NOTCH","SMAD","FUS","PAK1","Jagged","CDC42","miR200","ZEB2","KLF4"
"FUS",0.126835164835165,0.119142857142857,0.342752525252525,0.339722222222222,0.107142857142857,0.15,0.172626988690818,0.3175,0.16518018018018,0.155079365079365,0.1,0.2,0.291500572737686,0.120566302487611,0.11680690399137,0.117777777777778,0.209188034188034,0.211111111111111,-0.0935793603674684,-0.0879025044722719,-0.0879025044722719,-0.0879025044722719,0.1,0.1,0.02972344996333,0.12038063625683,0.0243810192022908,-0.119838056680162,-0.292217547472929,-0.232740471869328,0.122361602224606,-0.2,-0.22,-0.2,-0.232836588698658,-0.233986013986014,-0.243076923076923,-0.106666666666667,-0.288031107691607,0.0202330518051822,-0.123283693791958,-0.369418601281048,0.0369042667498527,-0.0757575757575758,-0.140738971173754,-0.100757575757576,-0.118939393939394,-0.164756784434204,-0.28,-0.126666666666667,-0.191863963791675,-0.151666666666667,-0.306408190547807,-0.424994800873453,-0.383925318761384
"Wnt",-0.0991666666666667,-0.0866666666666667,0.142424242424242,0.109090909090909,-0.0666666666666667,-0.1,0.388695652173913,0.1,0.38,0.116239316239316,-0.1,0,0.335,0.158458646616541,0.151315789473684,0.125,0.151315789473684,0.125,-0.257211209842789,-0.24812030075188,-0.24812030075188,-0.24812030075188,0.1,0,0.100606060606061,0.165882352941176,0.0867241379310345,0.160606060606061,-0.520846394984326,-0.178218623481781,0.114194915254237,-0.2,0,-0.2,0.00745098039215686,0.0133333333333333,0.0333333333333333,-0.1,-0.473100452995844,0.0740680379154022,-0.16706791813972,-0.404244306418219,0.0270205643232903,-0.2,-0.105128205128205,-0.185714285714286,-0.210714285714286,-0.12786722321606,-0.1,-0.3,-0.128897058823529,-0.333333333333333,-0.303333333333333,-0.411095169775227,-0.374509803921569
"GLI",0.0683968104785774,0.0777718104785774,0.176006760728983,0.175595238095238,0.0757309941520468,0.0388888888888889,0.263252171916262,0.189880952380952,0.266310995445673,0.112258982908898,0.05,0.152380952380952,0.145057197023433,-0.0904192248241192,-0.0900945494994438,-0.0961290322580645,-0.113275465299366,-0.0196584440227704,-0.115155877240024,-0.119710332685568,-0.119710332685568,-0.119710332685568,-0.08,-0.1,-0.0794670893719807,0.201713214158036,0.0260369598472193,0.025458759529556,-0.0884622966021668,-0.0531933694530444,0.0518815956572134,0,-0.114285714285714,0.0161290322580645,-0.0907494439262395,-0.087987012987013,-0.0892857142857143,0.0961290322580645,0.0906236872314047,0.0585150443189403,0.0902399062347587,-0.202772887716265,-0.0410538487796552,-0.118726790450928,-0.104817272898767,-0.106226790450928,-0.103369647593786,-0.114961685611601,-0.189880952380952,-0.26,-0.0795678522364906,-0.253103448275862,-0.31154855464453,-0.36592345110087,-0.368606606606607
"cfos",0.0916666666666667,0.0916666666666667,0.0649257552483359,0.076036866359447,0.0666666666666667,0.0666666666666667,0.320906544435956,0.0857142857142857,0.31484593837535,0.0817460317460317,0.1,0.0666666666666667,0.0865501165501165,-0.0844480123688045,-0.0884084084084084,-0.0911111111111111,-0.0911111111111111,-0.0911111111111111,0.0342898134863702,0.0294117647058824,0.0294117647058824,0.0294117647058824,-0.1,-0.1,-0.0776847290640394,0.172199134199134,0.026345625177742,0.201388888888889,0.0446888528138528,-0.0319109107057457,0.0480713317941666,0.1,0.08,0.08,0.0200442151805453,0.0217391304347826,0,0.08,0.117606481625918,0.0483199283958669,0.0851887531095452,-0.133596361444463,-0.0666551366309236,-0.05,-0.0793353323338331,-0.0730769230769231,-0.0530769230769231,-0.0817460317460317,-0.0523809523809524,-0.342857142857143,-0.0635416666666667,-0.328571428571429,-0.278953399541635,-0.322998577962258,-0.319873015873016
"CDC42",0.0916666666666667,0.0916666666666667,0.0649257552483359,0.076036866359447,0.0666666666666667,0.0666666666666667,0.320906544435956,0.0857142857142857,0.31484593837535,0.0817460317460317,0.1,0.0666666666666667,0.0865501165501165,-0.0844480123688045,-0.0884084084084084,-0.0911111111111111,-0.0911111111111111,-0.0911111111111111,0.0342898134863702,0.0294117647058824,0.0294117647058824,0.0294117647058824,-0.1,-0.1,-0.0776847290640394,0.172199134199134,0.026345625177742,0.201388888888889,0.0446888528138528,-0.0319109107057457,0.0480713317941666,0.1,-0.02,0.08,0.0200442151805453,0.0217391304347826,0,0.08,0.117606481625918,0.0483199283958669,0.0851887531095452,-0.133596361444463,-0.0666551366309236,-0.05,-0.0793353323338331,-0.0730769230769231,-0.0530769230769231,-0.0817460317460317,-0.0523809523809524,-0.242857142857143,-0.0635416666666667,-0.328571428571429,-0.278953399541635,-0.322998577962258,-0.319873015873016
"TrCP",0.0861111111111111,0.0916666666666667,0.0649257552483359,0.0649257552483359,0.0916666666666667,0.0666666666666667,0.315988511649071,0.076036866359447,0.320906544435956,0.0817460317460317,0.0666666666666667,0.0523809523809524,0.0804727684838182,-0.0851887531095452,-0.0844480123688045,-0.0884084084084084,-0.0867208672086721,-0.0911111111111111,0.0370170862136429,0.0342898134863702,0.0342898134863702,0.0342898134863702,-0.08,-0.1,-0.0770557982464294,0.165677395068699,0.0254414660457347,0.20237898789879,0.0443252164502164,-0.0270833244988492,0.0467892805121153,0.08,0,0.0911111111111111,0.0160442151805453,0.0200442151805453,0.0217391304347826,0.0911111111111111,0.118659113204866,0.0467282328941368,0.0847749600060969,-0.130971063115107,-0.0734075482064862,-0.0730769230769231,-0.0793353323338331,-0.0530769230769231,-0.0508791208791209,-0.0830363543266769,-0.0857142857142857,-0.328571428571429,-0.065995654396728,-0.31484593837535,-0.277430556902041,-0.319461600470297,-0.324791048659901
"PAK1",0.0861111111111111,0.0916666666666667,0.0649257552483359,0.0649257552483359,0.0916666666666667,0.0666666666666667,0.315988511649071,0.076036866359447,0.320906544435956,0.0817460317460317,0.0666666666666667,0.0523809523809524,0.0804727684838182,-0.0851887531095452,-0.0844480123688045,-0.0884084084084084,-0.0867208672086721,-0.0911111111111111,0.0370170862136429,0.0342898134863702,0.0342898134863702,0.0342898134863702,-0.08,-0.1,-0.0770557982464294,0.165677395068699,0.0254414660457347,0.20237898789879,0.0443252164502164,-0.0270833244988492,0.0467892805121153,0.08,0,0.0911111111111111,0.0160442151805453,0.0200442151805453,0.0217391304347826,0.0911111111111111,0.118659113204866,0.0467282328941368,0.0847749600060969,-0.130971063115107,-0.0734075482064862,-0.0730769230769231,-0.0793353323338331,-0.0530769230769231,-0.0508791208791209,-0.0830363543266769,-0.0857142857142857,-0.328571428571429,-0.065995654396728,-0.31484593837535,-0.277430556902041,-0.319461600470297,-0.324791048659901
"EGR1",0.0861111111111111,0.0916666666666667,0.0649257552483359,0.0649257552483359,0.0916666666666667,0.0666666666666667,0.315988511649071,0.076036866359447,0.320906544435956,0.0817460317460317,0.0666666666666667,0.0523809523809524,0.0804727684838182,-0.0851887531095452,-0.0844480123688045,-0.0884084084084084,-0.0867208672086721,-0.0911111111111111,0.0370170862136429,0.0342898134863702,0.0342898134863702,0.0342898134863702,-0.08,-0.1,-0.0770557982464294,0.165677395068699,0.0254414660457347,0.20237898789879,0.0443252164502164,-0.0270833244988492,0.0467892805121153,0.08,0,0.0911111111111111,0.0160442151805453,0.0200442151805453,0.0217391304347826,0.0911111111111111,0.118659113204866,0.0467282328941368,0.0847749600060969,-0.130971063115107,-0.0734075482064862,-0.0730769230769231,-0.0793353323338331,-0.0530769230769231,-0.0508791208791209,-0.0830363543266769,-0.0857142857142857,-0.328571428571429,-0.065995654396728,-0.31484593837535,-0.277430556902041,-0.319461600470297,-0.324791048659901
"HEY1",0.0616931216931217,0.0542857142857143,0.246841397849462,0.247916666666667,0.04,0.1,-0.00816851441241685,0.216666666666667,-0.0203636363636364,0.138666666666667,0.1,0.2,0.225943104514533,0.197578095094303,0.193899165328417,0.191290469676243,0.193014607607277,0.191290469676243,0.00212669683257919,0.00653846153846154,0.00653846153846154,0.00653846153846154,0.166666666666667,0.166666666666667,0.0987174857551959,-0.0996209150326798,0.0902713187064594,-0.187478559176672,-0.266177380766215,-0.213542156796845,0.0918934114665822,-0.166666666666667,-0.16,-0.184313725490196,-0.174477093555323,-0.175508021390374,-0.187272727272727,-0.184313725490196,-0.273308820461196,-0.00913929682089563,-0.199197024110492,-0.259607957339342,0.116104231166151,-0.107272727272727,-0.107150496562261,-0.138851674641148,-0.152253736496818,-0.151710144927536,-0.166666666666667,0.0363636363636364,-0.22243242015356,0.0243636363636364,-0.201277981277981,-0.266821465428277,-0.203703703703704
"SRC",0.17008547008547,0.158974358974359,0.0985185185185185,0.0985185185185185,0.166666666666667,0.2,0.117463924963925,0.08,0.128373015873016,0.0701754385964912,0.1,0.1,-0.0842293906810036,0.0888624550179928,0.0900819672131147,0.095,0.0900819672131147,0.095,0.179367770318959,0.183913224864414,0.183913224864414,0.183913224864414,0,0,0.0650091376599091,0.106818239232032,0.00951036069679892,-0.0271428571428571,0.0045021645021645,0.0822315592903828,-0.0168631192935189,-0.1,-0.166666666666667,-0.075,-0.177434724604536,-0.186868686868687,-0.175757575757576,-0.075,-0.0118000477783086,-0.0215109073932603,-0.0913233051298496,-0.041439003886006,-0.0428646301287811,0.04,-0.0653012247600133,0.0638095238095238,0.0388095238095238,-0.0674727358937885,-0.1,-0.111111111111111,-0.0767831098565044,-0.123611111111111,-0.173304055043185,-0.229664570230608,-0.325452196382429
