"","SHH","TGFR","FUS","Csl","AKT","NOTCHic","IKK","GSK3","KLF4","RKIP","MEK","ERK","EGR1","SOSGRB2","Destcompl","AXIN2","GLI","Wnt","Frizzled","cateninnuc","TCFLEF","cateninmemb","Ecadherin","RAF","PI3K","DELTA","RAS","miR200","LIV1","STAT","SRC","DSH","cMet","CD44","SNAI2","ZEB2","ZEB1","cfos","SNAI1","TWIST1","Csn","TrCP","SUFU","NOTCH","NFB","HEY1","Jagged","SMO","PAK1","CDC42","TGF","Patched","ILK","SMAD","FOXC2"
"AXIN2",-0.150381763045697,0.310977138643068,-0.123076923076923,-0.0424561403508772,0.260628019323672,-0.0549561403508772,0.243961352657005,-0.67411354612842,0.185300151691919,0.452489463941077,0.282478587467151,0.266616518501634,0.206666666666667,-0.0453471602419709,-0.751977545679035,-0.100930103986401,-0.553088468929204,-0.51220796578455,-0.458759689922481,-0.601061084992959,-0.581389662597801,-0.450805789382797,-0.0807340037747591,0.23422855628738,0.23422855628738,0.23422855628738,0.237903096969795,0.256892178674332,0.3,0.386666666666667,0.458759689922481,0.386666666666667,0.51220796578455,0.552901972093698,0.547123292372818,-0.202259940309145,-0.202259940309145,-0.243252032520325,-0.462321460930467,0.0639529260962662,-0.188888888888889,-0.133333333333333,0.1,0.065766951161688,-0.219323671497585,-0.221268414169023,0.367622354144093,0.132600732600733,-0.25375,-0.287083333333333,-0.328138854814685,0.141529304029304,-0.22514377731769,-0.241016793190706,-0.26312108656371
"cMet",-0.073125,0.189444444444444,-0.05,0.0142857142857143,0.0391666666666667,-0.0120300751879699,0.0266666666666667,-0.257776497695852,-0.0126984126984127,0.0822222222222222,0.0668181818181818,0.065,0.025,0.0123809523809524,-0.328987909660179,-0.322380952380952,-0.305454545454545,-0.26,-0.2,-0.354729288580294,-0.334955277280859,-0.347458579380288,-0.288626501171434,0.0857142857142857,0.0857142857142857,0.0857142857142857,0.0800539083557952,0.129097771190162,0.1,0.2,0.3,0.1,0.26,0.304186046511628,-0.0930398231128158,-0.0903318903318903,-0.0903318903318903,-0.045,-0.192885140431974,-0.0519866650203729,0,0.1,0.1,0.0226683730603103,-0.0333333333333333,0.0416580667354661,0.146656531873923,0.07,-0.153333333333333,-0.178333333333333,-0.193699763593381,0.07,0.0246031746031746,0.0227849927849928,-0.167004219409283
"CD44",-0.07,0.178333333333333,-0.1,0,0.0266666666666667,0.0142857142857143,0.0333333333333333,-0.230357142857143,-0.00793650793650794,0.0711111111111111,0.065,0.045,0,0.019047619047619,-0.303312233984503,-0.27,-0.26,-0.2,-0.1,-0.334955277280859,-0.304186046511628,-0.330732600732601,-0.28938985995006,0.1,0.1,0.1,0.0857142857142857,0.125972771190162,0.1,0.1,0.2,0,0.3,0.26,-0.124426684426684,-0.0873015873015873,-0.0873015873015873,-0.025,-0.181020733652313,-0.0665934065934066,0.1,0,0.1,0.0120300751879699,0,0.0514619883040936,0.133613053613054,0.05,-0.133333333333333,-0.153333333333333,-0.189444444444444,0.07,0.0388888888888889,0.0246031746031746,-0.173333333333333
"TCFLEF",0.14146777491919,0.38951064149934,0.156666666666667,0.208369201339072,0.187060253911586,0.194643711142994,0.181625471302891,-0.347515274925136,0.171021135727018,0.3447031271525,0.301786958685913,0.293623693379791,0.272857142857143,0.0645232611699678,-0.500875024743468,0.235648351648352,-0.120682230528778,-0.0945952740070387,-0.057843137254902,-0.261877490660801,-0.248904982069736,-0.127957243237202,-0.0832332796990414,0.14799937740732,0.14799937740732,0.14799937740732,0.148919219720066,0.194883951389975,-0.0333333333333333,0.0166666666666667,0.0666666666666667,0.00784313725490196,0.103418803418803,0.130462828576036,-0.0691892782009441,-0.0762573099415204,-0.0762573099415204,-0.285052264808362,-0.34268736377523,-0.196785378938817,-0.151948051948052,-0.142857142857143,-0.15,-0.183680255993492,-0.171948051948052,-0.101321280172551,-0.0323454454482804,-0.156666666666667,-0.361538461538462,-0.375491949910555,-0.399444416333777,-0.146989247311828,-0.155041087567403,-0.162880475712719,-0.47709032360803
"TGFR",0.246446522501461,0.331111111111111,0.236666666666667,0.28,0.27937139360028,0.276551724137931,0.284022556390977,0.305039137044553,0.0725146198830409,0.258138528138528,0.324745654089562,0.327485380116959,0.333333333333333,0.0987654320987654,0.0874208635363473,-0.0387448811983862,-0.0154299626119468,-0.0199460916442048,-0.0142857142857143,-0.0325352281459795,-0.0349267250458909,-0.0474076922048842,-0.0513149109938532,-0.0523809523809524,-0.0523809523809524,-0.0523809523809524,-0.0535505430242272,0.142717497556207,0,0.0333333333333333,0.0333333333333333,0.0142857142857143,0.0389937106918239,0.0363621317444555,0.0145260252778562,-0.072891978373607,-0.072891978373607,-0.33859649122807,-0.216991638021405,-0.219400948991696,-0.275,-0.3,-0.22,-0.271515752914909,-0.289285714285714,-0.223874823176189,-0.222890653347847,-0.247011494252874,-0.431111111111111,-0.431111111111111,-0.332529550827423,-0.247011494252874,-0.259794721407625,-0.260150593293746,-0.330079538365565
"Wnt",0.0725108225108225,0.386666666666667,0.1,0.15,0.2175,0.107142857142857,0.18,-0.486833855799373,0.0490196078431372,0.35,0.245882352941176,0.24,0.1,0.0575757575757576,-0.557122620215134,-0.348484848484849,-0.332894736842105,-0.275,-0.1,-0.40780012946273,-0.379323308270677,-0.273728813559322,-0.186588175789592,0.198496240601504,0.198496240601504,0.198496240601504,0.198496240601504,0.183030303030303,0,0.1,0.2,0,0.275,0.332894736842105,0.209051724137931,-0.0709708273553324,-0.0709708273553324,-0.2,-0.360248447204969,-0.0855882352941176,-0.1,-0.1,0,-0.107142857142857,-0.2,-0.145128205128205,0.0512990196078431,-0.05,-0.3,-0.366666666666667,-0.408405797101449,-0.0772727272727273,-0.160683760683761,-0.16300934207911,-0.378218623481781
"Frizzled",0.056381790252758,0.408405797101449,0.05,0.107142857142857,0.22375,0.107142857142857,0.2175,-0.511682340647858,0.0680672268907563,0.371428571428571,0.260697167755991,0.245882352941176,0.2,0.0363636363636364,-0.583382567164736,-0.401973220577872,-0.379323308270677,-0.332894736842105,-0.275,-0.427323938986539,-0.40780012946273,-0.288014527845036,-0.185422674624091,0.198496240601504,0.198496240601504,0.198496240601504,0.197708839026701,0.189280303030303,0.1,0.2,0.275,0.1,0.332894736842105,0.379323308270677,0.2415438377026,-0.0699807283454314,-0.0699807283454314,-0.24,-0.374534161490683,-0.0713025210084034,-0.2,-0.1,-0.1,-0.0894957983193277,-0.18,-0.143000545553737,0.0765515448603684,-0.0772727272727273,-0.366666666666667,-0.386666666666667,-0.424596273291925,-0.0725108225108225,-0.16300934207911,-0.186373828060418,-0.385195367667828
"ZEB1",0.0303851789826251,-0.153221062903404,0.0166666666666667,0.04375,-0.0101310653683389,0.047671568627451,-0.0129882082254817,0.184519221338781,0.0639092784331003,-0.048429417133479,-0.0437921741383778,-0.0424705882352941,-0.05,0.00600389863547757,0.292926829144671,0.345913756352196,0.298281395496633,0.292439471098008,0.278977932636469,0.311835490216818,0.310074237770634,0.281835013498759,0.119216932882627,0.123709559613152,0.123709559613152,0.123709559613152,0.122292236778506,-0.124045161389837,-0.233333333333333,-0.271794871794872,-0.288868042526579,-0.261904761904762,-0.300632748408932,-0.306882748408932,-0.278630684796661,-0.0569209351368272,-0.0569209351368272,0.046,0.0443773017415951,-0.132675546113582,0.0133333333333333,0.0333333333333333,0.00833333333333333,-0.0542831388753849,0.00807017543859649,0.0752236796019179,-0.0368319849043044,-0.0166666666666667,0.149233716475096,0.150682991837415,0.156370669202617,-0.0264705882352941,0.0758245015149711,0.0782283476688172,0.0731062788553103
"IKK",0.182477650063857,0.403535353535354,0.2,0.245454545454545,0.296396396396396,0.212121212121212,0.266666666666667,-0.273113553113553,0.043956043956044,0.303369763205829,0.225777777777778,0.228,0.1,0.179831932773109,-0.256802199385719,-0.0219047619047619,-0.0587179487179487,-0.0294871794871795,0.0166666666666667,-0.105117147745339,-0.0886614515428075,-0.0975764086937271,-0.140877474521122,0.15124016938899,0.15124016938899,0.15124016938899,0.148423267980539,0.168216276477146,-0.1,-0.05,-0.0166666666666667,-0.05,0.0294871794871795,0.0587179487179487,-0.243073835317993,-0.0548521303258145,-0.0548521303258145,-0.2,-0.294508057675997,-0.283758169934641,-0.3,-0.2,-0.1,-0.210533910533911,-0.4,-0.237564499484004,-0.0778428616057482,-0.16,-0.35,-0.394444444444444,-0.412335353535354,-0.185925925925926,-0.253472222222222,-0.252482123212321,-0.444704184704185
"STAT",0.0115572477190094,0.275867224880383,0.05,-0.0509803921568627,0.0662873284907183,-0.0698993110757817,0.0747619047619048,-0.272903871829106,-0.0661616161616162,0.231657014157014,0.212258064516129,0.213333333333333,0.233333333333333,-0.0461822660098522,-0.371880440637404,-0.422730210965505,-0.383346065699007,-0.362337662337662,-0.321428571428571,-0.407834245292087,-0.3996101690108,-0.37893503339415,-0.274751742014909,-0.130402191894127,-0.130402191894127,-0.130402191894127,-0.131148460550844,0.142988844175978,0.3,0.271428571428571,0.321428571428571,0.271428571428571,0.362337662337662,0.385414585414585,0.268941385099561,-0.0417339071185225,-0.0417339071185225,-0.213333333333333,-0.233121475031238,0.0926382047071702,-0.05,-0.1,-0.05,0.0922294081631603,-0.07,-0.156666666666667,0.104589871736623,-0.0433333333333333,-0.259090909090909,-0.265340909090909,-0.282147418117098,-0.0177519379844961,-0.154830917874396,-0.157129768449109,-0.207154737559646
