"","ZEB2","PAK1","EGR1","SUFU","FUS","Patched","SHH","cateninmemb","TCFLEF","HEY1","CD44","cateninnuc","Destcompl","Frizzled","SNAI2","DSH","FOXC2","STAT","Wnt","Ecadherin","GLI","SRC","AKT","cMet","NOTCH","IKK","LIV1","NOTCHic","GSK3","AXIN2","ILK","SMAD","Jagged","NFB","Csl","RAS","RAF","PI3K","DELTA","RKIP","SMO","Csn","TrCP","SNAI1","TWIST1","miR200","KLF4","cfos","MEK","ERK","CDC42","TGFR","TGF","ZEB1","SOSGRB2"
"Frizzled",-0.265159500168094,-0.366666666666667,-0.2,0,0.05,0.0915584415584415,0.10123586091328,-0.00840731772935163,-0.11722974655181,0.0716639388979815,-0.112593984962406,-0.120563079885143,0.27636290505495,-0.125,-0.0146646905253998,0,0.0647189530176066,0.1,0.119736842105263,-0.10650606278065,0.112593984962406,0.125,-0.197083333333333,0.119736842105263,-0.199089635854342,-0.178333333333333,0.1,-0.189285714285714,0.351859979101358,0.0806060606060606,-0.0906380441264162,-0.0934417824441732,-0.0857754010695187,-0.153333333333333,-0.164285714285714,0.258532785076507,0.245146958304853,0.245146958304853,0.245146958304853,0.152619047619048,-0.0772727272727273,-0.133333333333333,-0.1,0.216701173222912,0.212310924369748,0.139501262626263,0.272549019607843,0.22,0.252461873638344,0.237647058823529,0.373333333333333,0.37768115942029,0.371014492753623,0.265159500168094,0.378787878787879
"DSH",-0.262009893868882,-0.373333333333333,-0.22,0.05,0.0772727272727273,0.10123586091328,0.100622363980765,-0.0101741021816484,-0.120563079885143,0.0734183248628937,-0.11722974655181,-0.120295938300103,0.275790385970981,-0.119736842105263,-0.0140826183484498,-0.125,0.0668834551821088,0.125,0.112593984962406,-0.105189118092327,0.117169148361099,0.119736842105263,-0.20742816091954,0.112593984962406,-0.202586139350845,-0.197083333333333,0.1,-0.199089635854342,0.352556034785813,0.0835596471039509,-0.0934417824441732,-0.0953285748970034,-0.0896513700617668,-0.178333333333333,-0.189285714285714,0.258812897121324,0.258532785076507,0.258532785076507,0.258532785076507,0.147723942723943,-0.0915584415584415,-0.153333333333333,-0.133333333333333,0.212933057280883,0.213020144227904,0.138281750431141,0.267694650675804,0.237647058823529,0.253213753337592,0.252461873638344,0.37768115942029,0.371014492753623,0.365091147805888,0.262009893868882,0.383665927568367
"GSK3",-0.259483890897113,-0.37768115942029,-0.237647058823529,0.0772727272727273,0.0915584415584415,0.100622363980765,0.103493177377894,-0.0107046061604283,-0.120295938300103,0.0730723041016481,-0.120563079885143,-0.120164359352735,0.275543820278835,-0.112593984962406,-0.0148591498411159,-0.119736842105263,0.0644911106845012,0.119736842105263,0.117169148361099,-0.105024481938227,0.120942733266759,0.112593984962406,-0.215975169466549,0.11722974655181,-0.209599126363832,-0.20742816091954,0.125,-0.202586139350845,0.251724088030406,0.0846250961146054,-0.0953285748970034,-0.0954784999344847,-0.092425092689504,-0.197083333333333,-0.199089635854342,0.257972560986871,0.258812897121324,0.258812897121324,0.258812897121324,0.142460784829206,-0.10123586091328,-0.178333333333333,-0.153333333333333,0.212600831367262,0.21263602130857,0.136757717605818,0.265404574339926,0.252461873638344,0.257191026064865,0.253213753337592,0.371014492753623,0.365091147805888,0.364578327293067,0.259483890897113,0.382270578731157
"Destcompl",-0.259313099276096,-0.289387755102041,-0.204102564102564,0.144444444444444,0.161685823754789,0.174920464761451,0.177821818726635,-0.163490037268933,-0.195980144937413,0.0572219233757695,-0.195980144937413,-0.195470201031243,0.179618164606218,-0.190258751902588,0.0666169978345545,-0.188888888888889,0.0573508983774378,0.188888888888889,0.194219147942191,-0.0753770189566413,0.196631021782637,0.190258751902588,-0.158511089354393,0.193741338967264,-0.166673456588068,-0.153141961837614,0.188888888888889,-0.162064238151195,0.274980506080112,0.0984532830927045,-0.0731746031746032,-0.0732915622389307,-0.22549252116806,-0.136024844720497,-0.151194672933803,0.150996631919204,0.151310603661747,0.151310603661747,0.151310603661747,0.21932118433047,-0.170257252326218,-0.114285714285714,-0.1,0.256295557389113,0.224352082521654,0.159891943632896,0.267246301918182,0.216223776223776,0.221812764257255,0.222234705185525,0.284560168895144,0.281402274158302,0.281697840660765,0.259313099276096,0.268306202662828
"ILK",-0.257121005566646,-0.35,-0.2,0,0.05,0.091025641025641,0.0993589743589744,0.0144196715280679,-0.116463415402251,0.075922375811388,-0.111378669639539,-0.117906714371323,0.298298348550929,-0.111111111111111,-0.03045555019154,-0.1,0.0746085946573752,0.1,0.106763285024155,-0.142211968276857,0.111378669639539,0.111111111111111,-0.119155354449472,0.106763285024155,-0.210980148883375,-0.096078431372549,0.1,-0.198076923076923,0.368205868205868,0.0807619047619048,-0.0935014005602241,-0.0975014005602241,-0.088421052631579,-0.0666666666666667,-0.175,0.300201862064876,0.291982683982684,0.291982683982684,0.291982683982684,0.158564964447317,-0.0833333333333333,-0.0333333333333333,0,0.206855877616747,0.208298543936463,0.138082195459245,0.26359649122807,0.228571428571429,0.264251274280204,0.246218487394958,0.355882352941176,0.355882352941176,0.350191296030607,0.257121005566646,0.368846153846154
"AKT",-0.255066211046098,-0.355882352941176,-0.228571428571429,0.05,0.0833333333333333,0.0993589743589744,0.103569500674764,0.0137061139337763,-0.117906714371323,0.0781780149091324,-0.116463415402251,-0.117137483602092,0.297719357649358,-0.106763285024155,-0.0307570577292285,-0.111111111111111,0.0746085946573752,0.111111111111111,0.111378669639539,-0.142514998579887,0.116406602600433,0.106763285024155,-0.230266465560583,0.111378669639539,-0.219516734249228,-0.119155354449472,0.1,-0.210980148883375,0.367802642399417,0.0818449372528795,-0.0975014005602241,-0.0985115015703251,-0.0930568142209829,-0.096078431372549,-0.198076923076923,0.299960898209454,0.300201862064876,0.300201862064876,0.300201862064876,0.155459374385206,-0.091025641025641,-0.0666666666666667,-0.0333333333333333,0.204600238519003,0.20982759592423,0.137547436100956,0.259322986954566,0.246218487394958,0.265517097065014,0.264251274280204,0.355882352941176,0.350191296030607,0.349889181226982,0.255066211046098,0.371068376068376
"ZEB2",-0.239677710740703,-0.233766233766234,-0.158333333333333,-0.075,-0.075,-0.073815331010453,-0.0729062401013621,-0.0648409740555446,-0.0501511407627049,-0.048900293255132,-0.0487426900584795,-0.0483329589445231,-0.0475019131299826,-0.0360606060606061,-0.0336691844900928,-0.0227272727272727,-0.00294017094017094,0.03,0.0386247086247086,0.0394551397755084,0.0413770022026903,0.0433333333333333,0.0436604361370716,0.0459649122807018,0.0481748633879781,0.0483333333333333,0.05,0.052,0.0530038307472381,0.0545840383876532,0.058021978021978,0.0592414902171,0.0619866906965371,0.0638888888888889,0.0666666666666667,0.067748129814511,0.0696753246753247,0.0696753246753247,0.0696753246753247,0.0816425120772947,0.0835714285714286,0.0888888888888889,0.1,0.122169034896914,0.128257876304434,0.138382726913962,0.140088249770853,0.174122807017544,0.180141689787017,0.183800226372383,0.221038961038961,0.223079777365492,0.224137978423693,0.239677710740703,0.242619047619048
"ZEB1",-0.234889129449496,-0.214750957854406,-0.133333333333333,-0.0666666666666667,-0.0791666666666667,-0.0661541889483066,-0.0672218046066696,-0.120765991946066,0.0292521866503444,-0.0509493701462614,0.0279223994163019,0.0314048285290137,-0.0625089312192553,0.0401858304297329,-0.00106676796944398,0.0523809523809524,-0.0128733191044857,-0.0435897435897436,-0.0401858304297329,0.0454298913826024,-0.0364057617012105,-0.0313946216385241,0.0664443896626813,-0.0313946216385241,0.0869784070653055,0.0650158182341099,-0.0666666666666667,0.0861519607843137,0.040444075999283,0.00102191319005478,0.0623818785641514,0.0609395708718437,0.0905867583009923,0.0764912280701754,0.0979166666666667,-0.00121292478678715,-0.000110562582062736,-0.000110562582062736,-0.000110562582062736,0.0789087894697179,0.0700757575757576,0.113333333333333,0.133333333333333,0.10530064832627,0.164483416753548,0.135824171267209,0.23358764744758,0.153333333333333,0.147601278396821,0.149803921568627,0.216200233216725,0.219753532709111,0.221328335858717,0.234889129449496,0.201832358674464
"SMAD",-0.224787669002996,-0.230952380952381,-0.285714285714286,-0.0666666666666667,-0.0541666666666667,-0.0437538226299694,-0.0396646032991144,0.0902409287175659,0.0249335066455347,-0.00881664595687649,0.0223554876496053,0.0236163840518164,0.114441505739813,0.0547619047619048,-0.108720645053935,0.0380952380952381,0.0131669881736002,-0.0114285714285714,-0.0509157509157509,-0.0747438110840427,-0.048757477534456,-0.0280952380952381,-0.0218804855275444,-0.0241736694677871,0.0269348659003831,-0.0178804855275444,-0.04,0.0309031198686371,0.215906667823961,-0.0373665447855793,0.0200287383849028,-0.0818760235198591,0.0587459851975981,-0.0198412698412698,0.0228571428571429,0.226252271458718,0.223949639879771,0.223949639879771,0.223949639879771,0.0743803711545647,0.0391666666666667,-0.00555555555555556,0.05,0.124679108078302,0.136986140383084,0.111583574847765,0.224568130032273,0.288940092165899,0.294306818462857,0.28661451077055,0.240811535881958,0.235783602921065,0.236182009295567,0.224787669002996,0.240564921620822
"STAT",-0.183808499193115,-0.140909090909091,-0.233333333333333,0,0.025,0.0513565891472868,0.0469318103862249,0.149856704748678,0.0507497453475371,0.0653333333333333,0.0504342879342879,0.0511073138815062,0.121572294223894,0.0410714285714286,-0.0450209711481876,0.0285714285714286,0.0119563735514656,-0.0285714285714286,-0.0547077922077922,-0.163937182721996,-0.0505061115355233,-0.0410714285714286,-0.0801533494753834,-0.0547077922077922,-0.0360952042848102,-0.0852380952380953,0,-0.0448330683624801,0.136648865153538,-0.0470697929521459,-0.0644122383252818,-0.0690099394747071,-0.0255461387015226,-0.09,-0.0529411764705882,0.143672842363863,0.141434036393714,0.141434036393714,0.141434036393714,0.0296782496782497,-0.0583333333333333,-0.05,0,0.0718600293715501,0.0179442746159388,0.0906553687276579,0.27979797979798,0.233333333333333,0.224794433902593,0.22156862745098,0.165909090909091,0.160645933014354,0.155331923352518,0.183808499193115,0.121059113300493
"Jagged",-0.175845410628019,-0.2,-0.1,0,0,0.0583333333333333,0.066025641025641,0.00196817267239802,0.00610722610722611,0.166666666666667,0.00307692307692308,-0.00378288378288378,0.000416988416988418,0,-0.0854700854700855,0,-0.0242857142857143,0,0.02,0.00259649122807018,-0.00307692307692308,0,-0.0666666666666667,0.02,0.0514285714285714,-0.0333333333333333,0,0.08,0.0325670498084291,-0.00571428571428572,-0.0666666666666667,-0.0714285714285714,-0.032987012987013,0,0.1,0.0624242424242424,0.0533333333333333,0.0533333333333333,0.0533333333333333,0.0102564102564103,-0.0333333333333333,0,0,0.0416666666666667,0.08,0.0842424242424242,0.188888888888889,0.2,0.22,0.22,0.2,0.188888888888889,0.184888888888889,0.175845410628019,0.22
"SHH",-0.175,-0.2,0,0.2,0.2,0.333333333333333,0.213333333333333,-0.00344086021505377,0.0433333333333333,0.0666666666666667,0.05,0.0377777777777778,-0.213766233766234,-0.2,-0.0454406130268199,-0.2,0,0.1,0.1,-0.0436111111111111,0.05,0.1,0.1,0,0.0333333333333333,0.1,0,0,-0.21025641025641,-0.0476190476190476,-0.0666666666666667,-0.1,-0.0657142857142857,0,-0.1,-0.126923076923077,-0.15,-0.15,-0.15,0.04,-0.3,0,0,0,0,0.0833333333333333,0.2,0.1,0.12,0.1,0.3,0.3,0.24,0.175,0.3
"NOTCH",-0.168438003220612,-0.2,-0.2,0,0.0333333333333333,0.066025641025641,0.0601432880844645,-0.00483811005011507,-0.00378288378288378,0.171014492753623,0.00610722610722611,-0.00582370010941439,0.000416988416988418,-0.02,-0.0785917785917786,0,-0.0181632653061225,0,-0.00307692307692308,0.0034029428409734,-0.00610722610722611,0.02,-0.0777777777777778,-0.00307692307692308,-0.0453456221198157,-0.0666666666666667,0,0.0514285714285714,0.0325670498084291,-5.390835579515e-05,-0.0714285714285714,-0.0714285714285714,-0.032987012987013,-0.0333333333333333,0.08,0.0696706192358366,0.0624242424242424,0.0624242424242424,0.0624242424242424,-8.8417329796632e-05,-0.0583333333333333,0,0,0.0401282051282051,0.0749152542372881,0.0813852813852814,0.175845410628019,0.22,0.22,0.22,0.188888888888889,0.184888888888889,0.168759856630824,0.168438003220612,0.225263157894737
"PAK1",-0.167516095398502,-0.161904761904762,-0.24,0.0476190476190476,0.0642857142857143,0.0613386812311543,0.0653386812311543,0.0890353306017715,0.053985767946164,0.064625040420966,0.051022804983201,0.0535719748427157,0.0919214356777144,0.0611111111111111,-0.089676186636364,0.05,-0.0138944055334497,-0.05,-0.0532163742690058,-0.0833993012293168,-0.0507773498787619,-0.0611111111111111,-0.0976851851851852,-0.053003003003003,-0.0574725274725275,-0.0958333333333333,-0.05,-0.0530769230769231,0.0901298701298701,-0.0554565170245066,-0.0693377709506742,-0.068047448370029,-0.0407988241308793,-0.0958333333333333,-0.0576923076923077,0.12241197242632,0.122866517880865,0.122866517880865,0.122866517880865,-0.00328916019523753,-0.0675115207373272,-0.0833333333333333,-0.0333333333333333,0.0409526346688366,0.0664108789760964,0.0818172985237781,0.16824251886547,0.235652173913043,0.234567428150332,0.230567428150332,0.156022408963585,0.151476954418131,0.153662746767858,0.167516095398502,0.198624862486249
