"","ZEB2","TGF","FOXC2","NOTCH","FUS","cateninmemb","KLF4","SUFU","SMO","IKK","SNAI2","Ecadherin","HEY1","NFB","Csn","AXIN2","TWIST1","SNAI1","cMet","cateninnuc","RKIP","TCFLEF","Wnt","SRC","GLI","Frizzled","STAT","RAF","cfos","EGR1","GSK3","RAS","PI3K","DELTA","ERK","MEK","DSH","CD44","Destcompl","TrCP","LIV1","AKT","Patched","SHH","SMAD","ILK","miR200","Jagged","NOTCHic","Csl","SOSGRB2","PAK1","CDC42","TGFR","ZEB1"
"SRC",-0.243755615453729,-0.299105339105339,-0.288986928104575,-0.156904761904762,-0.0166666666666667,-0.203592276605299,-0.14031007751938,0.0333333333333333,-0.0366666666666667,0.142307692307692,-0.151842720805136,-0.224224528195116,-0.0184624296590533,0.15,0.15,-0.131745930553785,-0.0715851964127826,-0.210116152527705,-0.095,-0.0882901559734048,-0.280775496904529,-0.0831447421031587,-0.095,-0.075,-0.0868032786885246,-0.075,0,-0.246324572382144,0.0212121212121212,0.0666666666666667,-0.166839826839827,0.247839723897296,0.246324572382144,0.246324572382144,-0.001010101010101,0.0121974461597103,0.1,0.0868032786885246,-0.0120958751393534,-0.1,0,-0.125641025641026,0.0403703703703704,0.0433115468409586,0.0321183025130394,0.0366228070175439,0.134112135851266,0.0315266996000941,0.149761904761905,0.145,0.127142857142857,0.288888888888889,0.288888888888889,0.293650793650794,0.243755615453729
"TGFR",-0.240949471398934,-0.3001536643026,-0.299924597900675,-0.210834366989167,-0.12,-0.122635903032333,-0.241538175148015,-0.0866666666666667,-0.123448275862069,0.0173558897243108,-0.220665436632785,-0.109388769028687,-0.090319197051493,0.0226190476190476,0.00833333333333333,-0.0957497861646646,-0.202236720706472,-0.221737496882308,-0.0636477987421384,-0.0623266058331407,-0.204112554112554,-0.0595808130962054,-0.0541239892183288,-0.0466666666666667,-0.0573497956699417,-0.0371428571428571,-0.0666666666666667,-0.166666666666667,-0.161654135338346,-0.114285714285714,-0.108087461799202,0.174269005847953,0.166666666666667,0.166666666666667,-0.150543024227235,-0.14506357217244,0.0571428571428571,0.0662793776895068,0.0124049855495323,-0.0333333333333333,0.1,-0.0127047269336131,0.114073275862069,0.119158021624781,0.117811927100183,0.12030303030303,0.137065151817655,0.118189579731489,0.210114942528736,0.206666666666667,0.201559454191033,0.391111111111111,0.395873015873016,0.299444444444444,0.240949471398934
"PAK1",-0.230097187202674,-0.233140260575169,-0.234725553804364,-0.0605128205128205,-0.0595238095238095,-0.0675364126888716,-0.229396825396825,-0.0761904761904762,-0.0498463901689708,-0.043859649122807,-0.185040220182048,-0.047242818515263,-0.0554222888555722,-0.0333333333333333,-0.0333333333333333,-0.0663791554357592,-0.122301806888763,-0.151878002665592,-0.0505205205205205,-0.05001446991546,-0.138869270692475,-0.05001446991546,-0.0506627680311891,-0.0559259259259259,-0.0452969143726525,-0.0559259259259259,-0.03,-0.0865773951857166,-0.0582608695652174,-0.08,0.0289047619047619,0.082031940640262,0.0865773951857166,0.0865773951857166,-0.0463964627855564,-0.0503964627855564,0.03,0.0455700254710156,0.05687552213868,0.0333333333333333,0.05,0.0364522417153996,0.0560192296751437,0.0550192296751437,0.0617494452978324,0.0598139614268647,0.11660724896019,0.0442474011588275,0.0605128205128205,0.058974358974359,0.16012101210121,0.228571428571429,0.230532212885154,0.232047364400306,0.230097187202674
"ZEB1",-0.230030049616433,-0.195247329837087,-0.21758194381311,-0.0788587749149247,-0.116666666666667,0.220122098101765,-0.226587654123192,-0.0916666666666667,-0.0984848484848485,-0.142461892436008,0.0455349452442476,0.177554806339385,-0.118901167916712,-0.137543859649123,-0.153333333333333,0.100156452922549,-0.181038540747279,-0.0934291089995127,0.00238752161277269,0.00746988803840638,-0.0865275021561289,0.0110902402888956,0.00598588403466452,0.0180737961225766,0.0132023788800253,0.0213704994192799,0.0205128205128205,0.0915080031303347,0.0546666666666667,0.0666666666666667,0.020826359461187,-0.0910355621854528,-0.0915080031303347,-0.0915080031303347,0.0629019607843137,0.0668667184935648,-0.0238095238095238,-0.0100264105016616,-0.013741602966461,0.133333333333333,0.0333333333333333,0.149604749578865,0.0984848484848485,0.103111183004421,0.130470685538413,0.130951454769182,0.130732936262409,0.106572353248074,0.0772058823529412,0.0791666666666667,0.169395711500975,0.192337164750958,0.193786440113277,0.193278825900079,0.230030049616433
"CDC42",-0.229132556977593,-0.232047364400306,-0.231966933114709,-0.0605128205128205,-0.0761904761904762,-0.06588806104052,-0.229396825396825,-0.0333333333333333,-0.0595238095238095,-0.0333333333333333,-0.183231901918033,-0.0477272475810069,-0.0554222888555722,-0.0333333333333333,-0.0333333333333333,-0.0695238095238095,-0.119584415584416,-0.154025974025974,-0.0559259259259259,-0.05001446991546,-0.141631701631702,-0.0455700254710156,-0.0559259259259259,-0.03,-0.0506627680311891,-0.03,-0.05,-0.0816993464052288,-0.08,-0.06,0.0278138528138528,0.0865773951857166,0.0816993464052288,0.0816993464052288,-0.0582608695652174,-0.0463964627855564,0.05,0.0505205205205205,0.0538680033416875,0,0.1,0.043859649122807,0.0498463901689708,0.0560192296751437,0.0598139614268647,0.0582010582010582,0.11660724896019,0.0467013888888889,0.058974358974359,0.0666666666666667,0.161111111111111,0.314285714285714,0.228571428571429,0.230532212885154,0.229132556977593
"ZEB2",-0.226611757566777,-0.190631484917199,-0.180491064491065,-0.140238755779739,-0.139285714285714,-0.128293869675892,-0.127033753711134,-0.125,-0.125,-0.117777777777778,-0.116276297113572,-0.112844025337894,-0.111319648093842,-0.111111111111111,-0.111111111111111,-0.0998328578474249,-0.0872146220847157,-0.0760418481877053,-0.0745614035087719,-0.0722324804756235,-0.0705797101449275,-0.0704142986574417,-0.0689044289044289,-0.0666666666666667,-0.0633998417484656,-0.0612121212121212,-0.06,-0.0207359307359307,0.0114035087719298,0.0166666666666667,0.017715445153385,0.0192370013997423,0.0207359307359307,0.0207359307359307,0.0243067345783814,0.0291847833588692,0.0545454545454545,0.0690058479532164,0.0880146373441016,0.1,0.1,0.11871235721703,0.125,0.125909090909091,0.12762265903111,0.12762265903111,0.128573653521073,0.134783672384929,0.139692307692308,0.141025641025641,0.150457875457875,0.185714285714286,0.187532467532468,0.189573283858998,0.226611757566777
"NOTCH",-0.224154589371981,-0.223111111111111,-0.221836734693878,-0.0646082949308756,-0.0333333333333333,-0.0999686266097298,-0.224154589371981,0,-0.0833333333333333,-0.0222222222222222,-0.186337953985013,-0.0821726089417091,-0.16231884057971,-0.0333333333333333,0,-0.078921832884097,-0.0979661016949153,-0.149358974358974,-0.0169230769230769,-0.0356253270538985,-0.126525198938992,-0.0425641025641026,-0.0169230769230769,-0.04,-0.0502564102564103,-0.04,-0.1,-0.0636363636363636,-0.06,0,-0.00630442354580285,0.0766798418972332,0.0636363636363636,0.0636363636363636,-0.0933333333333333,-0.0719047619047619,0.1,0.0502564102564103,0.0446381120773644,0,0,0.0222222222222222,0.0602564102564102,0.0484917043740573,0.0585714285714286,0.0619047619047619,0.112900432900433,0.0551418951418951,-0.0257142857142857,-0.04,0.145263157894737,0.2,0.211111111111111,0.223111111111111,0.224154589371981
"STAT",-0.222772099695177,-0.220387946975476,-0.198391274710293,-0.0708171906915482,-0.075,-0.193109344097049,-0.123143196672608,-0.05,-0.055,-0.0142857142857143,-0.133400857828102,-0.214347997219873,-0.0533333333333333,0,0,-0.115304303539598,-0.0332353303867547,-0.131895807546863,-0.0787337662337662,-0.0742816174852304,-0.118632561132561,-0.0715402587248013,-0.0787337662337662,-0.0696428571428571,-0.0694900687547746,-0.0696428571428571,-0.0571428571428571,-0.132501033912324,-0.0666666666666667,-0.0666666666666667,-0.0497952825990209,0.129515959285459,0.132501033912324,0.132501033912324,-0.0490196078431372,-0.0414927261227071,0.0571428571428571,0.0693320568320568,0.0648977649757532,0,0,0.0159806295399516,0.0573255813953488,0.0582105371475612,0.0597645621633628,0.0586151368760064,0.11358913221188,0.0506728293666049,0.0698463169051404,0.0725490196078431,0.0857142857142857,0.209090909090909,0.215340909090909,0.217972488038277,0.222772099695177
"GLI",-0.192529100529101,-0.0838808731039586,-0.183115217578259,-0.00284293292913983,0.0571428571428571,-0.0570759181935015,-0.19223595023595,0.0571428571428571,0.0676691729323308,-0.0169411624298842,-0.16780293339283,-0.0339778902088769,-0.0318884944521617,-0.0108187134502924,-0.00555555555555556,-0.0621256038647343,-0.096009177579636,-0.100537983521854,-0.0436900078678206,-0.0428133235940796,-0.0851944182927301,-0.0425144592784789,0.0250474383301708,-0.0461290322580645,-0.0711227744357867,0.0238709677419355,-0.03,0.0146361718737024,0.0421428571428571,0.0171428571428571,-0.0729862066956515,-0.0176064689034054,-0.0146361718737024,-0.0146361718737024,0.0512337662337662,0.0517862524216115,-0.04,0.0402417320057516,0.0516698070167588,0.0166666666666667,0.05,0.0122536624298842,-0.0656283566058002,-0.0660398792395451,0.0324253949627084,0.0308037733410868,0.0967518343369737,0.0115825209182051,0.00379531388152078,0.00629531388152078,0.140668505535762,0.0833333333333333,0.0833333333333333,0.0827044025157233,0.192529100529101
"Wnt",-0.18675274988044,-0.12,-0.113603238866397,-0.142857142857143,0,-0.0700847457627119,-0.184313725490196,0,-0.05,0.0866666666666667,-0.137068965517241,-0.0694222771720805,-0.0256410256410256,0.0666666666666667,0.1,-0.106060606060606,-0.0394117647058824,-0.0535714285714286,-0.05,-0.0701414131354877,-0.045,-0.0800751879699248,-0.05,-0.1,-0.0657894736842105,0,-0.1,-0.116541353383459,-0.0333333333333333,0,-0.124059561128527,0.10745044429255,0.116541353383459,0.116541353383459,-0.0533333333333333,-0.0474509803921569,0,0.0657894736842105,0.00257787325456499,-0.1,0,-0.0991666666666667,0.0590909090909091,0.0352813852813853,0.0344265553567879,0.0367521367521367,0.085959595959596,0.0419362745098039,0.142857142857143,0.1,0.0242424242424242,0.1,0.1,0.12,0.18675274988044
"Frizzled",-0.185762650870539,-0.119047619047619,-0.108952076075699,-0.136974789915966,-0.05,-0.0659577616357277,-0.189075630252101,0,-0.0590909090909091,0.0991666666666667,-0.136122593277494,-0.0710539788037821,-0.0235133660665576,0.0866666666666667,0.0666666666666667,-0.115362931642001,-0.0327450980392157,-0.0583333333333333,-0.0657894736842105,-0.0691890321831068,-0.0485714285714286,-0.0701414131354877,-0.0657894736842105,-0.05,-0.0800751879699248,-0.05,-0.1,-0.10745044429255,-0.0533333333333333,-0.0333333333333333,-0.125877742946708,0.120836271064203,0.10745044429255,0.10745044429255,-0.0474509803921569,-0.0363398692810458,0,0.0800751879699248,-0.00405342648018303,-0.1,0.1,-0.0866666666666667,0.0352813852813853,0.0385071917329982,0.0353611347960403,0.0344265553567879,0.085959595959596,0.049006981580511,0.142857142857143,0.142857142857143,0.0393939393939394,0.1,0.12,0.12,0.185762650870539
"SMAD",-0.185135461674852,-0.176971852855132,-0.177531578885718,-0.140197044334975,-0.158333333333333,-0.0967881810969954,-0.185278301765379,-0.183333333333333,-0.143333333333333,-0.147852474323063,-0.182908020106934,-0.0762154458049456,-0.118185384612794,-0.134126984126984,-0.138888888888889,-0.0723856201672776,-0.114102481492077,-0.0840655303477884,-0.0408403361344538,-0.0394256026727213,-0.0861718496061533,-0.0392229684275338,-0.0342490842490843,-0.0447619047619048,-0.0270548396447677,-0.0380952380952381,-0.0114285714285714,0.0103946010321556,-0.0631336405529954,-0.0857142857142857,0.084047148896773,-0.0159867062953135,-0.0103946010321556,-0.0103946010321556,-0.0515057335762512,-0.0534288104993281,0.00476190476190477,0.0339312452253629,0.0420505845614345,0.15,0.04,0.141185807656396,0.151590214067278,0.149731478007799,0.0561634712319644,0.154258709327202,0.0935550924267587,0.141826001955034,0.140197044334975,0.139047619047619,0.136557231588288,0.173809523809524,0.175217974513749,0.175776633731626,0.185135461674852
"PI3K",-0.181975104273171,-0.0152080344332855,-0.0119094076655052,-0.110856079404467,-0.05,-0.0422389828676656,-0.186622807017544,0,-0.05,0.184313725490196,-0.024394302074533,-0.0385012791590111,-0.0164732788484176,0.166666666666667,0.166666666666667,-0.105142857142857,0.0692733258663408,-0.0411151368760064,-0.057487922705314,-0.0602862578083844,-0.036344537815126,-0.0617295567774566,-0.057487922705314,-0.0444444444444444,-0.0713340765514679,-0.0444444444444444,-0.1,-0.0369177489177489,-0.0333333333333333,-0.0333333333333333,-0.0306277056277056,0.0492465160410366,0.0369177489177489,0.0369177489177489,-0.0274509803921569,-0.0159755705560913,0.1,0.0713340765514679,0.00706551410373066,-0.2,0.1,-0.171493212669683,0.0269230769230769,0.0297008547008547,0.0278101640656262,0.0254101640656262,0.0811002134772627,0.0390350877192982,0.117307692307692,0.125,0.0123076923076923,0,0.0176470588235294,0.0176470588235294,0.181975104273171
