"","SOSGRB2","ZEB2","TrCP","LIV1","Frizzled","DSH","RAF","DELTA","cMet","STAT","Csl","Csn","NOTCH","FOXC2","NOTCHic","TGFR","TGF","Jagged","SHH","PAK1","SMAD","AKT","HEY1","ILK","miR200","TWIST1","NFB","IKK","RKIP","KLF4","SNAI1","SNAI2","SMO","FUS","Patched","cfos","EGR1","cateninmemb","ERK","CDC42","MEK","Ecadherin","SUFU","SRC","PI3K","cateninnuc","TCFLEF","CD44","RAS","Wnt","GLI","ZEB1","AXIN2","Destcompl","GSK3"
"Destcompl",-0.14145996216282,-0.24714858376283,0.233333333333333,-0.283333333333333,-0.31983039791259,-0.304761904761905,-0.479094461344152,-0.479094461344152,-0.33027815910662,-0.304761904761905,-0.369541715628672,0.247619047619048,-0.400244425396033,-0.207652217232521,-0.388019976498237,-0.119903700137042,-0.121972665654283,-0.369474949495266,0.0425720617149916,-0.112244897959184,-0.238943191311612,0.291523442238353,-0.254855059470444,-0.230873015873016,-0.0474869807704228,0.00610518191735107,0.265010351966874,0.282127469083991,0.325222437508797,-0.232198609710025,0.334503648649234,0.352859311885945,-0.042495894909688,-0.0367816091954023,-0.0450865684848176,-0.0547785547785548,-0.0487179487179487,-0.289307737352992,-0.0575107952157132,0.115693173821253,-0.0587766180005234,-0.0289092211149916,-0.0333333333333333,0.31983039791259,0.479094461344152,0.347246204255266,0.343829580083925,0.3384871143305,0.488513613620447,0.330721487021501,0.338699223570666,0.24714858376283,0.388884893430242,0.51374629269903,0.599161985362164
"DSH",-0.220029563932003,-0.173632798045222,0.0666666666666667,-0.1,-0.0947368421052632,-0.1,-0.371853488409643,-0.371853488409643,-0.0983082706766917,-0.1,-0.279761904761905,0.0466666666666667,-0.279899022546081,-0.312601343984453,-0.277801120448179,-0.287329192546584,-0.293252537494319,-0.153480461247219,-0.137052824476137,-0.26,-0.192186789988826,0.0938649425287356,-0.204358687225429,-0.181243393762411,0.00701920115792067,-0.107062697419393,0.0716666666666667,0.0904166666666667,0.22501332001332,-0.168942916972614,0.220427881297447,0.00309067472631591,0.126623376623377,0.140909090909091,0.126623376623377,0.00745098039215686,0.0133333333333333,-0.153602762020741,0.00745098039215686,0.27304347826087,0.0112103788883975,-0.196174732567375,0.15,0.0947368421052632,0.371853488409643,0.10774900879959,0.107125678434497,0.104268535577354,0.379976737709362,0.0983082706766917,0.102883434075385,0.173632798045222,0.149391174030562,0.447948828256713,0.510417584921945
"GSK3",-0.227936540676189,-0.17318703281491,0.0466666666666667,-0.1,-0.0983082706766917,-0.0947368421052632,-0.379976737709362,-0.379976737709362,-0.104268535577354,-0.0947368421052632,-0.277801120448179,0.0716666666666667,-0.290028892675951,-0.314036750683017,-0.279899022546081,-0.293252537494319,-0.293508947750729,-0.159465862707073,-0.142315982370874,-0.27304347826087,-0.195635065850895,0.0904461391099322,-0.215085330824044,-0.192186789988826,0.00737090104068737,-0.106678574500059,0.0904166666666667,0.0938649425287356,0.2262664528454,-0.170469634529866,0.220760107211068,0.0037809249420191,0.126623376623377,0.126623376623377,0.137052824476137,0.00745098039215686,0.00745098039215686,-0.155371108616674,0.0112103788883975,0.287329192546584,0.0134831061611247,-0.197063767799512,0.140909090909091,0.0983082706766917,0.379976737709362,0.10774900879959,0.10774900879959,0.107125678434497,0.385018754516085,0.102883434075385,0.105241924641422,0.17318703281491,0.152891935065569,0.451295076935825,0.415742044156554
"Frizzled",-0.215151515151515,-0.172057994895616,0.1,-0.1,-0.1,0,-0.363192071086808,-0.363192071086808,-0.0947368421052632,-0.1,-0.271428571428571,0.0666666666666667,-0.277801120448179,-0.304376235759345,-0.279761904761905,-0.27304347826087,-0.287329192546584,-0.142627748068925,-0.126623376623377,-0.266666666666667,-0.181243393762411,0.0904166666666667,-0.183306055646481,-0.163486384416617,0.00458017676767677,-0.105644257703081,0.0466666666666667,0.0716666666666667,0.21452380952381,-0.158263305322129,0.218978605935128,0.00157728706624606,0.140909090909091,0.15,0.126623376623377,0.0133333333333333,0.0333333333333333,-0.150186978746301,0.00745098039215686,0.26,0.00745098039215686,-0.193277454253064,0.1,0.1,0.363192071086808,0.107125678434497,0.104268535577354,0.0983082706766917,0.371853488409643,0.0947368421052632,0.0983082706766917,0.172057994895616,0.144749823819591,0.442223637417018,0.501368861024033
"AKT",-0.237307692307692,-0.168595329611269,0.166666666666667,-0.1,-0.0671497584541063,-0.0888888888888889,-0.266820613176778,-0.266820613176778,-0.0625343738387217,-0.0888888888888889,-0.257692307692308,0.133333333333333,-0.239911033105368,-0.312009658292072,-0.244789081885856,-0.296564801530368,-0.302909212406501,-0.135863831764843,-0.156284300494827,-0.269117647058824,-0.197782831920647,0.0556423968188674,-0.209886182513088,-0.19071212484994,0.0124113374354454,-0.122914751005278,0.150980392156863,0.15867269984917,0.209062420955004,-0.165412730544309,0.211850913515673,-0.0937345299647765,0.142307692307692,0.15,0.147863247863248,0.0274509803921569,0.0333333333333333,-0.159597147538496,0.0290903246544519,0.281117647058824,0.0341536157936925,-0.237799407428707,0.15,0.0671497584541063,0.266820613176778,0.0612008523308161,0.0628931600231238,0.0630993455901341,0.268989287875573,0.0625343738387217,0.0619757146208446,0.168595329611269,0.108520543235345,0.375954861485529,0.355064857484212
"PI3K",-0.237307692307692,-0.167910398104419,0.2,-0.1,-0.0888888888888889,-0.1,-0.268190476190476,-0.268190476190476,-0.0671497584541063,-0.1,-0.25,0.166666666666667,-0.244789081885856,-0.305242740998839,-0.257692307692308,-0.281117647058824,-0.296564801530368,-0.131228070175439,-0.147863247863248,-0.275,-0.19071212484994,0.15867269984917,-0.19710422762587,-0.18031212484994,0.0113418187188679,-0.120774078222403,0.133333333333333,0.150980392156863,0.202230122818358,-0.159429824561404,0.211099033816425,-0.0910209621255805,0.15,0.15,0.142307692307692,0.0333333333333333,0.0333333333333333,-0.156844853960514,0.0274509803921569,0.269117647058824,0.0290903246544519,-0.233860013489313,0.1,0.0888888888888889,0.268190476190476,0.0628931600231238,0.0630993455901341,0.0625343738387217,0.266820613176778,0.0671497584541063,0.0625343738387217,0.167910398104419,0.111047619047619,0.374217888780814,0.352645502645503
"ILK",-0.237307692307692,-0.167910398104419,0.2,-0.1,-0.0888888888888889,-0.1,-0.268190476190476,-0.268190476190476,-0.0671497584541063,-0.1,-0.25,0.166666666666667,-0.244789081885856,-0.305242740998839,-0.257692307692308,-0.281117647058824,-0.296564801530368,-0.131228070175439,-0.147863247863248,-0.275,-0.19071212484994,0.15867269984917,-0.19710422762587,-0.18031212484994,0.0113418187188679,-0.120774078222403,0.133333333333333,0.150980392156863,0.202230122818358,-0.159429824561404,0.211099033816425,-0.0910209621255805,0.15,0.15,0.142307692307692,0.0333333333333333,0.0333333333333333,-0.156844853960514,0.0274509803921569,0.269117647058824,0.0290903246544519,-0.233860013489313,0.1,0.0888888888888889,0.268190476190476,0.0628931600231238,0.0630993455901341,0.0625343738387217,0.266820613176778,0.0671497584541063,0.0625343738387217,0.167910398104419,0.111047619047619,0.374217888780814,0.352645502645503
"TWIST1",0.0805511549218643,-0.162154259522681,0.2,-0.266666666666667,-0.337301587301587,-0.309523809523809,-0.36822340074712,-0.36822340074712,-0.360705842620736,-0.309523809523809,-0.242962962962963,0.3,-0.295164220824598,0.134001154509407,-0.276296296296296,0.225347439916405,0.227853134677226,-0.272135380057496,0.356190266249784,0.200606060606061,-0.0147275087869147,0.38261004532191,-0.0278388278388278,-0.0117572117572118,-0.0722261817419558,0.232658684755367,0.338461538461538,0.362271062271062,0.197764678199461,-0.132676672920575,0.184779239181682,0.656308155710329,-0.323111111111111,-0.311111111111111,-0.340919330289193,-0.175072463768116,-0.153333333333333,0.0909032606965709,-0.190861937452326,-0.217847439916405,-0.198324624019491,0.475331778057954,-0.3,0.337301587301587,0.36822340074712,0.400708145594249,0.391794977106612,0.378778131777363,0.383291893897805,0.361512113617377,0.379912113617377,0.162154259522681,0.430784108364754,0.37754199629705,0.357009936811287
"CD44",-0.461904761904762,-0.147619047619048,-0.1,-0.1,-0.1,0,0.166666666666667,0.166666666666667,-0.2,-0.1,0.2,0,0.166917293233083,-0.1875,0.214285714285714,-0.195,-0.183888888888889,0.0473659673659674,0.04,-0.2,0.0487528344671202,-0.0666666666666667,0.0608187134502924,0.0222222222222222,-0.0479929732103645,-0.14959706959707,0,-0.0333333333333333,-0.0459259259259259,-0.0523809523809524,0.156007442849548,-0.345387945387945,-0.1,-0.1,-0.04,0.325,0.3,-0.04003663003663,0.345,0.22,0.355,-0.111973727065465,-0.1,0.2,-0.166666666666667,0.0185569469290399,0.0324031007751938,0.0533333333333333,-0.180952380952381,0.1,0.0533333333333333,0.147619047619048,0.09,0.107344756084252,0.143452380952381
"MEK",-0.283873015873016,-0.138406185238323,0.1,0,0.0966666666666667,0.0666666666666667,-0.054043179043179,-0.054043179043179,0.126585695006748,0.0666666666666667,0.0171717171717172,0.0571428571428571,0.0696422393502685,-0.302756071721589,0.0440947940947941,-0.305482866043614,-0.320811333196898,0.0885605075618714,-0.0385376620593593,-0.293333333333333,-0.0169996957916426,0.02014196587726,0.00882131418716785,-0.00629858878057254,0.00121497848894445,-0.280795021971493,0.0196428571428571,0.0166125541125541,0.0891272298393041,-0.12702056432329,0.271481780676192,-0.505926888601575,0.0506666666666667,0.0466666666666667,0.0391912568306011,0.216551724137931,0.22,-0.181458872276663,0.214424064563463,0.293333333333333,0.124424064563463,-0.347361393544401,-0.0333333333333333,-0.103508771929825,0.054043179043179,-0.153208541025717,-0.147632332847279,-0.141271009692062,0.0448368298368298,-0.11974358974359,-0.134428904428904,0.138406185238323,-0.139674484611193,0.21529465459299,0.261374624140582
