"","ZEB2","AXIN2","SOSGRB2","Destcompl","DSH","STAT","SRC","cMet","cateninnuc","TCFLEF","CD44","Patched","MEK","KLF4","FOXC2","GSK3","ERK","FUS","NOTCHic","cfos","SNAI2","PAK1","CDC42","RAF","PI3K","DELTA","TGF","TrCP","SUFU","Csl","NFB","miR200","RAS","TGFR","Csn","NOTCH","AKT","EGR1","IKK","SMAD","Jagged","HEY1","SNAI1","ILK","SHH","RKIP","SMO","ZEB1","TWIST1","GLI","Wnt","LIV1","Frizzled","cateninmemb","Ecadherin"
"ZEB2",-0.121636147890332,-0.117048118083996,-0.112124542124542,-0.111885584320713,-0.109090909090909,-0.1,-0.0933333333333333,-0.0880701754385965,-0.0869980863383384,-0.0863487356889877,-0.0852923976608187,-0.0318466898954704,-0.0268244371747622,-0.0258840195561771,-0.0168205128205128,-0.0159888503017418,-0.0146293152235427,-0.0142857142857143,-0.012,-0.0114035087719298,-0.00595534048776759,-0.00519480519480519,-0.00337662337662338,-0.00294372294372294,-0.00294372294372294,-0.00294372294372294,-0.00148697862983577,0,0,0,0.00138888888888889,0.001813008734887,0.00272959018141031,0.00274582560296846,0.0111111111111111,0.0136393442622951,0.0160098650051921,0.0166666666666667,0.0169444444444444,0.017952348235756,0.0188489057239057,0.0203056620798556,0.0225036885075058,0.0264889336016097,0.0273012353500158,0.0305636070853462,0.0342857142857143,0.0460872456947236,0.0581020010046737,0.0936263125253951,0.0972960372960373,0.1,0.102424242424242,0.104900675056891,0.133287492829559
"STAT",-0.104079254079254,-0.0325490196078431,-0.0241789819376026,-0.0475857311556818,0.0428571428571429,0.0428571428571429,0.0178571428571429,0.0178571428571429,0.0105730212402005,0.0068781463891874,0.00845543345543345,-0.0417054263565892,-0.0389753320683112,0.000713012477718355,0.0459563735514656,-0.0656964842011571,-0.0572549019607843,-0.1,-0.0590355060943296,-0.0866666666666667,-0.0696819632817381,0.0727272727272727,0.0352272727272727,0.0695978081058726,0.0695978081058726,0.0695978081058726,0.0350111527171024,-0.1,-0.15,-0.0725490196078431,0.08,-0.141819549596713,-0.0725828827327383,0.0325956937799043,-0.1,0.0522393895894753,0.0633736884584342,0.0666666666666667,0.0752380952380952,0.058495752123938,0.0560915201714838,0.0313333333333333,-0.0115809878686312,0.0355072463768116,0.0532098511353502,-0.0228507078507079,0.0533333333333333,-0.219105253720638,-0.0966362057066705,-0.0069327731092437,-0.0178571428571429,-0.1,-0.0178571428571429,-0.00691227555238941,-0.0629102287696951
"PAK1",-0.101500282566203,0.129062180500047,0.0749862486248625,0.167316891814599,0.11,0.11,0.0988888888888889,0.0880780780780781,0.0918951310477429,0.0907916827718808,0.0870879790681771,-0.0597513796438528,-0.0228081552444117,-0.0873916211293261,0.035485507912164,0.0851893939393939,-0.024141488577745,-0.0404761904761905,-0.119230769230769,-0.0495652173913044,-0.0651901374057893,0.0238095238095238,0.0179271708683473,-0.0272238163558106,-0.0272238163558106,-0.0272238163558106,0.0350906085235883,-0.133333333333333,-0.0904761904761905,-0.126923076923077,0.0958333333333333,-0.167658110775459,0.0263147254467197,0.0285332314744079,-0.108333333333333,0.12032967032967,0.0998294346978557,0.08,0.0905701754385965,0.0822973203618365,0.104434006475801,0.0670539730134933,-0.0393224907475232,0.0816521590715139,0.0817513796438527,-0.0560671740782238,0.0437019969278034,-0.253899302377226,-0.0227186147186147,-0.0842675795179005,-0.0857309941520468,-0.15,-0.0988888888888889,-0.127969935775584,-0.155094095689532
"Jagged",-0.0997584541062802,0.132857142857143,0.08,0.154965250965251,0,0,0.1,0.12,0.0603596403596404,0.0724475524475524,0.0815384615384615,-0.0833333333333333,-0.06,-0.138888888888889,0.0271428571428571,0.0992337164750958,-0.06,-0.1,-0.26,0,-0.0256410256410257,0,0.1,-0.0533333333333333,-0.0533333333333333,-0.0533333333333333,0.0164444444444444,0,0,-0.2,0.1,-0.127878787878788,0.0533333333333333,0.0444444444444444,0,0.26,0.122222222222222,-0.1,0.133333333333333,0.0357142857142857,0.108051948051948,-0.05,-0.05,0.05,0.0448717948717949,-0.00512820512820513,0.133333333333333,-0.21231884057971,-0.011,-0.0815384615384615,-0.12,0,-0.1,-0.0928278763490031,-0.127614035087719
"cfos",-0.0908893500903186,0.133464696223317,0.0680555555555556,0.167166515874749,0.15,0.15,0.11,0.0988888888888889,0.0907916827718808,0.0870879790681771,0.0880780780780781,-0.0437019969278034,-0.024141488577745,-0.0775555555555556,0.0306579217052675,0.0870075757575758,-0.0495652173913044,-0.0904761904761905,-0.126923076923077,-0.08,-0.0637434827945777,0.0571428571428571,0.0238095238095238,-0.0308823529411765,-0.0308823529411765,-0.0308823529411765,0.0285332314744079,-0.1,-0.133333333333333,-0.15,0.108333333333333,-0.167150496562261,0.0272238163558106,0.0179271708683473,-0.133333333333333,0.119230769230769,0.0905701754385965,-0.04,0.0958333333333333,0.0816521590715139,0.0946180555555556,0.0420539730134933,-0.0514943284563538,0.0542328042328042,0.0597513796438528,-0.0621445221445222,0.0404761904761905,-0.245860717168223,-0.0227186147186147,-0.0857309941520468,-0.0988888888888889,-0.1,-0.11,-0.125772133577781,-0.15530170814628
"CDC42",-0.0908893500903186,0.133464696223317,0.0680555555555556,0.167166515874749,0.15,0.15,0.11,0.0988888888888889,0.0907916827718808,0.0870879790681771,0.0880780780780781,-0.0437019969278034,-0.024141488577745,-0.0775555555555556,0.0306579217052675,0.0870075757575758,-0.0495652173913044,-0.0904761904761905,-0.126923076923077,-0.08,-0.0637434827945777,0.157142857142857,0.0238095238095238,-0.0308823529411765,-0.0308823529411765,-0.0308823529411765,0.0285332314744079,-0.1,-0.133333333333333,-0.15,0.108333333333333,-0.167150496562261,0.0272238163558106,0.0179271708683473,-0.133333333333333,0.119230769230769,0.0905701754385965,0.06,0.0958333333333333,0.0816521590715139,0.0946180555555556,0.0420539730134933,-0.0514943284563538,0.0542328042328042,0.0597513796438528,-0.0621445221445222,0.0404761904761905,-0.245860717168223,-0.0227186147186147,-0.0857309941520468,-0.0988888888888889,-0.1,-0.11,-0.125772133577781,-0.15530170814628
"TWIST1",-0.0851614772667404,-0.0977172290075516,-0.0361536505701265,-0.125639379858356,-0.0666666666666667,-0.0666666666666667,-0.0611111111111111,-0.0653664302600473,-0.0615007376042655,-0.0615582419170889,-0.0641616109829388,-0.123665144596651,-0.174296139440099,-0.0936105899520534,-0.012646018647519,-0.113515950244976,-0.173798627002288,-0.155555555555556,0.0288319088319088,-0.18695652173913,0.231638087577932,-0.0181818181818182,-0.0181818181818182,0.091104659858613,0.091104659858613,0.091104659858613,-0.0197649616897908,0,-0.166666666666667,0.0237037037037037,-0.00769230769230769,0.220694196974461,-0.0928169886257363,-0.0231818181818182,0,-0.0288319088319088,-0.0185881914695474,0.2,-0.021978021978022,0.00556771893405557,0.0158417305528676,0.0168063574843236,0.179274875468913,0.00391755391755392,0.129083863808474,0.116373540286584,0.119555555555556,0.235701490964649,-0.0236587392394029,0.065574269005848,0.0663742690058479,0.0666666666666667,0.0611111111111111,0.113432495673919,0.151198286285845
"NOTCH",-0.0812399355877617,0.123423180592992,0.0957894736842105,0.153096092086746,0.1,0.1,0.12,0.0815384615384615,0.0607678036249465,0.0603596403596404,0.0724475524475524,-0.0448717948717949,-0.0314285714285714,-0.0997584541062802,0.0210204081632653,0.108324625566005,-0.06,-0.133333333333333,-0.26,-0.06,-0.0378103378103378,0.1,0.0444444444444444,-0.0533333333333333,-0.0533333333333333,-0.0533333333333333,0.0196702508960573,0,-0.1,-0.26,0.133333333333333,-0.156450216450216,0.0518840579710145,0.0164444444444444,-0.1,0.13741935483871,0.111111111111111,0,0.122222222222222,0.0623809523809524,0.096940836940837,-0.0717391304347826,-0.0546153846153846,0.0357142857142857,0.0507541478129713,-0.0568523430592396,0.0833333333333333,-0.238244766505636,-0.0330338983050847,-0.0724475524475524,-0.0815384615384615,0,-0.12,-0.0996341590715162,-0.141323712507074
"SRC",-0.0661500449236298,-0.0201602278039866,-0.0342857142857143,-0.0651556776556777,0,0.1,0.05,0.03,0.0166463258097209,0.017764894042383,0.0250819672131148,-0.0418518518518519,-0.0358681151133981,0.00988372093023256,0.0999346405228758,-0.0669264069264069,-0.0717171717171717,-0.15,0.0347619047619048,-0.0272727272727273,-0.086534241676663,0.155555555555556,0.143055555555556,0.159382561535252,0.159382561535252,0.159382561535252,0.0965620490620491,0.1,-0.1,0.03,-0.0166666666666667,-0.0842951251646904,-0.154837106989798,0.100198412698413,0.05,-0.049047619047619,-0.0662393162393163,0,-0.0551282051282051,0.0244784257942153,0.0629051987767584,0.0114366103939093,0.0588023493849127,0.0109649122807018,0.0300871459694989,-0.024177256435321,0.09,-0.124812818209045,-0.0404989263609953,-0.0250819672131148,-0.03,0,-0.05,0.00864204460410118,-0.0504460572107631
"GSK3",-0.0640616925231847,-0.176256081691498,0.0949957888585228,0.271989898988994,-0.126315789473684,-0.126315789473684,-0.126315789473684,-0.130951551063088,-0.126805422161136,-0.127594895845347,-0.129999170110707,-0.140441664674794,0.116636922445746,-0.0643927622186502,-0.0535510348484645,0.267036584627975,0.117205104263928,-0.136147186147186,-0.148462321991734,0.102919389978214,-0.190164132277309,-0.0443478260869565,-0.0433954451345756,-0.213060721406447,-0.213060721406447,-0.213060721406447,-0.0389775053507821,-0.22,-0.140909090909091,-0.150560224089636,0.21375,-0.251008197846419,0.21201030123838,-0.0402595566328334,-0.22,0.148202581731993,0.212865826702034,-0.0992156862745098,0.210301724137931,0.116319116667455,0.0273001103781482,0.103277002500645,-0.186580641019468,0.117368591929823,0.147618698167616,-0.163152724468514,0.136147186147186,-0.321391782146043,-0.197074712468691,0.131726444301653,0.132198142414861,0.1,0.126315789473684,-0.184624315790228,-0.222234672837172
