"","GSK3","TGF","CDC42","TGFR","Ecadherin","Destcompl","SOSGRB2","ZEB1","cateninmemb","RKIP","AXIN2","ERK","RAF","MEK","cfos","RAS","SNAI1","ZEB2","SNAI2","NOTCHic","ILK","NOTCH","miR200","Csl","AKT","TrCP","SUFU","SMO","NFB","IKK","SHH","HEY1","Csn","FUS","Patched","Jagged","SMAD","FOXC2","KLF4","LIV1","SRC","CD44","Frizzled","GLI","cateninnuc","PI3K","DELTA","TCFLEF","cMet","Wnt","EGR1","STAT","DSH","TWIST1","PAK1"
"cMet",-0.374923195084485,-0.404343971631206,-0.3625,-0.395833333333333,0.240551084926392,-0.179550395096614,-0.519523809523809,-0.0812409812409812,0.127273343501102,-0.0985185185185185,0.207460317460317,0.205,0.0142857142857143,0.206818181818182,0.225,0.0199460916442048,-0.392397660818713,-0.426695526695527,0.160492986332402,-0.0481203007518797,-0.0605442176870748,-0.0459926411774116,-0.36745045564339,-0.0428571428571429,-0.1475,-0.2,0.1,0.1,0.166666666666667,-0.16,0.0909090909090909,0.0900240798073615,-0.2,0.1,0.0909090909090909,0.126835917705483,0.0569078540507112,-0.166170886075949,-0.50952380952381,0.1,-0.05,-0.181627906976744,-0.15,-0.179090909090909,-0.188190271166227,-0.0142857142857143,-0.0142857142857143,-0.189320214669052,-0.17,-0.17,-0.225,0,-0.1,0.298411326501214,0.3
"CD44",-0.379761904761905,-0.395833333333333,-0.3,-0.3625,0.243858972967105,-0.184955800502019,-0.492857142857143,-0.0984126984126984,0.13047619047619,-0.0985185185185185,0.19,0.225,0,0.205,0.225,0.0142857142857143,-0.392397660818713,-0.40952380952381,0.171441891441891,-0.0428571428571429,-0.0666666666666667,-0.0481203007518797,-0.35651295564339,0,-0.16,-0.1,0.1,0.1,0.2,-0.166666666666667,0.0909090909090909,0.095906432748538,-0.2,0.1,0.1,0.124662004662005,0.0605442176870748,-0.1725,-0.466666666666667,0.1,0,-0.17,-0.1,-0.17,-0.189320214669052,0,0,-0.181627906976744,-0.05,-0.15,-0.2,0.1,0,0.304029304029304,0.2
"RAS",-0.34235142118863,-0.326872451951077,-0.32,-0.325882352941176,0.0914287120206009,-0.224795961423868,-0.251948051948052,-0.0490500736377025,-0.000974230401974622,-0.139339622641509,0.243610013175231,0.0702631578947368,-0.0569230769230769,0.0683023735810113,0.065,-0.153076923076923,-0.299813176007866,-0.366030927835052,0.046812930466328,-0.00526315789473684,0.0272727272727273,-0.00337636544190665,-0.306246153846154,0,0.0144444444444444,-0.1,0.1,-0.0166666666666667,0,0.02,0.00380790960451977,-0.0357707509881423,-0.1,0,-0.00466666666666667,0.0774728957224522,-0.0272727272727273,-0.108888888888889,-0.365,0,-0.2,-0.211264080100125,-0.2,-0.209313725490196,-0.210819538805726,0.0569230769230769,0.0569230769230769,-0.212802541638587,-0.217647058823529,-0.217647058823529,-0.04,-0.1,-0.1,0.192896890343699,0.3
"SRC",-0.185108225108225,-0.35469696969697,-0.358333333333333,-0.358333333333333,0.185336558865971,-0.0157568880394967,-0.278571428571429,0.0561545372866128,0.080273911091154,-0.135353535353535,0.140371456500489,0.0686868686868687,0.0580892782644973,0.0743472460453592,0.0575757575757576,0.0596044297796488,-0.242816808523329,-0.364982030548068,-0.0811040022934915,0.103809523809524,0.0280701754385965,0.0895238095238095,-0.282614551310204,0.08,-0.0756410256410256,-0.1,-0.0333333333333333,-0.00333333333333333,0.0833333333333333,-0.0756410256410256,-0.0040958605664488,0.00416252896391923,-0.05,0.0166666666666667,-0.00703703703703704,0.004691837214773,-0.0199620673304884,-0.0996451914098973,-0.460658914728682,0,-0.075,-0.0968032786885246,-0.075,-0.0968032786885246,-0.0958429469375561,-0.0580892782644973,-0.0580892782644973,-0.104120351859256,-0.105,-0.105,-0.0666666666666667,0,-0.1,0.159599595806492,0.333333333333333
"RKIP",-0.28053585500394,-0.335220293724967,-0.32,-0.334285714285714,0.180936953506517,-0.192156723316504,-0.343619047619048,0.0163213773314204,0.104311201958261,-0.0932773109243697,0.195159399906235,0.199655172413793,-0.0616883116883117,0.218804108584006,0.21,-0.0522866022866023,-0.327970757199173,-0.35248493543759,0.227424083464475,-0.129292929292929,-0.0638425331621737,-0.106216006216006,-0.27812247720102,-0.111111111111111,-0.0722943722943723,-0.1,0.1,0.0866666666666667,0.0571428571428571,-0.0571428571428571,0.0904699453551913,0.0532326751838947,-0.1,0.0666666666666667,0.0986666666666667,0.126760449510874,0.0608722361324708,-0.090509873268494,-0.34648493543759,0,-0.166666666666667,-0.163427800269906,-0.166666666666667,-0.15974358974359,-0.158153685072126,0.0616883116883117,0.0616883116883117,-0.154336891178996,-0.140350877192982,-0.136666666666667,-0.21,-0.1,-0.1,0.167653000594177,0.3
"RAF",-0.28053585500394,-0.335220293724967,-0.32,-0.334285714285714,0.180936953506517,-0.192156723316504,-0.343619047619048,0.0163213773314204,0.104311201958261,-0.0932773109243697,0.195159399906235,0.199655172413793,-0.0616883116883117,0.218804108584006,0.21,-0.0522866022866023,-0.327970757199173,-0.35248493543759,0.227424083464475,-0.129292929292929,-0.0638425331621737,-0.106216006216006,-0.27812247720102,-0.111111111111111,-0.0722943722943723,-0.1,0.1,0.0866666666666667,0.0571428571428571,-0.0571428571428571,0.0904699453551913,0.0532326751838947,-0.1,0.0666666666666667,0.0986666666666667,0.126760449510874,0.0608722361324708,-0.090509873268494,-0.34648493543759,0,-0.166666666666667,-0.163427800269906,-0.166666666666667,-0.15974358974359,-0.158153685072126,0.0616883116883117,0.0616883116883117,-0.154336891178996,-0.140350877192982,-0.136666666666667,-0.21,-0.1,-0.1,0.167653000594177,0.3
"MEK",-0.279798754266839,-0.33230058569577,-0.334285714285714,-0.335220293724967,0.185854986293403,-0.187135802814412,-0.352507936507937,0.0210832820933251,0.098213640982651,-0.0906457319770013,0.195159399906235,0.218804108584006,-0.0522866022866023,0.117137441917339,0.199655172413793,-0.0526040626040626,-0.325406654635071,-0.351691284643939,0.22620753845231,-0.106216006216006,-0.0608722361324708,-0.117164911325495,-0.275336099492042,-0.129292929292929,-0.071117901706137,-0.1,0.0666666666666667,0.0986666666666667,0.0571428571428571,-0.0722943722943723,0.0963522982963677,0.0495963115475311,-0.0571428571428571,0.0866666666666667,0.0904699453551913,0.120203072461694,0.0627172545826553,-0.0932125759711967,-0.350406504065041,-0.1,-0.140350877192982,-0.154336891178996,-0.136666666666667,-0.150652680652681,-0.152019856075844,0.0522866022866023,0.0522866022866023,-0.158153685072126,-0.163427800269906,-0.15974358974359,-0.21,-0.166666666666667,-0.166666666666667,0.168751901693078,0.32
"ERK",-0.276074866891726,-0.329828058223242,-0.335220293724967,-0.33230058569577,0.183623609705692,-0.18769950067236,-0.351537062721529,0.0209258017783645,0.103733420191483,-0.0859103559324331,0.197598424296479,0.117137441917339,-0.0526040626040626,0.123544127154108,0.218804108584006,-0.0491937215699592,-0.323091839820256,-0.349014119289608,0.229002849543383,-0.117164911325495,-0.0627172545826553,-0.109685686948764,-0.27264002106067,-0.106216006216006,-0.0747876264767792,-0.0571428571428571,0.0866666666666667,0.0904699453551913,0.0722943722943723,-0.071117901706137,0.0944199311466093,0.0499376084758587,-0.0571428571428571,0.0986666666666667,0.0963522982963677,0.123215120654465,0.0663646709960291,-0.0913322340908548,-0.348080922669692,-0.166666666666667,-0.163427800269906,-0.158153685072126,-0.15974358974359,-0.154913332281753,-0.154033744964733,0.0526040626040626,0.0526040626040626,-0.152019856075844,-0.154336891178996,-0.150652680652681,-0.199655172413793,-0.140350877192982,-0.136666666666667,0.165561887823453,0.334285714285714
"Wnt",-0.248667711598746,-0.297971014492754,-0.3,-0.306666666666667,-0.0348553819639579,-0.216147511636233,-0.0393939393939394,0.0729794356767097,-0.0979661016949153,-0.228333333333333,0.235757575757576,-0.153333333333333,-0.162406015037594,-0.147450980392157,-0.133333333333333,-0.144224196855776,-0.15916149068323,-0.30545193687231,-0.243275862068966,-0.142857142857143,0.0769230769230769,-0.10952380952381,-0.242626262626263,-0.1,0.18,0.1,0,-0.05,-0.2,0.18,-0.0543290043290043,-0.0835897435897436,0.1,-0.1,-0.0590909090909091,0.0285049019607843,-0.0885509838998211,-0.0974089068825911,-0.317647058823529,0,-0.2,-0.211842105263158,-0.1,-0.211842105263158,-0.199424886720112,0.162406015037594,0.162406015037594,-0.186842105263158,-0.175,-0.175,0.1,-0.1,0,0.0276470588235294,0.3
"Frizzled",-0.246849529780564,-0.289399585921325,-0.306666666666667,-0.297971014492754,-0.0220348691434451,-0.206333188028806,-0.0424242424242424,0.0759497327064127,-0.117966101694915,-0.224761904761905,0.228780831571529,-0.147450980392157,-0.144224196855776,-0.147450980392157,-0.153333333333333,-0.151310811029004,-0.151224982746722,-0.300501441822805,-0.24548406396171,-0.10952380952381,0.0885509838998211,-0.13109243697479,-0.231688762626263,-0.142857142857143,0.17375,0.1,-0.1,-0.0590909090909091,-0.18,0.18,-0.0511031978773914,-0.094228041462084,0.2,-0.05,-0.0543290043290043,0.00931298276886512,-0.0801397689465501,-0.106711232463986,-0.303361344537815,-0.1,-0.175,-0.186842105263158,-0.175,-0.186842105263158,-0.182758220053445,0.144224196855776,0.144224196855776,-0.199424886720112,-0.211842105263158,-0.211842105263158,0.133333333333333,-0.2,-0.1,0.0343137254901961,0.3
