"","cateninmemb","Ecadherin","cateninnuc","SNAI2","CD44","cMet","Wnt","RAF","PI3K","DSH","TrCP","SMAD","HEY1","SUFU","TGFR","TGF","FUS","SMO","SHH","Patched","ERK","MEK","cfos","EGR1","FOXC2","Jagged","Csl","NOTCHic","NOTCH","RKIP","SNAI1","SOSGRB2","TWIST1","ZEB2","ZEB1","CDC42","ILK","miR200","NFB","Csn","PAK1","IKK","AKT","LIV1","KLF4","STAT","Destcompl","Frizzled","DELTA","SRC","RAS","GLI","TCFLEF","AXIN2","GSK3"
"TWIST1",0.547818720954718,0.592716455057037,0.421375791647187,0.555324158245153,0.406302616748656,0.38823032759203,0.389014202172097,0.269373057190894,0.269373057190894,0.323809523809524,-0.1,0.0190853319566191,0.0288570186875272,-0.3,-0.245054858934169,-0.262139141394306,-0.333333333333333,-0.353333333333333,-0.359905976561621,-0.357442922374429,0.197704042715484,0.204171704407027,0.195072463768116,0.173333333333333,-0.0437984090178389,0.348173857816637,0.288148148148148,-0.318917378917379,-0.340615492124926,-0.251971823710954,-0.324080852961073,0.278278472099982,-0.40659901565508,-0.17359025692359,-0.17359025692359,0.217554858934169,-0.00885430885430885,0.215991335639171,-0.0538461538461538,0,0.172727272727273,-0.0919413919413919,-0.129229527534612,-0.266666666666667,-0.152939337085679,-0.323809523809524,-0.255842580459009,-0.362698412698413,-0.269373057190894,-0.362698412698413,-0.289236070889524,-0.407414202172097,-0.415337838800724,-0.456297358555423,-0.22894698465576
"SNAI2",0.556548930329318,0.614690623717932,0.422461474817808,0.567056441601201,0.404390782623404,0.386111212730931,0.386111212730931,0.372942259923284,0.372942259923284,0.323636363636364,0.1,0.100712087517128,0.111106088004822,-0.2,-0.355182072829132,-0.375057849226647,-0.26,-0.289411764705882,-0.298351115093925,-0.295534213685474,0.201960784313725,0.208717541070482,0.184313725490196,0.166666666666667,0.139531784665133,0.367602249770889,0.332894736842105,-0.369736842105263,-0.393113465481887,-0.219551282051282,-0.247446092065517,0.390567951318458,-0.416110049527857,-0.138059576253409,-0.138059576253409,0.321848739495798,-0.0877934272300469,0.174830861390596,-0.25,-0.2,0.264705882352941,-0.301724137931034,-0.339073535521396,-0.26,-0.110192307692308,-0.323636363636364,-0.245761227257665,-0.359350649350649,-0.372942259923284,-0.359350649350649,-0.393033584124197,-0.404827790271038,-0.415318617674951,-0.452950443183328,-0.241678066958243
"Ecadherin",0.501499586682513,0.357328501530772,0.365166338781423,0.305593390838451,0.357975284692706,0.351620769642539,0.352370394829945,0.344800150829563,0.344800150829563,0.317647058823529,0.2,0.0964470646032916,0.115443009418532,-0.233333333333333,-0.329649667405765,-0.336702108635421,-0.25,-0.24375,-0.246400071966811,-0.244825268817204,0.169587077567672,0.173116489332378,0.16855614973262,0.150909090909091,0.1119949041074,0.317088632717134,0.33177033492823,-0.347234252454003,-0.358014921598984,-0.167827900652941,-0.196238726283763,0.377584183443171,-0.374960504375555,-0.0979241314884647,-0.0979241314884647,0.317454545454545,-0.0913623188405797,0.143438221203584,-0.272380952380952,-0.22,0.297454545454545,-0.302010582010582,-0.321491101491101,-0.3,-0.0727144866385373,-0.317647058823529,-0.198090824519503,-0.338577291381669,-0.344800150829563,-0.338577291381669,-0.354018027924535,-0.359037061496611,-0.362832071741274,-0.415318617674951,-0.198378856603008
"cateninmemb",0.406192041584217,0.350321765135702,0.365166338781423,0.305593390838451,0.357975284692706,0.351620769642539,0.352370394829945,0.344800150829563,0.344800150829563,0.317647058823529,0.2,0.0964470646032916,0.115443009418532,-0.233333333333333,-0.329649667405765,-0.336702108635421,-0.25,-0.24375,-0.246400071966811,-0.244825268817204,0.169587077567672,0.173116489332378,0.16855614973262,0.150909090909091,0.1119949041074,0.317088632717134,0.33177033492823,-0.347234252454003,-0.358014921598984,-0.167827900652941,-0.196238726283763,0.377584183443171,-0.374960504375555,-0.0979241314884647,-0.0979241314884647,0.317454545454545,-0.0913623188405797,0.143438221203584,-0.272380952380952,-0.22,0.297454545454545,-0.302010582010582,-0.321491101491101,-0.3,-0.0727144866385373,-0.317647058823529,-0.198090824519503,-0.338577291381669,-0.344800150829563,-0.338577291381669,-0.354018027924535,-0.359037061496611,-0.362832071741274,-0.415318617674951,-0.198378856603008
"HEY1",0.496884202067129,0.454991597928046,0.362832071741274,0.303606635871564,0.351620769642539,0.338577291381669,0.338577291381669,0.329358974358974,0.329358974358974,0.3,0.1,0.0913623188405797,0.104033613445378,-0.2,-0.317454545454545,-0.329649667405765,-0.233333333333333,-0.25,-0.244825268817204,-0.24375,0.16855614973262,0.169587077567672,0.150909090909091,0.16,0.109020075732114,0.315486802053519,0.305454545454545,-0.33177033492823,-0.347234252454003,-0.168202432488147,-0.192757713625535,0.357847341337907,-0.370305010893246,-0.0969762641898865,-0.0969762641898865,0.297454545454545,-0.0826666666666667,0.142507122507122,-0.22,-0.2,0.245454545454545,-0.272380952380952,-0.302010582010582,-0.233333333333333,-0.0777777777777778,-0.3,-0.194828941947276,-0.317647058823529,-0.329358974358974,-0.317647058823529,-0.344800150829563,-0.352370394829945,-0.357975284692706,-0.404390782623404,-0.193963845565481
"cMet",-0.0458224160181456,0.00732722905984464,-0.0778201590814914,0.0663895714990605,-0.0683720930232558,-0.08,-0.08,0.22,0.22,-0.1,0,0.00985982271696557,0.0321981424148607,-0.1,-0.248611111111111,-0.237972813238771,-0.05,-0.01,0.00818181818181818,0.00818181818181818,0.125,0.108636363636364,0.175,0.175,-0.0820991561181434,0.0160666869362522,0.185714285714286,-0.169924812030075,-0.167797152455607,-0.122962962962963,-0.185134575009687,0.307619047619048,-0.20708153269951,-0.0966810966810967,-0.0966810966810967,0.2875,-0.0116780045351474,0.140543066534914,-0.0666666666666667,0,0.3,-0.0866666666666667,-0.0991666666666667,-0.1,0.00634920634920635,0,-0.0956663992378278,0.1,-0.22,0,-0.231320754716981,0.0663636363636364,0.0699105545617174,0.0988888888888889,-0.141148233486943
"CD44",-0.0376373626373626,0.0096173053957225,-0.0699105545617174,0.0634698634698635,-0.08,0,-0.1,0.2,0.2,0,0.1,0.0116780045351474,0.0263157894736842,-0.1,-0.2875,-0.248611111111111,-0.1,-0.05,0.00818181818181818,-0.01,0.175,0.125,0.175,0.2,-0.0808333333333333,0.0138927738927739,0.2,-0.185714285714286,-0.169924812030075,-0.134074074074074,-0.183439659755449,0.314285714285714,-0.208205128205128,-0.0936507936507936,-0.0936507936507936,0.3,-0.00555555555555555,0.145230566534914,0,0,0.2,-0.0666666666666667,-0.0866666666666667,-0.1,-0.00317460317460317,-0.1,-0.0949907235621521,0.1,-0.2,0,-0.22,0.08,0.0683720930232558,0.11,-0.136309523809524
"SOSGRB2",0.180884598884599,0.180273082882577,0.0736488990370181,0.147781366698703,0.0805383022774327,0.0732919254658385,0.0761904761904762,0.27758945386064,0.27758945386064,0,0,0.058974358974359,0.0731060606060606,0,-0.166593406593407,-0.174394825033123,0.0333333333333333,0.05,0.0434003771213073,0.0527027027027027,0.0226512226512227,0.0287118287118287,0.0523809523809524,0.0857142857142857,-0.0042979242979243,-0.00964047580720319,0.190909090909091,-0.190909090909091,-0.203585147247119,-0.0463815789473684,-0.0948407960199005,0.217777777777778,-0.159014492753623,-0.0500250626566416,-0.0500250626566416,0.174285714285714,-0.0666666666666667,0.0932545914377255,-0.133333333333333,-0.1,0.214285714285714,-0.13859649122807,-0.159429824561403,0,-0.0485964912280702,0,-0.118232662192394,-0.0428571428571429,-0.27758945386064,-0.0428571428571429,-0.287845864117051,-0.0834368530020704,-0.0742225128037485,-0.0794348184818482,-0.177971254240539
"Patched",0.151003584229391,0.0559708737864078,0.151521035598706,0.251218390804598,0.13,0.15,0.05,0.203846153846154,0.203846153846154,0,0,-0.0466666666666667,-0.058974358974359,0.2,0.0466666666666667,0.005,0.1,0.0666666666666667,-0.0658333333333333,-0.0533333333333333,0.06,0.0523076923076923,0,-0.1,0.005,0.151746031746032,0.2,-0.233333333333333,-0.242424242424242,-0.0485714285714286,-0.0596774193548387,-0.0333333333333333,-0.0861111111111111,-0.05,-0.05,-0.0666666666666667,0.0666666666666667,-0.0285714285714286,-0.1,0,-0.166666666666667,-0.1,-0.0571428571428571,-0.1,-0.0166666666666667,-0.1,-0.0671728271728272,0,-0.203846153846154,-0.1,-0.197596153846154,-0.025,-0.146666666666667,-0.276190476190476,-0.0743589743589744
"SMO",0.153916205588614,0.0637199512771827,0.15377667469645,0.251218390804598,0.146666666666667,0.13,0.025,0.197596153846154,0.197596153846154,0,0,-0.0387301587301587,-0.0351648351648352,0.1,0.005,0.0022972972972973,0.0666666666666667,-0.0533333333333333,-0.0436111111111111,-0.0658333333333333,0.0523076923076923,0.0735198135198135,0.06,0,0.005,0.15531746031746,0.233333333333333,-0.242424242424242,-0.252424242424242,-0.0485714285714286,-0.0501536098310292,0.00350877192982456,-0.100816993464052,-0.0449152542372881,-0.0449152542372881,-0.0466666666666667,0.0466666666666667,-0.0247739602169982,-0.1,-0.1,-0.0666666666666667,-0.0571428571428571,-0.0851428571428571,-0.1,-0.0416666666666667,-0.1,-0.0663976333743776,-0.05,-0.197596153846154,-0.15,-0.209224060822898,-0.0416666666666667,-0.151521035598706,-0.286535303776683,-0.0753298481453821
