"","Patched","Jagged","FOXC2","SMO","FUS","NOTCHic","CDC42","Csl","SUFU","RKIP","SOSGRB2","MEK","EGR1","SNAI2","AXIN2","Destcompl","cateninmemb","TCFLEF","Ecadherin","cateninnuc","RAS","RAF","PI3K","GSK3","DELTA","LIV1","Frizzled","GLI","Wnt","DSH","SRC","cMet","CD44","STAT","cfos","ERK","TWIST1","TrCP","Csn","PAK1","NFB","TGFR","NOTCH","TGF","IKK","SNAI1","AKT","SHH","HEY1","ZEB2","ZEB1","ILK","miR200","SMAD","KLF4"
"PAK1",0.430867042157365,0.429331117927744,0.527078707008455,0.382718894009217,0.321428571428571,0.38025641025641,0.426330532212885,0.344871794871795,0.271428571428571,0.328661025898595,0.315057755775578,0.304849914026038,0.28,0.322696206131483,0.210545279920687,0.161446649126274,0.190078242137168,0.171100209120011,0.148208655513216,0.170824347051046,0.194321116473197,0.193866571018651,0.193866571018651,-0.103215367965368,-0.193866571018651,-0.15,-0.166296296296296,-0.165808491418248,-0.166296296296296,-0.17,-0.166296296296296,-0.168998998998999,-0.1699890980089,-0.17,-0.275652173913043,-0.287516580692705,-0.333275738754,-0.2,-0.25,-0.404761904761905,-0.2625,-0.446027501909855,-0.402234432234432,-0.460781600270511,-0.309868421052632,-0.445683303534728,-0.345053606237817,-0.463867042157365,-0.582405855895582,-0.716099192415535,-0.716099192415535,-0.623596176821983,-0.72700664021954,-0.664241338112306,-0.673330210772834
"LIV1",0.430867042157365,0.429331117927744,0.527078707008455,0.382718894009217,0.321428571428571,0.38025641025641,0.426330532212885,0.344871794871795,0.271428571428571,0.328661025898595,0.315057755775578,0.304849914026038,0.28,0.322696206131483,0.210545279920687,0.161446649126274,0.190078242137168,0.171100209120011,0.148208655513216,0.170824347051046,0.194321116473197,0.193866571018651,0.193866571018651,-0.103215367965368,-0.193866571018651,-0.15,-0.166296296296296,-0.165808491418248,-0.166296296296296,-0.17,-0.166296296296296,-0.168998998998999,-0.1699890980089,-0.17,-0.275652173913043,-0.287516580692705,-0.333275738754,-0.2,-0.25,-0.404761904761905,-0.2625,-0.446027501909855,-0.402234432234432,-0.460781600270511,-0.309868421052632,-0.445683303534728,-0.345053606237817,-0.463867042157365,-0.582405855895582,-0.716099192415535,-0.716099192415535,-0.623596176821983,-0.72700664021954,-0.664241338112306,-0.673330210772834
"cfos",0.382718894009217,0.408472222222222,0.508458017353283,0.321428571428571,0.271428571428571,0.344871794871795,0.404761904761905,0.283333333333333,0.2,0.309324009324009,0.304166666666667,0.287516580692705,0.16,0.318356242297848,0.208029556650246,0.161446649126274,0.190627692686618,0.1699890980089,0.148554676274461,0.171100209120011,0.193866571018651,0.192647058823529,0.192647058823529,-0.106488095238095,-0.192647058823529,-0.1,-0.17,-0.166296296296296,-0.166296296296296,-0.15,-0.17,-0.166296296296296,-0.168998998998999,-0.15,-0.28,-0.275652173913043,-0.324580086580087,-0.1,-0.2,-0.371428571428571,-0.25,-0.426330532212885,-0.38025641025641,-0.446027501909855,-0.2625,-0.433034138856924,-0.309868421052632,-0.430867042157365,-0.541229385307346,-0.67976478727084,-0.67976478727084,-0.57037037037037,-0.688935574229692,-0.623596176821983,-0.627428571428571
"NOTCH",0.328846153846154,0.303530543530543,0.437959183673469,0.275,0.2,0.117142857142857,0.355555555555556,0.06,0.1,0.273651635720601,0.296842105263158,0.300476190476191,0.2,0.173414494002729,0.0261725067385445,0.0182857142857143,0.0299757995857104,0.0257609057609058,0.0307362761743067,0.0253527424955996,0.0747826086956522,0.0733333333333333,0.0733333333333333,-0.016501219087426,-0.0733333333333333,0,-0.02,-0.0246620046620047,-0.0276923076923077,0,-0.02,-0.0276923076923077,-0.0246620046620047,0,-0.26,-0.293333333333333,-0.228474576271186,0,-0.1,-0.3,-0.2,-0.383555555555556,-0.259078341013825,-0.402910394265233,-0.255555555555556,-0.398974358974359,-0.277777777777778,-0.387669683257919,-0.582608695652174,-0.620772946859903,-0.620772946859903,-0.5,-0.627619047619048,-0.563333333333333,-0.565217391304348
"STAT",0.277519379844961,0.361980277030254,0.450342194955692,0.233333333333333,0.2,0.327821939586645,0.314204545454545,0.276470588235294,0.15,0.246132561132561,0.13440065681445,0.203213156230234,0.233333333333333,0.329866247834162,0.309149673855556,0.217611305878057,0.302399003645138,0.261207934196893,0.258430946931502,0.261565502730862,0.27150869412244,0.272254962779156,0.272254962779156,-0.200438362260792,-0.272254962779156,-0.1,-0.255357142857143,-0.257878151260504,-0.255357142857143,-0.242857142857143,-0.255357142857143,-0.255357142857143,-0.259630647130647,-0.242857142857143,-0.213333333333333,-0.195686274509804,-0.385812180489842,-0.1,-0.15,-0.295454545454545,-0.17,-0.327362440191388,-0.350152036674024,-0.340405918452257,-0.165238095238095,-0.344708351342153,-0.197441485068604,-0.308492831172395,-0.498666666666667,-0.611816388739466,-0.611816388739466,-0.528502415458937,-0.622563875827941,-0.562985174079627,-0.668201624083977
"DELTA",0.275,0.266493506493506,0.411428571428571,0.2,0.1,0.06,0.3,0,0,0.256410256410256,0.26,0.293333333333333,0.1,0.168652589240825,0.0242857142857143,0.0182857142857143,0.0304993597951344,0.0246620046620047,0.0299298245614035,0.0257609057609058,0.0733333333333333,0.0733333333333333,0.0733333333333333,-0.0187739463601533,-0.0733333333333333,0,0,-0.0276923076923077,-0.02,0,0,-0.02,-0.0276923076923077,0,-0.2,-0.26,-0.22,0,0,-0.2,-0.1,-0.355555555555556,-0.117142857142857,-0.383555555555556,-0.2,-0.366666666666667,-0.255555555555556,-0.328846153846154,-0.5,-0.565217391304348,-0.565217391304348,-0.4,-0.573333333333333,-0.5,-0.5
"TCFLEF",0.00525345622119816,0.312402390325413,0.512547814201915,-0.0157142857142857,-0.03,0.310441575003985,0.345199761478831,0.288872947553005,-0.05,0.255850208936033,-0.0654856440964225,-0.0226231956197113,-0.0185714285714286,0.476764202518086,0.650072283272283,-0.176713171026949,0.219169648263933,0.195245878200556,0.14922205056512,0.19558952081224,0.0588187275382492,0.0605270061190639,0.0605270061190639,0.119903873130855,-0.0605270061190639,-0.266666666666667,-0.301078431372549,-0.299135446820869,-0.298514328808446,-0.296078431372549,-0.296666666666667,-0.294102564102564,-0.295360425737784,-0.291666666666667,0.0258885017421603,0.0287456445993031,-0.38468039492962,0.0285714285714286,0.0194805194805195,-0.335897435897436,0.00748051948051948,-0.355480135310607,-0.318082771017274,-0.361771526039084,0.00425471302890658,-0.287586957440514,-0.0120496347971804,-0.0199773826015663,-0.207624195134329,-0.439039473684211,-0.439039473684211,-0.27664221158958,-0.45267042194753,-0.293659420002582,-0.31740991851286
"GSK3",0.289044868977582,0.181715846266594,0.163330052240701,0.266345482474515,0.25021645021645,0.0499152807976337,0.155486542443064,0.0394257703081232,0.245454545454545,0.0645943530154057,0.222441774523453,0.118936428638441,0.116078431372549,-0.00101084263398465,-0.112327120695423,0.160778319766479,0.0333607084127981,-0.0663501456341165,0.127258714652574,-0.0661527772130638,0.0241087291262811,0.0234784770254408,0.0234784770254408,-0.161761934047045,-0.0234784770254408,0.075,0.0663533834586466,0.0700930554280633,0.0696213573148558,0.0592105263157895,0.0663533834586466,0.068340138425534,0.0678639479493436,0.0592105263157895,-0.116078431372549,-0.113822792274805,-0.0704907077386761,-0.193333333333333,-0.230833333333333,-0.150724637681159,-0.224583333333333,-0.159319295056305,-0.0574477483301013,-0.16496032069733,-0.232629310344828,-0.130329336992633,-0.247159224874742,-0.302441998164185,-0.348367902125812,-0.385655803476084,-0.385655803476084,-0.358951441286209,-0.389546952725003,-0.371095369322191,-0.37336353054525
"DSH",0.266345482474515,0.173978619989222,0.157109956546921,0.25021645021645,0.245454545454545,0.0394257703081232,0.150724637681159,0.0178571428571429,0.2,0.0563236763236763,0.218255728011826,0.113822792274805,0.0866666666666667,-0.00195993668057654,-0.112174913693901,0.160109070030656,0.0330070390936115,-0.0678639479493436,0.127094078498474,-0.0663501456341165,0.0234784770254408,0.0248790372495304,0.0248790372495304,-0.0622611021002892,-0.0248790372495304,0.1,0.0592105263157895,0.0696213573148558,0.0663533834586466,0.075,0.0592105263157895,0.0663533834586466,0.068340138425534,0.075,-0.116078431372549,-0.116078431372549,-0.0667775195184457,-0.133333333333333,-0.193333333333333,-0.133333333333333,-0.230833333333333,-0.155486542443064,-0.0499152807976337,-0.159319295056305,-0.224583333333333,-0.126231884057971,-0.232629310344828,-0.289044868977582,-0.332796967869756,-0.373322965437451,-0.373322965437451,-0.339706158267341,-0.376768523651146,-0.358951441286209,-0.359623072529983
"AXIN2",-0.00201465201465202,0.346792772444946,0.324002944752359,-0.0234432234432235,-0.0615384615384615,0.104555137844612,0.216944444444444,0.0849122807017544,-0.1,0.266419315451574,0.0645543797016448,0.176976594902913,0.166666666666667,0.346656163544398,0.620162273917638,-0.196988771170686,0.26250850115327,0.260519013273248,0.066869215061428,0.26021637600563,-0.0816315543905932,-0.0834688247318005,-0.0834688247318005,0.197665385593303,0.0834688247318005,-0.233333333333333,-0.246976744186047,-0.259999949564489,-0.255597433841219,-0.24,-0.246976744186047,-0.255597433841219,-0.259698380213459,-0.24,-0.164227642276423,-0.170769698351189,-0.273561088449527,-0.133333333333333,-0.144444444444444,-0.205833333333333,-0.157487922705314,-0.227563913470993,-0.118068651358125,-0.2348246395436,-0.179227053140097,-0.300719375223928,-0.19256038647343,-0.0101164955263316,-0.314344060084425,-0.36855827700184,-0.36855827700184,-0.326961122613297,-0.380742730071428,-0.346405567057741,-0.34118814176112
