"","CDC42","TGFR","PAK1","NOTCH","NOTCHic","NFB","Csl","SUFU","Jagged","AKT","SMO","IKK","ZEB2","TrCP","FUS","Csn","SNAI2","Destcompl","cMet","STAT","TCFLEF","cateninnuc","Ecadherin","CD44","AXIN2","SRC","RAF","GSK3","miR200","RAS","LIV1","KLF4","Frizzled","GLI","PI3K","DELTA","cateninmemb","DSH","Wnt","TWIST1","SNAI1","Patched","ZEB1","SHH","ILK","SMAD","HEY1","RKIP","EGR1","ERK","cfos","MEK","FOXC2","SOSGRB2","TGF"
"ZEB2",-0.201558441558442,-0.194075448361163,-0.177922077922078,-0.130799495586381,-0.126974358974359,-0.126388888888889,-0.125641025641026,-0.125,-0.123794673927355,-0.122276739356179,-0.110714285714286,-0.106388888888889,-0.103266705162127,-0.1,-0.0964285714285714,-0.0888888888888889,-0.0799232582937812,-0.0785182954827884,-0.0649122807017544,-0.06,-0.0558486395958598,-0.0454590292062494,-0.0441835428139794,-0.0417641325536062,-0.0390518620246163,-0.0333333333333333,-0.030995670995671,-0.0254985666090762,-0.0207688927016526,-0.0166487759207245,0,0.000434030948293707,0.0187878787878788,0.0266213297405958,0.030995670995671,0.030995670995671,0.0449486512842801,0.0454545454545455,0.0495571095571096,0.0898850216643857,0.090391894099003,0.10095818815331,0.103266705162127,0.108230915426037,0.108651911468813,0.110481179761496,0.121011730205279,0.129838969404187,0.133333333333333,0.166949632144878,0.170175438596491,0.171827680925366,0.20006216006216,0.201446886446886,0.205715660001374
"TWIST1",-0.258181818181818,-0.261931818181818,-0.258181818181818,-0.17053539751653,-0.163931623931624,-0.0769230769230769,-0.151111111111111,-0.233333333333333,-0.201161712045546,-0.0769230769230769,-0.264444444444444,-0.0769230769230769,-0.0768189241873453,-0.1,-0.244444444444444,-0.1,-0.485618036677837,-0.126460603683331,-0.200574130361364,-0.180952380952381,-0.21122992351868,-0.212667531339266,-0.450287662310379,-0.207401439598312,-0.132489875715682,-0.192063492063492,-0.0338336117463252,0.109886327109085,-0.137367501659505,-0.0355459405134485,0.166666666666667,-0.0873045653533458,0.192063492063492,0.205831913116124,0.0338336117463252,0.0338336117463252,0.181228299093939,0.180952380952381,0.199431913116124,0.200523727797755,0.115554022405346,0.274033485540335,0.0768189241873453,0.278466983077281,0.103899353899354,0.104229386902654,0.118041845160489,0.13777520951434,0.153333333333333,0.146353928299008,0.148985507246377,0.148841490488063,0.258238545025867,0.153544954917953,0.268082159867467
"GLI",0.0433333333333333,0.0590566037735849,0.0433333333333333,0.000902488316281423,0.00280725022104333,-0.0274853801169591,-0.00219274977895667,-0.114285714285714,-0.00431436079940231,-0.034468798484306,-0.099812030075188,-0.017281298484306,-0.0605574330090459,-0.0333333333333333,-0.0892857142857143,-0.0222222222222222,0.123830643850322,-0.0492626901440493,-0.0475767112509835,-0.07,-0.0440612611838093,-0.0351551045789079,-0.00331971492289167,-0.0346456767682249,-0.0429876207729469,-0.0280645161290323,0.0745000581327753,0.152144779526419,0.0493413397747763,0.0849951076377258,0.05,-0.0626572286572287,0.118064516129032,0.0233711494206468,-0.0745000581327753,-0.0745000581327753,0.0390144578781966,0.16,0.135711574952562,-0.0710309903264063,-0.0462506276610601,0.0916487647690655,0.0605574330090459,0.0953524684727692,0.00171716626468185,0.00171716626468185,0.00204849856802319,-0.0766867855745711,-0.0942857142857143,-0.103376623376623,-0.0942857142857143,-0.091774413431872,-0.14390286377709,0.00622303949737578,-0.0489389567147614
"ILK",0.0808823529411765,0.0808823529411765,0.075,-0.0923076923076923,-0.0923076923076923,0,-0.1,0,-0.00307017543859649,-0.00331825037707391,0,-0.00588235294117647,-0.0506592336530503,0,0,-0.0333333333333333,0.0496435052947303,-0.00871837511635447,-0.0758454106280193,-0.1,-0.0726120338353205,-0.0740553328043927,0.000137777054213086,-0.0743069490895578,-0.0600952380952381,-0.0888888888888889,-0.0281385281385281,0.0535954785954786,0.0904707240772814,-0.0281385281385281,0.1,-0.0445175438596491,0.0888888888888889,0.0743069490895578,0.0281385281385281,0.0281385281385281,-0.0457661747069961,0.1,0.0758454106280193,-0.0202728846349659,-0.0142632850241546,0,0.0506592336530503,-0.00277777777777778,-0.0254101640656262,-0.0198101640656262,-0.0164732788484176,-0.0469295410471881,-0.0666666666666667,-0.117927170868347,-0.123809523809524,-0.113009138081462,-0.0919419279907085,-0.196923076923077,-0.084947393591583
"miR200",0.0313725490196078,0.0297596457938014,0.0333333333333333,0.0359221841863572,0.0308374384236453,-0.0147368421052632,0.0308374384236453,0.02,0.0245307759929673,-0.0157071925095758,0.02,-0.017593984962406,-0.0454569892473118,0,0.02,-0.02,0.144039852281713,0.072960507651163,0.105511328842621,0.1,0.10637186032113,0.105008223957494,0.200728968817911,0.104387733337003,0.0733549846338828,0.0956521739130435,0.0911442786069652,-0.0057296869027796,-0.0686777199635476,0.0884011364623268,-0.1,-0.0444444444444444,-0.096,-0.104760253830676,-0.0911442786069652,-0.0911442786069652,-0.0932944952462839,-0.1,-0.105859154929577,-0.102221888540907,-0.00127058127058127,-0.0212658227848101,0.0454569892473118,-0.0256136488717666,-0.00458865945591609,-0.00427517983209164,-0.00675141242937853,0.00292141396435875,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0149659863945578,-0.0205801786289591,-0.00196969696969697,-0.0349922039333363
"STAT",0.159090909090909,0.164354066985646,0.159090909090909,-0.0448310103364358,-0.0419183889772125,0.05,-0.0392156862745098,0,-0.0208098300306388,0.0558111380145278,-0.00666666666666667,0.0642857142857143,-0.0351533082302313,0,0,0.05,-0.035610135869072,-0.0744909899374327,-0.106331168831169,-0.114285714285714,-0.109577414348708,-0.107551192656217,-0.188804801799628,-0.105476467976468,-0.0761101643454585,-0.101785714285714,-0.120052729528536,0.11772808188696,0.0795360330322196,-0.117813923558387,0,0.0592889681124975,0.101785714285714,0.105490832696715,0.120052729528536,0.120052729528536,0.0899050815031724,0.114285714285714,0.106331168831169,-0.00403326475290493,-0.112876562939793,0.0089922480620155,0.0351533082302313,0.0134170268230774,-0.0178743961352657,-0.0167249708479094,-0.016,-0.173643822393822,-0.266666666666667,-0.29843137254902,-0.286666666666667,-0.30595825426945,-0.180816632583504,-0.310714285714286,-0.160006240898689
"cfos",0.20952380952381,0.203641456582633,0.185714285714286,0.00461538461538462,0,0.0583333333333333,0,0.0333333333333333,0.0114930555555556,0.056359649122807,0.0357142857142857,0.0458333333333333,-0.0332314846842692,0,0.019047619047619,0.0333333333333333,0.119751951211805,-0.0428582001338062,-0.0366666666666667,-0.05,-0.0427142984568727,-0.0508624466050209,-0.0113819473658142,-0.0555855855855856,-0.0641379310344828,-0.07,-0.0821895424836601,0.0875703463203463,0.0851837704778881,-0.0943846644348797,0.1,-0.0382539682539682,0.07,0.0550877192982456,0.0821895424836601,0.0821895424836601,0.048264158005819,0.05,0.0366666666666667,-0.104372294372294,-0.125206860649899,-0.026036866359447,0.0332314846842692,-0.0322097058656198,-0.0211640211640212,-0.0227769243898276,-0.0220889555222389,-0.187808857808858,-0.16,-0.324347826086957,-0.32,-0.339602063375092,-0.21996993919519,-0.277777777777778,-0.214247517188694
"CDC42",0.20952380952381,0.203641456582633,0.285714285714286,0.00461538461538462,0,0.0583333333333333,0,0.0333333333333333,0.0114930555555556,0.056359649122807,0.0357142857142857,0.0458333333333333,-0.0332314846842692,0,0.019047619047619,0.0333333333333333,0.119751951211805,-0.0428582001338062,-0.0366666666666667,-0.05,-0.0427142984568727,-0.0508624466050209,-0.0113819473658142,-0.0555855855855856,-0.0641379310344828,-0.07,-0.0821895424836601,0.0875703463203463,0.0851837704778881,-0.0943846644348797,0.1,-0.0382539682539682,0.07,0.0550877192982456,0.0821895424836601,0.0821895424836601,0.048264158005819,0.05,0.0366666666666667,-0.104372294372294,-0.125206860649899,-0.026036866359447,0.0332314846842692,-0.0322097058656198,-0.0211640211640212,-0.0227769243898276,-0.0220889555222389,-0.187808857808858,-0.26,-0.324347826086957,-0.32,-0.339602063375092,-0.21996993919519,-0.277777777777778,-0.214247517188694
"NOTCH",0.166666666666667,0.194666666666667,0.2,-0.0232258064516129,0.08,0.0333333333333333,0.08,0,0.00568542568542568,0.0444444444444444,0.00833333333333333,0.0666666666666667,-0.0309983896940419,0,0.0333333333333333,0,0.0572374248844837,-0.0563370259445026,-0.0784615384615385,-0.1,-0.0665401265401266,-0.0498054326625755,-0.0539615166949632,-0.0390675990675991,-0.0351752021563342,-0.04,-0.105454545454545,0.0641936607453849,0.100692640692641,-0.0779183135704875,0,-0.0161835748792271,0.04,0.0390675990675991,0.105454545454545,0.105454545454545,0.0452299997031212,0.1,0.0784615384615385,-0.105423728813559,-0.130897435897436,-0.0314102564102564,0.0309983896940419,-0.013763197586727,-0.0285714285714286,-0.0185714285714286,-0.128985507246377,-0.191600353669319,-0.2,-0.326666666666667,-0.26,-0.326666666666667,-0.199591836734694,-0.244210526315789,-0.181763440860215
"NOTCHic",0.194666666666667,0.181763440860215,0.166666666666667,-0.0205942275042445,-0.0232258064516129,0.0666666666666667,0.08,0.0333333333333333,-0.0148443756390776,0.065374677002584,0.0314102564102564,0.0444444444444444,-0.0302576489533011,0,0.00833333333333333,0.0333333333333333,0.0630490481309767,-0.0406703592778359,-0.0390675990675991,-0.04,-0.0498054326625755,-0.0624771883877664,-0.0486016392064487,-0.0665401265401266,-0.0685085354896676,-0.0784615384615385,-0.0779183135704875,0.0840283714891865,0.0873978430047794,-0.0951596928808323,0.1,-0.0340407177363699,0.0784615384615385,0.0659493194977066,0.0779183135704875,0.0779183135704875,0.0559805068025126,0.04,0.0390675990675991,-0.0846690118324273,-0.128251933251933,-0.013763197586727,0.0302576489533011,-0.0212900793071571,-0.0185714285714286,-0.0207297019527235,-0.118216276477146,-0.187375001556643,-0.26,-0.326666666666667,-0.326666666666667,-0.343809523809524,-0.20604344963792,-0.280574162679426,-0.195139237038559
