"","GSK3","Destcompl","AXIN2","RAS","TCFLEF","CD44","FOXC2","PI3K","GLI","cMet","Wnt","TWIST1","Frizzled","TGF","Ecadherin","CDC42","PAK1","DSH","SOSGRB2","AKT","SNAI1","LIV1","NFB","RKIP","Csn","TrCP","HEY1","EGR1","SMAD","KLF4","NOTCH","ZEB2","ZEB1","Patched","NOTCHic","Csl","miR200","SHH","Jagged","SMO","FUS","SUFU","ILK","cfos","ERK","MEK","SNAI2","IKK","STAT","TGFR","SRC","cateninmemb","RAF","DELTA","cateninnuc"
"ILK",-0.638395863395863,-0.647213349649106,-0.366952380952381,-0.541569115815691,-0.373733663372573,-0.344920104050539,-0.339897793263647,-0.496363636363636,-0.344920104050539,-0.303381642512077,-0.303381642512077,-0.248107796218987,-0.255555555555556,-0.275720229555237,-0.142911458938996,-0.242647058823529,-0.225,-0.2,-0.183076923076923,-0.337556561085973,-0.320805152979066,-0.1,-0.266666666666667,-0.24849709114415,-0.233333333333333,-0.2,0.0357851545420913,-0.133333333333333,0.0204565026010404,0.434868421052632,-0.295719602977668,-0.46745167729685,-0.46745167729685,0.0730769230769231,-0.263461538461538,-0.225,-0.47871906929284,-0.0897435897435897,0.163684210526316,-0.05,-0.05,0,-0.0212565026010404,0.161904761904762,0.203081232492997,0.221114019378243,0.219684953489516,0.319607843137255,0.2,0.258647058823529,0.255555555555556,0.236798172869682,0.496363636363636,0.496363636363636,0.400331601516903
"TrCP",-0.168852272727273,-0.323506726706115,-0.290749759890944,-0.243445502369462,-0.272046898383532,-0.259083935420569,-0.249655031062046,-0.223900047824008,-0.25882755669662,-0.242252252252252,-0.241754385964912,-0.21884236777715,-0.223333333333333,-0.197391117400761,-0.179593819831008,-0.186834733893557,-0.180952380952381,-0.19,-0.178946644664466,-0.0366228070175439,-0.108539188272127,-0.15,-0.00416666666666667,-0.0705344563355613,0.00833333333333333,0.0333333333333333,0.0426000235176529,0,0.0371274961597542,0.429094457455113,-0.15014652014652,-0.438696079009292,-0.438696079009292,0.0915258576548899,-0.132564102564103,-0.106410256410256,-0.454039068326916,-0.0975258576548899,0.133809006475801,-0.0804147465437788,-0.0642857142857143,-0.0476190476190476,-0.0364823348694316,0.00434782608695652,0.0196020633750921,0.0316020633750921,0.0305888853823807,0.0199561403508772,0.19,0.191380188439012,0.223333333333333,0.253410706588777,0.223900047824008,0.223900047824008,0.283908967349049
"cfos",-0.144488636363636,-0.302303719187318,-0.270623973727422,-0.223900047824008,-0.259083935420569,-0.242252252252252,-0.237241237958598,-0.199509803921569,-0.241754385964912,-0.223333333333333,-0.223333333333333,-0.205255411255411,-0.19,-0.191380188439012,-0.178832574156267,-0.180952380952381,-0.185714285714286,-0.15,-0.168055555555556,-0.0199561403508772,-0.0977993314702175,-0.1,0.00833333333333333,-0.0611421911421911,0.0333333333333333,0,0.0411294352823588,-0.08,0.0364823348694316,0.417619047619048,-0.132564102564103,-0.426155886083247,-0.426155886083247,0.0804147465437788,-0.106410256410256,-0.0833333333333333,-0.443379169849758,-0.0915258576548899,0.123993055555556,-0.0642857142857143,-0.0476190476190476,-0.0333333333333333,-0.0380952380952381,0,0.00434782608695652,0.0196020633750921,0.0217281258887098,0.00416666666666667,0.15,0.186834733893557,0.19,0.24626784944592,0.199509803921569,0.199509803921569,0.272046898383532
"Jagged",0.0187739463601533,-0.0290965250965251,-0.0242857142857143,-0.0424242424242424,-0.0428438228438228,-0.0276923076923077,-0.185714285714286,-0.0333333333333333,-0.0276923076923077,-0.02,-0.02,-0.104,0,-0.184888888888889,-0.0520701754385965,-0.2,-0.2,0,-0.12,0.0222222222222222,-0.075,0,0,-0.041025641025641,0,0,0.133333333333333,-0.1,0.0380952380952381,0.383333333333333,-0.134285714285714,-0.396376811594203,-0.396376811594203,0.0333333333333333,-0.12,-0.1,-0.413939393939394,-0.041025641025641,0.0338528138528138,-0.0333333333333333,0,0,-0.0333333333333333,0,-0.02,-0.02,-0.10570638511815,-0.0333333333333333,0,0.188888888888889,0,0.0476019754892994,0.0333333333333333,0.0333333333333333,0.0461405261405261
"DELTA",0.0187739463601533,-0.0290965250965251,-0.0242857142857143,-0.0424242424242424,-0.0428438228438228,-0.0276923076923077,-0.185714285714286,-0.0333333333333333,-0.0276923076923077,-0.02,-0.02,-0.104,0,-0.184888888888889,-0.0520701754385965,-0.2,-0.2,0,-0.12,0.0222222222222222,-0.075,0,0,-0.041025641025641,0,0,0.133333333333333,-0.1,0.0380952380952381,0.383333333333333,-0.134285714285714,-0.396376811594203,-0.396376811594203,0.0333333333333333,-0.12,-0.1,-0.413939393939394,-0.041025641025641,0.0338528138528138,-0.0333333333333333,0,0,-0.0333333333333333,0,-0.02,-0.02,-0.10570638511815,-0.0333333333333333,0,0.188888888888889,0,0.0476019754892994,0.0333333333333333,0.0333333333333333,0.0461405261405261
"STAT",0.220518469069871,0.219663798454185,0.171552760964526,0.15197076034221,0.127836534303411,0.123104673104673,-0.132246762099523,0.145254342431762,0.123032849503438,0.118831168831169,0.118831168831169,0.0302912396615545,0.114285714285714,-0.176713502299887,-0.0266734127062789,-0.184659090909091,-0.190909090909091,0.114285714285714,-0.0108374384236453,0.0727602905569007,-0.0513315298997434,0,0.05,-0.0389527027027027,0.05,0,0.0346666666666667,0.0333333333333333,0.0373368871119996,0.486858783917607,0.0521781633146567,-0.386883629191321,-0.386883629191321,-0.00434108527131783,0.0473237943826179,0.0392156862745098,-0.406726330667969,0.00522604102353022,-0.024584629364275,0.00666666666666667,0,0,-0.0384863123993559,-0.0333333333333333,-0.0450980392156863,-0.0483238456672992,-0.169346593300998,-0.0642857142857143,-0.114285714285714,0.182027511961722,-0.114285714285714,-0.0999315279066801,-0.145254342431762,-0.145254342431762,-0.13176978817707
"GLI",-0.0125332796036954,-0.250399478009844,-0.262163345410628,-0.240743046226492,-0.236248471271532,-0.227806912829974,-0.191517242862057,-0.227871759097779,-0.198857442771206,-0.218324154209284,-0.0890702087286528,-0.161849571858061,-0.0761290322580645,-0.2589880464873,-0.157271508878532,-0.250114942528736,-0.246666666666667,-0.06,-0.338277592613876,-0.00826414995822891,-0.0752356068776796,-0.15,0.0169590643274854,-0.0795292691419802,0.0222222222222222,0.0333333333333333,0.0835155459518787,0.114285714285714,0.0742650384441429,0.358534534534535,-0.16602437792093,-0.364365250042669,-0.364365250042669,0.00806032939491585,-0.155548187444739,-0.140548187444739,-0.381560462241577,-0.0125870783661093,0.147298727511445,-0.00397869674185463,0.00654761904761906,0.0190476190476191,-0.0742650384441429,-0.105952380952381,-0.0942640692640693,-0.0870817488220803,0.00380024826571841,-0.00267335004177109,0.19,0.254517458252006,0.206129032258065,0.223068781325849,0.227871759097779,0.227871759097779,0.24360053343531
"SHH",0.369230769230769,0.423636363636364,0.342857142857143,0.288461538461538,0.233333333333333,0.2,-0.05,0.25,0.3,0.2,0.3,0.075,0.2,-0.213333333333333,-0.0658333333333333,-0.233333333333333,-0.2,0.2,-0.1,0.15,-0.0166666666666667,0,0,-0.04,0,0,0.0666666666666667,0,0.0666666666666667,0.25,0.233333333333333,-0.25,-0.25,-0.266666666666667,0.2,0.1,-0.266666666666667,0.186666666666667,-0.105714285714286,0.3,0.2,0.2,-0.0666666666666667,0.1,0,-0.02,-0.310574712643678,-0.1,-0.1,0.233333333333333,-0.1,-0.118566308243728,-0.25,-0.25,-0.244444444444444
"SMO",0.459475799281625,0.499954619024386,0.399910434393193,0.360118515205725,0.268716289104639,0.244444444444444,0.0110344827586207,0.332211538461538,0.348611111111111,0.233333333333333,0.3375,0.125980392156863,0.3,-0.172117117117117,-0.0603376861438517,-0.213333333333333,-0.233333333333333,0.3,-0.0947368421052632,0.212857142857143,0.0337941628264209,0.1,0.15,-0.0034920634920635,0.1,0,0.0637362637362637,0,0.0750793650793651,0.230555555555556,0.267424242424242,-0.219632768361582,-0.219632768361582,-0.186666666666667,0.242424242424242,0.233333333333333,-0.235925256178421,0.197777777777778,-0.127804232804233,0.186666666666667,0.266666666666667,0.3,-0.0766666666666667,-0.02,-0.0584615384615385,-0.0796736596736597,-0.334955665024631,-0.192857142857143,-0.2,0.188333333333333,-0.2,-0.137714096808992,-0.332211538461538,-0.332211538461538,-0.285257642488097
"cateninnuc",-0.648664595916995,-0.697352558716557,-0.584122301033595,-0.591958716958717,-0.452040343925105,-0.428515325254456,-0.34674217585693,-0.558625383625384,-0.429592032942241,-0.398753420492551,-0.399552507250542,-0.380154958207442,-0.370204681163585,-0.119610782832587,-0.0152744466401615,-0.0883956043956044,-0.0668571428571429,-0.327738927738928,-0.183205219748129,-0.449483901515152,-0.291491169136625,-0.296969696969697,-0.389015151515152,-0.221802225070215,-0.3375,-0.3,0.0350276141247864,-0.197101449275362,-0.0057536581956773,0.198835812269976,-0.519844377290179,-0.205253239710931,-0.205253239710931,0.27511986785686,-0.489844377290179,-0.453797865662272,-0.196929824329598,-0.287973898357949,0.363232011951062,-0.255865209471767,-0.241111111111111,-0.211111111111111,0.00643578643578644,0.233609385783299,0.258925841479501,0.281861621296015,0.434593477046579,0.419015151515152,0.327738927738928,0.105636983705949,0.369405594405594,0.28837991942442,0.558625383625384,0.558625383625384,0.373443271293236
