"","PAK1","CDC42","TrCP","Jagged","NOTCH","Csl","NOTCHic","SMAD","ILK","AKT","SHH","HEY1","cateninmemb","DSH","LIV1","cfos","ZEB1","ERK","MEK","EGR1","RAF","FOXC2","GSK3","SNAI2","PI3K","DELTA","RAS","TWIST1","cateninnuc","CD44","TCFLEF","SRC","cMet","GLI","RKIP","STAT","Wnt","Frizzled","Destcompl","AXIN2","SNAI1","SOSGRB2","SMO","FUS","NFB","Patched","IKK","SUFU","Csn","Ecadherin","TGFR","TGF","miR200","ZEB2","KLF4"
"SOSGRB2",-0.107142857142857,-0.127142857142857,0.1,-0.0186110004998687,0.197429331232148,0.172727272727273,0.165034965034965,-0.0380118805925258,-0.0359139784946237,0.187207602339181,-0.0524617640896711,-0.139393939393939,-0.0207357357357357,0.1,0,-0.0253968253968254,0.00586466165413534,-0.0335049335049335,-0.0547170547170547,-0.080952380952381,-0.291525423728814,-0.0512698412698413,-0.260558132844248,0.033924575531973,0.291525423728814,0.291525423728814,0.288961321164711,0.0816231884057971,-0.0711361744622592,-0.0687370600414079,-0.0782107442519342,-0.0571428571428571,-0.0788819875776397,-0.0636645962732919,0.0891812865497076,-0.1,-0.0738095238095238,-0.0571428571428571,0.224381919348362,-0.0984185918591859,0.0917576403695807,0.0758333333333333,0.0666666666666667,0.0666666666666667,-0.144444444444444,0.0315315315315315,-0.149707602339181,0,-0.2,0.043438846900688,0.142527472527472,0.136144493804068,0.170190815863165,0.194786967418546,0.191929824561404
"MEK",-0.166666666666667,-0.171428571428571,0,-0.108661294961359,-0.0096742268275115,-0.0202020202020202,0.0144133644133644,-0.108616290175408,-0.11193732338574,-0.0193767507002801,-0.126916961320047,-0.117391334952311,-0.00409627089684478,0.0333333333333333,0.1,0.016551724137931,-0.0306981849650429,0.00165810711665444,-0.0800085595500122,0.02,-0.217107892107892,-0.0980412773516222,-0.230593456125371,-0.0680403521109683,0.217107892107892,0.217107892107892,0.216155511155511,0.103600745659569,-0.0574719223940108,-0.0607348791559318,-0.0472488740668733,-0.0701754385964912,-0.0432523616734143,-0.0538927738927739,0.251135190918473,-0.0333333333333333,-0.0364102564102564,-0.0633333333333333,0.231330926375769,-0.0893333206624346,0.124065821513586,0.175365079365079,0.118666666666667,0.146666666666667,0.0303571428571429,0.143256830601093,-0.00297619047619048,0.166666666666667,0.0428571428571429,0.0578748946782627,0.164886515353805,0.163426661339207,0.173277048402579,0.222995878026007,0.224964131994261
"ERK",-0.171428571428571,-0.164886515353805,-0.0428571428571429,-0.115287800985455,0.00279114713370734,0.0144133644133644,-0.0096742268275115,-0.108312338807627,-0.108616290175408,-0.0102024387736746,-0.130781695619564,-0.113637068740706,-0.0149518366742137,0.0633333333333333,0.0333333333333333,0.00165810711665444,-0.0261312558311847,-0.0800085595500122,-0.0836297294664468,0.016551724137931,-0.216155511155511,-0.0971865764969213,-0.233409078287042,-0.0555065378638989,0.216155511155511,0.216155511155511,0.220445940198415,0.0990237692379326,-0.0511524779495664,-0.0472488740668733,-0.0574719223940108,-0.0432523616734143,-0.0607348791559318,-0.0396070596070596,0.255313463898974,-0.0701754385964912,-0.0538927738927739,-0.0364102564102564,0.228136638514063,-0.083317060499833,0.117815821513586,0.175365079365079,0.143256830601093,0.118666666666667,-0.00297619047619048,0.126916961320047,0.0193767507002801,0.146666666666667,0.0303571428571429,0.0502882142800478,0.163426661339207,0.16672336463591,0.175728028794736,0.225358082750417,0.222638550598912
"RAF",-0.133333333333333,-0.166666666666667,0,-0.123415393322015,0.0144133644133644,-0.0111111111111111,-0.0202020202020202,-0.11193732338574,-0.122828412494651,0.00297619047619048,-0.143256830601093,-0.128300425861401,-0.0182426123602594,0.1,0,0.02,-0.0338727881396461,0.016551724137931,0.00165810711665444,0.02,-0.209415584415584,-0.090834070144415,-0.234278959810875,-0.0517386489479513,0.209415584415584,0.209415584415584,0.217107892107892,0.0937106357694593,-0.0472488740668733,-0.0432523616734143,-0.0607348791559318,-0.0333333333333333,-0.0701754385964912,-0.0364102564102564,0.252450980392157,-0.1,-0.0633333333333333,-0.0333333333333333,0.225473185789995,-0.0821261134552274,0.117014539462304,0.182031746031746,0.146666666666667,0.166666666666667,0.0428571428571429,0.118666666666667,0.0303571428571429,0.1,0,0.0463994848421971,0.171428571428571,0.164886515353805,0.175444231065117,0.226964131994261,0.224964131994261
"Destcompl",-0.176326530612245,-0.168740323715693,0.0666666666666667,0.183243324301837,0.121105116617881,0.128397963180572,0.119702311006659,-0.094344193817878,-0.0953968253968254,0.0629333489561094,-0.207502027798843,-0.10798995875919,-0.31249758551803,0.238888888888889,0.238888888888889,-0.136363636363636,0.0448798143987783,-0.128166915052161,-0.126479151339081,-0.133333333333333,-0.0931455495093718,-0.0272865027698135,-0.23233606400048,0.137222550520311,0.0931455495093718,0.0931455495093718,0.0947154082220876,0.209022849808254,-0.220985849615562,-0.219094027579,-0.222107726209137,-0.223820395738204,-0.224317908176015,-0.218069004272527,0.1762385392784,-0.238888888888889,-0.223820395738204,-0.223820395738204,0.134076633590634,-0.280435491936886,0.200104355914925,-0.0206124724448258,0.218949096880131,0.216091954022989,-0.065424430641822,0.211177076154743,-0.0609199261373175,0.233333333333333,-0.0523809523809524,0.211633335723193,0.16400348161043,0.163904959442942,0.224614404373586,0.256267712141903,0.248312407508564
"CD44",-0.2,-0.22,0,-0.164662004662005,-0.037593984962406,0,-0.0428571428571429,-0.152040816326531,-0.15,-0.04,-0.151818181818182,-0.129824561403509,-0.144047619047619,0,-0.1,-0.05,0.0714285714285714,-0.03,-0.04,0,-0.133333333333333,-0.106666666666667,-0.164285714285714,0.0163258963258963,0.133333333333333,0.133333333333333,0.159047619047619,0.207985347985348,0.0731723315444246,0.0833333333333333,0.0624031007751938,0.2,0.15,0.0833333333333333,0.253703703703704,0.1,0.05,0.1,0.182620320855615,0.1,0.212679425837321,0.269047619047619,0.15,0.1,0,0.17,0.0333333333333333,0.1,0.1,0.199557594180871,0.2325,0.254722222222222,0.25768115942029,0.29047619047619,0.376190476190476
"cMet",-0.22,-0.2325,-0.1,-0.155966352488092,-0.0354663253879379,-0.0428571428571429,-0.037593984962406,-0.16113172541744,-0.152040816326531,-0.02125,-0.145568181818182,-0.135706914344685,-0.13728605321132,-0.1,-0.1,-0.03,0.0542568542568542,-0.04,-0.0454545454545455,-0.05,-0.159047619047619,-0.0978059071729958,-0.164285714285714,0.000267502165312386,0.159047619047619,0.159047619047619,0.149613656783468,0.209108943490966,0.0641327835218257,0.0624031007751938,0.0731723315444246,0.15,0.0833333333333333,0.0651515151515151,0.246296296296296,0.2,0.0833333333333333,0.05,0.189377077612372,0.0920634920634921,0.216069256345795,0.275714285714286,0.17,0.15,0.0333333333333333,0.151818181818182,0.04,0.1,0,0.213043599269929,0.254722222222222,0.254722222222222,0.26080615942029,0.295526695526696,0.39047619047619
"SRC",-0.155555555555556,-0.180555555555556,-0.1,-0.0882010115266996,-0.146428571428571,-0.15,-0.135714285714286,-0.0437055476529161,-0.0662280701754386,-0.122649572649573,-0.0433333333333333,-0.00758027143330024,-0.142639574913935,-0.1,-0.2,0.0363636363636364,-0.0645627433363282,0.0363636363636364,0.0571183533447684,0.1,0.084755944931164,0.061844070961718,-0.0038961038961039,-0.0122090698534127,-0.084755944931164,-0.084755944931164,-0.0680892782644973,0.119023620058103,0.111294529168198,0.116475409836066,0.107938824470212,0.125,0.105,0.116475409836066,0.147051156728576,0.2,0.105,0.125,0.0526556776556777,0.163901993284882,0.078179170422689,0.254285714285714,0.01,0.05,0.133333333333333,0.0433333333333333,0.0948717948717949,0.1,0.2,0.268683190447896,0.161507936507937,0.166962481962482,0.215965451617626,0.30297993411201,0.401421188630491
"ZEB2",-0.232467532467532,-0.230649350649351,-0.2,-0.18844749873032,-0.18601429171921,-0.184615384615385,-0.183282051282051,-0.175728246904819,-0.173289222514575,-0.170784008307373,-0.159719670573329,-0.157413715316941,-0.14221496420699,-0.127272727272727,-0.1,-0.0824561403508772,-0.0762364115209605,-0.0760045274476514,-0.0747850152525295,-0.0666666666666667,-0.0398484848484848,-0.0308919968919969,-0.00401070115709355,-0.0015688653785512,0.0398484848484848,0.0398484848484848,0.0413474141846733,0.0972762870384669,0.108423300747244,0.10962962962963,0.109981742305686,0.113333333333333,0.113333333333333,0.117853767028079,0.119468599033816,0.12,0.120606060606061,0.120606060606061,0.130700849179777,0.140971517167902,0.149782309150346,0.156849816849817,0.157857142857143,0.160714285714286,0.163888888888889,0.165174216027875,0.166111111111111,0.175,0.188888888888889,0.218497511454287,0.231329622758194,0.235562426990998,0.257768451631012,0.312443371769601,0.412281136567999
"cateninnuc",-0.187428571428571,-0.193582417582418,0.233333333333333,-0.00292270889616269,0.104900821378945,0.107532956685499,0.101719003197127,-0.0572739163216653,-0.0625945165945166,0.216205492424242,0.00693496373761352,-0.0553064357384938,0.0425712818470984,0.0398601398601399,0.00909090909090909,-0.198792270531401,0.0354477094295775,-0.198792270531401,-0.19741612374241,-0.18768115942029,-0.242348282348282,-0.164874775497726,-0.302274759614169,0.036473341384245,0.242348282348282,0.242348282348282,0.245210235210235,0.0898903490123724,-0.126481910812761,-0.0265406091493048,-0.029602595706437,-0.0287490287490288,-0.0352707678794635,-0.0280971857207712,0.233399299625106,-0.0398601398601399,-0.0367928378946842,-0.0302710987642495,0.296542103657264,0.152757584803547,0.265447331503278,0.111326217570892,-0.00746812386156648,-0.0222222222222222,-0.217424242424242,-0.00933147789883356,-0.215424242424242,-0.0222222222222222,-0.208333333333333,-0.0339927825119666,0.190708854364027,0.190490513752673,0.271662428655076,0.312607738921778,0.306338777869027
"AXIN2",-0.212083333333333,-0.220725308641975,0.133333333333333,0.225058907015429,0.181978764478764,0.18,0.185357142857143,-0.134650333563377,-0.139015412928456,0.112415458937198,-0.258572929802438,-0.151710824124617,-0.359363232066317,0.286666666666667,0.266666666666667,-0.187317073170732,0.0867742719515023,-0.191989970366993,-0.188541694504924,-0.18,-0.151826072241297,-0.0602361572853376,-0.308199387822958,0.190960408464849,0.151826072241297,0.151826072241297,0.151826072241297,0.269994028459208,-0.280824596995252,-0.284538657235831,-0.280435491936886,-0.293643410852713,-0.286746859128575,-0.284231135858135,0.232334574028122,-0.286666666666667,-0.286746859128575,-0.293643410852713,0.311998601728524,0.134777830528202,0.257141879514724,-0.0235485287659201,0.258608058608059,0.253846153846154,-0.109178743961353,0.262179487179487,-0.113526570048309,0.2,-0.122222222222222,0.261996987314643,0.218955397137551,0.215325034101247,0.281741496888716,0.313648320646951,0.306169714669819
"GLI",-0.316666666666667,-0.320114942528736,0.0166666666666667,-0.0199919248082142,0.0257439686750032,0.0078868258178603,0.0228868258178603,0.00947217098171188,0.0143370358465767,0.078530962823726,0.126325845477892,0.0125216511464389,-0.134335435305021,-0.2,-0.1,0.0823809523809524,-0.0960279911247653,0.0706926406926407,0.0624053478749611,0.0657142857142857,-0.237325394057169,-0.0297102898176815,-0.169027809133553,0.0261810906127278,0.237325394057169,0.237325394057169,0.233166978215585,0.0902964145833416,0.0961611138753661,0.0966800510051819,0.0999268042519351,0.103870967741935,0.108749016522423,0.0774128951511971,0.10643186009621,0.12,0.189753320683112,0.183870967741935,0.175013885505005,0.129992451690821,0.121387480055977,0.347032141899399,-0.128383458646617,-0.117857142857143,-0.0564327485380117,-0.128383458646617,-0.070718462823726,-0.142857142857143,-0.0722222222222222,0.199921951035156,0.328291043157666,0.328526337275314,0.219709568037741,0.324201058201058,0.322992706992707
"ZEB1",-0.24367816091954,-0.245127436281859,-0.133333333333333,-0.160972488985137,-0.123507130124777,-0.120833333333333,-0.132598039215686,-0.176952592651398,-0.176952592651398,-0.112778667981429,-0.121337564466097,-0.16090480331413,-0.0786199901811013,-0.019047619047619,-0.0333333333333333,-0.112,-0.0793328804246874,-0.106117647058824,-0.10832029023063,-0.1,-0.100142477353461,-0.0458326785855843,-0.0184250448954469,-0.0240522501521227,0.100142477353461,0.100142477353461,0.103449563967634,0.0598829146887399,0.0139936938600105,0.0163649309004402,0.00998195217703597,0.0224515322076298,0.00872604201155133,0.0256849826060286,0.132533011798002,0.0102564102564103,0.0177812025373001,0.0312427409988386,0.13610804930551,0.123247014422348,0.158101730829211,0.14187134502924,0.126515151515152,0.108333333333333,0.107017543859649,0.116711229946524,0.118492953695715,0.133333333333333,0.133333333333333,0.191583746522649,0.246650278921453,0.249406184433264,0.273275740878641,0.327636513029846,0.327453040407479
"CDC42",-0.214285714285714,-0.3,-0.1,-0.0992708333333333,-0.078974358974359,-0.0666666666666667,-0.0897435897435898,-0.0643881208397337,-0.057936507936508,-0.031140350877193,-0.0373101211810889,-0.0512493753123438,-0.145950649555299,-0.1,-0.1,-0.04,-0.0860774818401937,-0.0182608695652174,-0.0233456153279293,-0.02,-0.116993464052288,-0.0769051035048166,-0.0228679653679654,0.0341315132556008,0.116993464052288,0.116993464052288,0.121871512832775,0.116562770562771,0.106615526417507,0.114294294294294,0.104393304195284,0.12,0.108888888888889,0.116783625730994,0.108601398601399,0.1,0.108888888888889,0.12,0.151895003761132,0.143448275862069,0.168616362540413,0.194444444444444,0.0571428571428571,0.0238095238095238,0.0166666666666667,0.0410138248847926,0.0416666666666667,0.0666666666666667,0.0666666666666667,0.216222299798923,0.301960784313725,0.311051693404635,0.253229776759189,0.368916945309197,0.365873015873016
"TrCP",-0.3,-0.301960784313725,-0.0666666666666667,-0.0955898517382413,-0.0745787545787546,-0.0897435897435898,-0.078974358974359,-0.070194572452637,-0.0643881208397337,-0.0200292397660819,-0.0383101211810889,-0.0600729047241086,-0.143569697174347,-0.12,-0.1,-0.0182608695652174,-0.0928298934157564,-0.0233456153279293,-0.0326789486612626,-0.04,-0.121871512832775,-0.0734568276427476,-0.0243225108225108,0.0290682221163603,0.121871512832775,0.121871512832775,0.118235149196412,0.118736683606249,0.103443112624403,0.104393304195284,0.106615526417507,0.108888888888889,0.114294294294294,0.10653972329197,0.106943940037863,0.12,0.116783625730994,0.108888888888889,0.153549139099478,0.138416829321188,0.17267364177669,0.197414741474147,0.0410138248847926,0.0571428571428571,0.0416666666666667,0.0373101211810889,0.031140350877193,0.0238095238095238,0.0166666666666667,0.22127420291311,0.311051693404635,0.311051693404635,0.254752619398782,0.370524662350998,0.370791048659901
"PAK1",-0.3,-0.301960784313725,-0.0666666666666667,-0.0955898517382413,-0.0745787545787546,-0.0897435897435898,-0.078974358974359,-0.070194572452637,-0.0643881208397337,-0.0200292397660819,-0.0383101211810889,-0.0600729047241086,-0.143569697174347,-0.12,-0.1,-0.0182608695652174,-0.0928298934157564,-0.0233456153279293,-0.0326789486612626,-0.04,-0.121871512832775,-0.0734568276427476,-0.0243225108225108,0.0290682221163603,0.121871512832775,0.121871512832775,0.118235149196412,0.118736683606249,0.103443112624403,0.104393304195284,0.106615526417507,0.108888888888889,0.114294294294294,0.10653972329197,0.106943940037863,0.12,0.116783625730994,0.108888888888889,0.153549139099478,0.138416829321188,0.17267364177669,0.197414741474147,0.0410138248847926,0.0571428571428571,0.0416666666666667,0.0373101211810889,0.031140350877193,0.0238095238095238,0.0166666666666667,0.22127420291311,0.311051693404635,0.311051693404635,0.254752619398782,0.370524662350998,0.370791048659901
"SNAI1",-0.301960784313725,-0.311051693404635,-0.0166666666666667,-0.0991192635029472,-0.0704971219256934,-0.078974358974359,-0.0745787545787546,-0.0663815343222557,-0.070194572452637,-0.0200292397660819,-0.0458829367150695,-0.0636443332955371,-0.147680232580219,-0.108888888888889,-0.12,-0.0233456153279293,-0.0914768798856211,-0.0326789486612626,-0.0331273791545361,-0.0182608695652174,-0.118235149196412,-0.0746004108701936,-0.0267647550469333,0.0328563548686232,0.118235149196412,0.118235149196412,0.120369796158645,0.119659760529326,0.105508161669318,0.106615526417507,0.103443112624403,0.114294294294294,0.104393304195284,0.108185061500379,0.10987281033075,0.108888888888889,0.10653972329197,0.116783625730994,0.152671946117021,0.137950628854988,0.074097129321174,0.202320401851506,0.0373101211810889,0.0410138248847926,0.031140350877193,0.0383101211810889,0.0200292397660819,0.0571428571428571,0.0416666666666667,0.219973474505202,0.311051693404635,0.311454919211086,0.254848680878129,0.373353690641281,0.372971734018157
"STAT",-0.277272727272727,-0.271022727272727,-0.1,-0.0723720569904123,-0.0526931843322477,-0.0490196078431373,-0.05172231054584,-0.0791409850630241,-0.0710950080515298,-0.0259806295399516,-0.0422422309117102,-0.0646666666666667,-0.160225368387575,-0.114285714285714,-0.2,-0.0533333333333333,-0.0735969159046082,-0.0415686274509804,-0.0447944339025933,-0.0333333333333333,-0.167369727047146,-0.0896087252897069,-0.137307521139297,0.00626806723626313,0.167369727047146,0.167369727047146,0.168862264360579,0.0645202290629577,0.093222750174422,0.0958028083028083,0.0954873508895591,0.101785714285714,0.101785714285714,0.0975840336134454,0.158811132561133,0.114285714285714,0.101785714285714,0.101785714285714,0.186023664912731,0.149590017825312,0.226765231339232,0.240845648604269,0.045,0.025,0.01,0.0519767441860465,0.0242857142857143,0.05,0.05,0.30419722376702,0.276285885167464,0.284498445553938,0.280234291334103,0.399381387842926,0.497207367795603
"Wnt",-0.3,-0.366666666666667,0.1,-0.0206862745098039,0.139285714285714,0.1,0.114285714285714,-0.0823891870403498,-0.094017094017094,0.111666666666667,-0.124242424242424,-0.105128205128205,-0.197033898305085,0,0,-0.133333333333333,-0.0513629842180775,-0.153333333333333,-0.170980392156863,-0.1,-0.227067669172932,-0.0863967611336032,-0.356896551724138,0.0920689655172414,0.227067669172932,0.227067669172932,0.236158578263841,0.250882352941176,-0.105095105312951,-0.109210526315789,-0.116353383458647,-0.1,-0.125,-0.109210526315789,0.203333333333333,-0.1,-0.125,0,0.275153722816358,-0.160606060606061,0.294409937888199,0.0939393939393939,0.1,0.1,-0.0666666666666667,0.0909090909090909,-0.0866666666666667,0,-0.1,0.263968191525233,0.386666666666667,0.377971014492754,0.313434343434343,0.403395504543281,0.396078431372549
"Frizzled",-0.366666666666667,-0.386666666666667,0.1,-0.0115953654188948,0.117717086834734,0.114285714285714,0.139285714285714,-0.0721088132085741,-0.0823891870403498,0.0866666666666667,-0.111339198435973,-0.0944899072558647,-0.189732311003497,0,0.1,-0.153333333333333,-0.0444322911487706,-0.170980392156863,-0.152461873638344,-0.133333333333333,-0.236158578263841,-0.0980246681103474,-0.355078369905956,0.081027956053519,0.236158578263841,0.236158578263841,0.238520782988251,0.259453781512605,-0.111761771979618,-0.116353383458647,-0.105095105312951,-0.125,-0.109210526315789,-0.116353383458647,0.206904761904762,-0.1,-0.109210526315789,-0.125,0.279663006635986,-0.165257223396758,0.2959972394755,0.0909090909090909,0.0909090909090909,0.1,-0.0866666666666667,0.124242424242424,-0.111666666666667,0.1,-0.0666666666666667,0.273991501548543,0.377971014492754,0.378923395445135,0.311871843434343,0.404385603553182,0.400840336134454
"TCFLEF",-0.361538461538462,-0.361538461538462,0.0857142857142857,-0.0661738134607941,0.0400695804886523,0.0429619002072374,0.0370795472660609,-0.0437876956717653,-0.0393899901268322,0.103692482832735,0.00718517052576027,-0.0441681098740762,-0.00221533413532533,0.0509803921568627,0.0333333333333333,-0.14184668989547,-0.0280545365940103,-0.142799070847851,-0.146880703500913,-0.144285714285714,-0.163142318182029,-0.203894664577362,-0.254227459120315,0.0750125236871998,0.163142318182029,0.163142318182029,0.162485287958639,0.153605567696872,-0.144928607291474,-0.045930898242219,-0.144670875332712,-0.0508333333333333,-0.0465598290598291,-0.0504646518585138,0.155357028057125,-0.0458333333333333,-0.0517068878833585,-0.0559803921568627,0.269662657977883,0.301465201465201,0.276933923816769,0.121452479656072,0.00333333333333333,-0.03,-0.108987012987013,-0.00473118279569893,-0.0960837871805614,-0.05,-0.112987012987013,-0.0120275324019301,0.368080517613228,0.368080517613228,0.322808550218189,0.405744860889598,0.400593646549529
"PI3K",-0.275,-0.304411764705882,0.2,-0.0155263157894737,0.125496277915633,0.125,0.148076923076923,-0.0949221288515406,-0.105322128851541,0.184313725490196,-0.135042735042735,-0.115491205058353,-0.164826052662755,0.1,0.1,-0.176190476190476,-0.0357536069591184,-0.193837535014006,-0.17580474812876,-0.133333333333333,-0.262008658008658,-0.212206736353078,-0.363468013468013,0.0502932998976367,0.262008658008658,0.262008658008658,0.267488110063453,0.186388577764201,-0.124729804884786,-0.130523968784838,-0.122049392513652,-0.133333333333333,-0.128985507246377,-0.130523968784838,0.238106011635423,-0.1,-0.128985507246377,-0.133333333333333,0.285601487245458,-0.179238095238095,0.309078099838969,0.0784615384615385,0.1,0.1,-0.2,0.146153846153846,-0.217647058823529,0.1,-0.166666666666667,0.212991569179245,0.300411764705882,0.306102821616451,0.341051073428123,0.43707799795511,0.428508771929825
"ILK",-0.275,-0.304411764705882,0.2,-0.0155263157894737,0.125496277915633,0.125,0.148076923076923,-0.0949221288515406,-0.105322128851541,0.184313725490196,-0.135042735042735,-0.115491205058353,-0.164826052662755,0.1,0.1,-0.176190476190476,-0.0357536069591184,-0.193837535014006,-0.17580474812876,-0.133333333333333,-0.262008658008658,-0.212206736353078,-0.363468013468013,0.0502932998976367,0.262008658008658,0.262008658008658,0.267488110063453,0.186388577764201,-0.124729804884786,-0.130523968784838,-0.122049392513652,-0.133333333333333,-0.128985507246377,-0.130523968784838,0.238106011635423,-0.1,-0.128985507246377,-0.133333333333333,0.285601487245458,-0.179238095238095,0.309078099838969,0.0784615384615385,0.1,0.1,-0.2,0.146153846153846,-0.217647058823529,0.1,-0.166666666666667,0.212991569179245,0.300411764705882,0.306102821616451,0.341051073428123,0.43707799795511,0.428508771929825
"AKT",-0.304411764705882,-0.300411764705882,0.166666666666667,-0.0161885674451028,0.131593838891243,0.148076923076923,0.125496277915633,-0.0999726339020457,-0.0949221288515406,0.0934046345811052,-0.128726945569051,-0.107220528366623,-0.170840323814641,0.133333333333333,0.1,-0.193837535014006,-0.0384933329865157,-0.17580474812876,-0.180868039268,-0.176190476190476,-0.267488110063453,-0.207695458157589,-0.36266156185511,0.0548159129629633,0.267488110063453,0.267488110063453,0.269174857051404,0.180578180210685,-0.121806727961709,-0.122049392513652,-0.124729804884786,-0.128985507246377,-0.130523968784838,-0.121026762080928,0.235000421573312,-0.133333333333333,-0.130523968784838,-0.128985507246377,0.284691644400131,-0.175266976104521,0.301809929412904,0.074017094017094,0.146153846153846,0.1,-0.217647058823529,0.135042735042735,-0.184313725490196,0.1,-0.2,0.211627932815609,0.306102821616451,0.308217625241829,0.344794388936144,0.438447860968808,0.434491677912731
