"","KLF4","Ecadherin","cateninmemb","cateninnuc","TCFLEF","GLI","Wnt","Frizzled","SRC","Jagged","NOTCH","SNAI2","GSK3","PI3K","EGR1","HEY1","ILK","cfos","Csn","ERK","MEK","AKT","IKK","RKIP","SOSGRB2","TGF","TWIST1","PAK1","CDC42","TGFR","SNAI1","SHH","Patched","SMO","NFB","FUS","SMAD","TrCP","SUFU","RAF","DELTA","FOXC2","RAS","Csl","LIV1","NOTCHic","STAT","DSH","cMet","CD44","Destcompl","AXIN2","ZEB2","ZEB1","miR200"
"FOXC2",0.181481481481481,-0.565106900479044,-0.538484892478795,-0.358230962553987,-0.34988725147055,-0.337177068100697,-0.321659826721386,-0.296078431372549,-0.296078431372549,-0.317162327926946,-0.174402407142505,-0.439780707738841,-0.316607963847693,-0.0726923076923077,0.12,-0.0102215431627196,0.00666666666666667,0.129090909090909,0.1,0.140855614973262,0.148072109818623,0.0752380952380952,0.0752380952380952,0.289558853844568,-0.151858204688393,-0.0721966001478197,-0.393555555555556,0.0590909090909091,0.0630909090909091,0.0697575757575758,-0.297861620207479,-0.280577956989247,-0.26875,-0.25,-0.08,-0.233333333333333,-0.00666666666666667,-0.1,-0.2,0.0726923076923077,0.0726923076923077,-0.375625126033475,0.0734276018099548,0.147272727272727,0.233333333333333,0.163062200956938,0.266666666666667,0.266666666666667,0.321659826721386,0.338181565851821,0.334017013492822,0.39225167230165,-0.173663570691434,-0.173663570691434,0.0947049247049247
"CD44",0.247619047619048,-0.00759960916295733,0.0395054945054945,0.0276744186046512,0.0276744186046512,0.03,0.05,0.1,0,0.103216783216783,0.00902255639097744,-0.287552447552448,-0.0482142857142857,0.0857142857142857,0,0.116374269005848,0.111111111111111,0,0.1,0.02,0.02,0.00666666666666667,0,0.0662962962962963,0.0333333333333333,-0.100833333333333,-0.216263736263736,0.133333333333333,0.113333333333333,0.100833333333333,-0.212413609782031,-0.109090909090909,-0.1,-0.1,0,-0.1,-0.10907029478458,0,-0.1,-0.0857142857142857,-0.0857142857142857,-0.253333333333333,-0.0714285714285714,0,0.1,-0.0142857142857143,0.1,0,0.05,-0.03,-0.120981119720616,-0.06,-0.152380952380952,-0.152380952380952,0.0740272288098375
"cMet",0.252380952380952,-0.0098896854988352,0.0363026475304055,0.0265444751018263,0.0276744186046512,0.03,0.03,0.05,-0.05,0.101042870173305,0.00689489681650936,-0.291202082588944,-0.0546658986175115,0.0714285714285714,0,0.110491916064671,0.10907029478458,0.02,0,0.02,0.0218181818181818,0.0129166666666667,0.00666666666666667,0.0662962962962963,0.0133333333333333,-0.0987056737588652,-0.212892949746882,0.113333333333333,0.100833333333333,0.100833333333333,-0.217498355544743,-0.112215909090909,-0.109090909090909,-0.1,0,-0.1,-0.105433931148217,-0.1,-0.1,-0.0714285714285714,-0.0714285714285714,-0.254599156118143,-0.0733153638814016,-0.0142857142857143,0.1,-0.00902255639097744,0,-0.1,-0.03,-0.0276744186046512,-0.118278417017913,-0.0520634920634921,-0.151370851370851,-0.151370851370851,0.0693397288098375
"AXIN2",0.110804379234947,0.151251179155493,0.304638481724485,0.274764364494538,0.271348886759994,0.265497672401184,0.257321571772253,0.246976744186047,0.246976744186047,0.250494223755093,-0.00885524622366728,0.306985507737375,-0.146599229400145,0.229866891112566,-0.0266666666666667,0.0130705031313551,0.0149528410397976,-0.0291056910569106,-0.233333333333333,-0.0319094293746676,-0.0346680500643228,-0.21951690821256,-0.221739130434783,0.142034542518413,0.135061413574738,-0.0862446738774172,0.0660274008414644,0.0908333333333333,0.0871296296296296,0.0862446738774172,-0.134200700802197,0.166181769050622,0.161263736263736,0.157692307692308,0.228985507246377,0.157692307692308,-0.0145560156429722,0.2,0.15,-0.229866891112566,-0.229866891112566,-0.0895107468643768,-0.231441694262172,0.0214035087719298,-0.233333333333333,0.0142606516290727,-0.24,-0.24,-0.257321571772253,-0.265838921929982,0.147512216310756,0.157984491375306,-0.115996366097469,-0.115996366097469,0.0667121065028606
"Csl",0.106673567977916,-0.168202254359834,-0.196438444691538,-0.155355013086335,-0.152782114287022,-0.148342356568163,-0.144310098503647,-0.136783216783217,-0.136783216783217,-0.0663991310535185,-0.0416819174034794,-0.293626775604509,-0.101050416259026,-0.0413153163677901,0.213333333333333,-0.106077338404704,-0.00358684480986639,0.213333333333333,0.0222222222222222,0.216190476190476,0.217277432712215,0.0271317829457364,0.0263565891472868,0.200553740284897,-0.0630147430660909,-0.0157869682767977,-0.204232380997757,0.00711111111111111,0.0135627240143369,0.0141996666894962,-0.168523183740575,-0.048126123042697,-0.0464019851116625,-0.041025641025641,-0.0333333333333333,-0.041025641025641,0.00247573369875528,-0.0333333333333333,-0.0333333333333333,0.0413153163677901,0.0413153163677901,-0.280209908212451,0.0416829634266137,0.0310599078341014,0.12,0.0389546446762066,0.127692307692308,0.127692307692308,0.144475524475524,0.148965320393892,0.187317870803049,0.192213647467685,-0.113020435761248,-0.113020435761248,0.0589135604028498
"NOTCHic",0.112387853692202,-0.163783649708671,-0.192004193927012,-0.152782114287022,-0.148965320393892,-0.144310098503647,-0.136783216783217,-0.127692307692308,-0.127692307692308,-0.0627532977201851,-0.0389546446762066,-0.28818307687222,-0.097957632753871,-0.0427931488801054,0.18,-0.102809364548495,-0.00142857142857143,0.213333333333333,0.0333333333333333,0.213333333333333,0.216190476190476,0.0263565891472868,0.0333333333333333,0.194562956874759,-0.0638277511961722,-0.0141996666894962,-0.199040507408592,0.0111111111111111,0.00711111111111111,0.0135627240143369,-0.164570614570615,-0.0464019851116625,-0.041025641025641,-0.041025641025641,-0.0222222222222222,-0.0333333333333333,0.00358684480986639,0,-0.0333333333333333,0.0427931488801054,0.0427931488801054,-0.272738643844635,0.0413153163677901,0.134285714285714,0.1,0.0310599078341014,0.12,0.12,0.136783216783217,0.144475524475524,0.18421000974272,0.185786912249176,-0.103075684380032,-0.103075684380032,0.0521597477666842
"LIV1",0.0887468123861567,-0.108439923974645,-0.125849462353543,-0.108207172689931,-0.107517517517518,-0.105847477773023,-0.106335282651072,-0.103703703703704,-0.103703703703704,-0.0253936605316973,-0.0135897435897436,-0.235000861961039,-0.0290443722943723,-0.0178981348637016,0.2,-0.00531131493076991,-0.00428400750981396,0.195652173913043,0.00833333333333333,0.197347089167281,0.196013755833947,0.0174220272904483,0.0155701754385965,0.162566549472627,-0.0456408140814081,-0.00642880102860816,-0.14519282891022,0,0.00588235294117647,0.00588235294117647,-0.123638382905475,-0.0185255162997098,-0.0195255162997098,-0.0158218125960061,-0.0208333333333333,-0.019047619047619,0.0029936849291688,-0.0333333333333333,-0.019047619047619,0.0178981348637016,0.0178981348637016,-0.230627719548711,0.0178981348637016,0.00897435897435897,0.1,0.0135897435897436,0.1,0.1,0.106406406406406,0.106406406406406,0.140336976604721,0.136134708925861,-0.0962131865299029,-0.0962131865299029,0.0515222178703815
"Destcompl",0.0601914795485615,0.139001601523371,0.274406060260224,0.223276155546209,0.221746323827698,0.21881625260653,0.215291206224341,0.208360513155034,0.208360513155034,0.216771152501547,-0.0068319168693831,0.26897523716948,-0.060805466440833,0.156229906356581,-0.0333333333333333,0.0129783037475345,0.0138888888888889,-0.0363636363636364,-0.171428571428571,-0.0390958768007948,-0.040783640513875,-0.166989524853546,-0.163633820155559,0.0860906834406039,0.0994456657795917,-0.0495129449238861,0.071930609389421,0.0491836734693878,0.0498733286418016,0.0503996444312752,-0.0741176893074668,0.13270222070955,0.130187713939724,0.124488232074439,0.162732919254658,0.118773946360153,-0.0142397660818713,0.2,0.122222222222222,-0.156229906356581,-0.156229906356581,-0.0304571948939234,-0.155915934614037,0.0121817469643557,-0.188888888888889,0.00783392087739914,-0.196031746031746,-0.196031746031746,-0.215823199722198,-0.21955454300578,-0.0365651028372166,-0.271348886759994,-0.0649099525718397,-0.0649099525718397,0.0341462544013701
"AKT",0.0644005847953216,-0.194962355372221,-0.199366168898253,-0.244115908393917,-0.240269754547763,-0.234608056235455,-0.226228167967298,-0.215458937198068,-0.215458937198068,-0.0840217265016847,-0.11701567511953,-0.285512246802127,-0.0766216310571149,-0.0396190476190476,0.0333333333333333,0.0028169252715079,0.0102917967186875,0.0392156862745098,0.0666666666666667,0.0441337190613951,0.0466653646310153,-0.0448100918689154,0.0582202111613876,0.0720250976644839,-0.0576923076923077,0.0613547212120424,-0.183423920179366,-0.0691176470588235,-0.0651176470588235,-0.061052606408417,-0.0821732471274805,-0.0569883040935673,-0.0527777777777778,-0.05,-0.0607843137254902,-0.05,-0.0106284970553878,-0.0333333333333333,-0.05,0.0396190476190476,0.0396190476190476,-0.180836725961245,0.040823866896156,0.107692307692308,0.2,0.110918114143921,0.211111111111111,0.211111111111111,0.226228167967298,0.234702744238485,-0.0719830041955475,0.26936634003782,-0.0615006154901656,-0.0615006154901656,0.027968463334905
"ILK",0.0532894736842105,-0.189659325069191,-0.192536403352891,-0.240269754547763,-0.234702744238485,-0.226228167967298,-0.215458937198068,-0.211111111111111,-0.211111111111111,-0.0793859649122807,-0.110918114143921,-0.277572548309665,-0.0721861471861472,-0.0396190476190476,0.0333333333333333,0.00206504557225978,0.00949179671868747,0.0333333333333333,0.0333333333333333,0.0392156862745098,0.0441337190613951,0.0582202111613876,0.0607843137254902,0.0664350355526826,-0.0576923076923077,0.061052606408417,-0.175778660240528,-0.075,-0.0691176470588235,-0.0651176470588235,-0.0784138486312399,-0.0527777777777778,-0.05,-0.05,-0.0666666666666667,-0.05,-0.0102917967186875,0,0,0.0396190476190476,0.0396190476190476,-0.171814169570267,0.0396190476190476,0.1,0.1,0.107692307692308,0.2,0.2,0.215458937198068,0.226228167967298,-0.0765322184221811,0.259619047619048,-0.0608156839833163,-0.0608156839833163,0.0317117788429264
